Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"polesa or polish people are a nation and a west slavic ethnic group who share a common history culture the polish language and are identified with the country of poland in central europe the preamble to the constitution of the republic of poland defines the polish nation as comprising all the citizens of poland regardless of heritage or ethnicity the majority of poles adhere to roman catholicism
",polesa polish people nation west slavic ethnic group share common history culture polish language identified country poland central europe preamble constitution republic poland defines polish nation comprising citizens poland regardless heritage ethnicity majority poles adhere roman catholicism,7.52,"polesa,polish,people,nation,west,slavic,ethnic,group,share,common,history,culture,polish,language,identified,country,poland,central,europe,preamble,constitution,republic,poland,defines,polish,nation,comprising,citizens,poland,regardless,heritage,ethnicity,majority,poles,adhere,roman,catholicism",0.00,polish
"the population of self declared poles in poland is estimated at  out of an overall population of   of whom  declared polish alone a wide ranging polish diaspora  exists throughout europe the americas and in australasia today the largest urban concentrations of poles are within the warsaw and silesian metropolitan areas
",population self declared poles poland estimated overall population declared polish wide ranging polish diaspora exists europe americas australasia today largest urban concentrations poles warsaw silesian metropolitan areas,7.17,"population,self,declared,poles,poland,estimated,overall,population,declared,polish,wide,ranging,polish,diaspora,exists,europe,americas,australasia,today,largest,urban,concentrations,poles,warsaw,silesian,metropolitan,areas",0.00,polish
"ethnic poles are considered to be the descendants of the ancient west slavic lechites and other tribes that inhabited the polish territories during the late antiquity period polands recorded history dates back over a thousand years to c  ad when the western polans  an influential tribe in the greater poland region  united various lechitic clans under what became the piast dynasty thus creating the first polish state the subsequent christianization of poland by the catholic church in  ce marked polands advent to the community of western christendom however throughout its existence the polish state followed a tolerant policy towards minorities resulting in numerous ethnic and religious identities of the poles such as polish jews
",ethnic poles considered descendants ancient west slavic lechites tribes inhabited polish territories late antiquity period polands recorded history dates thousand years c ad western polans influential tribe greater poland region united lechitic clans piast dynasty creating polish state subsequent christianization poland catholic church ce marked polands advent community western christendom existence polish state followed tolerant policy minorities resulting numerous ethnic religious identities poles polish jews,6.65,"ethnic,poles,considered,descendants,ancient,west,slavic,lechites,tribes,inhabited,polish,territories,late,antiquity,period,polands,recorded,history,dates,thousand,years,c,ad,western,polans,influential,tribe,greater,poland,region,united,lechitic,clans,piast,dynasty,creating,polish,state,subsequent,christianization,poland,catholic,church,ce,marked,polands,advent,community,western,christendom,existence,polish,state,followed,tolerant,policy,minorities,resulting,numerous,ethnic,religious,identities,poles,polish,jews",0.00,polish
"the polish endonym polacy is derived from the western polans a lechitic tribe which inhabited lands around the river warta in greater poland region from the mid th century onward the tribes name stems from the proto indo european pleh  which means flat or flatland and corresponds to the topography of a region that the western polans initially settled the prefix pol  is used in most world languages when referring to poles 
",polish endonym polacy derived western polans lechitic tribe inhabited lands river warta greater poland region mid th century onward tribes stems proto indo european pleh means flat flatland corresponds topography region western polans initially settled prefix pol world languages referring poles,7.28,"polish,endonym,polacy,derived,western,polans,lechitic,tribe,inhabited,lands,river,warta,greater,poland,region,mid,th,century,onward,tribes,stems,proto,indo,european,pleh,means,flat,flatland,corresponds,topography,region,western,polans,initially,settled,prefix,pol,world,languages,referring,poles",0.00,polish
"among other foreign exonyms for the polish people are lithuanian lenkai hungarian lengyelek turkish leh armenian  lehastan and persian   these stem from lechia the ancient name for poland or from the tribal lendians their names are equally derived from the old polish term lda meaning plain or field
",foreign exonyms polish people lithuanian lenkai hungarian lengyelek turkish leh armenian lehastan persian stem lechia ancient poland tribal lendians names equally derived old polish term lda meaning plain field,6.33,"foreign,exonyms,polish,people,lithuanian,lenkai,hungarian,lengyelek,turkish,leh,armenian,lehastan,persian,stem,lechia,ancient,poland,tribal,lendians,names,equally,derived,old,polish,term,lda,meaning,plain,field",0.00,polish
"slavs have been in the territory of modern day poland for over  years during the migration period central europe was becoming increasingly settled by the early slavs  they organized into tribal units of which the larger ones further west were later known as the polish tribes  the names of many tribes are found on the list compiled by the anonymous bavarian geographer in the th century in the th and th centuries the tribes gave rise to developed regions along the upper vistula  the baltic sea coast and in greater poland the ultimate tribal undertaking  resulted in a lasting political structure and the creation of a polish state
",slavs territory modern day poland years migration period central europe increasingly settled early slavs organized tribal units larger ones west later known polish tribes names tribes found list compiled anonymous bavarian geographer th century th th centuries tribes gave rise developed regions upper vistula baltic sea coast greater poland ultimate tribal undertaking resulted lasting political structure creation polish state,7.72,"slavs,territory,modern,day,poland,years,migration,period,central,europe,increasingly,settled,early,slavs,organized,tribal,units,larger,ones,west,later,known,polish,tribes,names,tribes,found,list,compiled,anonymous,bavarian,geographer,th,century,th,th,centuries,tribes,gave,rise,developed,regions,upper,vistula,baltic,sea,coast,greater,poland,ultimate,tribal,undertaking,resulted,lasting,political,structure,creation,polish,state",0.00,polish
"polish is the native language of most poles it is a west slavic language of the lechitic group and the sole official language in the republic of poland its written form uses the polish alphabet which is the basic latin alphabet with the addition of six diacritic marks totalling  letters bearing relation to czech and slovak it has been profoundly influenced by latin german and other languages over the course of history poland is linguistically homogeneous  nearly  of polands citizens declare polish as their mother tongue
",polish native language poles west slavic language lechitic group sole official language republic poland written form uses polish alphabet basic latin alphabet addition diacritic marks totalling letters bearing relation czech slovak profoundly influenced latin german languages course history poland linguistically homogeneous nearly polands citizens declare polish mother tongue,7.22,"polish,native,language,poles,west,slavic,language,lechitic,group,sole,official,language,republic,poland,written,form,uses,polish,alphabet,basic,latin,alphabet,addition,diacritic,marks,totalling,letters,bearing,relation,czech,slovak,profoundly,influenced,latin,german,languages,course,history,poland,linguistically,homogeneous,nearly,polands,citizens,declare,polish,mother,tongue",0.00,polish
"polish speakers use the language in a uniform manner throughout most of poland though numerous dialects and a vernacular language in certain regions coexist alongside standard polish the most common lects in poland are silesian spoken in upper silesia and kashubian widely spoken in historic eastern pomerania  today in the northwestern part of poland kashubian possesses its own status as a separate language the goral people in the mountainous south use their own nonstandard dialect accenting and different intonation
",polish speakers use language uniform manner poland numerous dialects vernacular language certain regions coexist alongside standard polish common lects poland silesian spoken upper silesia kashubian widely spoken historic eastern pomerania today northwestern poland kashubian possesses status separate language goral people mountainous south use nonstandard dialect accenting different intonation,5.95,"polish,speakers,use,language,uniform,manner,poland,numerous,dialects,vernacular,language,certain,regions,coexist,alongside,standard,polish,common,lects,poland,silesian,spoken,upper,silesia,kashubian,widely,spoken,historic,eastern,pomerania,today,northwestern,poland,kashubian,possesses,status,separate,language,goral,people,mountainous,south,use,nonstandard,dialect,accenting,different,intonation",0.00,polish
"the geographical distribution of the polish language was greatly affected by the border changes and population transfers that followed the second world war  forced expulsions and resettlement during that period contributed to the countrys current linguistic homogeneity
",geographical distribution polish language greatly affected border changes population transfers followed second world war forced expulsions resettlement period contributed countrys current linguistic homogeneity,5.19,"geographical,distribution,polish,language,greatly,affected,border,changes,population,transfers,followed,second,world,war,forced,expulsions,resettlement,period,contributed,countrys,current,linguistic,homogeneity",0.00,polish
"personal achievement and education plays an important role in polish society today in  the programme for international student assessment ranked poland th in the world for mathematics science and reading education has been of prime interest to poland since the early th century particularly for its noble classes in  king casimir the great founded the krakw academy which would become jagiellonian university the second oldest institution of higher learning in central europe people of polish birth have made considerable contributions in the fields of science technology and mathematics both in poland and abroad among them vitello nicolaus copernicus daniel gabriel fahrenheit  marie curie rudolf weigl bronisaw malinowski stefan banach stanisaw ulam leonid hurwicz benoit mandelbrot  and alfred tarski copernicus and marie skodowska curie left a particularly enduring scientific legacy
",personal achievement education plays important role polish society today programme international student assessment ranked poland th world mathematics science reading education prime interest poland early th century particularly noble classes king casimir great founded krakw academy jagiellonian university second oldest institution higher learning central europe people polish birth considerable contributions fields science technology mathematics poland abroad vitello nicolaus copernicus daniel gabriel fahrenheit marie curie rudolf weigl bronisaw malinowski stefan banach stanisaw ulam leonid hurwicz benoit mandelbrot alfred tarski copernicus marie skodowska curie left particularly enduring scientific legacy,4.72,"personal,achievement,education,plays,important,role,polish,society,today,programme,international,student,assessment,ranked,poland,th,world,mathematics,science,reading,education,prime,interest,poland,early,th,century,particularly,noble,classes,king,casimir,great,founded,krakw,academy,jagiellonian,university,second,oldest,institution,higher,learning,central,europe,people,polish,birth,considerable,contributions,fields,science,technology,mathematics,poland,abroad,vitello,nicolaus,copernicus,daniel,gabriel,fahrenheit,marie,curie,rudolf,weigl,bronisaw,malinowski,stefan,banach,stanisaw,ulam,leonid,hurwicz,benoit,mandelbrot,alfred,tarski,copernicus,marie,skodowska,curie,left,particularly,enduring,scientific,legacy",0.00,polish
