Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"portugal  officially the portuguese republic note  is a country located on the iberian peninsula in southwestern europe and whose territory also includes the atlantic archipelagos of the azores and madeira it features the westernmost point in continental europe and its iberian portion is bordered to the west and south by the atlantic ocean and to the north and east by spain the sole country to have a land border with portugal its two archipelagos form two autonomous regions with their own regional governments lisbon is the capital and largest city by population
",portugal officially portuguese republic note country located iberian peninsula southwestern europe territory includes atlantic archipelagos azores madeira features westernmost point continental europe iberian portion bordered west south atlantic ocean north east spain sole country land border portugal archipelagos form autonomous regions regional governments lisbon capital largest city population,7.75,"portugal,officially,portuguese,republic,note,country,located,iberian,peninsula,southwestern,europe,territory,includes,atlantic,archipelagos,azores,madeira,features,westernmost,point,continental,europe,iberian,portion,bordered,west,south,atlantic,ocean,north,east,spain,sole,country,land,border,portugal,archipelagos,form,autonomous,regions,regional,governments,lisbon,capital,largest,city,population",0.00,portugal
"one of the oldest countries in europe its territory has been continuously settled invaded and fought over since prehistoric times the territory was first inhabited by pre roman and celtic peoples  these peoples had commercial and some cultural contact with phoenicians ancient greeks and carthaginians it was later ruled by the romans followed by the invasions of germanic peoples  together with the alans and later the moors who were eventually expelled during the reconquista founded first as a county within the kingdom of len in  the country officially gained its independence as the kingdom of portugal with the treaty of zamora in 
",oldest countries europe territory continuously settled invaded fought prehistoric times territory inhabited pre roman celtic peoples peoples commercial cultural contact phoenicians ancient greeks carthaginians later ruled romans followed invasions germanic peoples alans later moors eventually expelled reconquista founded county kingdom len country officially gained independence kingdom portugal treaty zamora,8.31,"oldest,countries,europe,territory,continuously,settled,invaded,fought,prehistoric,times,territory,inhabited,pre,roman,celtic,peoples,peoples,commercial,cultural,contact,phoenicians,ancient,greeks,carthaginians,later,ruled,romans,followed,invasions,germanic,peoples,alans,later,moors,eventually,expelled,reconquista,founded,county,kingdom,len,country,officially,gained,independence,kingdom,portugal,treaty,zamora",0.00,portugal
"in the th and th centuries portugal established one of the longest lived maritime and commercial empires becoming one of the main economic and political powers of the time at the end of the th century however portugal suffered a war for the crown succession which led to the incorporation of the country into the spanish monarchy during the iberian union
",th th centuries portugal established longest lived maritime commercial empires main economic political powers time end th century portugal suffered war crown succession led incorporation country spanish monarchy iberian union,8.73,"th,th,centuries,portugal,established,longest,lived,maritime,commercial,empires,main,economic,political,powers,time,end,th,century,portugal,suffered,war,crown,succession,led,incorporation,country,spanish,monarchy,iberian,union",0.00,portugal
"portugal has left a profound cultural architectural and linguistic influence across the globe with a legacy of around  million portuguese speakers around the world it is a developed country with an advanced economy which holds the th largest gold reserve at its national central bank representing the highest percentage share held in gold of total foreign reserves by any nation the th largest proven reserves of lithium with the weight of exports representing  of its gdp in  and high living standards additionally it ranks highly in peacefulness democracy press freedom stability social progress prosperity and english proficiency a member of the united nations the european union the schengen area and the council of europe  portugal was also one of the founding members of nato the eurozone the oecd and the community of portuguese language countries
",portugal left profound cultural architectural linguistic influence globe legacy million portuguese speakers world developed country advanced economy holds th largest gold reserve national central bank representing highest percentage share held gold total foreign reserves nation th largest proven reserves lithium weight exports representing gdp high living standards additionally ranks highly peacefulness democracy press freedom stability social progress prosperity english proficiency member united nations european union schengen area council europe portugal founding members nato eurozone oecd community portuguese language countries,6.55,"portugal,left,profound,cultural,architectural,linguistic,influence,globe,legacy,million,portuguese,speakers,world,developed,country,advanced,economy,holds,th,largest,gold,reserve,national,central,bank,representing,highest,percentage,share,held,gold,total,foreign,reserves,nation,th,largest,proven,reserves,lithium,weight,exports,representing,gdp,high,living,standards,additionally,ranks,highly,peacefulness,democracy,press,freedom,stability,social,progress,prosperity,english,proficiency,member,united,nations,european,union,schengen,area,council,europe,portugal,founding,members,nato,eurozone,oecd,community,portuguese,language,countries",0.00,portugal
"the word portugal derives from the combined roman celtic place name portus cale a settlement where present days conurbation of porto and vila nova de gaia  stand along the banks of river douro in the north of what is now portugal the name of porto stems from the latin word for port or harbour portus with the second element cales meaning and precise origin being less clear the mainstream explanation points to an ethnonym derived from the callaeci also known as gallaeci peoples who occupied the north west of the iberian peninsula the names cale and callaici are the origin of todays gaia and galicia
",word portugal derives combined roman celtic place portus cale settlement present days conurbation porto vila nova de gaia stand banks river douro north portugal porto stems latin word port harbour portus second element cales meaning precise origin clear mainstream explanation points ethnonym derived callaeci known gallaeci peoples occupied north west iberian peninsula names cale callaici origin todays gaia galicia,7.62,"word,portugal,derives,combined,roman,celtic,place,portus,cale,settlement,present,days,conurbation,porto,vila,nova,de,gaia,stand,banks,river,douro,north,portugal,porto,stems,latin,word,port,harbour,portus,second,element,cales,meaning,precise,origin,clear,mainstream,explanation,points,ethnonym,derived,callaeci,known,gallaeci,peoples,occupied,north,west,iberian,peninsula,names,cale,callaici,origin,todays,gaia,galicia",0.00,portugal
"a further explanation proposes gatelo as having been the origin of present day braga santiago de compostela and consequently the wider regions of northern portugal and galicia
a different theory has it that cala was the name of a celtic goddess  further still some french scholars believe the name may have come from portus gallus the port of the gauls or celts
",explanation proposes gatelo origin present day braga santiago de compostela consequently wider regions northern portugal galiciaa different theory cala celtic goddess french scholars believe come portus gallus port gauls celts,8.84,"explanation,proposes,gatelo,origin,present,day,braga,santiago,de,compostela,consequently,wider,regions,northern,portugal,galiciaa,different,theory,cala,celtic,goddess,french,scholars,believe,come,portus,gallus,port,gauls,celts",0.00,portugal
"around  because the romans took the iberian peninsula from the carthaginians during the second punic war in the process they conquered cale renaming it portus cale  and incorporating it in the province of gaellicia with its capital in bracara augusta  during the middle ages the region around portus cale became known by the suebi and visigoths as portucale the name portucale evolved into portugale during the th and th centuries and by the th century that term was used extensively to refer to the region between the rivers douro and minho by the th and th centuries portugale portugallia portvgallo or portvgalliae was already referred to as portugal
",romans took iberian peninsula carthaginians second punic war process conquered cale renaming portus cale incorporating province gaellicia capital bracara augusta middle ages region portus cale known suebi visigoths portucale portucale evolved portugale th th centuries th century term extensively refer region rivers douro minho th th centuries portugale portugallia portvgallo portvgalliae referred portugal,8.41,"romans,took,iberian,peninsula,carthaginians,second,punic,war,process,conquered,cale,renaming,portus,cale,incorporating,province,gaellicia,capital,bracara,augusta,middle,ages,region,portus,cale,known,suebi,visigoths,portucale,portucale,evolved,portugale,th,th,centuries,th,century,term,extensively,refer,region,rivers,douro,minho,th,th,centuries,portugale,portugallia,portvgallo,portvgalliae,referred,portugal",0.00,portugal
"the early history of portugal is shared with the rest of the iberian peninsula located in south western europe the name of portugal derives from the joined romano celtic name portus cale the region was settled by pre celts and celts giving origin to peoples like the gallaeci lusitanians celtici and cynetes  visited by phoenicians carthaginians and ancient greeks was incorporated in the roman republic dominions as lusitania and part of gallaecia after  because until  ad
",early history portugal shared rest iberian peninsula located south western europe portugal derives joined romano celtic portus cale region settled pre celts celts giving origin peoples like gallaeci lusitanians celtici cynetes visited phoenicians carthaginians ancient greeks incorporated roman republic dominions lusitania gallaecia ad,6.96,"early,history,portugal,shared,rest,iberian,peninsula,located,south,western,europe,portugal,derives,joined,romano,celtic,portus,cale,region,settled,pre,celts,celts,giving,origin,peoples,like,gallaeci,lusitanians,celtici,cynetes,visited,phoenicians,carthaginians,ancient,greeks,incorporated,roman,republic,dominions,lusitania,gallaecia,ad",0.00,portugal
"the region of present day portugal was inhabited by neanderthals and then by homo sapiens who roamed the border less region of the northern iberian peninsula these were subsistence societies and although they did not establish prosperous settlements they did form organized societies neolithic portugal experimented with domestication of herding animals the raising of some cereal crops and fluvial or marine fishing
",region present day portugal inhabited neanderthals homo sapiens roamed border region northern iberian peninsula subsistence societies establish prosperous settlements form organized societies neolithic portugal experimented domestication herding animals raising cereal crops fluvial marine fishing,6.71,"region,present,day,portugal,inhabited,neanderthals,homo,sapiens,roamed,border,region,northern,iberian,peninsula,subsistence,societies,establish,prosperous,settlements,form,organized,societies,neolithic,portugal,experimented,domestication,herding,animals,raising,cereal,crops,fluvial,marine,fishing",0.00,portugal
"it is believed by some scholars that early in the first millennium because several waves of celts invaded portugal from central europe and inter married with the local populations forming different tribes another theory suggests that celts inhabited western iberia  portugal well before any large celtic migrations from central europe in addition a number of linguists expert in ancient celtic have presented compelling evidence that the tartessian language once spoken in parts of sw spain and sw portugal is at least proto celtic in structure
",believed scholars early millennium waves celts invaded portugal central europe inter married local populations forming different tribes theory suggests celts inhabited western iberia portugal large celtic migrations central europe addition number linguists expert ancient celtic presented compelling evidence tartessian language spoken parts sw spain sw portugal proto celtic structure,6.61,"believed,scholars,early,millennium,waves,celts,invaded,portugal,central,europe,inter,married,local,populations,forming,different,tribes,theory,suggests,celts,inhabited,western,iberia,portugal,large,celtic,migrations,central,europe,addition,number,linguists,expert,ancient,celtic,presented,compelling,evidence,tartessian,language,spoken,parts,sw,spain,sw,portugal,proto,celtic,structure",0.00,portugal
