Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"portuguese  is a western romance language of the indo european language family originating in the iberian peninsula of europe it is an official language of portugal brazil cape verde angola mozambique guinea bissau and so tom and prncipe while having co official language status in east timor equatorial guinea and macau a portuguese speaking person or nation is referred to as lusophone  as the result of expansion during colonial times a cultural presence of portuguese speakers is also found around the world portuguese is part of the ibero romance group that evolved from several dialects of vulgar latin in the medieval kingdom of galicia and the county of portugal and has kept some celtic phonology in its lexicon
",portuguese western romance language indo european language family originating iberian peninsula europe official language portugal brazil cape verde angola mozambique guinea bissau tom prncipe co official language status east timor equatorial guinea macau portuguese speaking person nation referred lusophone result expansion colonial times cultural presence portuguese speakers found world portuguese ibero romance group evolved dialects vulgar latin medieval kingdom galicia county portugal kept celtic phonology lexicon,7.21,"portuguese,western,romance,language,indo,european,language,family,originating,iberian,peninsula,europe,official,language,portugal,brazil,cape,verde,angola,mozambique,guinea,bissau,tom,prncipe,co,official,language,status,east,timor,equatorial,guinea,macau,portuguese,speaking,person,nation,referred,lusophone,result,expansion,colonial,times,cultural,presence,portuguese,speakers,found,world,portuguese,ibero,romance,group,evolved,dialects,vulgar,latin,medieval,kingdom,galicia,county,portugal,kept,celtic,phonology,lexicon",0.00,portugal
"when the romans arrived in the iberian peninsula in  because they brought with them the latin language from which all romance languages are descended the language was spread by roman soldiers settlers and merchants who built roman cities mostly near the settlements of previous celtic civilizations established long before the roman arrivals for that reason the language has kept a relevant substratum of much older atlantic european megalithic culture and celtic culture part of the hispano celtic group of ancient languages in latin the portuguese language is known as lusitana or  lusitanica after the lusitanians a celtic tribe that lived in the territory of present day portugal and spain that adopted the latin language as roman settlers moved in this is also the origin of the luso  prefix seen in terms like lusophone
",romans arrived iberian peninsula brought latin language romance languages descended language spread roman soldiers settlers merchants built roman cities near settlements previous celtic civilizations established long roman arrivals reason language kept relevant substratum older atlantic european megalithic culture celtic culture hispano celtic group ancient languages latin portuguese language known lusitana lusitanica lusitanians celtic tribe lived territory present day portugal spain adopted latin language roman settlers moved origin luso prefix seen terms like lusophone,7.26,"romans,arrived,iberian,peninsula,brought,latin,language,romance,languages,descended,language,spread,roman,soldiers,settlers,merchants,built,roman,cities,near,settlements,previous,celtic,civilizations,established,long,roman,arrivals,reason,language,kept,relevant,substratum,older,atlantic,european,megalithic,culture,celtic,culture,hispano,celtic,group,ancient,languages,latin,portuguese,language,known,lusitana,lusitanica,lusitanians,celtic,tribe,lived,territory,present,day,portugal,spain,adopted,latin,language,roman,settlers,moved,origin,luso,prefix,seen,terms,like,lusophone",0.00,portugal
"
portuguese evolved from the medieval language known today by linguists as galician portuguese old portuguese or old galician of the northwestern medieval kingdom of galicia of which the county of portugal was part ",portuguese evolved medieval language known today linguists galician portuguese old portuguese old galician northwestern medieval kingdom galicia county portugal,6.51,"portuguese,evolved,medieval,language,known,today,linguists,galician,portuguese,old,portuguese,old,galician,northwestern,medieval,kingdom,galicia,county,portugal",0.00,portugal
"it is in latin administrative documents of the th century that written galician portuguese words and phrases are first recorded this phase is known as proto portuguese which lasted from the th century until the th century independence of the county of portugal from the kingdom of len which had by then assumed reign over galicia
",latin administrative documents th century written galician portuguese words phrases recorded phase known proto portuguese lasted th century th century independence county portugal kingdom len assumed reign galicia,8.48,"latin,administrative,documents,th,century,written,galician,portuguese,words,phrases,recorded,phase,known,proto,portuguese,lasted,th,century,th,century,independence,county,portugal,kingdom,len,assumed,reign,galicia",0.00,portugal
"in the first part of the galician portuguese period  the language was increasingly used for documents and other written forms for some time it was the language of preference for lyric poetry in christian hispania much as occitan was the language of the poetry of the troubadours in france the occitan digraphs lh and nh used in its classical orthography were adopted by the orthography of portuguese presumably by gerald of braga a monk from moissac who became bishop of braga in portugal in  playing a major role in modernizing written portuguese using classical occitan norms portugal became an independent kingdom in  under king afonso i of portugal in  king denis of portugal created the first portuguese university in lisbon  and decreed for portuguese then simply called the common language to be known as the portuguese language and used officially
",galician portuguese period language increasingly documents written forms time language preference lyric poetry christian hispania occitan language poetry troubadours france occitan digraphs lh nh classical orthography adopted orthography portuguese presumably gerald braga monk moissac bishop braga portugal playing major role modernizing written portuguese classical occitan norms portugal independent kingdom king afonso portugal king denis portugal created portuguese university lisbon decreed portuguese simply called common language known portuguese language officially,8.29,"galician,portuguese,period,language,increasingly,documents,written,forms,time,language,preference,lyric,poetry,christian,hispania,occitan,language,poetry,troubadours,france,occitan,digraphs,lh,nh,classical,orthography,adopted,orthography,portuguese,presumably,gerald,braga,monk,moissac,bishop,braga,portugal,playing,major,role,modernizing,written,portuguese,classical,occitan,norms,portugal,independent,kingdom,king,afonso,portugal,king,denis,portugal,created,portuguese,university,lisbon,decreed,portuguese,simply,called,common,language,known,portuguese,language,officially",0.00,portugal
"its spread was helped by mixed marriages between portuguese and local people and by its association with roman catholic missionary efforts which led to the formation of creole languages such as that called kristang in many parts of asia  the language continued to be popular in parts of asia until the th century some portuguese speaking christian communities in india sri lanka malaysia and indonesia preserved their language even after they were isolated from portugal
",spread helped mixed marriages portuguese local people association roman catholic missionary efforts led formation creole languages called kristang parts asia language continued popular parts asia th century portuguese speaking christian communities india sri lanka malaysia indonesia preserved language isolated portugal,7.43,"spread,helped,mixed,marriages,portuguese,local,people,association,roman,catholic,missionary,efforts,led,formation,creole,languages,called,kristang,parts,asia,language,continued,popular,parts,asia,th,century,portuguese,speaking,christian,communities,india,sri,lanka,malaysia,indonesia,preserved,language,isolated,portugal",0.00,portugal
"portuguese is the native language of the vast majority of the people in portugal brazil and so tom and prncipe  perhaps  of the population of urban angola speaks portuguese natively with approximately  fluent these rates are lower in the countryside just over   of the population of mozambique are native speakers of portuguese and  are fluent according to the  census portuguese is also spoken natively by  of the population in guinea bissau and a portuguese based creole is understood by all almost  of the east timorese are fluent in portugueseno data is available for cape verde but almost all the population is bilingual and the monolingual population speaks the portuguese based cape verdean creole  portuguese is mentioned in the constitution of south africa as one of the languages spoken by communities within the country for which the pan south african language board was charged with promoting and ensuring respect
",portuguese native language vast majority people portugal brazil tom prncipe population urban angola speaks portuguese natively approximately fluent rates lower countryside population mozambique native speakers portuguese fluent according census portuguese spoken natively population guinea bissau portuguese based creole understood east timorese fluent portugueseno data available cape verde population bilingual monolingual population speaks portuguese based cape verdean creole portuguese mentioned constitution south africa languages spoken communities country pan south african language board charged promoting ensuring respect,7.88,"portuguese,native,language,vast,majority,people,portugal,brazil,tom,prncipe,population,urban,angola,speaks,portuguese,natively,approximately,fluent,rates,lower,countryside,population,mozambique,native,speakers,portuguese,fluent,according,census,portuguese,spoken,natively,population,guinea,bissau,portuguese,based,creole,understood,east,timorese,fluent,portugueseno,data,available,cape,verde,population,bilingual,monolingual,population,speaks,portuguese,based,cape,verdean,creole,portuguese,mentioned,constitution,south,africa,languages,spoken,communities,country,pan,south,african,language,board,charged,promoting,ensuring,respect",0.00,portugal
"the community of portuguese language countries
 consists of the nine independent countries that have portuguese as an official language angola brazil cape verde east timor equatorial guinea guinea bissau mozambique portugal and so tom and prncipe
",community portuguese language countries consists independent countries portuguese official language angola brazil cape verde east timor equatorial guinea guinea bissau mozambique portugal tom prncipe,4.86,"community,portuguese,language,countries,consists,independent,countries,portuguese,official,language,angola,brazil,cape,verde,east,timor,equatorial,guinea,guinea,bissau,mozambique,portugal,tom,prncipe",0.00,portugal
"the combined population of the entire lusophone area was estimated at  million in january  this number does not include the lusophone diaspora estimated at  million people including  million portuguese  million brazilians although it is hard to obtain official accurate numbers of diasporic portuguese speakers because a significant portion of these citizens are naturalized citizens born outside of lusophone territory or are children of immigrants and may have only a basic command of the language additionally a large part of the diaspora is a part of the already counted population of the portuguese speaking countries and territories such as the high number of brazilian and palop emigrant citizens in portugal or the high number of portuguese emigrant citizens in the palop and brazil
",combined population entire lusophone area estimated million january number include lusophone diaspora estimated million people including million portuguese million brazilians hard obtain official accurate numbers diasporic portuguese speakers significant portion citizens naturalized citizens born outside lusophone territory children immigrants basic command language additionally large diaspora counted population portuguese speaking countries territories high number brazilian palop emigrant citizens portugal high number portuguese emigrant citizens palop brazil,7.21,"combined,population,entire,lusophone,area,estimated,million,january,number,include,lusophone,diaspora,estimated,million,people,including,million,portuguese,million,brazilians,hard,obtain,official,accurate,numbers,diasporic,portuguese,speakers,significant,portion,citizens,naturalized,citizens,born,outside,lusophone,territory,children,immigrants,basic,command,language,additionally,large,diaspora,counted,population,portuguese,speaking,countries,territories,high,number,brazilian,palop,emigrant,citizens,portugal,high,number,portuguese,emigrant,citizens,palop,brazil",0.00,portugal
"according to estimates by unesco portuguese is the fastest growing european language after english and the language has according to the newspaper the portugal news publishing data given from unesco the highest potential for growth as an international language in southern africa and south america portuguese is a globalized language spoken officially on five continents and as a second language by millions worldwide
",according estimates unesco portuguese fastest growing european language english language according newspaper portugal news publishing data given unesco highest potential growth international language southern africa south america portuguese globalized language spoken officially continents second language millions worldwide,6.22,"according,estimates,unesco,portuguese,fastest,growing,european,language,english,language,according,newspaper,portugal,news,publishing,data,given,unesco,highest,potential,growth,international,language,southern,africa,south,america,portuguese,globalized,language,spoken,officially,continents,second,language,millions,worldwide",0.00,portugal
