Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"canada has ten provinces and three territories that are sub national administrative divisions under the jurisdiction of the canadian constitution in the  canadian confederation three provinces of british north americanew brunswick nova scotia and the province of canada united to form a federation becoming a fully independent country over the next century over its history canadas international borders have changed several times as it has added territories and provinces making it the worlds second largest country by area
",canada provinces territories sub national administrative divisions jurisdiction canadian constitution canadian confederation provinces british north americanew brunswick nova scotia province canada united form federation fully independent country century history canadas international borders changed times added territories provinces making worlds second largest country area,6.67,"canada,provinces,territories,sub,national,administrative,divisions,jurisdiction,canadian,constitution,canadian,confederation,provinces,british,north,americanew,brunswick,nova,scotia,province,canada,united,form,federation,fully,independent,country,century,history,canadas,international,borders,changed,times,added,territories,provinces,making,worlds,second,largest,country,area",0.00,canada
"the major difference between a canadian province and a territory is that provinces receive their power and authority from the constitution act   whereas territorial governments are creatures of statute with powers delegated to them by the parliament of canada the powers flowing from the constitution act are divided between the government of canada  and the provincial governments to exercise exclusively a change to the division of powers between the federal government and the provinces requires a constitutional amendment whereas a similar change affecting the territories can be performed unilaterally by the parliament of canada or government
",major difference canadian province territory provinces receive power authority constitution act territorial governments creatures statute powers delegated parliament canada powers flowing constitution act divided government canada provincial governments exercise exclusively change division powers federal government provinces requires constitutional amendment similar change affecting territories performed unilaterally parliament canada government,7.40,"major,difference,canadian,province,territory,provinces,receive,power,authority,constitution,act,territorial,governments,creatures,statute,powers,delegated,parliament,canada,powers,flowing,constitution,act,divided,government,canada,provincial,governments,exercise,exclusively,change,division,powers,federal,government,provinces,requires,constitutional,amendment,similar,change,affecting,territories,performed,unilaterally,parliament,canada,government",0.00,canada
"there are three territories in canada unlike the provinces the territories of canada have no inherent sovereignty and have only those powers delegated to them by the federal government they include all of mainland canada north of latitude  north and west of hudson bay and all islands north of the canadian mainland  the following table lists the territories in order of precedenceclarification needed 
",territories canada unlike provinces territories canada inherent sovereignty powers delegated federal government include mainland canada north latitude north west hudson bay islands north canadian mainland following table lists territories order precedenceclarification needed,7.69,"territories,canada,unlike,provinces,territories,canada,inherent,sovereignty,powers,delegated,federal,government,include,mainland,canada,north,latitude,north,west,hudson,bay,islands,north,canadian,mainland,following,table,lists,territories,order,precedenceclarification,needed",0.00,canada
"generally canadian provinces have steadily grown in population along with canada however some provinces such as saskatchewan prince edward island and newfoundland and labrador have experienced long periods of stagnation or population decline ontario and quebec have always been the two biggest provinces in canada with together over  of the population at any given time the population of the west relative to canada as a whole has steadily grown over time while that of atlantic canada has declined
",generally canadian provinces steadily grown population canada provinces saskatchewan prince edward island newfoundland labrador experienced long periods stagnation population decline ontario quebec biggest provinces canada population given time population west relative canada steadily grown time atlantic canada declined,8.02,"generally,canadian,provinces,steadily,grown,population,canada,provinces,saskatchewan,prince,edward,island,newfoundland,labrador,experienced,long,periods,stagnation,population,decline,ontario,quebec,biggest,provinces,canada,population,given,time,population,west,relative,canada,steadily,grown,time,atlantic,canada,declined",0.00,canada
"ontario quebec new brunswick and nova scotia were the original provinces formed when several british north american colonies federated on july   into the dominion of canada and by stages began accruing the indicia of sovereignty from the united kingdom prior to this ontario and quebec were united as the province of canada over the following years manitoba  british columbia  and prince edward island  were added as provinces
",ontario quebec new brunswick nova scotia original provinces formed british north american colonies federated july dominion canada stages began accruing indicia sovereignty united kingdom prior ontario quebec united province canada following years manitoba british columbia prince edward island added provinces,6.32,"ontario,quebec,new,brunswick,nova,scotia,original,provinces,formed,british,north,american,colonies,federated,july,dominion,canada,stages,began,accruing,indicia,sovereignty,united,kingdom,prior,ontario,quebec,united,province,canada,following,years,manitoba,british,columbia,prince,edward,island,added,provinces",0.00,canada
"the british crown had claimed two large areas north west of the canadian colony known as ruperts land and the north western territory and assigned them to the hudsons bay company in  the company relinquished its claims for   assigning the vast territory to the government of canada subsequently the area was re organized into the province of manitoba and the north west territories the north west territories encompassed all of current northern and western canada except for the british holdings in the arctic islands and the colony of british columbia nwt included the northern two thirds of ontario and quebec after the province of manitoba was established in  in a small area in the south of todays province almost all of present day manitoba was still contained in the nwt 
",british crown claimed large areas north west canadian colony known ruperts land north western territory assigned hudsons bay company company relinquished claims assigning vast territory government canada subsequently area organized province manitoba north west territories north west territories encompassed current northern western canada british holdings arctic islands colony british columbia nwt included northern thirds ontario quebec province manitoba established small area south todays province present day manitoba contained nwt,7.84,"british,crown,claimed,large,areas,north,west,canadian,colony,known,ruperts,land,north,western,territory,assigned,hudsons,bay,company,company,relinquished,claims,assigning,vast,territory,government,canada,subsequently,area,organized,province,manitoba,north,west,territories,north,west,territories,encompassed,current,northern,western,canada,british,holdings,arctic,islands,colony,british,columbia,nwt,included,northern,thirds,ontario,quebec,province,manitoba,established,small,area,south,todays,province,present,day,manitoba,contained,nwt",0.00,canada
"the british claims to the arctic islands were transferred to canada in  adding to the size of the north west territories in  the yukon territory later renamed yukon in  was carved from the area surrounding the klondike gold fields on september   a portion of the north west territories south of the th parallel north became the provinces of alberta and saskatchewan in  the boundaries of quebec ontario and manitoba were expanded northward manitobas to the  parallel ontarios to hudson bay and quebecs to encompass the district of ungava
",british claims arctic islands transferred canada adding size north west territories yukon territory later renamed yukon carved area surrounding klondike gold fields september portion north west territories south th parallel north provinces alberta saskatchewan boundaries quebec ontario manitoba expanded northward manitobas parallel ontarios hudson bay quebecs encompass district ungava,7.25,"british,claims,arctic,islands,transferred,canada,adding,size,north,west,territories,yukon,territory,later,renamed,yukon,carved,area,surrounding,klondike,gold,fields,september,portion,north,west,territories,south,th,parallel,north,provinces,alberta,saskatchewan,boundaries,quebec,ontario,manitoba,expanded,northward,manitobas,parallel,ontarios,hudson,bay,quebecs,encompass,district,ungava",0.00,canada
"in  the people of newfoundland voted to remain a british colony over fears that taxes would increase with confederation and that the economic policy of the canadian government would favour mainland industries in  newfoundland acquired dominion status in the middle of the great depression in canada newfoundland underwent a prolonged economic crisis and the legislature turned over political control to the newfoundland commission of government in  following canadas participation in world war ii in a  referendum a narrow majority of newfoundland citizens voted to join the confederation and on march   newfoundland became canadas tenth province the province was officially renamed newfoundland and labrador in 
",people newfoundland voted remain british colony fears taxes increase confederation economic policy canadian government favour mainland industries newfoundland acquired dominion status middle great depression canada newfoundland underwent prolonged economic crisis legislature turned political control newfoundland commission government following canadas participation world war ii referendum narrow majority newfoundland citizens voted join confederation march newfoundland canadas tenth province province officially renamed newfoundland labrador,6.03,"people,newfoundland,voted,remain,british,colony,fears,taxes,increase,confederation,economic,policy,canadian,government,favour,mainland,industries,newfoundland,acquired,dominion,status,middle,great,depression,canada,newfoundland,underwent,prolonged,economic,crisis,legislature,turned,political,control,newfoundland,commission,government,following,canadas,participation,world,war,ii,referendum,narrow,majority,newfoundland,citizens,voted,join,confederation,march,newfoundland,canadas,tenth,province,province,officially,renamed,newfoundland,labrador",0.00,canada
"bermuda the last british north american colony which had been somewhat subordinated to nova scotia was one of two imperial fortress colonies in british north america   the other being nova scotia and more particularly the city of halifax halifax and bermuda were the sites of the royal navys north america station  main bases dockyards and admiralty houses and the squadron of the station was based at royal naval dockyard halifax during the summers and royal naval dockyard bermuda in the winters until the s when bermuda  became the main base year round a large british army garrison in bermuda which fell under the commander in chief in nova scotia existed to defend the colony as a naval base  as well as to support amphibious operations throughout the region  bermuda was consequently the most important british naval and military base in the americas canadian confederation resulted in the canadian militia becoming responsible for the defence of the maritimes the abolishment of the british armys commander in chief there and the reduction of british military forces in the maritimes to a small garrison for the protection of the halifax dockyard which would be withdrawn when that dockyard was handed over to the dominion government in  for use by the new canadian naval service britain retained control of bermuda as an imperial fortress with the governor and commander in chief of bermuda  becoming a lieutenant general termed a general officer commanding and the bermuda garrison becoming a command in its own right bermuda was consequently left out of the confederation of canada though it retained naval links with halifax and the state church  the church of england continued to place bermuda under the bishop of newfoundland until  
",bermuda british north american colony somewhat subordinated nova scotia imperial fortress colonies british north america nova scotia particularly city halifax halifax bermuda sites royal navys north america station main bases dockyards admiralty houses squadron station based royal naval dockyard halifax summers royal naval dockyard bermuda winters bermuda main base year round large british army garrison bermuda fell commander chief nova scotia existed defend colony naval base support amphibious operations region bermuda consequently important british naval military base americas canadian confederation resulted canadian militia responsible defence maritimes abolishment british armys commander chief reduction british military forces maritimes small garrison protection halifax dockyard withdrawn dockyard handed dominion government use new canadian naval service britain retained control bermuda imperial fortress governor commander chief bermuda lieutenant general termed general officer commanding bermuda garrison command right bermuda consequently left confederation canada retained naval links halifax state church church england continued place bermuda bishop newfoundland,7.72,"bermuda,british,north,american,colony,somewhat,subordinated,nova,scotia,imperial,fortress,colonies,british,north,america,nova,scotia,particularly,city,halifax,halifax,bermuda,sites,royal,navys,north,america,station,main,bases,dockyards,admiralty,houses,squadron,station,based,royal,naval,dockyard,halifax,summers,royal,naval,dockyard,bermuda,winters,bermuda,main,base,year,round,large,british,army,garrison,bermuda,fell,commander,chief,nova,scotia,existed,defend,colony,naval,base,support,amphibious,operations,region,bermuda,consequently,important,british,naval,military,base,americas,canadian,confederation,resulted,canadian,militia,responsible,defence,maritimes,abolishment,british,armys,commander,chief,reduction,british,military,forces,maritimes,small,garrison,protection,halifax,dockyard,withdrawn,dockyard,handed,dominion,government,use,new,canadian,naval,service,britain,retained,control,bermuda,imperial,fortress,governor,commander,chief,bermuda,lieutenant,general,termed,general,officer,commanding,bermuda,garrison,command,right,bermuda,consequently,left,confederation,canada,retained,naval,links,halifax,state,church,church,england,continued,place,bermuda,bishop,newfoundland",0.00,canada
"in  resolution of the alaska panhandle dispute fixed british columbias northwestern boundary this was one of only two provinces in canadian history to have its size reduced the second reduction in  occurred when a boundary dispute between canada and the dominion of newfoundland saw labrador enlarged at quebecs expense this land returned to canada as part of the province of newfoundland in  in  nunavut was created from the eastern portion of the northwest territories yukon lies in the western portion of northern canada while nunavut is in the east
",resolution alaska panhandle dispute fixed british columbias northwestern boundary provinces canadian history size reduced second reduction occurred boundary dispute canada dominion newfoundland saw labrador enlarged quebecs expense land returned canada province newfoundland nunavut created eastern portion northwest territories yukon lies western portion northern canada nunavut east,7.78,"resolution,alaska,panhandle,dispute,fixed,british,columbias,northwestern,boundary,provinces,canadian,history,size,reduced,second,reduction,occurred,boundary,dispute,canada,dominion,newfoundland,saw,labrador,enlarged,quebecs,expense,land,returned,canada,province,newfoundland,nunavut,created,eastern,portion,northwest,territories,yukon,lies,western,portion,northern,canada,nunavut,east",0.00,canada
