Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"punjab  punjabi pndb is a state in northern india forming part of the larger punjab region of the indian subcontinent the state is bordered by the indian states of himachal pradesh to the north and northeast haryana to the south and southeast and rajasthan to the southwest by the indian union territories of chandigarh to the east and jammu and kashmir to the north it shares an international border with punjab a province of pakistan to the west the state covers an area of  square kilometres  which is  of indias total geographical area making it the th largest indian state by area out of  indian states  with over  million inhabitants punjab is the th largest indian state by population comprising  districts punjabi written in the gurmukhi script is the most widely spoken and the official language of the state the main ethnic groups are the punjabis with sikhs and hindus as the dominant religious groups the state capital is chandigarh a union territory and also the capital of the neighbouring state of haryana the five tributary rivers of the indus river from which the region takes its name are the sutlej the beas the ravi the chenab and the jhelum of these the first three flow through indian punjab
",punjab punjabipndb state northern india forming larger punjab region indian subcontinent state bordered indian states himachal pradesh north northeast haryana south southeast rajasthan southwest indian union territories chandigarh east jammu kashmir north shares international border punjab province pakistan west state covers area square kilometres indias total geographical area making th largest indian state area indian states million inhabitants punjab th largest indian state population comprising districts punjabi written gurmukhi script widely spoken official language state main ethnic groups punjabis sikhs hindus dominant religious groups state capital chandigarh union territory capital neighbouring state haryana tributary rivers indus river region takes sutlej beas ravi chenab jhelum flow indian punjab,8.32,"punjab,punjabipndb,state,northern,india,forming,larger,punjab,region,indian,subcontinent,state,bordered,indian,states,himachal,pradesh,north,northeast,haryana,south,southeast,rajasthan,southwest,indian,union,territories,chandigarh,east,jammu,kashmir,north,shares,international,border,punjab,province,pakistan,west,state,covers,area,square,kilometres,indias,total,geographical,area,making,th,largest,indian,state,area,indian,states,million,inhabitants,punjab,th,largest,indian,state,population,comprising,districts,punjabi,written,gurmukhi,script,widely,spoken,official,language,state,main,ethnic,groups,punjabis,sikhs,hindus,dominant,religious,groups,state,capital,chandigarh,union,territory,capital,neighbouring,state,haryana,tributary,rivers,indus,river,region,takes,sutlej,beas,ravi,chenab,jhelum,flow,indian,punjab",0.00,punjab
"the history of punjab has witnessed the migration and settlement of different tribes of people with different cultures and ideas forming a melting pot of punjabi civilisation the indus valley civilization flourished in antiquity before recorded history until their decline around  bce punjab was enriched during the height of the vedic period but declined in predominance with the rise of the mahajanapadas the region formed the frontier of initial empires during antiquity including the alexanders and maurya empires it was subsequently conquered by the kushan empire gupta empire and then harshas empire punjab continued to be settled by nomadic people including the huna turkic and the mongols circa  ce the punjab came under the rule of muslims and was part of the delhi sultanate mughal empire and durrani empire sikhism was founded in the th to th centuries by the sikh gurus in the punjab and resulted in the formation of the sikh confederacy after the fall of the mughal empire and ensuing conflict with the durrani empire this confederacy was united into the sikh empire in  by maharaja ranjit singh
",history punjab witnessed migration settlement different tribes people different cultures ideas forming melting pot punjabi civilisation indus valley civilization flourished antiquity recorded history decline bce punjab enriched height vedic period declined predominance rise mahajanapadas region formed frontier initial empires antiquity including alexanders maurya empires subsequently conquered kushan empire gupta empire harshas empire punjab continued settled nomadic people including huna turkic mongols circa ce punjab came rule muslims delhi sultanate mughal empire durrani empire sikhism founded th th centuries sikh gurus punjab resulted formation sikh confederacy fall mughal empire ensuing conflict durrani empire confederacy united sikh empire maharaja ranjit singh,7.39,"history,punjab,witnessed,migration,settlement,different,tribes,people,different,cultures,ideas,forming,melting,pot,punjabi,civilisation,indus,valley,civilization,flourished,antiquity,recorded,history,decline,bce,punjab,enriched,height,vedic,period,declined,predominance,rise,mahajanapadas,region,formed,frontier,initial,empires,antiquity,including,alexanders,maurya,empires,subsequently,conquered,kushan,empire,gupta,empire,harshas,empire,punjab,continued,settled,nomadic,people,including,huna,turkic,mongols,circa,ce,punjab,came,rule,muslims,delhi,sultanate,mughal,empire,durrani,empire,sikhism,founded,th,th,centuries,sikh,gurus,punjab,resulted,formation,sikh,confederacy,fall,mughal,empire,ensuing,conflict,durrani,empire,confederacy,united,sikh,empire,maharaja,ranjit,singh",0.00,punjab
"the greater punjab region was annexed by the british east india company from the sikh empire in  following widespread religious violence in  the punjab province of british india was divided along religious lines into west punjab and east punjab west punjab became part of a muslim majority pakistan while east punjab became part of a hindu majority india after the punjabi suba movement indian punjab was reorganised on the basis of language on  november  haryanvi and hindi speaking southern and eastern areas were carved out as haryana while pahari speaking northern hilly regions were attached to himachal pradesh the remaining mostly punjabi speaking areas became the current state of punjab a separatist insurgency occurred in punjab during the s at present the economy of punjab is the th largest state economy in india with  trillion  in gross domestic product and a per capita gdp of   ranking th amongst indian states since independence punjab is predominantly an agrarian society it is the ninth highest ranking among indian states in human development index punjab has bustling tourism music culinary and film industries
",greater punjab region annexed british east india company sikh empire following widespread religious violence punjab province british india divided religious lines west punjab east punjab west punjab muslim majority pakistan east punjab hindu majority india punjabi suba movement indian punjab reorganised basis language november haryanvi hindi speaking southern eastern areas carved haryana pahari speaking northern hilly regions attached himachal pradesh remaining punjabi speaking areas current state punjab separatist insurgency occurred punjab present economy punjab th largest state economy india trillion gross domestic product capita gdp ranking th indian states independence punjab predominantly agrarian society ninth highest ranking indian states human development index punjab bustling tourism music culinary film industries,6.27,"greater,punjab,region,annexed,british,east,india,company,sikh,empire,following,widespread,religious,violence,punjab,province,british,india,divided,religious,lines,west,punjab,east,punjab,west,punjab,muslim,majority,pakistan,east,punjab,hindu,majority,india,punjabi,suba,movement,indian,punjab,reorganised,basis,language,november,haryanvi,hindi,speaking,southern,eastern,areas,carved,haryana,pahari,speaking,northern,hilly,regions,attached,himachal,pradesh,remaining,punjabi,speaking,areas,current,state,punjab,separatist,insurgency,occurred,punjab,present,economy,punjab,th,largest,state,economy,india,trillion,gross,domestic,product,capita,gdp,ranking,th,indian,states,independence,punjab,predominantly,agrarian,society,ninth,highest,ranking,indian,states,human,development,index,punjab,bustling,tourism,music,culinary,film,industries",0.00,punjab
"the punjab region is noted as the site of one of the earliest urban societies the indus valley civilization that flourished from about  bc and declined rapidly  years later following the indo aryan migrations that overran the region in waves between  and  bc frequent intertribal wars stimulated the growth of larger groupings ruled by chieftains and kings who ruled local kingdoms known as mahajanapadas the rise of kingdoms and dynasties in the punjab is chronicled in the ancient hindu epics particularly the mahabharata the epic battles described in the mahabharata are chronicled as being fought in what is now the state of haryana and historic punjab the gandharas kambojas trigartas andhra pauravas bahlikas  yaudheyas and others sided with the kauravas in the great battle fought at kurukshetra according to dr fauja singh and dr l m joshi there is no doubt that the kambojas daradas kaikayas andhra pauravas yaudheyas malavas saindhavas and kurus had jointly contributed to the heroic tradition and composite culture of ancient punjab the bulk of the rigveda was composed in the punjab region between circa  and  because while later vedic scriptures were composed more eastwards between the yamuna and ganges rivers the historical vedic religion constituted the religious ideas and practices in the punjab during the vedic period  centred primarily in the worship of indrai
",punjab region noted site earliest urban societies indus valley civilization flourished bc declined rapidly years later following indo aryan migrations overran region waves bc frequent intertribal wars stimulated growth larger groupings ruled chieftains kings ruled local kingdoms known mahajanapadas rise kingdoms dynasties punjab chronicled ancient hindu epics particularly mahabharata epic battles described mahabharata chronicled fought state haryana historic punjab gandharas kambojas trigartas andhra pauravas bahlikas yaudheyas sided kauravas great battle fought kurukshetra according drfauja singh drlm joshi doubt kambojas daradas kaikayas andhra pauravas yaudheyas malavas saindhavas kurus jointly contributed heroic tradition composite culture ancient punjab bulk rigveda composed punjab region circa later vedic scriptures composed eastwards yamuna ganges rivers historical vedic religion constituted religious ideas practices punjab vedic period centred primarily worship indrai,6.80,"punjab,region,noted,site,earliest,urban,societies,indus,valley,civilization,flourished,bc,declined,rapidly,years,later,following,indo,aryan,migrations,overran,region,waves,bc,frequent,intertribal,wars,stimulated,growth,larger,groupings,ruled,chieftains,kings,ruled,local,kingdoms,known,mahajanapadas,rise,kingdoms,dynasties,punjab,chronicled,ancient,hindu,epics,particularly,mahabharata,epic,battles,described,mahabharata,chronicled,fought,state,haryana,historic,punjab,gandharas,kambojas,trigartas,andhra,pauravas,bahlikas,yaudheyas,sided,kauravas,great,battle,fought,kurukshetra,according,drfauja,singh,drlm,joshi,doubt,kambojas,daradas,kaikayas,andhra,pauravas,yaudheyas,malavas,saindhavas,kurus,jointly,contributed,heroic,tradition,composite,culture,ancient,punjab,bulk,rigveda,composed,punjab,region,circa,later,vedic,scriptures,composed,eastwards,yamuna,ganges,rivers,historical,vedic,religion,constituted,religious,ideas,practices,punjab,vedic,period,centred,primarily,worship,indrai",0.00,punjab
"after alexanders death in  bce perdiccas became the regent of his empire and after perdiccass murder in  bce antipater became the new regent according to diodorus antipater recognized poruss authority over the territories along the indus river however eudemus who had served as alexanders satrap in the punjab region treacherously killed porus the battle is historically significant because it resulted in the syncretism of ancient greek political and cultural influences to the indian subcontinent yielding works such as greco buddhist art which continued to have an impact for the ensuing centuries the region was then divided between the maurya empire and the greco bactrian kingdom in  bce menander i soter conquered punjab and made sagala  the capital of the indo greek kingdom menander is noted for having become a patron and convert to greco buddhism and he is widely regarded as the greatest of the indo greek kings greek influence in the region ended around  bce when the punjab fell under the sassanids
",alexanders death bce perdiccas regent empire perdiccass murder bce antipater new regent according diodorus antipater recognized poruss authority territories indus river eudemus served alexanders satrap punjab region treacherously killed porus battle historically significant resulted syncretism ancient greek political cultural influences indian subcontinent yielding works greco buddhist art continued impact ensuing centuries region divided maurya empire greco bactrian kingdom bce menander soter conquered punjab sagala capital indo greek kingdom menander noted patron convert greco buddhism widely regarded greatest indo greek kings greek influence region ended bce punjab fell sassanids,7.40,"alexanders,death,bce,perdiccas,regent,empire,perdiccass,murder,bce,antipater,new,regent,according,diodorus,antipater,recognized,poruss,authority,territories,indus,river,eudemus,served,alexanders,satrap,punjab,region,treacherously,killed,porus,battle,historically,significant,resulted,syncretism,ancient,greek,political,cultural,influences,indian,subcontinent,yielding,works,greco,buddhist,art,continued,impact,ensuing,centuries,region,divided,maurya,empire,greco,bactrian,kingdom,bce,menander,soter,conquered,punjab,sagala,capital,indo,greek,kingdom,menander,noted,patron,convert,greco,buddhism,widely,regarded,greatest,indo,greek,kings,greek,influence,region,ended,bce,punjab,fell,sassanids",0.00,punjab
"following the muslim conquests in the indian subcontinent at the beginning of the th century arab armies of the umayyad caliphate penetrated into south asia introducing islam into punjab in the ninth century the hindu shahi dynasty emerged in the punjab ruling much of punjab and eastern afghanistan the turkic ghaznavids in the tenth century overthrew the hindu shahis and consequently ruled for  years gradually declining as a power until the ghurid conquest of lahore by muhammad of ghor in  deposing the last ghaznavid ruler khusrau malik following the death of muhammad of ghor in  the ghurid state fragmented and was replaced in northern india by the delhi sultanate the delhi sultanate ruled the punjab for the next three hundred years led by five unrelated dynasties the mamluks khalajis tughlaqs sayyids and lodis a significant event in the late th century punjab was the formation of sikhism by guru nanakii the history of the sikh faith is closely associated with the history of punjab and the socio political situation in the north west of the indian subcontinent in the th century
",following muslim conquests indian subcontinent beginning th century arab armies umayyad caliphate penetrated south asia introducing islam punjab ninth century hindu shahi dynasty emerged punjab ruling punjab eastern afghanistan turkic ghaznavids tenth century overthrew hindu shahis consequently ruled years gradually declining power ghurid conquest lahore muhammad ghor deposing ghaznavid ruler khusrau malik following death muhammad ghor ghurid state fragmented replaced northern india delhi sultanate delhi sultanate ruled punjab years led unrelated dynasties mamluks khalajis tughlaqs sayyids lodis significant event late th century punjab formation sikhism guru nanakii history sikh faith closely associated history punjab socio political situation north west indian subcontinent th century,7.13,"following,muslim,conquests,indian,subcontinent,beginning,th,century,arab,armies,umayyad,caliphate,penetrated,south,asia,introducing,islam,punjab,ninth,century,hindu,shahi,dynasty,emerged,punjab,ruling,punjab,eastern,afghanistan,turkic,ghaznavids,tenth,century,overthrew,hindu,shahis,consequently,ruled,years,gradually,declining,power,ghurid,conquest,lahore,muhammad,ghor,deposing,ghaznavid,ruler,khusrau,malik,following,death,muhammad,ghor,ghurid,state,fragmented,replaced,northern,india,delhi,sultanate,delhi,sultanate,ruled,punjab,years,led,unrelated,dynasties,mamluks,khalajis,tughlaqs,sayyids,lodis,significant,event,late,th,century,punjab,formation,sikhism,guru,nanakii,history,sikh,faith,closely,associated,history,punjab,socio,political,situation,north,west,indian,subcontinent,th,century",0.00,punjab
"the mughals came to power in the early sixteenth century and gradually expanded to control all of the punjab from their capital at lahore as mughal power weakened afghan rulers took control of the region contested by marathas and afghans the region was the center of the growing influence of the sikhs who expanded and established the sikh empire in  as the mughals and afghans weakened the cis sutlej states were a group of states in modern punjab and haryana states lying between the sutlej river on the north the himalayas on the east the yamuna river and delhi district on the south and sirsa district on the west these states were ruled by the sikh misls the empire existed from  when ranjit singh captured lahore to  when it was defeated and conquered in the second anglo sikh war it was forged on the foundations of the khalsa from a collection of autonomous sikh misls at its peak in the th century the empire extended from the khyber pass in the west to western tibet in the east and from mithankot in the south to kashmir in the north it was divided into four provinces lahore in punjab which became the sikh capital multan also in punjab peshawar and kashmir from  to  religiously diverse with an estimated population of  million in   it was the last major region of the indian subcontinent to be annexed by the british empire the sikh empire spanned a total of over  sq mi  at its zenith
",mughals came power early sixteenth century gradually expanded control punjab capital lahore mughal power weakened afghan rulers took control region contested marathas afghans region center growing influence sikhs expanded established sikh empire mughals afghans weakened cis sutlej states group states modern punjab haryana states lying sutlej river north himalayas east yamuna river delhi district south sirsa district west states ruled sikh misls empire existed ranjit singh captured lahore defeated conquered second anglo sikh war forged foundations khalsa collection autonomous sikh misls peak th century empire extended khyber pass west western tibet east mithankot south kashmir north divided provinces lahore punjab sikh capital multan punjab peshawar kashmir religiously diverse estimated population million major region indian subcontinent annexed british empire sikh empire spanned total sqmi zenith,9.00,"mughals,came,power,early,sixteenth,century,gradually,expanded,control,punjab,capital,lahore,mughal,power,weakened,afghan,rulers,took,control,region,contested,marathas,afghans,region,center,growing,influence,sikhs,expanded,established,sikh,empire,mughals,afghans,weakened,cis,sutlej,states,group,states,modern,punjab,haryana,states,lying,sutlej,river,north,himalayas,east,yamuna,river,delhi,district,south,sirsa,district,west,states,ruled,sikh,misls,empire,existed,ranjit,singh,captured,lahore,defeated,conquered,second,anglo,sikh,war,forged,foundations,khalsa,collection,autonomous,sikh,misls,peak,th,century,empire,extended,khyber,pass,west,western,tibet,east,mithankot,south,kashmir,north,divided,provinces,lahore,punjab,sikh,capital,multan,punjab,peshawar,kashmir,religiously,diverse,estimated,population,million,major,region,indian,subcontinent,annexed,british,empire,sikh,empire,spanned,total,sqmi,zenith",0.00,punjab
"after ranjit singhs death in  the empire was severely weakened by internal divisions and political mismanagement this opportunity was used by the east india company to launch the first and second anglo sikh wars the country was finally annexed and dissolved at the end of the second anglo sikh war in  into separate princely states and the province of punjab eventually a lieutenant governorship was established in lahore as a direct representative of the crown  
",ranjit singhs death empire severely weakened internal divisions political mismanagement opportunity east india company launch second anglo sikh wars country finally annexed dissolved end second anglo sikh war separate princely states province punjab eventually lieutenant governorship established lahore direct representative crown,7.33,"ranjit,singhs,death,empire,severely,weakened,internal,divisions,political,mismanagement,opportunity,east,india,company,launch,second,anglo,sikh,wars,country,finally,annexed,dissolved,end,second,anglo,sikh,war,separate,princely,states,province,punjab,eventually,lieutenant,governorship,established,lahore,direct,representative,crown",0.00,punjab
"the punjab was annexed by the east india company in   although nominally part of the bengal presidency it was administratively independent during the indian rebellion of  apart from revolt led by ahmed khan kharal and murree rebellion of  the punjab remained relatively peaceful in  under the terms of the queens proclamation issued by queen victoria the punjab came under the direct rule of britain colonial rule had a profound impact on all areas of punjabi life economically it transformed the punjab into the richest farming area of india socially it sustained the power of large landowners and politically it encouraged cross communal co operation amongst land owning groups the punjab also became the major centre of recruitment into the indian army by patronising influential local allies and focusing administrative economic and constitutional policies on the rural population the british ensured the loyalty of its large rural population administratively colonial rule instated a system of bureaucracy and measure of the law the paternal system of the ruling elite was replaced by machine rule with a system of laws codes and procedures for purposes of control the british established new forms of communication and transportation including post systems railways roads and telegraphs the creation of canal colonies in western punjab between  and  brought  million acres of land under cultivation and revolutionised agricultural practices in the region to the agrarian and commercial class was added a professional middle class that had risen the social ladder through the use of the english education which opened up new professions in law government and medicine despite these developments colonial rule was marked by exploitation of resources for the purpose of exports the majority of external trade was controlled by british export banks the imperial government exercised control over the finances of punjab and took the majority of the income for itself
",punjab annexed east india company nominally bengal presidency administratively independent indian rebellion apart revolt led ahmed khan kharal murree rebellion punjab remained relatively peaceful terms queens proclamation issued queen victoria punjab came direct rule britain colonial rule profound impact areas punjabi life economically transformed punjab richest farming area india socially sustained power large landowners politically encouraged cross communal co operation land owning groups punjab major centre recruitment indian army patronising influential local allies focusing administrative economic constitutional policies rural population british ensured loyalty large rural population administratively colonial rule instated system bureaucracy measure law paternal system ruling elite replaced machine rule system laws codes procedures purposes control british established new forms communication transportation including post systems railways roads telegraphs creation canal colonies western punjab brought million acres land cultivation revolutionised agricultural practices region agrarian commercial class added professional middle class risen social ladder use english education opened new professions law government medicine despite developments colonial rule marked exploitation resources purpose exports majority external trade controlled british export banks imperial government exercised control finances punjab took majority income,6.50,"punjab,annexed,east,india,company,nominally,bengal,presidency,administratively,independent,indian,rebellion,apart,revolt,led,ahmed,khan,kharal,murree,rebellion,punjab,remained,relatively,peaceful,terms,queens,proclamation,issued,queen,victoria,punjab,came,direct,rule,britain,colonial,rule,profound,impact,areas,punjabi,life,economically,transformed,punjab,richest,farming,area,india,socially,sustained,power,large,landowners,politically,encouraged,cross,communal,co,operation,land,owning,groups,punjab,major,centre,recruitment,indian,army,patronising,influential,local,allies,focusing,administrative,economic,constitutional,policies,rural,population,british,ensured,loyalty,large,rural,population,administratively,colonial,rule,instated,system,bureaucracy,measure,law,paternal,system,ruling,elite,replaced,machine,rule,system,laws,codes,procedures,purposes,control,british,established,new,forms,communication,transportation,including,post,systems,railways,roads,telegraphs,creation,canal,colonies,western,punjab,brought,million,acres,land,cultivation,revolutionised,agricultural,practices,region,agrarian,commercial,class,added,professional,middle,class,risen,social,ladder,use,english,education,opened,new,professions,law,government,medicine,despite,developments,colonial,rule,marked,exploitation,resources,purpose,exports,majority,external,trade,controlled,british,export,banks,imperial,government,exercised,control,finances,punjab,took,majority,income",0.00,punjab
"in  a british officer ordered his troops to fire on a crowd of demonstrators mostly sikhs in amritsar the jallianwala massacre fueled the indian independence movement nationalists declared the independence of india from lahore in  but were quickly suppressed the struggle for indian independence witnessed competing and conflicting interests in the punjab when the second world war broke out nationalism in british india had already divided into religious movements the landed elites of the muslim hindu and sikh communities had loyally collaborated with the british since annexation supported the unionist party and were hostile to the congress party led independence movement amongst the peasantry and urban middle classes the hindus were the most active national congress supporters the sikhs flocked to the akali movement whilst the muslims eventually supported the muslim league many sikhs and other minorities supported the hindus who promised a secular multicultural and multireligious society in march  the all india muslim league passed the lahore resolution demanding the creation of a separate state from muslim majority areas in british india this triggered bitter protests by the hindus and sikhs in punjab who could not accept living in a muslim islamic state
",british officer ordered troops fire crowd demonstrators sikhs amritsar jallianwala massacre fueled indian independence movement nationalists declared independence india lahore quickly suppressed struggle indian independence witnessed competing conflicting interests punjab second world war broke nationalism british india divided religious movements landed elites muslim hindu sikh communities loyally collaborated british annexation supported unionist party hostile congress party led independence movement peasantry urban middle classes hindus active national congress supporters sikhs flocked akali movement whilst muslims eventually supported muslim league sikhs minorities supported hindus promised secular multicultural multireligious society march india muslim league passed lahore resolution demanding creation separate state muslim majority areas british india triggered bitter protests hindus sikhs punjab accept living muslim islamic state,6.28,"british,officer,ordered,troops,fire,crowd,demonstrators,sikhs,amritsar,jallianwala,massacre,fueled,indian,independence,movement,nationalists,declared,independence,india,lahore,quickly,suppressed,struggle,indian,independence,witnessed,competing,conflicting,interests,punjab,second,world,war,broke,nationalism,british,india,divided,religious,movements,landed,elites,muslim,hindu,sikh,communities,loyally,collaborated,british,annexation,supported,unionist,party,hostile,congress,party,led,independence,movement,peasantry,urban,middle,classes,hindus,active,national,congress,supporters,sikhs,flocked,akali,movement,whilst,muslims,eventually,supported,muslim,league,sikhs,minorities,supported,hindus,promised,secular,multicultural,multireligious,society,march,india,muslim,league,passed,lahore,resolution,demanding,creation,separate,state,muslim,majority,areas,british,india,triggered,bitter,protests,hindus,sikhs,punjab,accept,living,muslim,islamic,state",0.00,punjab
