Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"punjab  also romanised as panjb or panj bb is a geopolitical cultural and historical region in south asia specifically in the northern part of the indian subcontinent on the indus plain comprising areas of eastern pakistan and northwestern india punjabs major cities are lahore faisalabad rawalpindi gujranwala multan ludhiana amritsar sialkot chandigarh shimla jalandhar gurugram and bahawalpur
",punjab romanised panjb panj bb geopolitical cultural historical region south asia specifically northern indian subcontinent indus plain comprising areas eastern pakistan northwestern india punjabs major cities lahore faisalabad rawalpindi gujranwala multan ludhiana amritsar sialkot chandigarh shimla jalandhar gurugram bahawalpur,4.55,"punjab,romanised,panjb,panj,bb,geopolitical,cultural,historical,region,south,asia,specifically,northern,indian,subcontinent,indus,plain,comprising,areas,eastern,pakistan,northwestern,india,punjabs,major,cities,lahore,faisalabad,rawalpindi,gujranwala,multan,ludhiana,amritsar,sialkot,chandigarh,shimla,jalandhar,gurugram,bahawalpur",0.00,punjab
"punjab grew out of the settlements along the five rivers which served as an important route to the near east as early as the ancient indus valley civilization dating back to  bce and had numerous migrations by the indo aryan peoples agriculture has been the major economic feature of the punjab and has therefore formed the foundation of punjabi culture with ones social status being determined by land ownership the punjab emerged as an important agricultural region especially following the green revolution during the mid s to the mid s and has been described as the breadbasket of both india and pakistan
",punjab grew settlements rivers served important route near east early ancient indus valley civilization dating bce numerous migrations indo aryan peoples agriculture major economic feature punjab formed foundation punjabi culture ones social status determined land ownership punjab emerged important agricultural region especially following green revolution mid mid described breadbasket india pakistan,8.37,"punjab,grew,settlements,rivers,served,important,route,near,east,early,ancient,indus,valley,civilization,dating,bce,numerous,migrations,indo,aryan,peoples,agriculture,major,economic,feature,punjab,formed,foundation,punjabi,culture,ones,social,status,determined,land,ownership,punjab,emerged,important,agricultural,region,especially,following,green,revolution,mid,mid,described,breadbasket,india,pakistan",0.00,punjab
"the punjab is accredited for its colourful history in terms of its native dynasties and empires following alexander the greats invasion and his conflicts with porus and the malli tribe of multan chandragupta allied with various punjabi tribes to defeat dhana nanda and form the mauryan empire after its decline the indo greeks kushan empire and indo scythians successively established kingdoms in punjab however they were defeated by various eastern punjab republics  who previously established the mauryan empire these include the yaudheyas trigartas audumbaras arjunayanas and kunindas in which the victories can be confirmed through their coinagethe devastating hunnic invasions of punjab occurred in the th and th ce however they were ultimately defeated by the vardhana dynasty  which proceeded to rule over northern india for the next century most of the western punjab region became unified under the taank kingdom established in the th century however little is known about this kingdom due to the lack of historical description in the th century it was replaced with the hindu shahis their roots described as punjabi brahmins and accredited for the defeat of the saffarid dynasty and samanid empire in the same period between the th and th century the tomara dynasty and katoch dynasty controlled the eastern punjab region and resisted many invasion attempts from the ghaznavids islam became established in western punjab under the ghaznavids after whom the delhi sultanate followed it contained many heavily punjab influenced and originating dynasties such as the reign of razia sultana the sayyid dynasty and the tughlaq dynasty the langah sultanate ruled much of south punjab at the time of the lodi dynasty in the th century ce and is praised for its victory over them which inevitably led to a treaty being signed during the sikandar lodi reign after a long period of anarchy due to the decline of the mughals in the th century the khalsa raaj in  ce formed and began various conquests into kashmir and durrani empire held territories
",punjab accredited colourful history terms native dynasties empires following alexander greats invasion conflicts porus malli tribe multan chandragupta allied punjabi tribes defeat dhana nanda form mauryan empire decline indo greeks kushan empire indo scythians successively established kingdoms punjab defeated eastern punjab republics previously established mauryan empire include yaudheyas trigartas audumbaras arjunayanas kunindas victories confirmed coinagethe devastating hunnic invasions punjab occurred th th ce ultimately defeated vardhana dynasty proceeded rule northern india century western punjab region unified taank kingdom established th century little known kingdom lack historical description th century replaced hindu shahis roots described punjabi brahmins accredited defeat saffarid dynasty samanid empire period th th century tomara dynasty katoch dynasty controlled eastern punjab region resisted invasion attempts ghaznavids islam established western punjab ghaznavids delhi sultanate followed contained heavily punjab influenced originating dynasties reign razia sultana sayyid dynasty tughlaq dynasty langah sultanate ruled south punjab time lodi dynasty th century ce praised victory inevitably led treaty signed sikandar lodi reign long period anarchy decline mughals th century khalsa raaj ce formed began conquests kashmir durrani empire held territories,7.52,"punjab,accredited,colourful,history,terms,native,dynasties,empires,following,alexander,greats,invasion,conflicts,porus,malli,tribe,multan,chandragupta,allied,punjabi,tribes,defeat,dhana,nanda,form,mauryan,empire,decline,indo,greeks,kushan,empire,indo,scythians,successively,established,kingdoms,punjab,defeated,eastern,punjab,republics,previously,established,mauryan,empire,include,yaudheyas,trigartas,audumbaras,arjunayanas,kunindas,victories,confirmed,coinagethe,devastating,hunnic,invasions,punjab,occurred,th,th,ce,ultimately,defeated,vardhana,dynasty,proceeded,rule,northern,india,century,western,punjab,region,unified,taank,kingdom,established,th,century,little,known,kingdom,lack,historical,description,th,century,replaced,hindu,shahis,roots,described,punjabi,brahmins,accredited,defeat,saffarid,dynasty,samanid,empire,period,th,th,century,tomara,dynasty,katoch,dynasty,controlled,eastern,punjab,region,resisted,invasion,attempts,ghaznavids,islam,established,western,punjab,ghaznavids,delhi,sultanate,followed,contained,heavily,punjab,influenced,originating,dynasties,reign,razia,sultana,sayyid,dynasty,tughlaq,dynasty,langah,sultanate,ruled,south,punjab,time,lodi,dynasty,th,century,ce,praised,victory,inevitably,led,treaty,signed,sikandar,lodi,reign,long,period,anarchy,decline,mughals,th,century,khalsa,raaj,ce,formed,began,conquests,kashmir,durrani,empire,held,territories",0.00,punjab
"the boundaries of the region are ill defined and focus on historical accounts and thus the geographical definition of the term punjab has changed over time in the th century mughal empire the punjab region was divided into three with the lahore subah in the west the delhi subah in the east and the multan subah in the south in british india until the partition of india in  the punjab province encompassed the present day indian states and union territories of punjab haryana himachal pradesh chandigarh and delhi and the pakistani regions of punjab and islamabad capital territory it bordered the balochistan and khyber pakhtunkhwa regions to the west kashmir to the north the hindi belt to the east and rajasthan and sindh to the south
",boundaries region ill defined focus historical accounts geographical definition term punjab changed time th century mughal empire punjab region divided lahore subah west delhi subah east multan subah south british india partition india punjab province encompassed present day indian states union territories punjab haryana himachal pradesh chandigarh delhi pakistani regions punjab islamabad capital territory bordered balochistan khyber pakhtunkhwa regions west kashmir north hindi belt east rajasthan sindh south,7.85,"boundaries,region,ill,defined,focus,historical,accounts,geographical,definition,term,punjab,changed,time,th,century,mughal,empire,punjab,region,divided,lahore,subah,west,delhi,subah,east,multan,subah,south,british,india,partition,india,punjab,province,encompassed,present,day,indian,states,union,territories,punjab,haryana,himachal,pradesh,chandigarh,delhi,pakistani,regions,punjab,islamabad,capital,territory,bordered,balochistan,khyber,pakhtunkhwa,regions,west,kashmir,north,hindi,belt,east,rajasthan,sindh,south",0.00,punjab
"the predominant ethnolinguistic group of the punjab region are the punjabi people who speak the indo aryan punjabi language punjabi muslims are the majority in west punjab  while punjabi sikhs  are the majority in east punjab  other religious groups are christianity jainism zoroastrianism buddhism and ravidassia
",predominant ethnolinguistic group punjab region punjabi people speak indo aryan punjabi language punjabi muslims majority west punjab punjabi sikhs majority east punjab religious groups christianity jainism zoroastrianism buddhism ravidassia,5.41,"predominant,ethnolinguistic,group,punjab,region,punjabi,people,speak,indo,aryan,punjabi,language,punjabi,muslims,majority,west,punjab,punjabi,sikhs,majority,east,punjab,religious,groups,christianity,jainism,zoroastrianism,buddhism,ravidassia",0.00,punjab
"although the name punjab is of persian origin its two parts  are cognates of the sanskrit words  paca five and  p water of the same meaning the word pajb thus means the land of five waters referring to the rivers jhelum chenab ravi sutlej and beas all are tributaries of the indus river the sutlej being the largest references to a land of five rivers may be found in the mahabharata which calls one of the regions in ancient bharat  panchanada  persian place names are very common in northwest india and pakistan the ancient greeks referred to the region as pentapotama  which has the same meaning as the persian word
",punjab persian origin parts cognates sanskrit words paca p water meaning word pajb means land waters referring rivers jhelum chenab ravi sutlej beas tributaries indus river sutlej largest references land rivers found mahabharata calls regions ancient bharat panchanada persian place names common northwest india pakistan ancient greeks referred region pentapotama meaning persian word,9.21,"punjab,persian,origin,parts,cognates,sanskrit,words,paca,p,water,meaning,word,pajb,means,land,waters,referring,rivers,jhelum,chenab,ravi,sutlej,beas,tributaries,indus,river,sutlej,largest,references,land,rivers,found,mahabharata,calls,regions,ancient,bharat,panchanada,persian,place,names,common,northwest,india,pakistan,ancient,greeks,referred,region,pentapotama,meaning,persian,word",0.00,punjab
"the punjab region is noted as the site of one of the earliest urban societies the indus valley civilization that flourished from about  bc and declined rapidly  years later following the indo aryan migrations that overran the region in waves between  and  bc frequent intertribal wars stimulated the growth of larger groupings ruled by chieftains and kings who ruled local kingdoms known as mahajanapadas the rise of kingdoms and dynasties in the punjab is chronicled in the ancient hindu epics particularly the mahabharata the epic battles described in the mahabharata are chronicled as being fought in what is now the state of haryana and historic punjab the gandharas kambojas trigartas andhra pauravas bahlikas  yaudheyas and others sided with the kauravas in the great battle fought at kurukshetra according to dr fauja singh and dr l m joshi there is no doubt that the kambojas daradas kaikayas andhra pauravas yaudheyas malavas saindhavas and kurus had jointly contributed to the heroic tradition and composite culture of ancient punjab
",punjab region noted site earliest urban societies indus valley civilization flourished bc declined rapidly years later following indo aryan migrations overran region waves bc frequent intertribal wars stimulated growth larger groupings ruled chieftains kings ruled local kingdoms known mahajanapadas rise kingdoms dynasties punjab chronicled ancient hindu epics particularly mahabharata epic battles described mahabharata chronicled fought state haryana historic punjab gandharas kambojas trigartas andhra pauravas bahlikas yaudheyas sided kauravas great battle fought kurukshetra according drfauja singh drlm joshi doubt kambojas daradas kaikayas andhra pauravas yaudheyas malavas saindhavas kurus jointly contributed heroic tradition composite culture ancient punjab,6.61,"punjab,region,noted,site,earliest,urban,societies,indus,valley,civilization,flourished,bc,declined,rapidly,years,later,following,indo,aryan,migrations,overran,region,waves,bc,frequent,intertribal,wars,stimulated,growth,larger,groupings,ruled,chieftains,kings,ruled,local,kingdoms,known,mahajanapadas,rise,kingdoms,dynasties,punjab,chronicled,ancient,hindu,epics,particularly,mahabharata,epic,battles,described,mahabharata,chronicled,fought,state,haryana,historic,punjab,gandharas,kambojas,trigartas,andhra,pauravas,bahlikas,yaudheyas,sided,kauravas,great,battle,fought,kurukshetra,according,drfauja,singh,drlm,joshi,doubt,kambojas,daradas,kaikayas,andhra,pauravas,yaudheyas,malavas,saindhavas,kurus,jointly,contributed,heroic,tradition,composite,culture,ancient,punjab",0.00,punjab
"after alexanders death in  bce perdiccas became the regent of his empire and after perdiccass murder in  bce antipater became the new regent according to diodorus antipater recognized poruss authority over the territories along the indus river however eudemus who had served as alexanders satrap in the punjab region treacherously killed porus
",alexanders death bce perdiccas regent empire perdiccass murder bce antipater new regent according diodorus antipater recognized poruss authority territories indus river eudemus served alexanders satrap punjab region treacherously killed porus,6.40,"alexanders,death,bce,perdiccas,regent,empire,perdiccass,murder,bce,antipater,new,regent,according,diodorus,antipater,recognized,poruss,authority,territories,indus,river,eudemus,served,alexanders,satrap,punjab,region,treacherously,killed,porus",0.00,punjab
"the eastern punjab republics known as the punjab janapadas were a group of republics during the ancient period of punjab which were militaristic in nature consisting of the yaudheyas arjunayanas kunindas trigartas and the audumbaras before the rise of the mauryan empire and the eventual defeat of the nanda empire chandragupta sought an alliance with these republics most notably the yaudheyas and the trigartas before pursuing dhana nanda according to the sanskrit and jain texts mudrarakshasa and parishishtaparvan chandragupta made an alliance with the trigarta chief parvatek who is dominion spread into the himachal hills and his capital at jalandhar the chief of the mauryan military was always a yaudheyan warrior according to the bijaygadh pillar inscription which states that the yaudheyas elected their own chief who also served as the general for the mauryan army the core of the mauryan army and chandraguptas initial military when battling the nandas was made of up men from the punjab janapadas according to thomas william rhys davids
",eastern punjab republics known punjab janapadas group republics ancient period punjab militaristic nature consisting yaudheyas arjunayanas kunindas trigartas audumbaras rise mauryan empire eventual defeat nanda empire chandragupta sought alliance republics notably yaudheyas trigartas pursuing dhana nanda according sanskrit jain texts mudrarakshasa parishishtaparvan chandragupta alliance trigarta chief parvatek dominion spread himachal hills capital jalandhar chief mauryan military yaudheyan warrior according bijaygadh pillar inscription states yaudheyas elected chief served general mauryan army core mauryan army chandraguptas initial military battling nandas men punjab janapadas according thomas william rhys davids,7.52,"eastern,punjab,republics,known,punjab,janapadas,group,republics,ancient,period,punjab,militaristic,nature,consisting,yaudheyas,arjunayanas,kunindas,trigartas,audumbaras,rise,mauryan,empire,eventual,defeat,nanda,empire,chandragupta,sought,alliance,republics,notably,yaudheyas,trigartas,pursuing,dhana,nanda,according,sanskrit,jain,texts,mudrarakshasa,parishishtaparvan,chandragupta,alliance,trigarta,chief,parvatek,dominion,spread,himachal,hills,capital,jalandhar,chief,mauryan,military,yaudheyan,warrior,according,bijaygadh,pillar,inscription,states,yaudheyas,elected,chief,served,general,mauryan,army,core,mauryan,army,chandraguptas,initial,military,battling,nandas,men,punjab,janapadas,according,thomas,william,rhys,davids",0.00,punjab
"after the eventual fall of the mauryans the indo greek kingdom took its place in the western punjab the eastern punjab supposedly would not become subdued till the rule of menander i however there is little evidence of conflicts with the republics till after his death where the republics then begin to battle with his successors the trigartas producing their own coinage the yaudheyas and arjunayanas winning victory by the sword and the audumbaras under their ruler dharagosha checking the indo greek advance to the upper bari doab  defining their control in the region
",eventual fall mauryans indo greek kingdom took place western punjab eastern punjab supposedly subdued till rule menander little evidence conflicts republics till death republics begin battle successors trigartas producing coinage yaudheyas arjunayanas winning victory sword audumbaras ruler dharagosha checking indo greek advance upper bari doab defining control region,8.04,"eventual,fall,mauryans,indo,greek,kingdom,took,place,western,punjab,eastern,punjab,supposedly,subdued,till,rule,menander,little,evidence,conflicts,republics,till,death,republics,begin,battle,successors,trigartas,producing,coinage,yaudheyas,arjunayanas,winning,victory,sword,audumbaras,ruler,dharagosha,checking,indo,greek,advance,upper,bari,doab,defining,control,region",0.00,punjab
