Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"qatar airways company qcsc  operating as qatar airways is the state owned flag carrier airline of qatar headquartered in the qatar airways tower in doha the airline operates a hub and spoke network flying to over  international destinations across africa asia europe the americas and oceania from its base at hamad international airport using a fleet of more than  aircraft qatar airways group employs more than  people the carrier has been a member of the oneworld alliance since october   the first persian gulf carrier to sign with one of the three major airline alliances
",qatar airways company qcsc operating qatar airways state owned flag carrier airline qatar headquartered qatar airways tower doha airline operates hub spoke network flying international destinations africa asia europe americas oceania base hamad international airport fleet aircraft qatar airways group employs people carrier member oneworld alliance october persian gulf carrier sign major airline alliances,6.94,"qatar,airways,company,qcsc,operating,qatar,airways,state,owned,flag,carrier,airline,qatar,headquartered,qatar,airways,tower,doha,airline,operates,hub,spoke,network,flying,international,destinations,africa,asia,europe,americas,oceania,base,hamad,international,airport,fleet,aircraft,qatar,airways,group,employs,people,carrier,member,oneworld,alliance,october,persian,gulf,carrier,sign,major,airline,alliances",0.00,qatar
"the state of qatar was a joint owner member of gulf air along with oman the uae  and kingdom of bahrain until may  following its withdrawal it became the first country among the three to withdraw from the airline to solely focus on its own airline qatar airways although it remained a member of the airline for six months after the government announced its complete withdrawal
",state qatar joint owner member gulf air oman uae kingdom bahrain following withdrawal country withdraw airline solely focus airline qatar airways remained member airline months government announced complete withdrawal,9.81,"state,qatar,joint,owner,member,gulf,air,oman,uae,kingdom,bahrain,following,withdrawal,country,withdraw,airline,solely,focus,airline,qatar,airways,remained,member,airline,months,government,announced,complete,withdrawal",0.00,qatar
"qatar airways was established by the government of qatar  on november    operations started on january    amman was first served in may   in april   the airlines ceo was the sheikh hamad bin ali bin jabor al thani who employed a staff of  by this time the fleet consisted of two airbus as that served a route network including abu dhabi bangkok cairo dubai khartoum kuwait londoncontradictory madras manila muscat osakacontradictory sharjah taipei tokyo and trivandrum during  two ex all nippon airways boeing s were bought from boeing the airline acquired a second hand boeing sp from air mauritius in 
　
",qatar airways established government qatar november operations started january amman served april airlines ceo sheikh hamad bin ali bin jabor al thani employed staff time fleet consisted airbus served route network including abu dhabi bangkok cairo dubai khartoum kuwait londoncontradictory madras manila muscat osakacontradictory sharjah taipei tokyo trivandrum ex nippon airways boeing bought boeing airline acquired second hand boeing sp air mauritius,6.11,"qatar,airways,established,government,qatar,november,operations,started,january,amman,served,april,airlines,ceo,sheikh,hamad,bin,ali,bin,jabor,al,thani,employed,staff,time,fleet,consisted,airbus,served,route,network,including,abu,dhabi,bangkok,cairo,dubai,khartoum,kuwait,londoncontradictory,madras,manila,muscat,osakacontradictory,sharjah,taipei,tokyo,trivandrum,ex,nippon,airways,boeing,bought,boeing,airline,acquired,second,hand,boeing,sp,air,mauritius",0.00,qatar
"a fourth a r on lease from awas joined the fleet in april   in october   qatar airways ordered an international aero engines v powered airbus acj and took an option for another aircraft of the type the airline became the airbus as ninth customer in  when two aircraft of the type were ordered plus two options also that year the airline resumed services to jakarta a year later in may qatar withdrew from gulf air to ensure the development of its national airline 
",fourth r lease awas joined fleet april october qatar airways ordered international aero engines v powered airbus acj took option aircraft type airline airbus ninth customer aircraft type ordered plus options year airline resumed services jakarta year later qatar withdrew gulf air ensure development national airline,7.96,"fourth,r,lease,awas,joined,fleet,april,october,qatar,airways,ordered,international,aero,engines,v,powered,airbus,acj,took,option,aircraft,type,airline,airbus,ninth,customer,aircraft,type,ordered,plus,options,year,airline,resumed,services,jakarta,year,later,qatar,withdrew,gulf,air,ensure,development,national,airline",0.00,qatar
"in june   a qatar airways airbus a was the first aircraft that resumed the international services to iraq when it flew the dohabasra route also that month qatar airways incorporated its first dedicated cargo aircraft to the fleet it was an airbus a r that was converted to freighter in germany for us million also in june   at the paris air show the carrier placed an order with airbus valued at us billion for two airbus as  airbus as and two airbus a s the deal included eight a s and six  s it also included options for further six a s and eight a s the first aircraft were scheduled to enter the fleet in  with the a  slated for delivery in  during the year the airline started serving the chinese market with the introduction of flights to shanghai also in  the carrier expanded its portfolio of destinations with the commencement of services to manchester in april tripoli in november and cebu and singapore in december during the  dubai air show the airline firmed up an earlier commitment for two airbus as and took options for another two of these aircraft the value of the transaction was us billion it was also in  that qatar airways became the first airline to be audited under the new iata operational audit programme iosa
",june qatar airways airbus aircraft resumed international services iraq flew dohabasra route month qatar airways incorporated dedicated cargo aircraft fleet airbus r converted freighter germany usmillion june paris air carrier placed order airbus valued usbillion airbus airbus airbus deal included included options aircraft scheduled enter fleet slated delivery year airline started serving chinese market introduction flights shanghai carrier expanded portfolio destinations commencement services manchester april tripoli november cebu singapore december dubai air airline firmed earlier commitment airbus took options aircraft value transaction usbillion qatar airways airline audited new iata operational audit programme iosa,10.44,"june,qatar,airways,airbus,aircraft,resumed,international,services,iraq,flew,dohabasra,route,month,qatar,airways,incorporated,dedicated,cargo,aircraft,fleet,airbus,r,converted,freighter,germany,usmillion,june,paris,air,carrier,placed,order,airbus,valued,usbillion,airbus,airbus,airbus,deal,included,included,options,aircraft,scheduled,enter,fleet,slated,delivery,year,airline,started,serving,chinese,market,introduction,flights,shanghai,carrier,expanded,portfolio,destinations,commencement,services,manchester,april,tripoli,november,cebu,singapore,december,dubai,air,airline,firmed,earlier,commitment,airbus,took,options,aircraft,value,transaction,usbillion,qatar,airways,airline,audited,new,iata,operational,audit,programme,iosa",0.00,qatar
"the qatar airways group which included qatar airways doha international airport and corporate business air services ground handling and in flight catering companies reported its first profit ever for the fiscal year  that ended on march   the fy saw the airline transporting  million passengers zurich became the carriers rd destination worldwide in july   yangon was added to the list of destinations in december the same year a new service to osaka was launched in march   its first a was delivered on september  
",qatar airways group included qatar airways doha international airport corporate business air services ground handling flight catering companies reported profit fiscal year ended march fy saw airline transporting million passengers zurich carriers rd destination worldwide july yangon added list destinations december year new service osaka launched march delivered september,6.40,"qatar,airways,group,included,qatar,airways,doha,international,airport,corporate,business,air,services,ground,handling,flight,catering,companies,reported,profit,fiscal,year,ended,march,fy,saw,airline,transporting,million,passengers,zurich,carriers,rd,destination,worldwide,july,yangon,added,list,destinations,december,year,new,service,osaka,launched,march,delivered,september",0.00,qatar
"in may   qatar airways and airbus signed a memorandum of understanding  for the acquisition of  airbus a xwbs including  a s plus  and  aircraft of the  and  variant respectively with the first aircraft initially slated for delivery in  the agreement was firmed up in june during the  paris air show three more airbus as were also made part of the order in july the same year during the unveiling ceremony of the boeing  in everett qatar airways was recognised as a future customer for the type when its logo appeared on one side of the brand new aircraft by that time the airline had not acknowledged it had placed an order for a number of these new aircraft in november the same year a firm order for  boeing  s plus options for  more aircraft of the  or  variant was confirmed the order also included  boeing  ers six boeing  lrs and seven boeing fs whereas five more aircraft of the type were on option the combined order was valued at us billion the airline took delivery of its first  seater boeing  er in late november   the route network grew further during  with the incorporation of newark in june nagpur the carriers seventh destination in india in september and stockholm in november a new scheduled service to new york jfk that commenced in november   replaced the newark route the first two boeing  lrs were handed over by the aircraft manufacturer in february   on june  the same year at the paris air show qatar airways ordered  airbus a and  airbus a aircraft worth bn on october   the company completed the worlds first commercial passenger flight powered by a fuel made from natural gas also in  qatar airways launched its first scheduled flights to australia with melbourne being the first city served routes to chengdu hangzhou phnom penh and clark international airport in the philippines were launched during  as well
",qatar airways airbus signed memorandum understanding acquisition airbus xwbs including plus aircraft variant respectively aircraft initially slated delivery agreement firmed june paris air airbus order july year unveiling ceremony boeing everett qatar airways recognised future customer type logo appeared brand new aircraft time airline acknowledged placed order number new aircraft november year firm order boeing plus options aircraft variant confirmed order included boeing ers boeing lrs seven boeing fs aircraft type option combined order valued usbillion airline took delivery seater boeing er late november route network grew incorporation newark june nagpur carriers seventh destination india september stockholm november new scheduled service new york jfk commenced november replaced newark route boeing lrs handed aircraft manufacturer february june year paris air qatar airways ordered airbus airbus aircraft worth bn october company completed worlds commercial passenger flight powered fuel natural gas qatar airways launched scheduled flights australia melbourne city served routes chengdu hangzhou phnom penh clark international airport philippines launched,8.64,"qatar,airways,airbus,signed,memorandum,understanding,acquisition,airbus,xwbs,including,plus,aircraft,variant,respectively,aircraft,initially,slated,delivery,agreement,firmed,june,paris,air,airbus,order,july,year,unveiling,ceremony,boeing,everett,qatar,airways,recognised,future,customer,type,logo,appeared,brand,new,aircraft,time,airline,acknowledged,placed,order,number,new,aircraft,november,year,firm,order,boeing,plus,options,aircraft,variant,confirmed,order,included,boeing,ers,boeing,lrs,seven,boeing,fs,aircraft,type,option,combined,order,valued,usbillion,airline,took,delivery,seater,boeing,er,late,november,route,network,grew,incorporation,newark,june,nagpur,carriers,seventh,destination,india,september,stockholm,november,new,scheduled,service,new,york,jfk,commenced,november,replaced,newark,route,boeing,lrs,handed,aircraft,manufacturer,february,june,year,paris,air,qatar,airways,ordered,airbus,airbus,aircraft,worth,bn,october,company,completed,worlds,commercial,passenger,flight,powered,fuel,natural,gas,qatar,airways,launched,scheduled,flights,australia,melbourne,city,served,routes,chengdu,hangzhou,phnom,penh,clark,international,airport,philippines,launched",0.00,qatar
"tokyo narita was first served by the carrier in april   on may   the airline put its first boeing f  into service with a flight from doha to amsterdam the aircraft had been delivered on may   the airline has launched  new destinations since  with nine more destinations announced ankara aleppo bangalore barcelona brussels bucharest budapest buenos aires copenhagen hanoi montreal nice phuket so paulo shiraz kolkata medina oslo sofia stuttgart venice and tokyo qatar airways also launched benghazi and entebbe during  service to baku and tbilisi originally planned for  was delayed until february   due to operational issues
",tokyo narita served carrier april airline boeing f service flight doha amsterdam aircraft delivered airline launched new destinations destinations announced ankara aleppo bangalore barcelona brussels bucharest budapest buenos aires copenhagen hanoi montreal nice phuket paulo shiraz kolkata medina oslo sofia stuttgart venice tokyo qatar airways launched benghazi entebbe service baku tbilisi originally planned delayed february operational issues,6.23,"tokyo,narita,served,carrier,april,airline,boeing,f,service,flight,doha,amsterdam,aircraft,delivered,airline,launched,new,destinations,destinations,announced,ankara,aleppo,bangalore,barcelona,brussels,bucharest,budapest,buenos,aires,copenhagen,hanoi,montreal,nice,phuket,paulo,shiraz,kolkata,medina,oslo,sofia,stuttgart,venice,tokyo,qatar,airways,launched,benghazi,entebbe,service,baku,tbilisi,originally,planned,delayed,february,operational,issues",0.00,qatar
"boeings handover of a boeing  lr in september   marked qatar airways receiving its th aircraft from this aircraft manufacturer in november the same year at the dubai airshow the airline ordered  airbus planes  aneo and  a in addition to two boeing  freighters
",boeings handover boeing lr september marked qatar airways receiving th aircraft aircraft manufacturer november year dubai airshow airline ordered airbus planes aneo addition boeing freighters,6.54,"boeings,handover,boeing,lr,september,marked,qatar,airways,receiving,th,aircraft,aircraft,manufacturer,november,year,dubai,airshow,airline,ordered,airbus,planes,aneo,addition,boeing,freighters",0.00,qatar
"in july   perth became the second city served in australia on october   qatar airways announced it would join oneworld within the forthcoming  months the entrance of the carrier into the alliance was mentored by british airways the joining ceremony took place on october    and qatar airways became the first major persian gulf carrier to join an airline alliance
",july perth second city served australia october qatar airways announced join oneworld forthcoming months entrance carrier alliance mentored british airways joining ceremony took place october qatar airways major persian gulf carrier join airline alliance,6.59,"july,perth,second,city,served,australia,october,qatar,airways,announced,join,oneworld,forthcoming,months,entrance,carrier,alliance,mentored,british,airways,joining,ceremony,took,place,october,qatar,airways,major,persian,gulf,carrier,join,airline,alliance",0.00,qatar
