Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"qatar  officially the state of qatarb is a country in western asia it occupies the qatar peninsula on the northeastern coast of the arabian peninsula in the middle east it shares its sole land border with saudi arabia to the south with the rest of its territory surrounded by the persian gulf the gulf of bahrain an inlet of the persian gulf separates qatar from nearby bahrain the capital is doha home to over  of the countrys inhabitants and the land area is mostly made up of flat low lying desert
",qatar officially state qatarb country western asia occupies qatar peninsula northeastern coast arabian peninsula middle east shares sole land border saudi arabia south rest territory surrounded persian gulf gulf bahrain inlet persian gulf separates qatar nearby bahrain capital doha home countrys inhabitants land area flat low lying desert,8.58,"qatar,officially,state,qatarb,country,western,asia,occupies,qatar,peninsula,northeastern,coast,arabian,peninsula,middle,east,shares,sole,land,border,saudi,arabia,south,rest,territory,surrounded,persian,gulf,gulf,bahrain,inlet,persian,gulf,separates,qatar,nearby,bahrain,capital,doha,home,countrys,inhabitants,land,area,flat,low,lying,desert",0.00,qatar
"qatar has been ruled as a hereditary monarchy by the house of thani since mohammed bin thani signed a treaty with the british in  that recognised its separate status following ottoman rule qatar became a british protectorate in  and gained independence in  the current emir is tamim bin hamad al thani who holds nearly all executive and legislative authority under the constitution of qatar as well as controlling the judiciary he appoints the prime minister and cabinet the partially elected consultative assembly can block legislation and has a limited ability to dismiss ministers
",qatar ruled hereditary monarchy house thani mohammed bin thani signed treaty british recognised separate status following ottoman rule qatar british protectorate gained independence current emir tamim bin hamad al thani holds nearly executive legislative authority constitution qatar controlling judiciary appoints prime minister cabinet partially elected consultative assembly block legislation limited ability dismiss ministers,6.85,"qatar,ruled,hereditary,monarchy,house,thani,mohammed,bin,thani,signed,treaty,british,recognised,separate,status,following,ottoman,rule,qatar,british,protectorate,gained,independence,current,emir,tamim,bin,hamad,al,thani,holds,nearly,executive,legislative,authority,constitution,qatar,controlling,judiciary,appoints,prime,minister,cabinet,partially,elected,consultative,assembly,block,legislation,limited,ability,dismiss,ministers",0.00,qatar
"in early  the total population of qatar was  million with  of them qatari citizens and  million expatriates its official religion is islam in terms of income the country has the fourth highest gdp  per capita in the world and the eleventh highest gni per capita  qatar ranks nd in the human development index the third highest hdi in the arab world it is a high income economy backed by the worlds third largest natural gas reserves and oil reserves qatar is one of the worlds largest exporters of liquefied natural gas and the worlds largest emitter of carbon dioxide per capita
",early total population qatar million qatari citizens million expatriates official religion islam terms income country fourth highest gdp capita world eleventh highest gni capita qatar ranks nd human development index highest hdi arab world high income economy backed worlds largest natural gas reserves oil reserves qatar worlds largest exporters liquefied natural gas worlds largest emitter carbon dioxide capita,7.41,"early,total,population,qatar,million,qatari,citizens,million,expatriates,official,religion,islam,terms,income,country,fourth,highest,gdp,capita,world,eleventh,highest,gni,capita,qatar,ranks,nd,human,development,index,highest,hdi,arab,world,high,income,economy,backed,worlds,largest,natural,gas,reserves,oil,reserves,qatar,worlds,largest,exporters,liquefied,natural,gas,worlds,largest,emitter,carbon,dioxide,capita",0.00,qatar
"in the st century qatar emerged as a middle power in the arab world through its resource wealth as well as its globally expanding media group al jazeera media network and reportedly supporting several rebel groups financially during the arab spring qatar forms part of the gulf cooperation council qatars human rights record has been regarded by academics and non governmental organisations as being generally poor with restrictions on civil liberties such as the freedoms of association expression and the press as well as its treatment of thousands of migrant workers amounting to forced labour for projects in the country
",st century qatar emerged middle power arab world resource wealth globally expanding media group al jazeera media network reportedly supporting rebel groups financially arab spring qatar forms gulf cooperation council qatars human rights record regarded academics non governmental organisations generally poor restrictions civil liberties freedoms association expression press treatment thousands migrant workers amounting forced labour projects country,6.88,"st,century,qatar,emerged,middle,power,arab,world,resource,wealth,globally,expanding,media,group,al,jazeera,media,network,reportedly,supporting,rebel,groups,financially,arab,spring,qatar,forms,gulf,cooperation,council,qatars,human,rights,record,regarded,academics,non,governmental,organisations,generally,poor,restrictions,civil,liberties,freedoms,association,expression,press,treatment,thousands,migrant,workers,amounting,forced,labour,projects,country",0.00,qatar
"pliny the elder a roman writer documented the earliest account pertaining to the inhabitants of the peninsula around the mid first century ad referring to them as the catharrei a designation that may have derived from the name of a prominent local settlement a century later ptolemy produced the first known map to depict the peninsula referring to it as catara the map also referenced a town named cadara to the east of the peninsula the term catara  was exclusively used until the th century after which katara emerged as the most commonly recognised spelling eventually after several variations  katr kattar and guttur  the modern derivative qatar was adopted as the countrys name
",pliny elder roman writer documented earliest account pertaining inhabitants peninsula mid century ad referring catharrei designation derived prominent local settlement century later ptolemy produced known map depict peninsula referring catara map referenced town named cadara east peninsula term catara exclusively th century katara emerged commonly recognised spelling eventually variations katr kattar guttur modern derivative qatar adopted countrys,8.19,"pliny,elder,roman,writer,documented,earliest,account,pertaining,inhabitants,peninsula,mid,century,ad,referring,catharrei,designation,derived,prominent,local,settlement,century,later,ptolemy,produced,known,map,depict,peninsula,referring,catara,map,referenced,town,named,cadara,east,peninsula,term,catara,exclusively,th,century,katara,emerged,commonly,recognised,spelling,eventually,variations,katr,kattar,guttur,modern,derivative,qatar,adopted,countrys",0.00,qatar
"human habitation in qatar dates back to  years ago settlements and tools dating back to the stone age have been unearthed in the peninsula mesopotamian artifacts originating from the ubaid period  have been discovered in abandoned coastal settlements al daasa a settlement located on the western coast of qatar is the most important ubaid site in the country and is believed to have accommodated a small seasonal encampment
",human habitation qatar dates years ago settlements tools dating stone age unearthed peninsula mesopotamian artifacts originating ubaid period discovered abandoned coastal settlements al daasa settlement located western coast qatar important ubaid site country believed accommodated small seasonal encampment,7.08,"human,habitation,qatar,dates,years,ago,settlements,tools,dating,stone,age,unearthed,peninsula,mesopotamian,artifacts,originating,ubaid,period,discovered,abandoned,coastal,settlements,al,daasa,settlement,located,western,coast,qatar,important,ubaid,site,country,believed,accommodated,small,seasonal,encampment",0.00,qatar
"kassite babylonian material dating back to the second millennium because found in al khor islands attests to trade relations between the inhabitants of qatar and the kassites in modern day bahrain among the findings were  crushed snail shells and kassite potsherds it has been suggested that qatar is the earliest known site of shellfish dye production owing to a kassite purple dye industry which existed on the coast
",kassite babylonian material dating second millennium found al khor islands attests trade relations inhabitants qatar kassites modern day bahrain findings crushed snail shells kassite potsherds suggested qatar earliest known site shellfish dye production owing kassite purple dye industry existed coast,6.68,"kassite,babylonian,material,dating,second,millennium,found,al,khor,islands,attests,trade,relations,inhabitants,qatar,kassites,modern,day,bahrain,findings,crushed,snail,shells,kassite,potsherds,suggested,qatar,earliest,known,site,shellfish,dye,production,owing,kassite,purple,dye,industry,existed,coast",0.00,qatar
"in  ad the sasanian empire gained control over the territories surrounding the persian gulf qatar played a role in the commercial activity of the sasanids contributing at least two commodities precious pearls and purple dyecitation needed under the sasanid reign many of the inhabitants in eastern arabia were introduced to christianity following the eastward dispersal of the religion by mesopotamian christians monasteries were constructed and further settlements were founded during this era during the latter part of the christian era qatar comprised a region known as beth qatraye  the region was not limited to qatar it also included bahrain tarout island al khatt and al hasa
",ad sasanian empire gained control territories surrounding persian gulf qatar played role commercial activity sasanids contributing commodities precious pearls purple dyecitation needed sasanid reign inhabitants eastern arabia introduced christianity following eastward dispersal religion mesopotamian christians monasteries constructed settlements founded era christian era qatar comprised region known beth qatraye region limited qatar included bahrain tarout island al khatt al hasa,6.88,"ad,sasanian,empire,gained,control,territories,surrounding,persian,gulf,qatar,played,role,commercial,activity,sasanids,contributing,commodities,precious,pearls,purple,dyecitation,needed,sasanid,reign,inhabitants,eastern,arabia,introduced,christianity,following,eastward,dispersal,religion,mesopotamian,christians,monasteries,constructed,settlements,founded,era,christian,era,qatar,comprised,region,known,beth,qatraye,region,limited,qatar,included,bahrain,tarout,island,al,khatt,al,hasa",0.00,qatar
"qatar was described as a famous horse and camel breeding centre during the umayyad period in the th century it started benefiting from its commercially strategic position in the persian gulf and went on to become a centre of pearl trading
",qatar described famous horse camel breeding centre umayyad period th century started benefiting commercially strategic position persian gulf went centre pearl trading,7.95,"qatar,described,famous,horse,camel,breeding,centre,umayyad,period,th,century,started,benefiting,commercially,strategic,position,persian,gulf,went,centre,pearl,trading",0.00,qatar
"substantial development in the pearling industry around the qatari peninsula occurred during the abbasid era ships voyaging from basra to india and china would make stops in qatars ports during this period chinese porcelain west african coins and artefacts from thailand have been discovered in qatar archaeological remains from the th century suggest that qatars inhabitants used greater wealth to construct higher quality homes and public buildings over  stone built houses two mosques and an abbasid fort were constructed in murwab during this period when the caliphates prosperity declined in iraq so too did it in qatar
qatar is mentioned in th century muslim scholar yaqut al hamawis book mujam al buldan which alludes to the qataris fine striped woven cloaks and their skills in improvement and finishing of spears
",substantial development pearling industry qatari peninsula occurred abbasid era ships voyaging basra india china stops qatars ports period chinese porcelain west african coins artefacts thailand discovered qatar archaeological remains th century suggest qatars inhabitants greater wealth construct higher quality homes public buildings stone built houses mosques abbasid fort constructed murwab period caliphates prosperity declined iraq qatarqatar mentioned th century muslim scholar yaqut al hamawis book mujam al buldan alludes qataris fine striped woven cloaks skills improvement finishing spears,6.20,"substantial,development,pearling,industry,qatari,peninsula,occurred,abbasid,era,ships,voyaging,basra,india,china,stops,qatars,ports,period,chinese,porcelain,west,african,coins,artefacts,thailand,discovered,qatar,archaeological,remains,th,century,suggest,qatars,inhabitants,greater,wealth,construct,higher,quality,homes,public,buildings,stone,built,houses,mosques,abbasid,fort,constructed,murwab,period,caliphates,prosperity,declined,iraq,qatarqatar,mentioned,th,century,muslim,scholar,yaqut,al,hamawis,book,mujam,al,buldan,alludes,qataris,fine,striped,woven,cloaks,skills,improvement,finishing,spears",0.00,qatar
