Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"quito  quechua kitu formally san francisco de quito is the capital of ecuador with an estimated population of  million in its urban area it is also the capital of the province of pichincha quito is located in a valley on the eastern slopes of pichincha an active stratovolcano in the andes at an elevation of  m  making it the second highest capital city in the world
",quito quechua kitu formally san francisco de quito capital ecuador estimated population million urban area capital province pichincha quito located valley eastern slopes pichincha active stratovolcano andes elevation making second highest capital city world,8.70,"quito,quechua,kitu,formally,san,francisco,de,quito,capital,ecuador,estimated,population,million,urban,area,capital,province,pichincha,quito,located,valley,eastern,slopes,pichincha,active,stratovolcano,andes,elevation,making,second,highest,capital,city,world",0.00,quito
"quito is the political and cultural center of ecuador as the countrys major governmental administrative and cultural institutions are located within the city the majority of transnational companies with a presence in ecuador are headquartered there it is also one of the countrys two major industrial centersthe port city of guayaquil being the other one
",quito political cultural center ecuador countrys major governmental administrative cultural institutions located city majority transnational companies presence ecuador headquartered countrys major industrial centersthe port city guayaquil,8.17,"quito,political,cultural,center,ecuador,countrys,major,governmental,administrative,cultural,institutions,located,city,majority,transnational,companies,presence,ecuador,headquartered,countrys,major,industrial,centersthe,port,city,guayaquil",0.00,quito
"the date of its first habitation is unknown but archaeological evidence suggests that it was first settled by sedentary populations between  and  because in the late fifteenth century the inca emperor huayna capac defeated the quitu the regions original inhabitants and incorporated quito into the inca empire designating it into the capital of the inca empires northern region the spanish conquest of the city in  is the date most frequently cited as the citys official founding making quito the oldest capital in south america
",date habitation unknown archaeological evidence suggests settled sedentary populations late fifteenth century inca emperor huayna capac defeated quitu regions original inhabitants incorporated quito inca empire designating capital inca empires northern region spanish conquest city date frequently cited citys official founding making quito oldest capital south america,7.18,"date,habitation,unknown,archaeological,evidence,suggests,settled,sedentary,populations,late,fifteenth,century,inca,emperor,huayna,capac,defeated,quitu,regions,original,inhabitants,incorporated,quito,inca,empire,designating,capital,inca,empires,northern,region,spanish,conquest,city,date,frequently,cited,citys,official,founding,making,quito,oldest,capital,south,america",0.00,quito
"quitos historic center is among the largest and best preserved in the americas in  quito and krakw were the first world cultural heritage sites declared by unesco quito is the capital city closest to the equator with its northern limits ending about  km  south of the line
",quitos historic center largest best preserved americas quito krakw world cultural heritage sites declared unesco quito capital city closest equator northern limits ending km south line,7.69,"quitos,historic,center,largest,best,preserved,americas,quito,krakw,world,cultural,heritage,sites,declared,unesco,quito,capital,city,closest,equator,northern,limits,ending,km,south,line",0.00,quito
"the oldest traces of human presence in quito were excavated by american archeologist robert e bell in  on the slopes of the ilal volcano located between the eastern valleys of los chillos and tumbaco hunter gatherers left tools of obsidian glass dated to  because this archeological site called ei inga was brought to robert bells attention by allen graffham while employed as a geologist in ecuador graffham pursued his amateur interest in archeology he made surface collections at the site during  the discovery of projectile points particularly specimens with basal fluting stimulated his interest and he made several visits to the site to collect surface materials graffhams previous interest in paleo indian remains and his experience with early human made materials in kansas and nebraska in the central plains of the united states led him to believe that the site was an important discovery
",oldest traces human presence quito excavated american archeologist robert e bell slopes ilal volcano located eastern valleys los chillos tumbaco hunter gatherers left tools obsidian glass dated archeological site called ei inga brought robert bells attention allen graffham employed geologist ecuador graffham pursued amateur interest archeology surface collections site discovery projectile points particularly specimens basal fluting stimulated interest visits site collect surface materials graffhams previous interest paleo indian remains experience early human materials kansas nebraska central plains united states led believe site important discovery,6.68,"oldest,traces,human,presence,quito,excavated,american,archeologist,robert,e,bell,slopes,ilal,volcano,located,eastern,valleys,los,chillos,tumbaco,hunter,gatherers,left,tools,obsidian,glass,dated,archeological,site,called,ei,inga,brought,robert,bells,attention,allen,graffham,employed,geologist,ecuador,graffham,pursued,amateur,interest,archeology,surface,collections,site,discovery,projectile,points,particularly,specimens,basal,fluting,stimulated,interest,visits,site,collect,surface,materials,graffhams,previous,interest,paleo,indian,remains,experience,early,human,materials,kansas,nebraska,central,plains,united,states,led,believe,site,important,discovery",0.00,quito
"the second important vestige of human settlement was found in the current neighborhood of cotocollao  northwest of quito the prehistoric village covered over  hectares in an area irrigated by many creeks near the ancient rectangular houses there are burials with pottery and stone offerings the cotocollao people extracted and exported obsidian to the coastal region
",second important vestige human settlement found current neighborhood cotocollao northwest quito prehistoric village covered hectares area irrigated creeks near ancient rectangular houses burials pottery stone offerings cotocollao people extracted exported obsidian coastal region,5.99,"second,important,vestige,human,settlement,found,current,neighborhood,cotocollao,northwest,quito,prehistoric,village,covered,hectares,area,irrigated,creeks,near,ancient,rectangular,houses,burials,pottery,stone,offerings,cotocollao,people,extracted,exported,obsidian,coastal,region",0.00,quito
"early colonial priests and historians wrote about the quitu people and a kingdom of quito their accounts said that another people known as the cara or the schyris came from the coast and took over the region by ad  on what is sometimes called the cara quitu kingdom they ruled until the inca took over the territory in the th century quitu descendants survived in the city even after the spanish conquest
",early colonial priests historians wrote quitu people kingdom quito accounts said people known cara schyris came coast took region ad called cara quitu kingdom ruled inca took territory th century quitu descendants survived city spanish conquest,8.89,"early,colonial,priests,historians,wrote,quitu,people,kingdom,quito,accounts,said,people,known,cara,schyris,came,coast,took,region,ad,called,cara,quitu,kingdom,ruled,inca,took,territory,th,century,quitu,descendants,survived,city,spanish,conquest",0.00,quito
"in the early st century there were spectacular new finds of  meter deep tombs in the la florida neighborhood of quito dating to ad  they provide evidence of the high quality of craftsmanship among the quitu and of the elaborate and complex character of their funerary rites in  the museo de sitio la florida opened to preserve some of the artifacts from the tombs and explain this complex culture
",early st century spectacular new finds meter deep tombs la florida neighborhood quito dating ad provide evidence high quality craftsmanship quitu elaborate complex character funerary rites museo de sitio la florida opened preserve artifacts tombs explain complex culture,7.81,"early,st,century,spectacular,new,finds,meter,deep,tombs,la,florida,neighborhood,quito,dating,ad,provide,evidence,high,quality,craftsmanship,quitu,elaborate,complex,character,funerary,rites,museo,de,sitio,la,florida,opened,preserve,artifacts,tombs,explain,complex,culture",0.00,quito
"inca indigenous resistance to spanish colonization continued during  the conquistador diego de almagro founded santiago de quito  on  august  renamed as san francisco de quito on  august  the city was later refounded at its present location on  december  by  settlers led by sebastin de benalczar who captured leader rumiahui effectively ending all organized resistance rumiahui was executed on  january 
",inca indigenous resistance spanish colonization continued conquistador diego de almagro founded santiago de quito august renamed san francisco de quito august city later refounded present location december settlers led sebastin de benalczar captured leader rumiahui effectively ending organized resistance rumiahui executed january,4.20,"inca,indigenous,resistance,spanish,colonization,continued,conquistador,diego,de,almagro,founded,santiago,de,quito,august,renamed,san,francisco,de,quito,august,city,later,refounded,present,location,december,settlers,led,sebastin,de,benalczar,captured,leader,rumiahui,effectively,ending,organized,resistance,rumiahui,executed,january",0.00,quito
"on  march  quito was declared a city and on  february  it was given the title muy noble y muy leal ciudad de san francisco de quito  marking the start of its next phase of urban development in  quito became the seat of a real audiencia  of spain it was classified as part of the viceroyalty of peru until  after which the audiencia was part of the new viceroyalty of nueva granada under both viceroyalties the district was administered from quito 
",march quito declared city february given title muy noble muy leal ciudad de san francisco de quito marking start phase urban development quito seat real audiencia spain classified viceroyalty peru audiencia new viceroyalty nueva granada viceroyalties district administered quito,9.15,"march,quito,declared,city,february,given,title,muy,noble,muy,leal,ciudad,de,san,francisco,de,quito,marking,start,phase,urban,development,quito,seat,real,audiencia,spain,classified,viceroyalty,peru,audiencia,new,viceroyalty,nueva,granada,viceroyalties,district,administered,quito",0.00,quito
"the spanish established roman catholicism in quito the first church  was built before the city was officially founded in january  the san francisco convent was constructed the first of about  churches and convents built during the colonial period the spanish converted the indigenous population to christianity and used them as labor for constructioncitation needed
",spanish established roman catholicism quito church built city officially founded january san francisco convent constructed churches convents built colonial period spanish converted indigenous population christianity labor constructioncitation needed,7.10,"spanish,established,roman,catholicism,quito,church,built,city,officially,founded,january,san,francisco,convent,constructed,churches,convents,built,colonial,period,spanish,converted,indigenous,population,christianity,labor,constructioncitation,needed",0.00,quito
