Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"raipur development authority
",raipur development authority,0.00,"raipur,development,authority",0.00,raipur
"raipur  is the capital city of the indian state of chhattisgarh raipur is also the administrative headquarters of raipur district and raipur division and the largest city of the state it was a part of madhya pradesh before the state of chhattisgarh was formed on  november  it is a major commercial hub for trade and commerce in the region it has exponential industrial growth and has become a major business hub in central india it has been ranked as indias th cleanest city as per the swachh survekshan for the year  raipur is ranked th in the ease of living index  and th in the municipal performance index  both by the ministry of housing and urban affairs 
",raipur capital city indian state chhattisgarh raipur administrative headquarters raipur district raipur division largest city state madhya pradesh state chhattisgarh formed november major commercial hub trade commerce region exponential industrial growth major business hub central india ranked indias th cleanest city swachh survekshan year raipur ranked th ease living index th municipal performance index ministry housing urban affairs,8.91,"raipur,capital,city,indian,state,chhattisgarh,raipur,administrative,headquarters,raipur,district,raipur,division,largest,city,state,madhya,pradesh,state,chhattisgarh,formed,november,major,commercial,hub,trade,commerce,region,exponential,industrial,growth,major,business,hub,central,india,ranked,indias,th,cleanest,city,swachh,survekshan,year,raipur,ranked,th,ease,living,index,th,municipal,performance,index,ministry,housing,urban,affairs",0.00,raipur
"raipur is also regarded as one of the best cities to do business it is abundantly rich in mineral resources and is among the biggest producers of steel and iron in the country there are about  steel rolling mills  sponge iron plants at least  steel plants  plywood factories  ferro alloy plants and  agro industries in the city in addition raipur also has over  rice milling plants
",raipur regarded best cities business abundantly rich mineral resources biggest producers steel iron country steel rolling mills sponge iron plants steel plants plywood factories ferro alloy plants agro industries city addition raipur rice milling plants,8.12,"raipur,regarded,best,cities,business,abundantly,rich,mineral,resources,biggest,producers,steel,iron,country,steel,rolling,mills,sponge,iron,plants,steel,plants,plywood,factories,ferro,alloy,plants,agro,industries,city,addition,raipur,rice,milling,plants",0.00,raipur
"the earliest archaeological evidence from old sites and ruins of the fort indicate that raipur has existed since at least the th century however there is enough literary evidence that defines the history of raipur since the time of the maurya empire raipur district was once part of southern kosal and considered to be under the maurya empire raipur had later been the capital of the haihaya kings controlling the traditional forts of chhattisgarh for a long time satawahana kings ruled this part till the nd rd century ce samudragupta had conquered this region in the fourth century but the region came under the sway of sarabhpuri kings and then nala kings in the th and th centuries later on somavanshi kings had taken control over this region and ruled with sirpur as their capital city the kalchuri kings of tumman ruled this part for a long time making ratanpur as capital it is believed that the king ramachandra of this dynasty established the city of raipur and subsequently made it the capital of his kingdom
",earliest archaeological evidence old sites ruins fort indicate raipur existed th century literary evidence defines history raipur time maurya empire raipur district southern kosal considered maurya empire raipur later capital haihaya kings controlling traditional forts chhattisgarh long time satawahana kings ruled till nd rd century ce samudragupta conquered region fourth century region came sway sarabhpuri kings nala kings th th centuries later somavanshi kings taken control region ruled sirpur capital city kalchuri kings tumman ruled long time making ratanpur capital believed king ramachandra dynasty established city raipur subsequently capital kingdom,8.44,"earliest,archaeological,evidence,old,sites,ruins,fort,indicate,raipur,existed,th,century,literary,evidence,defines,history,raipur,time,maurya,empire,raipur,district,southern,kosal,considered,maurya,empire,raipur,later,capital,haihaya,kings,controlling,traditional,forts,chhattisgarh,long,time,satawahana,kings,ruled,till,nd,rd,century,ce,samudragupta,conquered,region,fourth,century,region,came,sway,sarabhpuri,kings,nala,kings,th,th,centuries,later,somavanshi,kings,taken,control,region,ruled,sirpur,capital,city,kalchuri,kings,tumman,ruled,long,time,making,ratanpur,capital,believed,king,ramachandra,dynasty,established,city,raipur,subsequently,capital,kingdom",0.00,raipur
"another story about raipur is that king ramachandras son brahmdeo rai had established the city his capital was khalwatika  the newly constructed city was named after brahmdeo rai as raipur it was during this time in  ce that the temple of hatkeshwar mahadev was constructed on the banks of the river kharun which remains one of the oldest landmarks in raipur after the death of king amarsingh deo this region had become the domain of the bhonsle kings of nagpur
with the death of raghuji the iii the territory was assumed by the british government from the bhonsle kings and chhattisgarh was declared a separate commission with its headquarters at raipur in  after independence the raipur district was included in the central provinces and berar raipur district became a part of madhya pradesh on  november  and subsequently became a part of chhattisgarh on  november  with raipur becoming the capital of the new state
",story raipur king ramachandras son brahmdeo rai established city capital khalwatika newly constructed city named brahmdeo rai raipur time ce temple hatkeshwar mahadev constructed banks river kharun remains oldest landmarks raipur death king amarsingh deo region domain bhonsle kings nagpurwith death raghuji iii territory assumed british government bhonsle kings chhattisgarh declared separate commission headquarters raipur independence raipur district included central provinces berar raipur district madhya pradesh november subsequently chhattisgarh november raipur capital new state,8.60,"story,raipur,king,ramachandras,son,brahmdeo,rai,established,city,capital,khalwatika,newly,constructed,city,named,brahmdeo,rai,raipur,time,ce,temple,hatkeshwar,mahadev,constructed,banks,river,kharun,remains,oldest,landmarks,raipur,death,king,amarsingh,deo,region,domain,bhonsle,kings,nagpurwith,death,raghuji,iii,territory,assumed,british,government,bhonsle,kings,chhattisgarh,declared,separate,commission,headquarters,raipur,independence,raipur,district,included,central,provinces,berar,raipur,district,madhya,pradesh,november,subsequently,chhattisgarh,november,raipur,capital,new,state",0.00,raipur
"as of theupdate  census raipur municipal corporation had a population of  of which  are males and  are femalesa sex ratio of  females per  males higher than the national average of  per   children are in the age group of  years of which  are boys and  are girlsa ratio of  girls per  boys there are  literates  the effective literacy was  male literacy was  and female literacy was  significantly higher than the national average of 
",theupdate census raipur municipal corporation population males femalesa sex ratio females males higher national average children age group years boys girlsa ratio girls boys literates effective literacy male literacy female literacy significantly higher national average,8.53,"theupdate,census,raipur,municipal,corporation,population,males,femalesa,sex,ratio,females,males,higher,national,average,children,age,group,years,boys,girlsa,ratio,girls,boys,literates,effective,literacy,male,literacy,female,literacy,significantly,higher,national,average",0.00,raipur
"raipur is located near the centre of a large plain sometimes referred to as the rice bowl of india where hundreds of varieties of rice are grown the mahanadi river flows to the east of the city of raipur and the southern side has dense forests the maikal hills rise on the north west of raipur on the north the land rises and merges with the chota nagpur plateau which extends north east across jharkhand state on the south of raipur lies the deccan plateaucitation needed
",raipur located near centre large plain referred rice bowl india hundreds varieties rice grown mahanadi river flows east city raipur southern dense forests maikal hills rise north west raipur north land rises merges chota nagpur plateau extends north east jharkhand state south raipur lies deccan plateaucitation needed,8.25,"raipur,located,near,centre,large,plain,referred,rice,bowl,india,hundreds,varieties,rice,grown,mahanadi,river,flows,east,city,raipur,southern,dense,forests,maikal,hills,rise,north,west,raipur,north,land,rises,merges,chota,nagpur,plateau,extends,north,east,jharkhand,state,south,raipur,lies,deccan,plateaucitation,needed",0.00,raipur
"raipur has a tropical wet and dry climate temperatures remain moderate throughout the year except from march to june which can be extremely hot the temperature in aprilmay sometimes rises above  c  these summer months also have dry and hot winds
the city receives about  millimetres  of rain mostly in the monsoon season from late june to early october winters last from november to january and are mild although lows can fall to  c  making it reasonably coldcitation needed
",raipur tropical wet dry climate temperatures remain moderate year march june extremely hot temperature aprilmay rises c summer months dry hot windsthe city receives millimetres rain monsoon season late june early october winters november january mild lows fall c making reasonably coldcitation needed,7.58,"raipur,tropical,wet,dry,climate,temperatures,remain,moderate,year,march,june,extremely,hot,temperature,aprilmay,rises,c,summer,months,dry,hot,windsthe,city,receives,millimetres,rain,monsoon,season,late,june,early,october,winters,november,january,mild,lows,fall,c,making,reasonably,coldcitation,needed",0.00,raipur
"raipur city has a municipal corporation it was initially established by the british on  may  initially named raipur municipal committee it was upgraded to raipur municipal corporation in the year  the area of the municipal corporation is  km  rmc is governed under the guidelines mentioned in the chhattisgarh municipalities act  as per the  census of india the urban agglomeration population in raipur durg bhilai was  the three urban cities of raipur bhilai and durg in the west central region of chhattisgarh together create the raipur bhilai durg tri city metro area
",raipur city municipal corporation initially established british initially named raipur municipal committee upgraded raipur municipal corporation year area municipal corporation km rmc governed guidelines mentioned chhattisgarh municipalities act census india urban agglomeration population raipur durg bhilai urban cities raipur bhilai durg west central region chhattisgarh create raipur bhilai durg tri city metro area,6.65,"raipur,city,municipal,corporation,initially,established,british,initially,named,raipur,municipal,committee,upgraded,raipur,municipal,corporation,year,area,municipal,corporation,km,rmc,governed,guidelines,mentioned,chhattisgarh,municipalities,act,census,india,urban,agglomeration,population,raipur,durg,bhilai,urban,cities,raipur,bhilai,durg,west,central,region,chhattisgarh,create,raipur,bhilai,durg,tri,city,metro,area",0.00,raipur
"the executive committee consists of the commissioner deputy commissioner city health officers executive engineers zone commissioners and other staff the municipal commissioner of raipur is shri saurabh kumar  the current mayor is aijaz dhebar from inc the mayor in the council consists of the mayor who is the ex officio chairperson of the mic among elected councillors the mayor elects them to the council there are  wards and  zones within the raipur municipal corporation the zonal ward committees are headed by chairpersons who are elected by ward councillors of the respective zone
",executive committee consists commissioner deputy commissioner city health officers executive engineers zone commissioners staff municipal commissioner raipur shri saurabh kumar current mayor aijaz dhebar inc mayor council consists mayor ex officio chairperson mic elected councillors mayor elects council wards zones raipur municipal corporation zonal ward committees headed chairpersons elected ward councillors respective zone,6.64,"executive,committee,consists,commissioner,deputy,commissioner,city,health,officers,executive,engineers,zone,commissioners,staff,municipal,commissioner,raipur,shri,saurabh,kumar,current,mayor,aijaz,dhebar,inc,mayor,council,consists,mayor,ex,officio,chairperson,mic,elected,councillors,mayor,elects,council,wards,zones,raipur,municipal,corporation,zonal,ward,committees,headed,chairpersons,elected,ward,councillors,respective,zone",0.00,raipur
