Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"rajasthan royals  are  a franchise cricket team based in jaipur rajasthan that plays in the indian premier league  founded in  as one of the initial eight ipl franchises the team is based at the sawai mansingh stadium in jaipur the royals are known to unearth obscure high potential talent as well as for their involvement in a number of controversies and scandals
",rajasthan royals franchise cricket team based jaipur rajasthan plays indian premier league founded initial ipl franchises team based sawai mansingh stadium jaipur royals known unearth obscure high potential talent involvement number controversies scandals,7.95,"rajasthan,royals,franchise,cricket,team,based,jaipur,rajasthan,plays,indian,premier,league,founded,initial,ipl,franchises,team,based,sawai,mansingh,stadium,jaipur,royals,known,unearth,obscure,high,potential,talent,involvement,number,controversies,scandals",0.00,rajasthan
"on  july  the verdict reached by a panel appointed by the supreme court of india suspended rajasthan royals and chennai super kings for two years over a  betting scandal meaning they could not participate in both the  and  ipl tournaments they returned to the competition for the  season
",july verdict reached panel appointed supreme court india suspended rajasthan royals chennai super kings years betting scandal meaning participate ipl tournaments returned competition season,8.33,"july,verdict,reached,panel,appointed,supreme,court,india,suspended,rajasthan,royals,chennai,super,kings,years,betting,scandal,meaning,participate,ipl,tournaments,returned,competition,season",0.00,rajasthan
"the board of control for cricket in india  announced the establishment of the indian premier league  in september  a twenty competition to be started in  the rajasthan royals were one of the original eight teams in the inaugural season of the ipl in  emerging media gained ownership of the jaipur based franchise team with a bid of  million making it the least expensive team in the league
",board control cricket india announced establishment indian premier league september competition started rajasthan royals original teams inaugural season ipl emerging media gained ownership jaipur based franchise team bid million making expensive team league,8.72,"board,control,cricket,india,announced,establishment,indian,premier,league,september,competition,started,rajasthan,royals,original,teams,inaugural,season,ipl,emerging,media,gained,ownership,jaipur,based,franchise,team,bid,million,making,expensive,team,league",0.00,rajasthan
"in  the bcci decided to expel kings xi punjab and rajasthan royals from the ipl the expulsion baffled captain shane warne who stated that he suspected that there might be some foul play and that the bcci might possess some ulterior motives the rajasthan royals filed an appeal against the decision and the two parties went to the mumbai high court to decide the mumbai high court adjourned that case until  october  but it was revised to  november because they did not want it to coincide with diwali celebrations from  to  november
",bcci decided expel kings xi punjab rajasthan royals ipl expulsion baffled captain shane warne stated suspected foul play bcci possess ulterior motives rajasthan royals filed appeal decision parties went mumbai high court decide mumbai high court adjourned case october revised november want coincide diwali celebrations november,8.63,"bcci,decided,expel,kings,xi,punjab,rajasthan,royals,ipl,expulsion,baffled,captain,shane,warne,stated,suspected,foul,play,bcci,possess,ulterior,motives,rajasthan,royals,filed,appeal,decision,parties,went,mumbai,high,court,decide,mumbai,high,court,adjourned,case,october,revised,november,want,coincide,diwali,celebrations,november",0.00,rajasthan
"later it was announced by the royals that they told the bombay high court that they would be negotiating with an arbitrator to see if they could reconcile with the ipl the arbitrator announced that while the investigation was ongoing the royals would remain a part of the ipl for six weeks and the bcci would not be allowed to change rules which might go against the royals the six week period included the player auction in which rajasthan royals participated after this the bombay high court rejected the appeals of the bcci against keeping the rajasthan royals in the ipl for six weeks while the case was sorted out it was estimated that because of the losses in court cases and damage in reputation the bcci decided not to pursue further legal action against the rajasthan royals or kings xi punjab  the teams were allowed to remain in the ipl
",later announced royals told bombay high court negotiating arbitrator reconcile ipl arbitrator announced investigation ongoing royals remain ipl weeks bcci allowed change rules royals week period included player auction rajasthan royals participated bombay high court rejected appeals bcci keeping rajasthan royals ipl weeks case sorted estimated losses court cases damage reputation bcci decided pursue legal action rajasthan royals kings xi punjab teams allowed remain ipl,10.14,"later,announced,royals,told,bombay,high,court,negotiating,arbitrator,reconcile,ipl,arbitrator,announced,investigation,ongoing,royals,remain,ipl,weeks,bcci,allowed,change,rules,royals,week,period,included,player,auction,rajasthan,royals,participated,bombay,high,court,rejected,appeals,bcci,keeping,rajasthan,royals,ipl,weeks,case,sorted,estimated,losses,court,cases,damage,reputation,bcci,decided,pursue,legal,action,rajasthan,royals,kings,xi,punjab,teams,allowed,remain,ipl",0.00,rajasthan
"rajasthan royals became the source of controversy when inappropriate and fictitious bids were made violating bcci norms ranjit barthakur and fraser castellino were the only two shareholders of the team which was completely unknown to the bcci at the time an out of court settlement between the two ensuedcitation needed in  rajasthan royals were banned for two years by the bcci with its owner raj kundra banned for life
",rajasthan royals source controversy inappropriate fictitious bids violating bcci norms ranjit barthakur fraser castellino shareholders team completely unknown bcci time court settlement ensuedcitation needed rajasthan royals banned years bcci owner raj kundra banned life,8.31,"rajasthan,royals,source,controversy,inappropriate,fictitious,bids,violating,bcci,norms,ranjit,barthakur,fraser,castellino,shareholders,team,completely,unknown,bcci,time,court,settlement,ensuedcitation,needed,rajasthan,royals,banned,years,bcci,owner,raj,kundra,banned,life",0.00,rajasthan
"rajasthan royals ended th out of the  teams in the competition winning  matches out of the  they played the royals failed to make it to the semi finals after losing their last two matches against delhi daredevils and kolkata knight riders
",rajasthan royals ended th teams competition winning matches played royals failed semi finals losing matches delhi daredevils kolkata knight riders,8.79,"rajasthan,royals,ended,th,teams,competition,winning,matches,played,royals,failed,semi,finals,losing,matches,delhi,daredevils,kolkata,knight,riders",0.00,rajasthan
"on  may  it was announced that rajasthan royals would meet middlesex crusaders in a one off twenty for the british asian cup it was the first time that an annual charity series was to be played between the twenty champions of the two countries the match took place on  july  the teams were announced on  july  with rajasthan royals including mohammad kaif and the comeback of sohail tanvir
",announced rajasthan royals meet middlesex crusaders british asian cup time annual charity series played champions countries match took place july teams announced july rajasthan royals including mohammad kaif comeback sohail tanvir,9.49,"announced,rajasthan,royals,meet,middlesex,crusaders,british,asian,cup,time,annual,charity,series,played,champions,countries,match,took,place,july,teams,announced,july,rajasthan,royals,including,mohammad,kaif,comeback,sohail,tanvir",0.00,rajasthan
"the match was won by rajasthan royals by  runs after scoring  in  overs and successfully defending it by  runs  the man of the match was dimitri mascarenhas
",match rajasthan royals runs scoring overs successfully defending runs man match dimitri mascarenhas,8.92,"match,rajasthan,royals,runs,scoring,overs,successfully,defending,runs,man,match,dimitri,mascarenhas",0.00,rajasthan
"the royals were back in india after their average outing in south africa this time they seemed to be a better outfit as they were to play in conditions that should have suited them the most but they had to suffer an unfortunate start to the competition with a narrow  run defeat to the mumbai indians at the brabourne stadium in mumbai the highlight of this match though was yusuf pathan hitting the fastest ever hundred in ipl history off only  balls even some of the mumbai fans were disappointed not to see rajasthan win by the end of it all
",royals india average outing south africa time better outfit play conditions suited suffer unfortunate start competition narrow run defeat mumbai indians brabourne stadium mumbai highlight match yusuf pathan hitting fastest ipl history balls mumbai fans disappointed rajasthan win end,11.38,"royals,india,average,outing,south,africa,time,better,outfit,play,conditions,suited,suffer,unfortunate,start,competition,narrow,run,defeat,mumbai,indians,brabourne,stadium,mumbai,highlight,match,yusuf,pathan,hitting,fastest,ipl,history,balls,mumbai,fans,disappointed,rajasthan,win,end",0.00,rajasthan
