Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"rajasthan  lit land of kings is a state in northern india it covers  square kilometres  or  per cent of indias total geographical area it is the largest indian state by area and the seventh largest by population it is on indias northwestern side where it comprises most of the wide and inhospitable thar desert  and shares a border with the pakistani provinces of punjab to the northwest and sindh to the west along the sutlej indus river valley it is bordered by five other indian states punjab to the north haryana and uttar pradesh to the northeast madhya pradesh to the southeast and gujarat to the southwest its geographical location is  to  north latitude and  to  east longitude with the tropic of cancer passing through its southernmost tip
",rajasthan lit land kings state northern india covers square kilometres cent indias total geographical area largest indian state area seventh largest population indias northwestern comprises wide inhospitable thar desert shares border pakistani provinces punjab northwest sindh west sutlej indus river valley bordered indian states punjab north haryana uttar pradesh northeast madhya pradesh southeast gujarat southwest geographical location north latitude east longitude tropic cancer passing southernmost tip,8.28,"rajasthan,lit,land,kings,state,northern,india,covers,square,kilometres,cent,indias,total,geographical,area,largest,indian,state,area,seventh,largest,population,indias,northwestern,comprises,wide,inhospitable,thar,desert,shares,border,pakistani,provinces,punjab,northwest,sindh,west,sutlej,indus,river,valley,bordered,indian,states,punjab,north,haryana,uttar,pradesh,northeast,madhya,pradesh,southeast,gujarat,southwest,geographical,location,north,latitude,east,longitude,tropic,cancer,passing,southernmost,tip",0.00,rajasthan
"its major features include the ruins of the indus valley civilisation at kalibangan and balathal the dilwara temples a jain pilgrimage site at rajasthans only hill station mount abu in the ancient aravalli mountain range and eastern rajasthan the keoladeo national park of bharatpur a world heritage site known for its bird life rajasthan is also home to three national tiger reserves the ranthambore national park in sawai madhopur sariska tiger reserve in alwar and the mukundra hills tiger reserve in kota
",major features include ruins indus valley civilisation kalibangan balathal dilwara temples jain pilgrimage site rajasthans hill station mount abu ancient aravalli mountain range eastern rajasthan keoladeo national park bharatpur world heritage site known bird life rajasthan home national tiger reserves ranthambore national park sawai madhopur sariska tiger reserve alwar mukundra hills tiger reserve kota,5.50,"major,features,include,ruins,indus,valley,civilisation,kalibangan,balathal,dilwara,temples,jain,pilgrimage,site,rajasthans,hill,station,mount,abu,ancient,aravalli,mountain,range,eastern,rajasthan,keoladeo,national,park,bharatpur,world,heritage,site,known,bird,life,rajasthan,home,national,tiger,reserves,ranthambore,national,park,sawai,madhopur,sariska,tiger,reserve,alwar,mukundra,hills,tiger,reserve,kota",0.00,rajasthan
"the state was formed on  march  when rajputana  the name adopted by the british raj for its dependencies in the region  was merged into the dominion of india its capital and largest city is jaipur other important cities are jodhpur kota bikaner ajmer bharatpur and udaipur the economy of rajasthan is the seventh largest state economy in india with  lakh crore  in gross domestic product and a per capita gdp of   rajasthan ranks th among indian states in human development index
",state formed march rajputana adopted british raj dependencies region merged dominion india capital largest city jaipur important cities jodhpur kota bikaner ajmer bharatpur udaipur economy rajasthan seventh largest state economy india lakh crore gross domestic product capita gdp rajasthan ranks th indian states human development index,7.29,"state,formed,march,rajputana,adopted,british,raj,dependencies,region,merged,dominion,india,capital,largest,city,jaipur,important,cities,jodhpur,kota,bikaner,ajmer,bharatpur,udaipur,economy,rajasthan,seventh,largest,state,economy,india,lakh,crore,gross,domestic,product,capita,gdp,rajasthan,ranks,th,indian,states,human,development,index",0.00,rajasthan
"rajasthan literally means the land of kings and is a portmanteau of sanskrit rj  and sanskrit sthna or persian stn with the same meaning the oldest reference to rajasthan is found in a stone inscription dated back to  ce the first printed mention of the name rajasthan appears in the  publication annals and antiquities of rajasthan or the central and western rajpoot states of india while the earliest known record of rajputana as a name for the region is in george thomass  memoir military memories john keay in his book india a history stated that rajputana was coined by the british in  john briggs translating ferishtas history of early islamic india used the phrase rajpoot  princes rather than indian princes
",rajasthan literally means land kings portmanteau sanskrit rj sanskrit sthna persian stn meaning oldest reference rajasthan found stone inscription dated ce printed mention rajasthan appears publication annals antiquities rajasthan central western rajpoot states india earliest known record rajputana region george thomass memoir military memories john keay book india history stated rajputana coined british john briggs translating ferishtas history early islamic india phrase rajpoot princes indian princes,7.54,"rajasthan,literally,means,land,kings,portmanteau,sanskrit,rj,sanskrit,sthna,persian,stn,meaning,oldest,reference,rajasthan,found,stone,inscription,dated,ce,printed,mention,rajasthan,appears,publication,annals,antiquities,rajasthan,central,western,rajpoot,states,india,earliest,known,record,rajputana,region,george,thomass,memoir,military,memories,john,keay,book,india,history,stated,rajputana,coined,british,john,briggs,translating,ferishtas,history,early,islamic,india,phrase,rajpoot,princes,indian,princes",0.00,rajasthan
"parts of what is now rajasthan were partly part of the vedic civilisation and the indus valley civilization kalibangan in hanumangarh district was a major provincial capital of the indus valley civilization another archaeological excavation at the balathal site in udaipur district shows a settlement contemporary with the harrapan civilisation dating back to  bce
",parts rajasthan partly vedic civilisation indus valley civilization kalibangan hanumangarh district major provincial capital indus valley civilization archaeological excavation balathal site udaipur district shows settlement contemporary harrapan civilisation dating bce,6.58,"parts,rajasthan,partly,vedic,civilisation,indus,valley,civilization,kalibangan,hanumangarh,district,major,provincial,capital,indus,valley,civilization,archaeological,excavation,balathal,site,udaipur,district,shows,settlement,contemporary,harrapan,civilisation,dating,bce",0.00,rajasthan
"the matsya kingdom of the vedic civilisation of india is said to roughly corresponded to the former state of jaipur in rajasthan and included the whole of alwar with portions of bharatpur the capital of matsya was at viratanagar  which is said to have been named after its founder king virataneed quotation to verify
",matsya kingdom vedic civilisation india said roughly corresponded state jaipur rajasthan included alwar portions bharatpur capital matsya viratanagar said named founder king virataneed quotation verify,9.15,"matsya,kingdom,vedic,civilisation,india,said,roughly,corresponded,state,jaipur,rajasthan,included,alwar,portions,bharatpur,capital,matsya,viratanagar,said,named,founder,king,virataneed,quotation,verify",0.00,rajasthan
"bhargava identifies the two districts of jhunjhunu and sikar and parts of jaipur district along with haryana districts of mahendragarh and rewari as part of vedic state of brahmavarta bhargava also locates the present day sahibi river as the vedic drishadwati river which along with saraswati river formed the borders of the vedic state of brahmavarta manu and bhrigu narrated the manusmriti to a congregation of seers in this area the ashrams of vedic seers bhrigu and his son chayvan rishi for whom chyawanprash was formulated were near dhosi hill part of which lies in dhosi village of jhunjhunu district of rajasthan and part of which lies in mahendragarh district of haryana
",bhargava identifies districts jhunjhunu sikar parts jaipur district haryana districts mahendragarh rewari vedic state brahmavarta bhargava locates present day sahibi river vedic drishadwati river saraswati river formed borders vedic state brahmavarta manu bhrigu narrated manusmriti congregation seers area ashrams vedic seers bhrigu son chayvan rishi chyawanprash formulated near dhosi hill lies dhosi village jhunjhunu district rajasthan lies mahendragarh district haryana,7.65,"bhargava,identifies,districts,jhunjhunu,sikar,parts,jaipur,district,haryana,districts,mahendragarh,rewari,vedic,state,brahmavarta,bhargava,locates,present,day,sahibi,river,vedic,drishadwati,river,saraswati,river,formed,borders,vedic,state,brahmavarta,manu,bhrigu,narrated,manusmriti,congregation,seers,area,ashrams,vedic,seers,bhrigu,son,chayvan,rishi,chyawanprash,formulated,near,dhosi,hill,lies,dhosi,village,jhunjhunu,district,rajasthan,lies,mahendragarh,district,haryana",0.00,rajasthan
"prithviraj chauhan defeated the invading muhammad ghori in the first battle of tarain in  in  ce muhammad ghori decisively defeated prithviraj at the second battle of tarain after the defeat of chauhan in  ce a part of rajasthan came under muslim rulers the principal centers of their powers were nagaur and ajmer ranthambhore was also under their suzerainty at the beginning of the th century the most prominent and powerful state of rajasthan was mewar the rajputs resisted the muslim incursions into india although a number of rajput kingdoms eventually became subservient to the delhi sultanate
",prithviraj chauhan defeated invading muhammad ghori battle tarain ce muhammad ghori decisively defeated prithviraj second battle tarain defeat chauhan ce rajasthan came muslim rulers principal centers powers nagaur ajmer ranthambhore suzerainty beginning th century prominent powerful state rajasthan mewar rajputs resisted muslim incursions india number rajput kingdoms eventually subservient delhi sultanate,7.51,"prithviraj,chauhan,defeated,invading,muhammad,ghori,battle,tarain,ce,muhammad,ghori,decisively,defeated,prithviraj,second,battle,tarain,defeat,chauhan,ce,rajasthan,came,muslim,rulers,principal,centers,powers,nagaur,ajmer,ranthambhore,suzerainty,beginning,th,century,prominent,powerful,state,rajasthan,mewar,rajputs,resisted,muslim,incursions,india,number,rajput,kingdoms,eventually,subservient,delhi,sultanate",0.00,rajasthan
"the rajputs put up resistance to the islamic invasions with their warfare and chivalry for centuries the ranas of mewar led other kingdoms in its resistance to outside rule rana hammir singh defeated the tughlaq dynasty and recovered a large portion of rajasthan the indomitable rana kumbha defeated the sultans of malwa nagaur and gujarat and made mewar the most powerful rajput kingdom in india the ambitious rana sanga united the various rajput clans and fought against the foreign powers in india rana sanga defeated the afghan lodi empire of delhi and crushed the turkic sultanates of malwa and gujarat rana sanga then tried to create an indian empire but was defeated by the first mughal emperor babur at khanua the defeat was due to betrayal by the tomar king silhadi of raisen after rana sangas death marwar rose as a power center in rajasthan under rao maldev rathore he conquered jaisalmer parts of gujarat jalore nagaur ajmer sanchore bhinmal radhanpur bayana tonk toda and nabhara he expanded the territories of marwar up to sindh cholistan in west and his northern boundary was just fifty km from delhi after defeating humayun sher shah came towards rajputana he defeated chiefs of rathore army by trickery in battle of sammel and captured some territory of marwar but it was recovered by rathores in  after that rajputana remained mostly free from islamic occupation till the akbars conquest of rajputana
",rajputs resistance islamic invasions warfare chivalry centuries ranas mewar led kingdoms resistance outside rule rana hammir singh defeated tughlaq dynasty recovered large portion rajasthan indomitable rana kumbha defeated sultans malwa nagaur gujarat mewar powerful rajput kingdom india ambitious rana sanga united rajput clans fought foreign powers india rana sanga defeated afghan lodi empire delhi crushed turkic sultanates malwa gujarat rana sanga tried create indian empire defeated mughal emperor babur khanua defeat betrayal tomar king silhadi raisen rana sangas death marwar rose power center rajasthan rao maldev rathore conquered jaisalmer parts gujarat jalore nagaur ajmer sanchore bhinmal radhanpur bayana tonk toda nabhara expanded territories marwar sindh cholistan west northern boundary km delhi defeating humayun sher shah came rajputana defeated chiefs rathore army trickery battle sammel captured territory marwar recovered rathores rajputana remained free islamic occupation till akbars conquest rajputana,6.91,"rajputs,resistance,islamic,invasions,warfare,chivalry,centuries,ranas,mewar,led,kingdoms,resistance,outside,rule,rana,hammir,singh,defeated,tughlaq,dynasty,recovered,large,portion,rajasthan,indomitable,rana,kumbha,defeated,sultans,malwa,nagaur,gujarat,mewar,powerful,rajput,kingdom,india,ambitious,rana,sanga,united,rajput,clans,fought,foreign,powers,india,rana,sanga,defeated,afghan,lodi,empire,delhi,crushed,turkic,sultanates,malwa,gujarat,rana,sanga,tried,create,indian,empire,defeated,mughal,emperor,babur,khanua,defeat,betrayal,tomar,king,silhadi,raisen,rana,sangas,death,marwar,rose,power,center,rajasthan,rao,maldev,rathore,conquered,jaisalmer,parts,gujarat,jalore,nagaur,ajmer,sanchore,bhinmal,radhanpur,bayana,tonk,toda,nabhara,expanded,territories,marwar,sindh,cholistan,west,northern,boundary,km,delhi,defeating,humayun,sher,shah,came,rajputana,defeated,chiefs,rathore,army,trickery,battle,sammel,captured,territory,marwar,recovered,rathores,rajputana,remained,free,islamic,occupation,till,akbars,conquest,rajputana",0.00,rajasthan
"hem chandra vikramaditya the hindu emperor was born in the village of machheri in alwar district in  he won  battles against afghans from punjab to bengal including the states of ajmer and alwar in rajasthan and defeated akbars forces twice first at agra and then at delhi in  at battle of delhi before acceding to the throne of delhi and establishing the hindu raj in north india albeit for a short duration from purana quila in delhi hem chandra was killed in the battlefield at second battle of panipat fighting against mughals on  november 
",hem chandra vikramaditya hindu emperor born village machheri alwar district battles afghans punjab bengal including states ajmer alwar rajasthan defeated akbars forces twice agra delhi battle delhi acceding throne delhi establishing hindu raj north india albeit short duration purana quila delhi hem chandra killed battlefield second battle panipat fighting mughals november,7.89,"hem,chandra,vikramaditya,hindu,emperor,born,village,machheri,alwar,district,battles,afghans,punjab,bengal,including,states,ajmer,alwar,rajasthan,defeated,akbars,forces,twice,agra,delhi,battle,delhi,acceding,throne,delhi,establishing,hindu,raj,north,india,albeit,short,duration,purana,quila,delhi,hem,chandra,killed,battlefield,second,battle,panipat,fighting,mughals,november",0.00,rajasthan
