Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"ranchi  hindi rti is the capital of the indian state of jharkhand ranchi was the centre of the jharkhand movement which called for a separate state for the tribal regions of south bihar northern odisha western west bengal and the eastern area of what is present day chhattisgarh the jharkhand state was formed on  november  by carving out the bihar divisions of chota nagpur and santhal parganas ranchi has been selected as one of the hundred indian cities to be developed as a smart city under pm narendra modis flagship smart cities mission
",ranchi hindirti capital indian state jharkhand ranchi centre jharkhand movement called separate state tribal regions south bihar northern odisha western west bengal eastern area present day chhattisgarh jharkhand state formed november carving bihar divisions chota nagpur santhal parganas ranchi selected indian cities developed smart city pm narendra modis flagship smart cities mission,7.37,"ranchi,hindirti,capital,indian,state,jharkhand,ranchi,centre,jharkhand,movement,called,separate,state,tribal,regions,south,bihar,northern,odisha,western,west,bengal,eastern,area,present,day,chhattisgarh,jharkhand,state,formed,november,carving,bihar,divisions,chota,nagpur,santhal,parganas,ranchi,selected,indian,cities,developed,smart,city,pm,narendra,modis,flagship,smart,cities,mission",0.00,ranchi
"during the time of the british raj the city was the summer capital of bihar because of its cold climate during the winter season ranchi is also one of the oldest cities in jharkhand jagannath temple and ratu palace are some sights which witnessed the history of ranchi
",time british raj city summer capital bihar cold climate winter season ranchi oldest cities jharkhand jagannath temple ratu palace sights witnessed history ranchi,9.29,"time,british,raj,city,summer,capital,bihar,cold,climate,winter,season,ranchi,oldest,cities,jharkhand,jagannath,temple,ratu,palace,sights,witnessed,history,ranchi",0.00,ranchi
"ranchi is rapidly growing its economy and certain parks special economic zones and industrial areas are being developed of late new sectors and modern areas have been built for the citys development ranchi is also nicknamed the city of waterfalls
",ranchi rapidly growing economy certain parks special economic zones industrial areas developed late new sectors modern areas built citys development ranchi nicknamed city waterfalls,6.48,"ranchi,rapidly,growing,economy,certain,parks,special,economic,zones,industrial,areas,developed,late,new,sectors,modern,areas,built,citys,development,ranchi,nicknamed,city,waterfalls",0.00,ranchi
"according to one popular tale captain choose archi a oraon tribal village as headquarters archi means bamboo forest in local nagpuri dialect the british inadvertently named archi as ranchi captain thomas wilkinson renamed kishunpur village as rachi up to  the place was known as rachi
",according popular tale captain choose archi oraon tribal village headquarters archi means bamboo forest local nagpuri dialect british inadvertently named archi ranchi captain thomas wilkinson renamed kishunpur village rachi place known rachi,4.56,"according,popular,tale,captain,choose,archi,oraon,tribal,village,headquarters,archi,means,bamboo,forest,local,nagpuri,dialect,british,inadvertently,named,archi,ranchi,captain,thomas,wilkinson,renamed,kishunpur,village,rachi,place,known,rachi",0.00,ranchi
"according to another local story the name of ranchi comes from a local bird named rici which was mostly found in the pahari mandir premise rici is name for black kite  in mundari language the modern day landmark of ranchi city the pahari mandir is also known as rici buru    the hill of the kites and the city originated on the foothills of rici buru with the construction of bada talab by commissioner thomas wilkinson at the same site
",according local story ranchi comes local bird named rici found pahari mandir premise rici black kite mundari language modern day landmark ranchi city pahari mandir known rici buru hill kites city originated foothills rici buru construction bada talab commissioner thomas wilkinson site,8.47,"according,local,story,ranchi,comes,local,bird,named,rici,found,pahari,mandir,premise,rici,black,kite,mundari,language,modern,day,landmark,ranchi,city,pahari,mandir,known,rici,buru,hill,kites,city,originated,foothills,rici,buru,construction,bada,talab,commissioner,thomas,wilkinson,site",0.00,ranchi
"the early evidence of use of several iron slag pot sheds iron tools found in chota nagpur region around  bce magadha empire exercised indirect control over the territory which lasted until the reign of the ashoka armies of samudra gupta passed through the region on their expedition to the deccan in th century ce nagvanshi king raja pratap rai chose chutia as his capital which is now a place in ranchi few ruins of chutia trace back to nd century ce with the expansion of the mughal empire the sovereign status of the nagvanshi dynasty was technically affected but they continued to rule and administer independently  thakur ani nath shahdeo made satranji as capital of barkagarh estate near subarnarekha river he built jagannath temple in 
",early evidence use iron slag pot sheds iron tools found chota nagpur region bce magadha empire exercised indirect control territory lasted reign ashoka armies samudra gupta passed region expedition deccan th century ce nagvanshi king raja pratap rai chose chutia capital place ranchi ruins chutia trace nd century ce expansion mughal empire sovereign status nagvanshi dynasty technically affected continued rule administer independently thakur ani nath shahdeo satranji capital barkagarh estate near subarnarekha river built jagannath temple,6.59,"early,evidence,use,iron,slag,pot,sheds,iron,tools,found,chota,nagpur,region,bce,magadha,empire,exercised,indirect,control,territory,lasted,reign,ashoka,armies,samudra,gupta,passed,region,expedition,deccan,th,century,ce,nagvanshi,king,raja,pratap,rai,chose,chutia,capital,place,ranchi,ruins,chutia,trace,nd,century,ce,expansion,mughal,empire,sovereign,status,nagvanshi,dynasty,technically,affected,continued,rule,administer,independently,thakur,ani,nath,shahdeo,satranji,capital,barkagarh,estate,near,subarnarekha,river,built,jagannath,temple",0.00,ranchi
"after battle of buxar nagvanshi became vassal of east india company british reduced nagvanshi rulers to jamindar in  due to rebellion of jagirdars under nagvanshi against tax imposition by east india company and directly ruled chotanagpur in  captain wilkinson established headquarter of the south west frontier agency in the village of kishunpur which he renamed into ranchi after the hamlet located at the foot of the hill in  thakur vishwanath shahdeo declared independene from british rule british attacked satranji but he defeated british forces he ruled independently for two years in indian rebellion of  thakur vishwanath shahdeo led soldiers of ramgarh battalion with madhav singh who was jamadar of ramgarh battalion  pandey ganpat rai tikait umrao singh and sheikh bhikhari also joined rebellion they attacked british in ranchi and compelled to flee them but later they were defeated by east india company forces in chatra and in pithuriya with the help of king of pithuriya jagatpal singh and hanged british made ranchi as municipality in  and ranchi was first termed as a town in the census of  nagvanshi shifted their capital to ratu from palkot in  udai pratap nath shah deo built ratu palace in ratu in  he donated large tracts of land to built the infrastructure of city freedom fighter birsa munda died in the ranchi jail on  june  in  jyotirindranath tagore the eldest brother of rabindranath tagore settled in ranchi tagore hill where his house was located has been named after him in remembrance the last ruler of the nagvanshi dynasty was lal chintamani sharan nath shahdeo 
",battle buxar nagvanshi vassal east india company british reduced nagvanshi rulers jamindar rebellion jagirdars nagvanshi tax imposition east india company directly ruled chotanagpur captain wilkinson established headquarter south west frontier agency village kishunpur renamed ranchi hamlet located foot hill thakur vishwanath shahdeo declared independene british rule british attacked satranji defeated british forces ruled independently years indian rebellion thakur vishwanath shahdeo led soldiers ramgarh battalion madhav singh jamadar ramgarh battalion pandey ganpat rai tikait umrao singh sheikh bhikhari joined rebellion attacked british ranchi compelled flee later defeated east india company forces chatra pithuriya help king pithuriya jagatpal singh hanged british ranchi municipality ranchi termed town census nagvanshi shifted capital ratu palkot udai pratap nath shah deo built ratu palace ratu donated large tracts land built infrastructure city freedom fighter birsa munda died ranchi jail june jyotirindranath tagore eldest brother rabindranath tagore settled ranchi tagore hill house located named remembrance ruler nagvanshi dynasty lal chintamani sharan nath shahdeo,6.45,"battle,buxar,nagvanshi,vassal,east,india,company,british,reduced,nagvanshi,rulers,jamindar,rebellion,jagirdars,nagvanshi,tax,imposition,east,india,company,directly,ruled,chotanagpur,captain,wilkinson,established,headquarter,south,west,frontier,agency,village,kishunpur,renamed,ranchi,hamlet,located,foot,hill,thakur,vishwanath,shahdeo,declared,independene,british,rule,british,attacked,satranji,defeated,british,forces,ruled,independently,years,indian,rebellion,thakur,vishwanath,shahdeo,led,soldiers,ramgarh,battalion,madhav,singh,jamadar,ramgarh,battalion,pandey,ganpat,rai,tikait,umrao,singh,sheikh,bhikhari,joined,rebellion,attacked,british,ranchi,compelled,flee,later,defeated,east,india,company,forces,chatra,pithuriya,help,king,pithuriya,jagatpal,singh,hanged,british,ranchi,municipality,ranchi,termed,town,census,nagvanshi,shifted,capital,ratu,palkot,udai,pratap,nath,shah,deo,built,ratu,palace,ratu,donated,large,tracts,land,built,infrastructure,city,freedom,fighter,birsa,munda,died,ranchi,jail,june,jyotirindranath,tagore,eldest,brother,rabindranath,tagore,settled,ranchi,tagore,hill,house,located,named,remembrance,ruler,nagvanshi,dynasty,lal,chintamani,sharan,nath,shahdeo",0.00,ranchi
"after independence ranchi saw significant increase in its population its population rate of growth was  in  to  which increased to  in  this was because of increased industrial and educational institutions being set up as well as the arrival of post partition refugees ranchi became an administrative cum industrial town in  when heavy engineering corporation was set up the succeeding years saw ranchi becoming the headquarter for the following steel authority of india ltd and central coalfields ltd the city remained the summer capital of bihar till the creation of jharkhand in  when ranchi became the capital of the new state
",independence ranchi saw significant increase population population rate growth increased increased industrial educational institutions set arrival post partition refugees ranchi administrative cum industrial town heavy engineering corporation set succeeding years saw ranchi headquarter following steel authority india ltd central coalfields ltd city remained summer capital bihar till creation jharkhand ranchi capital new state,7.45,"independence,ranchi,saw,significant,increase,population,population,rate,growth,increased,increased,industrial,educational,institutions,set,arrival,post,partition,refugees,ranchi,administrative,cum,industrial,town,heavy,engineering,corporation,set,succeeding,years,saw,ranchi,headquarter,following,steel,authority,india,ltd,central,coalfields,ltd,city,remained,summer,capital,bihar,till,creation,jharkhand,ranchi,capital,new,state",0.00,ranchi
"ranchi lies at n e  n e    near to the tropic of cancer the city covers an area of  km  and its average elevation is  m above sea level ranchi is located in the southern part of the chota nagpur plateau which is the eastern section of the deccan plateau
",ranchi lies n e n e near tropic cancer city covers area km average elevation sea level ranchi located southern chota nagpur plateau eastern section deccan plateau,9.06,"ranchi,lies,n,e,n,e,near,tropic,cancer,city,covers,area,km,average,elevation,sea,level,ranchi,located,southern,chota,nagpur,plateau,eastern,section,deccan,plateau",0.00,ranchi
"ranchi has a hilly topography and its dense tropical forests a combination that produces a relatively moderate climate compared to the rest of the state however due to the uncontrolled deforestation and development of the city the average temperature has increased
",ranchi hilly topography dense tropical forests combination produces relatively moderate climate compared rest state uncontrolled deforestation development city average temperature increased,7.55,"ranchi,hilly,topography,dense,tropical,forests,combination,produces,relatively,moderate,climate,compared,rest,state,uncontrolled,deforestation,development,city,average,temperature,increased",0.00,ranchi
