Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"ireland  also known as the republic of ireland a is a country in north western europe consisting of  of the  counties of the island of ireland the capital and largest city is dublin on the eastern side of the island around  million of the countrys population of  million people reside in the greater dublin area the sovereign state shares its only land border with northern ireland which is part of the united kingdom it is otherwise surrounded by the atlantic ocean with the celtic sea to the south st georges channel to the south east and the irish sea to the east it is a unitary parliamentary republic the legislature the oireachtas consists of a lower house dil ireann an upper house seanad ireann and an elected president  who serves as the largely ceremonial head of state but with some important powers and duties the head of government is the taoiseach  who is elected by the dil and appointed by the president the taoiseach in turn appoints other government ministers
",ireland known republic ireland country north western europe consisting counties island ireland capital largest city dublin eastern island million countrys population million people reside greater dublin area sovereign state shares land border northern ireland united kingdom surrounded atlantic ocean celtic sea south st georges channel south east irish sea east unitary parliamentary republic legislature oireachtas consists lower house dil ireann upper house seanad ireann elected president serves largely ceremonial head state important powers duties head government taoiseach elected dil appointed president taoiseach turn appoints government ministers,8.59,"ireland,known,republic,ireland,country,north,western,europe,consisting,counties,island,ireland,capital,largest,city,dublin,eastern,island,million,countrys,population,million,people,reside,greater,dublin,area,sovereign,state,shares,land,border,northern,ireland,united,kingdom,surrounded,atlantic,ocean,celtic,sea,south,st,georges,channel,south,east,irish,sea,east,unitary,parliamentary,republic,legislature,oireachtas,consists,lower,house,dil,ireann,upper,house,seanad,ireann,elected,president,serves,largely,ceremonial,head,state,important,powers,duties,head,government,taoiseach,elected,dil,appointed,president,taoiseach,turn,appoints,government,ministers",0.00,ireland
"the irish free state was created with dominion status in  following the anglo irish treaty in  a new constitution was adopted in which the state was named ireland and effectively became a republic with an elected non executive president it was officially declared a republic in  following the republic of ireland act  ireland became a member of the united nations in december  it joined the european communities  the predecessor of the european union in  the state had no formal relations with northern ireland for most of the twentieth century but during the s and s the british and irish governments worked with the northern ireland parties towards a resolution to the troubles since the signing of the good friday agreement in  the irish government and northern ireland executive have co operated on a number of policy areas under the northsouth ministerial council created by the agreement
",irish free state created dominion status following anglo irish treaty new constitution adopted state named ireland effectively republic elected non executive president officially declared republic following republic ireland act ireland member united nations december joined european communities predecessor european union state formal relations northern ireland twentieth century british irish governments worked northern ireland parties resolution troubles signing good friday agreement irish government northern ireland executive co operated number policy areas northsouth ministerial council created agreement,7.94,"irish,free,state,created,dominion,status,following,anglo,irish,treaty,new,constitution,adopted,state,named,ireland,effectively,republic,elected,non,executive,president,officially,declared,republic,following,republic,ireland,act,ireland,member,united,nations,december,joined,european,communities,predecessor,european,union,state,formal,relations,northern,ireland,twentieth,century,british,irish,governments,worked,northern,ireland,parties,resolution,troubles,signing,good,friday,agreement,irish,government,northern,ireland,executive,co,operated,number,policy,areas,northsouth,ministerial,council,created,agreement",0.00,ireland
"ireland is an advanced economy and one of europes major financial hubs is centred on dublin ireland ranks among the top ten wealthiest countries in the world in terms of both gdp and gni per capita as of  this was partially ascribed to distortions caused by the tax inversion practices of certain multinationals operating in ireland after joining the ec the countrys government enacted a series of liberal economic policies that helped to boost economic growth between  and  a period now often referred to as the celtic tiger a period of recession and a reversal in growth then followed during the great recession which was exacerbated by the bursting of the irish property bubble
",ireland advanced economy europes major financial hubs centred dublin ireland ranks wealthiest countries world terms gdp gni capita partially ascribed distortions caused tax inversion practices certain multinationals operating ireland joining ec countrys government enacted series liberal economic policies helped boost economic growth period referred celtic tiger period recession reversal growth followed great recession exacerbated bursting irish property bubble,8.22,"ireland,advanced,economy,europes,major,financial,hubs,centred,dublin,ireland,ranks,wealthiest,countries,world,terms,gdp,gni,capita,partially,ascribed,distortions,caused,tax,inversion,practices,certain,multinationals,operating,ireland,joining,ec,countrys,government,enacted,series,liberal,economic,policies,helped,boost,economic,growth,period,referred,celtic,tiger,period,recession,reversal,growth,followed,great,recession,exacerbated,bursting,irish,property,bubble",0.00,ireland
"a developed country irelands quality of life is ranked amongst the highest in the world and the country performs well in several national performance metrics including healthcare economic freedom and freedom of the press ireland is a member of the european union and is a founding member of the council of europe and the oecd the irish government has followed a policy of military neutrality through non alignment since prior to world war ii and the country is consequently not a member of nato although it is a member of partnership for peace and aspects of pesco
",developed country irelands quality life ranked highest world country performs national performance metrics including healthcare economic freedom freedom press ireland member european union founding member council europe oecd irish government followed policy military neutrality non alignment prior world war ii country consequently member nato member partnership peace aspects pesco,8.50,"developed,country,irelands,quality,life,ranked,highest,world,country,performs,national,performance,metrics,including,healthcare,economic,freedom,freedom,press,ireland,member,european,union,founding,member,council,europe,oecd,irish,government,followed,policy,military,neutrality,non,alignment,prior,world,war,ii,country,consequently,member,nato,member,partnership,peace,aspects,pesco",0.00,ireland
"the irish name for ireland is ire deriving from riu a goddess in irish mythology the state created in  comprising  of the  counties of ireland was styled and known as the irish free state  the constitution of ireland adopted in  says that the name of the state is ire or in the english language ireland section  of the republic of ireland act  states it is hereby declared that the description of the state shall be the republic of ireland the  act does not name the state republic of ireland because to have done so would have put it in conflict with the constitution
",irish ireland ire deriving riu goddess irish mythology state created comprising counties ireland styled known irish free state constitution ireland adopted says state ire english language ireland section republic ireland act states declared description state shall republic ireland act state republic ireland conflict constitution,10.37,"irish,ireland,ire,deriving,riu,goddess,irish,mythology,state,created,comprising,counties,ireland,styled,known,irish,free,state,constitution,ireland,adopted,says,state,ire,english,language,ireland,section,republic,ireland,act,states,declared,description,state,shall,republic,ireland,act,state,republic,ireland,conflict,constitution",0.00,ireland
"the government of the united kingdom used the name eire  and from  republic of ireland for the state it was not until the  good friday agreement when the state dropped its claim to northern ireland that it began calling the state ireland
",government united kingdom eire republic ireland state good friday agreement state dropped claim northern ireland began calling state ireland,9.66,"government,united,kingdom,eire,republic,ireland,state,good,friday,agreement,state,dropped,claim,northern,ireland,began,calling,state,ireland",0.00,ireland
"as well as ireland ire or the republic of ireland the state is also informally called the republic southern ireland or the south especially when distinguishing the state from the island or when discussing northern ireland  irish republicans reserve the name ireland for the whole island and often refer to the state as the free state the  counties or the south of ireland this is a response to the partitionist view  that ireland stops at the border
",ireland ire republic ireland state informally called republic southern ireland south especially distinguishing state island discussing northern ireland irish republicans reserve ireland island refer state free state counties south ireland response partitionist view ireland stops border,9.11,"ireland,ire,republic,ireland,state,informally,called,republic,southern,ireland,south,especially,distinguishing,state,island,discussing,northern,ireland,irish,republicans,reserve,ireland,island,refer,state,free,state,counties,south,ireland,response,partitionist,view,ireland,stops,border",0.00,ireland
"from the act of union on  january  until  december  the island of ireland was part of the united kingdom of great britain and ireland during the great famine from  to  the islands population of over  million fell by  one million irish died of starvation andor disease and another  million emigrated mostly to the united states this set the pattern of emigration for the century to come resulting in constant population decline up to the s
",act union january december island ireland united kingdom great britain ireland great famine islands population million fell million irish died starvation andor disease million emigrated united states set pattern emigration century come resulting constant population decline,8.88,"act,union,january,december,island,ireland,united,kingdom,great,britain,ireland,great,famine,islands,population,million,fell,million,irish,died,starvation,andor,disease,million,emigrated,united,states,set,pattern,emigration,century,come,resulting,constant,population,decline",0.00,ireland
"from  and particularly under charles stewart parnell from  the irish parliamentary party gained prominence this was firstly through widespread agrarian agitation via the irish land league which won land reforms for tenants in the form of the irish land acts and secondly through its attempts to achieve home rule via two unsuccessful bills which would have granted ireland limited national autonomy these led to grass roots control of national affairs under the local government act  that had been in the hands of landlord dominated grand juries of the protestant ascendancy
",particularly charles stewart parnell irish parliamentary party gained prominence firstly widespread agrarian agitation irish land league land reforms tenants form irish land acts secondly attempts achieve home rule unsuccessful bills granted ireland limited national autonomy led grass roots control national affairs local government act hands landlord dominated grand juries protestant ascendancy,6.78,"particularly,charles,stewart,parnell,irish,parliamentary,party,gained,prominence,firstly,widespread,agrarian,agitation,irish,land,league,land,reforms,tenants,form,irish,land,acts,secondly,attempts,achieve,home,rule,unsuccessful,bills,granted,ireland,limited,national,autonomy,led,grass,roots,control,national,affairs,local,government,act,hands,landlord,dominated,grand,juries,protestant,ascendancy",0.00,ireland
"though it received the royal assent and was placed on the statute books in  the implementation of the third home rule act was suspended until after the first world war which defused the threat of civil war in ireland with the hope of ensuring the implementation of the act at the end of the war through irelands engagement in the war redmond and the irish national volunteers supported the uk and its allies  men joined irish regiments of the th  and th  divisions of the new british army while unionists joined the th  divisions
",received royal assent placed statute books implementation home rule act suspended world war defused threat civil war ireland hope ensuring implementation act end war irelands engagement war redmond irish national volunteers supported uk allies men joined irish regiments th th divisions new british army unionists joined th divisions,8.68,"received,royal,assent,placed,statute,books,implementation,home,rule,act,suspended,world,war,defused,threat,civil,war,ireland,hope,ensuring,implementation,act,end,war,irelands,engagement,war,redmond,irish,national,volunteers,supported,uk,allies,men,joined,irish,regiments,th,th,divisions,new,british,army,unionists,joined,th,divisions",0.00,ireland
