Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"riga  livonian rg is the capital and largest city of latvia and is home to  inhabitants which is a third of latvias population the city lies on the gulf of riga at the mouth of the daugava river where it meets the baltic sea rigas territory covers  km  and lies  m  above sea level on a flat and sandy plain
",riga livonian rg capital largest city latvia home inhabitants latvias population city lies gulf riga mouth daugava river meets baltic sea rigas territory covers km lies sea level flat sandy plain,9.42,"riga,livonian,rg,capital,largest,city,latvia,home,inhabitants,latvias,population,city,lies,gulf,riga,mouth,daugava,river,meets,baltic,sea,rigas,territory,covers,km,lies,sea,level,flat,sandy,plain",0.00,riga
"riga was founded in  and is a former hanseatic league member rigas historical centre is a unesco world heritage site noted for its art nouveaujugendstil architecture and th century wooden architecture riga was the european capital of culture in  along with ume in sweden riga hosted the  nato summit the eurovision song contest  the  iihf mens world ice hockey championships  world womens curling championship and the  iihf world championship it is home to the european unions office of european regulators for electronic communications  in  it was named the european region of gastronomy
",riga founded hanseatic league member rigas historical centre unesco world heritage site noted art nouveaujugendstil architecture th century wooden architecture riga european capital culture ume sweden riga hosted nato summit eurovision song contest iihf mens world ice hockey championships world womens curling championship iihf world championship home european unions office european regulators electronic communications named european region gastronomy,5.77,"riga,founded,hanseatic,league,member,rigas,historical,centre,unesco,world,heritage,site,noted,art,nouveaujugendstil,architecture,th,century,wooden,architecture,riga,european,capital,culture,ume,sweden,riga,hosted,nato,summit,eurovision,song,contest,iihf,mens,world,ice,hockey,championships,world,womens,curling,championship,iihf,world,championship,home,european,unions,office,european,regulators,electronic,communications,named,european,region,gastronomy",0.00,riga
"in  riga received over  million visitors the city is served by riga international airport the largest and busiest airport in the baltic states riga is a member of eurocities the union of the baltic cities  and union of capitals of the european union 
",riga received million visitors city served riga international airport largest busiest airport baltic states riga member eurocities union baltic cities union capitals european union,7.57,"riga,received,million,visitors,city,served,riga,international,airport,largest,busiest,airport,baltic,states,riga,member,eurocities,union,baltic,cities,union,capitals,european,union",0.00,riga
"there are numerous and speculative theories for the origin of the name riga
",numerous speculative theories origin riga,10.53,"numerous,speculative,theories,origin,riga",0.00,riga
"however the most reliably documented explanation is the affirmation by german historian dionysius fabricius  that rigas name comes from its already established role in trade riga nomen sortita est suum ab aedificiis vel horreis quorum a litus dunae magna fuit copia quas livones sua lingua rias vocare soliti   the j in latvian rja hardened to a g in german english geographer richard hakluyt  corroborates this account calling riga rie as pronounced in latvian
",reliably documented explanation affirmation german historian dionysius fabricius rigas comes established role trade riga nomen sortita est suum ab aedificiis vel horreis quorum litus dunae magna fuit copia quas livones sua lingua rias vocare soliti j latvian rja hardened g german english geographer richard hakluyt corroborates account calling riga rie pronounced latvian,4.55,"reliably,documented,explanation,affirmation,german,historian,dionysius,fabricius,rigas,comes,established,role,trade,riga,nomen,sortita,est,suum,ab,aedificiis,vel,horreis,quorum,litus,dunae,magna,fuit,copia,quas,livones,sua,lingua,rias,vocare,soliti,j,latvian,rja,hardened,g,german,english,geographer,richard,hakluyt,corroborates,account,calling,riga,rie,pronounced,latvian",0.00,riga
"riga began to develop as a centre of viking trade during the early middle ages
rigas inhabitants occupied themselves mainly with fishing animal husbandry and trading later developing crafts 
",riga began develop centre viking trade early middle agesrigas inhabitants occupied mainly fishing animal husbandry trading later developing crafts,4.71,"riga,began,develop,centre,viking,trade,early,middle,agesrigas,inhabitants,occupied,mainly,fishing,animal,husbandry,trading,later,developing,crafts",0.00,riga
"the livonian chronicle of henry testifies to riga having long been a trading centre by the th century referring to it as portus antiquus  and describes dwellings and warehouses used to store mostly flax and hides german traders began visiting riga establishing a nearby outpost in 
",livonian chronicle henry testifies riga long trading centre th century referring portus antiquus describes dwellings warehouses store flax hides german traders began visiting riga establishing nearby outpost,6.74,"livonian,chronicle,henry,testifies,riga,long,trading,centre,th,century,referring,portus,antiquus,describes,dwellings,warehouses,store,flax,hides,german,traders,began,visiting,riga,establishing,nearby,outpost",0.00,riga
"along with german traders the monk meinhard of segeberg arrived to convert the livonian pagans to christianity catholic and orthodox christianity had already arrived in latvia more than a century earlier and many latvians had been baptised meinhard settled among the livs building a castle and church at uexkll  upstream from riga and established his bishopric there the livs however continued to practice paganism and meinhard died in uexkll in  having failed in his mission in  the bishop berthold arrived with a contingent of crusaders and commenced a campaign of forced christianisation berthold died soon afterwards and his forces were defeated
",german traders monk meinhard segeberg arrived convert livonian pagans christianity catholic orthodox christianity arrived latvia century earlier latvians baptised meinhard settled livs building castle church uexkll upstream riga established bishopric livs continued practice paganism meinhard died uexkll failed mission bishop berthold arrived contingent crusaders commenced campaign forced christianisation berthold died soon forces defeated,7.38,"german,traders,monk,meinhard,segeberg,arrived,convert,livonian,pagans,christianity,catholic,orthodox,christianity,arrived,latvia,century,earlier,latvians,baptised,meinhard,settled,livs,building,castle,church,uexkll,upstream,riga,established,bishopric,livs,continued,practice,paganism,meinhard,died,uexkll,failed,mission,bishop,berthold,arrived,contingent,crusaders,commenced,campaign,forced,christianisation,berthold,died,soon,forces,defeated",0.00,riga
"the church mobilised to avenge this defeat pope innocent iii issued a bull declaring a crusade against the livonians bishop albert was proclaimed bishop of livonia by his uncle hartwig of uthlede prince archbishop of bremen and hamburg in  albert landed in riga in  with  ships and  westphalian crusaders in  he transferred the seat of the livonian bishopric from uexkll to riga extorting agreement to do this from the elders of riga by force
",church mobilised avenge defeat pope innocent iii issued bull declaring crusade livonians bishop albert proclaimed bishop livonia uncle hartwig uthlede prince archbishop bremen hamburg albert landed riga ships westphalian crusaders transferred seat livonian bishopric uexkll riga extorting agreement elders riga force,7.45,"church,mobilised,avenge,defeat,pope,innocent,iii,issued,bull,declaring,crusade,livonians,bishop,albert,proclaimed,bishop,livonia,uncle,hartwig,uthlede,prince,archbishop,bremen,hamburg,albert,landed,riga,ships,westphalian,crusaders,transferred,seat,livonian,bishopric,uexkll,riga,extorting,agreement,elders,riga,force",0.00,riga
"the christianisation of the livs continued in  albert started to fortify the town emperor philip invested albert with livonia as a fief and principality of the holy roman empire to promote a permanent military presence territorial ownership was divided between the church and the order with the church taking riga and two thirds of all lands conquered and granting the order a third until then it had been customary for crusaders to serve for a year and then return home
",christianisation livs continued albert started fortify town emperor philip invested albert livonia fief principality holy roman empire promote permanent military presence territorial ownership divided church order church taking riga thirds lands conquered granting order customary crusaders serve year return home,8.49,"christianisation,livs,continued,albert,started,fortify,town,emperor,philip,invested,albert,livonia,fief,principality,holy,roman,empire,promote,permanent,military,presence,territorial,ownership,divided,church,order,church,taking,riga,thirds,lands,conquered,granting,order,customary,crusaders,serve,year,return,home",0.00,riga
