Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"rome  is the capital city of italy it is also the capital of the lazio region the centre of the metropolitan city of rome and a special comune named comune di roma capitale with  residents in  km  rome is the countrys most populated comune and the third most populous city in the european union by population within city limits the metropolitan city of rome with a population of  residents is the most populous metropolitan city in italy its metropolitan area is the third most populous within italy rome is located in the central western portion of the italian peninsula within lazio  along the shores of the tiber vatican city  is an independent country inside the city boundaries of rome the only existing example of a country within a city rome is often referred to as the city of seven hills due to its geographic location and also as the eternal city rome is generally considered to be the cradle of western civilization and christian culture and the centre of the catholic church
",rome capital city italy capital lazio region centre metropolitan city rome special comune named comune di roma capitale residents km rome countrys populated comune populous city european union population city limits metropolitan city rome population residents populous metropolitan city italy metropolitan area populous italy rome located central western portion italian peninsula lazio shores tiber vatican city independent country inside city boundaries rome existing example country city rome referred city seven hills geographic location eternal city rome generally considered cradle western civilization christian culture centre catholic church,8.71,"rome,capital,city,italy,capital,lazio,region,centre,metropolitan,city,rome,special,comune,named,comune,di,roma,capitale,residents,km,rome,countrys,populated,comune,populous,city,european,union,population,city,limits,metropolitan,city,rome,population,residents,populous,metropolitan,city,italy,metropolitan,area,populous,italy,rome,located,central,western,portion,italian,peninsula,lazio,shores,tiber,vatican,city,independent,country,inside,city,boundaries,rome,existing,example,country,city,rome,referred,city,seven,hills,geographic,location,eternal,city,rome,generally,considered,cradle,western,civilization,christian,culture,centre,catholic,church",0.00,rome
"romes history spans  centuries while roman mythology dates the founding of rome at around  because the site has been inhabited for much longer making it a major human settlement for almost three millennia and one of the oldest continuously occupied cities in europe the citys early population originated from a mix of latins etruscans and sabines eventually the city successively became the capital of the roman kingdom the roman republic and the roman empire and is regarded by many as the first ever imperial city and metropolis it was first called the eternal city  by the roman poet tibullus in the st century because and the expression was also taken up by ovid virgil and livy rome is also called caput mundi  after the fall of the empire in the west which marked the beginning of the middle ages rome slowly fell under the political control of the papacy and in the th century it became the capital of the papal states which lasted until  beginning with the renaissance almost all popes since nicholas v  pursued a coherent architectural and urban programme over four hundred years aimed at making the city the artistic and cultural centre of the world in this way rome became first one of the major centres of the renaissance and then the birthplace of both the baroque style and neoclassicism famous artists painters sculptors and architects made rome the centre of their activity creating masterpieces throughout the city in  rome became the capital of the kingdom of italy which in  became the italian republic
",romes history spans centuries roman mythology dates founding rome site inhabited longer making major human settlement millennia oldest continuously occupied cities europe citys early population originated mix latins etruscans sabines eventually city successively capital roman kingdom roman republic roman empire regarded imperial city metropolis called eternal city roman poet tibullus st century expression taken ovid virgil livy rome called caput mundi fall empire west marked beginning middle ages rome slowly fell political control papacy th century capital papal states lasted beginning renaissance popes nicholas v pursued coherent architectural urban programme years aimed making city artistic cultural centre world way rome major centres renaissance birthplace baroque style neoclassicism famous artists painters sculptors architects rome centre activity creating masterpieces city rome capital kingdom italy italian republic,8.80,"romes,history,spans,centuries,roman,mythology,dates,founding,rome,site,inhabited,longer,making,major,human,settlement,millennia,oldest,continuously,occupied,cities,europe,citys,early,population,originated,mix,latins,etruscans,sabines,eventually,city,successively,capital,roman,kingdom,roman,republic,roman,empire,regarded,imperial,city,metropolis,called,eternal,city,roman,poet,tibullus,st,century,expression,taken,ovid,virgil,livy,rome,called,caput,mundi,fall,empire,west,marked,beginning,middle,ages,rome,slowly,fell,political,control,papacy,th,century,capital,papal,states,lasted,beginning,renaissance,popes,nicholas,v,pursued,coherent,architectural,urban,programme,years,aimed,making,city,artistic,cultural,centre,world,way,rome,major,centres,renaissance,birthplace,baroque,style,neoclassicism,famous,artists,painters,sculptors,architects,rome,centre,activity,creating,masterpieces,city,rome,capital,kingdom,italy,italian,republic",0.00,rome
"in  rome was the th most visited city in the world with  million tourists the third most visited in the european union and the most popular tourist destination in italy its historic centre is listed by unesco as a world heritage site the host city for the  summer olympics rome is also the seat of several specialised agencies of the united nations such as the food and agriculture organization  the world food programme  and the international fund for agricultural development  the city also hosts the secretariat of the parliamentary assembly of the union for the mediterranean  as well as the headquarters of many international businesses such as eni enel tim leonardo and banks such as bnl numerous companies are based within romes eur business district such as the luxury fashion house fendi located in the palazzo della civilt italiana the presence of renowned international brands in the city has made rome an important centre of fashion and design and the cinecitt studios have been the set of many academy awardwinning movies
",rome th visited city world million tourists visited european union popular tourist destination italy historic centre listed unesco world heritage site host city summer olympics rome seat specialised agencies united nations food agriculture organization world food programme international fund agricultural development city hosts secretariat parliamentary assembly union mediterranean headquarters international businesses eni enel tim leonardo banks bnl numerous companies based romes eur business district luxury fashion house fendi located palazzo della civilt italiana presence renowned international brands city rome important centre fashion design cinecitt studios set academy awardwinning movies,7.92,"rome,th,visited,city,world,million,tourists,visited,european,union,popular,tourist,destination,italy,historic,centre,listed,unesco,world,heritage,site,host,city,summer,olympics,rome,seat,specialised,agencies,united,nations,food,agriculture,organization,world,food,programme,international,fund,agricultural,development,city,hosts,secretariat,parliamentary,assembly,union,mediterranean,headquarters,international,businesses,eni,enel,tim,leonardo,banks,bnl,numerous,companies,based,romes,eur,business,district,luxury,fashion,house,fendi,located,palazzo,della,civilt,italiana,presence,renowned,international,brands,city,rome,important,centre,fashion,design,cinecitt,studios,set,academy,awardwinning,movies",0.00,rome
"however it is possible that the name romulus was actually derived from rome itself as early as the th century there have been alternative theories proposed on the origin of the name roma several hypotheses have been advanced focusing on its linguistic roots which however remain uncertain
",possible romulus actually derived rome early th century alternative theories proposed origin roma hypotheses advanced focusing linguistic roots remain uncertain,9.34,"possible,romulus,actually,derived,rome,early,th,century,alternative,theories,proposed,origin,roma,hypotheses,advanced,focusing,linguistic,roots,remain,uncertain",0.00,rome
"while there have been discoveries of archaeological evidence of human occupation of the rome area from approximately  years ago the dense layer of much younger debris obscures palaeolithic and neolithic sites evidence of stone tools pottery and stone weapons attest to about  years of human presence several excavations support the view that rome grew from pastoral settlements on the palatine hill built above the area of the future roman forum between the end of the bronze age and the beginning of the iron age each hill between the sea and the capitol was topped by a village  however none of them yet had an urban quality nowadays there is a wide consensus that the city developed gradually through the aggregation  of several villages around the largest one placed above the palatine this aggregation was facilitated by the increase of agricultural productivity above the subsistence level which also allowed the establishment of secondary and tertiary activities these in turn boosted the development of trade with the greek colonies of southern italy  these developments which according to archaeological evidence took place during the mid eighth century because can be considered as the birth of the city despite recent excavations at the palatine hill the view that rome was founded deliberately in the middle of the eighth century because as the legend of romulus suggests remains a fringe hypothesis
",discoveries archaeological evidence human occupation rome area approximately years ago dense layer younger debris obscures palaeolithic neolithic sites evidence stone tools pottery stone weapons attest years human presence excavations support view rome grew pastoral settlements palatine hill built area future roman forum end bronze age beginning iron age hill sea capitol topped village urban quality nowadays wide consensus city developed gradually aggregation villages largest placed palatine aggregation facilitated increase agricultural productivity subsistence level allowed establishment secondary tertiary activities turn boosted development trade greek colonies southern italy developments according archaeological evidence took place mid eighth century considered birth city despite recent excavations palatine hill view rome founded deliberately middle eighth century legend romulus suggests remains fringe hypothesis,7.79,"discoveries,archaeological,evidence,human,occupation,rome,area,approximately,years,ago,dense,layer,younger,debris,obscures,palaeolithic,neolithic,sites,evidence,stone,tools,pottery,stone,weapons,attest,years,human,presence,excavations,support,view,rome,grew,pastoral,settlements,palatine,hill,built,area,future,roman,forum,end,bronze,age,beginning,iron,age,hill,sea,capitol,topped,village,urban,quality,nowadays,wide,consensus,city,developed,gradually,aggregation,villages,largest,placed,palatine,aggregation,facilitated,increase,agricultural,productivity,subsistence,level,allowed,establishment,secondary,tertiary,activities,turn,boosted,development,trade,greek,colonies,southern,italy,developments,according,archaeological,evidence,took,place,mid,eighth,century,considered,birth,city,despite,recent,excavations,palatine,hill,view,rome,founded,deliberately,middle,eighth,century,legend,romulus,suggests,remains,fringe,hypothesis",0.00,rome
"traditional stories handed down by the ancient romans themselves explain the earliest history of their city in terms of legend and myth the most familiar of these myths and perhaps the most famous of all roman myths is the story of romulus and remus the twins who were suckled by a she wolf they decided to build a city but after an argument romulus killed his brother and the city took his name according to the roman annalists this happened on  april  because this legend had to be reconciled with a dual tradition set earlier in time that had the trojan refugee aeneas escape to italy and found the line of romans through his son iulus the namesake of the julio claudian dynasty
this was accomplished by the roman poet virgil in the first century because in addition strabo mentions an older story that the city was an arcadian colony founded by evander strabo also writes that lucius coelius antipater believed that rome was founded by greeks
",traditional stories handed ancient romans explain earliest history city terms legend myth familiar myths famous roman myths story romulus remus twins suckled wolf decided build city argument romulus killed brother city took according roman annalists happened april legend reconciled dual tradition set earlier time trojan refugee aeneas escape italy found line romans son iulus namesake julio claudian dynastythis accomplished roman poet virgil century addition strabo mentions older story city arcadian colony founded evander strabo writes lucius coelius antipater believed rome founded greeks,8.98,"traditional,stories,handed,ancient,romans,explain,earliest,history,city,terms,legend,myth,familiar,myths,famous,roman,myths,story,romulus,remus,twins,suckled,wolf,decided,build,city,argument,romulus,killed,brother,city,took,according,roman,annalists,happened,april,legend,reconciled,dual,tradition,set,earlier,time,trojan,refugee,aeneas,escape,italy,found,line,romans,son,iulus,namesake,julio,claudian,dynastythis,accomplished,roman,poet,virgil,century,addition,strabo,mentions,older,story,city,arcadian,colony,founded,evander,strabo,writes,lucius,coelius,antipater,believed,rome,founded,greeks",0.00,rome
"after the foundation by romulus according to a legend rome was ruled for a period of  years by a monarchical system initially with sovereigns of latin and sabine origin later by etruscan kings the tradition handed down seven kings romulus numa pompilius tullus hostilius ancus marcius tarquinius priscus servius tullius and lucius tarquinius superbus
",foundation romulus according legend rome ruled period years monarchical system initially sovereigns latin sabine origin later etruscan kings tradition handed seven kings romulus numa pompilius tullus hostilius ancus marcius tarquinius priscus servius tullius lucius tarquinius superbus,5.13,"foundation,romulus,according,legend,rome,ruled,period,years,monarchical,system,initially,sovereigns,latin,sabine,origin,later,etruscan,kings,tradition,handed,seven,kings,romulus,numa,pompilius,tullus,hostilius,ancus,marcius,tarquinius,priscus,servius,tullius,lucius,tarquinius,superbus",0.00,rome
"in  because the romans expelled the last king from their city and established an oligarchic republic rome then began a period characterised by internal struggles between patricians  and plebeians  and by constant warfare against the populations of central italy etruscans latins volsci aequi and marsi after becoming master of latium rome led several wars  whose result was the conquest of the italian peninsula from the central area up to magna graecia
",romans expelled king city established oligarchic republic rome began period characterised internal struggles patricians plebeians constant warfare populations central italy etruscans latins volsci aequi marsi master latium rome led wars result conquest italian peninsula central area magna graecia,7.27,"romans,expelled,king,city,established,oligarchic,republic,rome,began,period,characterised,internal,struggles,patricians,plebeians,constant,warfare,populations,central,italy,etruscans,latins,volsci,aequi,marsi,master,latium,rome,led,wars,result,conquest,italian,peninsula,central,area,magna,graecia",0.00,rome
"in  because octavian became princeps civitatis and took the title of augustus founding the principate a diarchy between the princeps and the senate during the reign of nero two thirds of the city was ruined after the great fire of rome and the persecution of christians commenced rome was established as a de facto empire which reached its greatest expansion in the second century under the emperor trajan rome was confirmed as caput mundi that is the capital of the known world an expression which had already been used in the republican period during its first two centuries the empire was ruled by emperors of the julio claudian flavian  and antonine dynasties this time was also characterised by the spread of the christian religion preached by jesus christ in judea in the first half of the first century  and popularised by his apostles through the empire and beyond the antonine age is considered the zenith of the empire whose territory ranged from the atlantic ocean to the euphrates and from britain to egypt
",octavian princeps civitatis took title augustus founding principate diarchy princeps senate reign nero thirds city ruined great fire rome persecution christians commenced rome established de facto empire reached greatest expansion second century emperor trajan rome confirmed caput mundi capital known world expression republican period centuries empire ruled emperors julio claudian flavian antonine dynasties time characterised spread christian religion preached jesus christ judea half century popularised apostles empire antonine age considered zenith empire territory ranged atlantic ocean euphrates britain egypt,9.22,"octavian,princeps,civitatis,took,title,augustus,founding,principate,diarchy,princeps,senate,reign,nero,thirds,city,ruined,great,fire,rome,persecution,christians,commenced,rome,established,de,facto,empire,reached,greatest,expansion,second,century,emperor,trajan,rome,confirmed,caput,mundi,capital,known,world,expression,republican,period,centuries,empire,ruled,emperors,julio,claudian,flavian,antonine,dynasties,time,characterised,spread,christian,religion,preached,jesus,christ,judea,half,century,popularised,apostles,empire,antonine,age,considered,zenith,empire,territory,ranged,atlantic,ocean,euphrates,britain,egypt",0.00,rome
"after the end of the severan dynasty in  the empire entered into a  year period known as the crisis of the third century during which there were numerous putsches by generals who sought to secure the region of the empire they were entrusted with due to the weakness of central authority in rome there was the so called gallic empire from  to  and the revolts of zenobia and her father from the mid s which sought to fend off persian incursions some regions  britain spain and north africa  were hardly affected instability caused economic deterioration and there was a rapid rise in inflation as the government debased the currency in order to meet expenses the germanic tribes along the rhine and north of the balkans made serious uncoordinated incursions from the ss that were more like giant raiding parties rather than attempts to settle the persian empire invaded from the east several times during the s to s but were eventually defeated emperor diocletian  undertook the restoration of the state he ended the principate and introduced the tetrarchy which sought to increase state power the most marked feature was the unprecedented intervention of the state down to the city level whereas the state had submitted a tax demand to a city and allowed it to allocate the charges from his reign the state did this down to the village level in a vain attempt to control inflation he imposed price controls which did not last he or constantine regionalised the administration of the empire which fundamentally changed the way it was governed by creating regional dioceses  the existence of regional fiscal units from  served as the model for this unprecedented innovation the emperor quickened the process of removing military command from governors henceforth civilian administration and military command would be separate he gave governors more fiscal duties and placed them in charge of the army logistical support system as an attempt to control it by removing the support system from its control diocletian ruled the eastern half residing in nicomedia in  he elevated maximian to augustus of the western half where he ruled mostly from mediolanum when not on the move in  he created two junior emperors the caesars one for each augustus constantius for britain gaul and spain whose seat of power was in trier and galerius in sirmium in the balkans the appointment of a caesar was not unknown diocletian tried to turn into a system of non dynastic succession upon abdication in  the caesars succeeded and they in turn appointed two colleagues for themselves
",end severan dynasty empire entered year period known crisis century numerous putsches generals sought secure region empire entrusted weakness central authority rome called gallic empire revolts zenobia father mid sought fend persian incursions regions britain spain north africa hardly affected instability caused economic deterioration rapid rise inflation government debased currency order meet expenses germanic tribes rhine north balkans uncoordinated incursions ss like giant raiding parties attempts settle persian empire invaded east times eventually defeated emperor diocletian undertook restoration state ended principate introduced tetrarchy sought increase state power marked feature unprecedented intervention state city level state submitted tax demand city allowed allocate charges reign state village level vain attempt control inflation imposed price controls constantine regionalised administration empire fundamentally changed way governed creating regional dioceses existence regional fiscal units served model unprecedented innovation emperor quickened process removing military command governors henceforth civilian administration military command separate gave governors fiscal duties placed charge army logistical support system attempt control removing support system control diocletian ruled eastern half residing nicomedia elevated maximian augustus western half ruled mediolanum created junior emperors caesars augustus constantius britain gaul spain seat power trier galerius sirmium balkans appointment caesar unknown diocletian tried turn system non dynastic succession abdication caesars succeeded turn appointed colleagues,8.67,"end,severan,dynasty,empire,entered,year,period,known,crisis,century,numerous,putsches,generals,sought,secure,region,empire,entrusted,weakness,central,authority,rome,called,gallic,empire,revolts,zenobia,father,mid,sought,fend,persian,incursions,regions,britain,spain,north,africa,hardly,affected,instability,caused,economic,deterioration,rapid,rise,inflation,government,debased,currency,order,meet,expenses,germanic,tribes,rhine,north,balkans,uncoordinated,incursions,ss,like,giant,raiding,parties,attempts,settle,persian,empire,invaded,east,times,eventually,defeated,emperor,diocletian,undertook,restoration,state,ended,principate,introduced,tetrarchy,sought,increase,state,power,marked,feature,unprecedented,intervention,state,city,level,state,submitted,tax,demand,city,allowed,allocate,charges,reign,state,village,level,vain,attempt,control,inflation,imposed,price,controls,constantine,regionalised,administration,empire,fundamentally,changed,way,governed,creating,regional,dioceses,existence,regional,fiscal,units,served,model,unprecedented,innovation,emperor,quickened,process,removing,military,command,governors,henceforth,civilian,administration,military,command,separate,gave,governors,fiscal,duties,placed,charge,army,logistical,support,system,attempt,control,removing,support,system,control,diocletian,ruled,eastern,half,residing,nicomedia,elevated,maximian,augustus,western,half,ruled,mediolanum,created,junior,emperors,caesars,augustus,constantius,britain,gaul,spain,seat,power,trier,galerius,sirmium,balkans,appointment,caesar,unknown,diocletian,tried,turn,system,non,dynastic,succession,abdication,caesars,succeeded,turn,appointed,colleagues",0.00,rome
