Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the ruble  or rouble   is the currency unit of belarus and russia historically it was the currency of the russian empire and of the soviet union
",ruble rouble currency unit belarus russia historically currency russian empire soviet union,9.66,"ruble,rouble,currency,unit,belarus,russia,historically,currency,russian,empire,soviet,union",0.00,ruble
"as of update currencies named ruble in circulation include the belarusian ruble  in belarus and the russian ruble  in russiaa additionally the transnistrian ruble is used in transnistria an unrecognized breakaway province of moldova these currencies are subdivided into one hundred kopeks no kopek is currently formally subdivided although denga  and polushka  were minted until the th century
",update currencies named ruble circulation include belarusian ruble belarus russian ruble russiaa additionally transnistrian ruble transnistria unrecognized breakaway province moldova currencies subdivided kopeks kopek currently formally subdivided denga polushka minted th century,6.60,"update,currencies,named,ruble,circulation,include,belarusian,ruble,belarus,russian,ruble,russiaa,additionally,transnistrian,ruble,transnistria,unrecognized,breakaway,province,moldova,currencies,subdivided,kopeks,kopek,currently,formally,subdivided,denga,polushka,minted,th,century",0.00,ruble
"historically the grivna ruble and denga were used in russia as measurements of weight in  as a result of monetary reforms by peter the great the ruble became the first decimal currency the silver ruble was used until  and the gold ruble was used until  the soviet ruble officially replaced the imperial ruble in  and continued to be used until  when it was formally replaced with the russian ruble in the russian federation and by other currencies in other post soviet states
",historically grivna ruble denga russia measurements weight result monetary reforms peter great ruble decimal currency silver ruble gold ruble soviet ruble officially replaced imperial ruble continued formally replaced russian ruble russian federation currencies post soviet states,9.66,"historically,grivna,ruble,denga,russia,measurements,weight,result,monetary,reforms,peter,great,ruble,decimal,currency,silver,ruble,gold,ruble,soviet,ruble,officially,replaced,imperial,ruble,continued,formally,replaced,russian,ruble,russian,federation,currencies,post,soviet,states",0.00,ruble
"in the past several other countries influenced by russia and the soviet union had currency units that were also named ruble including the armenian ruble latvian ruble and tajikistani ruble
",past countries influenced russia soviet union currency units named ruble including armenian ruble latvian ruble tajikistani ruble,6.88,"past,countries,influenced,russia,soviet,union,currency,units,named,ruble,including,armenian,ruble,latvian,ruble,tajikistani,ruble",0.00,ruble
"according to one version the word ruble is derived from the russian verb   to cut to chop to hack as a ruble was considered a cutout piece of a silver grivna
",according version word ruble derived russian verb cut chop hack ruble considered cutout piece silver grivna,9.49,"according,version,word,ruble,derived,russian,verb,cut,chop,hack,ruble,considered,cutout,piece,silver,grivna",0.00,ruble
rubles were parts of the grivna or pieces of silver with notches indicating their weight each grivna was divided into four parts the name ruble came from the word cut because the silver rod weighing  grivna was split into four parts which were called rubles,rubles parts grivna pieces silver notches indicating weight grivna divided parts ruble came word cut silver rod weighing grivna split parts called rubles,8.56,"rubles,parts,grivna,pieces,silver,notches,indicating,weight,grivna,divided,parts,ruble,came,word,cut,silver,rod,weighing,grivna,split,parts,called,rubles",0.00,ruble
"others say the ruble was never part of a grivna but a synonym for it this is attested in a th century birch bark manuscript from novgorod where both ruble and grivna referred to  grams  of silver the casting of these pieces included some sort of cutting  hence the name from  
",ruble grivna synonym attested th century birch bark manuscript novgorod ruble grivna referred grams silver casting pieces included sort cutting,11.19,"ruble,grivna,synonym,attested,th,century,birch,bark,manuscript,novgorod,ruble,grivna,referred,grams,silver,casting,pieces,included,sort,cutting",0.00,ruble
"another version of the words origin is that it comes from the russian noun   the seam that is left around a silver bullions after casting silver was added to the cast in two steps therefore the word ruble means a cast with a seam a popular theory deriving the word ruble from rupee is probably not correct
",version words origin comes russian noun seam left silver bullions casting silver added cast steps word ruble means cast seam popular theory deriving word ruble rupee probably correct,9.48,"version,words,origin,comes,russian,noun,seam,left,silver,bullions,casting,silver,added,cast,steps,word,ruble,means,cast,seam,popular,theory,deriving,word,ruble,rupee,probably,correct",0.00,ruble
"the ruble was the russian equivalent of the mark a measurement of weight for silver and gold used in medieval western europe the weight of one ruble was equal to the weight of one grivna
",ruble russian equivalent mark measurement weight silver gold medieval western europe weight ruble equal weight grivna,10.16,"ruble,russian,equivalent,mark,measurement,weight,silver,gold,medieval,western,europe,weight,ruble,equal,weight,grivna",0.00,ruble
"in russian a folk name for ruble tselkovyj  is known which is a shortening of the    that is a wholesome uncut rublecitation needed this name persists in the mordvin word for ruble 
",russian folk ruble tselkovyj known shortening wholesome uncut rublecitation needed persists mordvin word ruble,9.89,"russian,folk,ruble,tselkovyj,known,shortening,wholesome,uncut,rublecitation,needed,persists,mordvin,word,ruble",0.00,ruble
