Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"rupee is the common name for the currencies of 
india  mauritius nepal pakistan seychelles and sri lanka and of former currencies of afghanistan bahrain kuwait oman the united arab emirates  british east africa burma german east africa  and tibet in indonesia and the maldives the unit of currency is known as rupiah and rufiyaa respectively cognates of the word rupee
",rupee common currencies india mauritius nepal pakistan seychelles sri lanka currencies afghanistan bahrain kuwait oman united arab emirates british east africa burma german east africa tibet indonesia maldives unit currency known rupiah rufiyaa respectively cognates word rupee,6.23,"rupee,common,currencies,india,mauritius,nepal,pakistan,seychelles,sri,lanka,currencies,afghanistan,bahrain,kuwait,oman,united,arab,emirates,british,east,africa,burma,german,east,africa,tibet,indonesia,maldives,unit,currency,known,rupiah,rufiyaa,respectively,cognates,word,rupee",0.00,rupee
"the indian rupees  and pakistani rupees  are subdivided into one hundred paise  or pice the nepalese rupee  subdivides into one hundred paisa  or four sukaas the mauritian seychellois and sri lankan rupees subdivide into  cents
",indian rupees pakistani rupees subdivided paise pice nepalese rupee subdivides paisa sukaas mauritian seychellois sri lankan rupees subdivide cents,7.02,"indian,rupees,pakistani,rupees,subdivided,paise,pice,nepalese,rupee,subdivides,paisa,sukaas,mauritian,seychellois,sri,lankan,rupees,subdivide,cents",0.00,rupee
"the history of the rupee traces back to ancient india circa rd century because ancient india was one of the earliest issuers of coins in the world along with the lydian staters several other middle eastern coinages and the chinese wen
the term is from rpya a sanskrit term for silver coin from sanskrit rpa beautiful form
",history rupee traces ancient india circa rd century ancient india earliest issuers coins world lydian staters middle eastern coinages chinese wenthe term rpya sanskrit term silver coin sanskrit rpa beautiful form,8.07,"history,rupee,traces,ancient,india,circa,rd,century,ancient,india,earliest,issuers,coins,world,lydian,staters,middle,eastern,coinages,chinese,wenthe,term,rpya,sanskrit,term,silver,coin,sanskrit,rpa,beautiful,form",0.00,rupee
"during his reign from  to  afghan ruler sher shah suri of the sur empire set up a new civic and military administration and issued a coin of silver weighing  grains which was also termed the rupiya suri also introduced copper coins called dam and gold coins called mohur that weighed  grains  the use of the rupee coin continued under the mughal empire with the same standard and weight though some rulers after mughal emperor akbar occasionally issued heavier rupees
",reign afghan ruler sher shah suri sur empire set new civic military administration issued coin silver weighing grains termed rupiya suri introduced copper coins called dam gold coins called mohur weighed grains use rupee coin continued mughal empire standard weight rulers mughal emperor akbar occasionally issued heavier rupees,6.62,"reign,afghan,ruler,sher,shah,suri,sur,empire,set,new,civic,military,administration,issued,coin,silver,weighing,grains,termed,rupiya,suri,introduced,copper,coins,called,dam,gold,coins,called,mohur,weighed,grains,use,rupee,coin,continued,mughal,empire,standard,weight,rulers,mughal,emperor,akbar,occasionally,issued,heavier,rupees",0.00,rupee
"the  accession to the throne of the king emperor george v led to the famous pig rupee on the coin the king appeared wearing the chain of the order of the indian elephant through poor engraving the elephant looked very much like a pig the muslim population was enraged and the image had to be quickly redesigned acute shortage of silver during the first world war led to the introduction of paper currency of one rupee and two and a half rupees the silver coins of smaller denominations were issued in cupro nickel the compulsion of the second world war led to experiments in coinage where the standard rupee was replaced by the quaternary silver alloy the quaternary silver coins were issued from  in  these were replaced by pure nickel coins even after independence the british coinage was continued in india the monetary system remained unchanged at one rupee consisting of  pice or  pies
",accession throne king emperor george v led famous pig rupee coin king appeared wearing chain order indian elephant poor engraving elephant looked like pig muslim population enraged image quickly redesigned acute shortage silver world war led introduction paper currency rupee half rupees silver coins smaller denominations issued cupro nickel compulsion second world war led experiments coinage standard rupee replaced quaternary silver alloy quaternary silver coins issued replaced pure nickel coins independence british coinage continued india monetary system remained unchanged rupee consisting pice pies,7.97,"accession,throne,king,emperor,george,v,led,famous,pig,rupee,coin,king,appeared,wearing,chain,order,indian,elephant,poor,engraving,elephant,looked,like,pig,muslim,population,enraged,image,quickly,redesigned,acute,shortage,silver,world,war,led,introduction,paper,currency,rupee,half,rupees,silver,coins,smaller,denominations,issued,cupro,nickel,compulsion,second,world,war,led,experiments,coinage,standard,rupee,replaced,quaternary,silver,alloy,quaternary,silver,coins,issued,replaced,pure,nickel,coins,independence,british,coinage,continued,india,monetary,system,remained,unchanged,rupee,consisting,pice,pies",0.00,rupee
"in india the anna series was introduced on  august  this was the first coinage of the republic of india the kings portrait was replaced by the ashokas lion capital a corn sheaf replaced the tiger on the one rupee coin the monetary system was retained with one rupee consisting of  annas the  indian coinage  act that came into force with effect from  april  introduced a decimal series the rupee was now divided into  paisa instead of  annas or  pice the naye paise coins were minted in the denominations of      and  naye paise both the anna series and the naye paise coins were valid for some time from  onwards the new coins were called just paise instead of naye paise because they were no longer naye
",india anna series introduced august coinage republic india kings portrait replaced ashokas lion capital corn sheaf replaced tiger rupee coin monetary system retained rupee consisting annas indian coinage act came force effect april introduced decimal series rupee divided paisa instead annas pice naye paise coins minted denominations naye paise anna series naye paise coins valid time onwards new coins called paise instead naye paise longer naye,8.36,"india,anna,series,introduced,august,coinage,republic,india,kings,portrait,replaced,ashokas,lion,capital,corn,sheaf,replaced,tiger,rupee,coin,monetary,system,retained,rupee,consisting,annas,indian,coinage,act,came,force,effect,april,introduced,decimal,series,rupee,divided,paisa,instead,annas,pice,naye,paise,coins,minted,denominations,naye,paise,anna,series,naye,paise,coins,valid,time,onwards,new,coins,called,paise,instead,naye,paise,longer,naye",0.00,rupee
"with high inflation in the sixties small denomination coins which were made of bronze nickel brass cupro nickel and aluminium bronze were gradually minted in aluminium this change commenced with the introduction of the new hexagonal  paise coin a twenty paise coin was introduced in  but did not gain much popularity over a period cost benefit considerations led to the gradual discontinuance of   and  paise coins in the s stainless steel coinage of   and  paise was introduced in  and of one rupee in  the very considerable costs of managing note issues of rs  rs  and rs  led to the gradual coinisation of these denominations in the s
",high inflation sixties small denomination coins bronze nickel brass cupro nickel aluminium bronze gradually minted aluminium change commenced introduction new hexagonal paise coin paise coin introduced gain popularity period cost benefit considerations led gradual discontinuance paise coins stainless steel coinage paise introduced rupee considerable costs managing note issues rs rs rs led gradual coinisation denominations,8.15,"high,inflation,sixties,small,denomination,coins,bronze,nickel,brass,cupro,nickel,aluminium,bronze,gradually,minted,aluminium,change,commenced,introduction,new,hexagonal,paise,coin,paise,coin,introduced,gain,popularity,period,cost,benefit,considerations,led,gradual,discontinuance,paise,coins,stainless,steel,coinage,paise,introduced,rupee,considerable,costs,managing,note,issues,rs,rs,rs,led,gradual,coinisation,denominations",0.00,rupee
"in east africa arabia and mesopotamia the rupee and its subsidiary coinage was current at various times the usage of the rupee in east africa extended from somaliland in the north to as far south as natal in mozambique the british india rupees were overstamped and in kenya the british east africa company minted the rupee and its fractions as well as pice
",east africa arabia mesopotamia rupee subsidiary coinage current times usage rupee east africa extended somaliland north far south natal mozambique british india rupees overstamped kenya british east africa company minted rupee fractions pice,8.40,"east,africa,arabia,mesopotamia,rupee,subsidiary,coinage,current,times,usage,rupee,east,africa,extended,somaliland,north,far,south,natal,mozambique,british,india,rupees,overstamped,kenya,british,east,africa,company,minted,rupee,fractions,pice",0.00,rupee
"the rise in the price of silver immediately after the first world war caused the rupee to rise in value to two shillings sterling in  in british east africa the opportunity was then taken to introduce a new florin coin hence bringing the currency into line with sterling shortly after that the florin was split into two east african shillings this assimilation to sterling did not however happen in british india itself in somalia the italian colonial authority minted rupia to exactly the same standard and called the pice besa
",rise price silver immediately world war caused rupee rise value shillings sterling british east africa opportunity taken introduce new florin coin bringing currency line sterling shortly florin split east african shillings assimilation sterling happen british india somalia italian colonial authority minted rupia exactly standard called pice besa,8.13,"rise,price,silver,immediately,world,war,caused,rupee,rise,value,shillings,sterling,british,east,africa,opportunity,taken,introduce,new,florin,coin,bringing,currency,line,sterling,shortly,florin,split,east,african,shillings,assimilation,sterling,happen,british,india,somalia,italian,colonial,authority,minted,rupia,exactly,standard,called,pice,besa",0.00,rupee
"the indian rupee was the official currency of dubai and qatar until  when india created a new gulf rupee  to hinder the smuggling of gold the gulf rupee was legal tender until  when india significantly devalued the indian rupee and a new qatar dubai riyal was established to provide economic stability
",indian rupee official currency dubai qatar india created new gulf rupee hinder smuggling gold gulf rupee legal tender india significantly devalued indian rupee new qatar dubai riyal established provide economic stability,6.62,"indian,rupee,official,currency,dubai,qatar,india,created,new,gulf,rupee,hinder,smuggling,gold,gulf,rupee,legal,tender,india,significantly,devalued,indian,rupee,new,qatar,dubai,riyal,established,provide,economic,stability",0.00,rupee
"the straits settlements were originally an outlier of the british east india company the spanish dollar had already taken hold in the straits settlements by the time the british arrived in the th century the east india company tried to introduce the rupee in its place these attempts were resisted by the locals and by  when the british government took over direct control of the straits settlements from the east india company attempts to introduce the rupee were finally abandoned
",straits settlements originally outlier british east india company spanish dollar taken hold straits settlements time british arrived th century east india company tried introduce rupee place attempts resisted locals british government took direct control straits settlements east india company attempts introduce rupee finally abandoned,7.45,"straits,settlements,originally,outlier,british,east,india,company,spanish,dollar,taken,hold,straits,settlements,time,british,arrived,th,century,east,india,company,tried,introduce,rupee,place,attempts,resisted,locals,british,government,took,direct,control,straits,settlements,east,india,company,attempts,introduce,rupee,finally,abandoned",0.00,rupee
"until the middle of the th century tibets official currency was also known as the tibetan rupee
",middle th century tibets official currency known tibetan rupee,8.33,"middle,th,century,tibets,official,currency,known,tibetan,rupee",0.00,rupee
"the original silver rupee  fine silver  grams citation needed was divided into  annas  paise or  pies each circulating coin of british india until the rupee was decimalised had a different name in practice a paisa was equal to two dhelas three pies or six damaris other coins for half anna  two annas  four annas  and eight annas  were widely in use until decimalization in   two paisa was also called a taka see below
",original silver rupee fine silver grams citation needed divided annas paise pies circulating coin british india rupee decimalised different practice paisa equal dhelas pies damaris coins half anna annas annas annas widely use decimalization paisa called taka,8.59,"original,silver,rupee,fine,silver,grams,citation,needed,divided,annas,paise,pies,circulating,coin,british,india,rupee,decimalised,different,practice,paisa,equal,dhelas,pies,damaris,coins,half,anna,annas,annas,annas,widely,use,decimalization,paisa,called,taka",0.00,rupee
"decimalisation occurred in india in  in pakistan in  and in sri lanka  in  since  an indian rupee is divided into  paise the decimalised paisa was originally officially named naya paisa meaning the new paisa to distinguish it from the erstwhile paisa which had a higher value of  rupee the word naya was dropped in  and since then it is simply known as paisa 
",decimalisation occurred india pakistan sri lanka indian rupee divided paise decimalised paisa originally officially named naya paisa meaning new paisa distinguish erstwhile paisa higher value rupee word naya dropped simply known paisa,8.61,"decimalisation,occurred,india,pakistan,sri,lanka,indian,rupee,divided,paise,decimalised,paisa,originally,officially,named,naya,paisa,meaning,new,paisa,distinguish,erstwhile,paisa,higher,value,rupee,word,naya,dropped,simply,known,paisa",0.00,rupee
"the most commonly used symbol for the rupee is  india adopted a new symbol  for the indian rupee on  july  in most parts of india the rupee is known as rupaya rupaye or one of several other terms derived from the sanskrit rpya meaning silver
",commonly symbol rupee india adopted new symbol indian rupee july parts india rupee known rupaya rupaye terms derived sanskrit rpya meaning silver,9.50,"commonly,symbol,rupee,india,adopted,new,symbol,indian,rupee,july,parts,india,rupee,known,rupaya,rupaye,terms,derived,sanskrit,rpya,meaning,silver",0.00,rupee
"aka is an ancient sanskrit word for money while the two paise coin was called a taka in west pakistan the word taka was commonly used in east pakistan  alternatively for rupee in the bengali and assamese languages spoken in assam tripura and west bengal the rupee is known as a taka and is written as such on indian banknotes in odisha it is known as tanka after its independence bangladesh started to officially call its currency taka  in 
",aka ancient sanskrit word money paise coin called taka west pakistan word taka commonly east pakistan alternatively rupee bengali assamese languages spoken assam tripura west bengal rupee known taka written indian banknotes odisha known tanka independence bangladesh started officially currency taka,8.62,"aka,ancient,sanskrit,word,money,paise,coin,called,taka,west,pakistan,word,taka,commonly,east,pakistan,alternatively,rupee,bengali,assamese,languages,spoken,assam,tripura,west,bengal,rupee,known,taka,written,indian,banknotes,odisha,known,tanka,independence,bangladesh,started,officially,currency,taka",0.00,rupee
"the rupee sign  is a currency sign used to represent the monetary unit of account in pakistan sri lanka nepal mauritius seychelles and formerly in india it resembles and is often written as the latin character sequence rs or rs currency signs exist for other countries that use the rupee but not this sign their usage is also described at the main article
",rupee sign currency sign represent monetary unit account pakistan sri lanka nepal mauritius seychelles india resembles written latin character sequence rs rs currency signs exist countries use rupee sign usage described main article,8.43,"rupee,sign,currency,sign,represent,monetary,unit,account,pakistan,sri,lanka,nepal,mauritius,seychelles,india,resembles,written,latin,character,sequence,rs,rs,currency,signs,exist,countries,use,rupee,sign,usage,described,main,article",0.00,rupee
"in latin script rupee  is abbreviated as recitation needed and rupees  as  the indonesian rupiah is abbreviated rp in th century typography abbreviations were often superscripted 




r




s




displaystyle rcdot s

 or 




r


s






displaystyle runderline s

 in brahmic scripts rupee is often abbreviated with the grapheme for the first syllable optionally followed by a circular abbreviation mark or a latin abbreviation point        
",latin script rupee abbreviated recitation needed rupees indonesian rupiah abbreviated rp th century typography abbreviations superscripted rsdisplaystyle rcdot rsdisplaystyle runderline brahmic scripts rupee abbreviated grapheme syllable optionally followed circular abbreviation mark latin abbreviation point,6.08,"latin,script,rupee,abbreviated,recitation,needed,rupees,indonesian,rupiah,abbreviated,rp,th,century,typography,abbreviations,superscripted,rsdisplaystyle,rcdot,rsdisplaystyle,runderline,brahmic,scripts,rupee,abbreviated,grapheme,syllable,optionally,followed,circular,abbreviation,mark,latin,abbreviation,point",0.00,rupee
