Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"russia  or the russian federationc is a transcontinental country spanning eastern europe and northern asia it is the largest country in the world with its internationally recognised territory covering  square kilometres  and encompassing one eighth of earths inhabitable landmass russia extends across eleven time zones and shares land boundaries with fourteen countriesd it is the worlds ninth most populous country and europes most populous country with a population of over  million people the countrys capital and largest city is moscow saint petersburg is russias cultural centre and second largest city other major urban areas include novosibirsk yekaterinburg nizhny novgorod and kazan
",russia russian federationc transcontinental country spanning eastern europe northern asia largest country world internationally recognised territory covering square kilometres encompassing eighth earths inhabitable landmass russia extends time zones shares land boundaries fourteen countriesd worlds ninth populous country europes populous country population million people countrys capital largest city moscow saint petersburg russias cultural centre second largest city major urban areas include novosibirsk yekaterinburg nizhny novgorod kazan,5.19,"russia,russian,federationc,transcontinental,country,spanning,eastern,europe,northern,asia,largest,country,world,internationally,recognised,territory,covering,square,kilometres,encompassing,eighth,earths,inhabitable,landmass,russia,extends,time,zones,shares,land,boundaries,fourteen,countriesd,worlds,ninth,populous,country,europes,populous,country,population,million,people,countrys,capital,largest,city,moscow,saint,petersburg,russias,cultural,centre,second,largest,city,major,urban,areas,include,novosibirsk,yekaterinburg,nizhny,novgorod,kazan",0.00,russia
"the east slavs emerged as a recognisable group in europe between the rd and th centuries ce the first east slavic state kievan rus arose in the th century and in  it adopted orthodox christianity from the byzantine empire rus ultimately disintegrated with the grand duchy of moscow growing to become the tsardom of russia by the early th century russia had vastly expanded through conquest annexation and the efforts of russian explorers developing into the russian empire which remains the third largest empire in history however with the russian revolution in  russias monarchic rule was abolished and replaced by the russian sfsrthe worlds first constitutionally socialist state following the russian civil war the russian sfsr established the soviet union  within which it was the largest and principal constituent at the expense of millions of lives the soviet union underwent rapid industrialization in the s and later played a decisive role for the allies of world war ii by leading large scale efforts on the eastern front with the onset of the cold war it competed with the united states for global ideological influence the soviet era of the th century saw some of the most significant russian technological achievements including the first human made satellite and the first human expedition into outer space
",east slavs emerged recognisable group europe rd th centuries ce east slavic state kievan rus arose th century adopted orthodox christianity byzantine empire rus ultimately disintegrated grand duchy moscow growing tsardom russia early th century russia vastly expanded conquest annexation efforts russian explorers developing russian empire remains largest empire history russian revolution russias monarchic rule abolished replaced russian sfsrthe worlds constitutionally socialist state following russian civil war russian sfsr established soviet union largest principal constituent expense millions lives soviet union underwent rapid industrialization later played decisive role allies world war ii leading large scale efforts eastern onset cold war competed united states global ideological influence soviet era th century saw significant russian technological achievements including human satellite human expedition outer space,7.05,"east,slavs,emerged,recognisable,group,europe,rd,th,centuries,ce,east,slavic,state,kievan,rus,arose,th,century,adopted,orthodox,christianity,byzantine,empire,rus,ultimately,disintegrated,grand,duchy,moscow,growing,tsardom,russia,early,th,century,russia,vastly,expanded,conquest,annexation,efforts,russian,explorers,developing,russian,empire,remains,largest,empire,history,russian,revolution,russias,monarchic,rule,abolished,replaced,russian,sfsrthe,worlds,constitutionally,socialist,state,following,russian,civil,war,russian,sfsr,established,soviet,union,largest,principal,constituent,expense,millions,lives,soviet,union,underwent,rapid,industrialization,later,played,decisive,role,allies,world,war,ii,leading,large,scale,efforts,eastern,onset,cold,war,competed,united,states,global,ideological,influence,soviet,era,th,century,saw,significant,russian,technological,achievements,including,human,satellite,human,expedition,outer,space",0.00,russia
"in  the russian sfsr emerged from the dissolution of the soviet union as the independent russian federation a new constitution was adopted and russia has since been governed as a federal semi presidential republic since the turn of the century russias political system has been dominated by vladimir putin under whom the country has experienced democratic backsliding and a shift towards authoritarianism russia has been involved militarily in a number of post soviet conflicts which has included the internationally unrecognised annexations of crimea in  from neighbouring ukraine and four other regions in  during an ongoing invasion international rankings of russia place it low in measurements of human rights and freedom of the press the country also has high levels of perceived corruption
",russian sfsr emerged dissolution soviet union independent russian federation new constitution adopted russia governed federal semi presidential republic turn century russias political system dominated vladimir putin country experienced democratic backsliding shift authoritarianism russia involved militarily number post soviet conflicts included internationally unrecognised annexations crimea neighbouring ukraine regions ongoing invasion international rankings russia place low measurements human rights freedom press country high levels perceived corruption,7.29,"russian,sfsr,emerged,dissolution,soviet,union,independent,russian,federation,new,constitution,adopted,russia,governed,federal,semi,presidential,republic,turn,century,russias,political,system,dominated,vladimir,putin,country,experienced,democratic,backsliding,shift,authoritarianism,russia,involved,militarily,number,post,soviet,conflicts,included,internationally,unrecognised,annexations,crimea,neighbouring,ukraine,regions,ongoing,invasion,international,rankings,russia,place,low,measurements,human,rights,freedom,press,country,high,levels,perceived,corruption",0.00,russia
"ranked worldwide the russian economy stands at the ninth largest by nominal gdp and the sixth largest by gdp  its mineral and energy sources are the worlds largest and its figures for oil production and natural gas production rank high globally russia possesses the largest stockpile of nuclear weapons and has the fifth highest military expenditure the country is a permanent member of the united nations security council a member state of the g the sco brics the apec the osce and the wto and is the leading member state of the cis the csto and the eaeu russia is home to  unesco world heritage sites
",ranked worldwide russian economy stands ninth largest nominal gdp sixth largest gdp mineral energy sources worlds largest figures oil production natural gas production rank high globally russia possesses largest stockpile nuclear weapons fifth highest military expenditure country permanent member united nations security council member state g sco brics apec osce wto leading member state cis csto eaeu russia home unesco world heritage sites,7.13,"ranked,worldwide,russian,economy,stands,ninth,largest,nominal,gdp,sixth,largest,gdp,mineral,energy,sources,worlds,largest,figures,oil,production,natural,gas,production,rank,high,globally,russia,possesses,largest,stockpile,nuclear,weapons,fifth,highest,military,expenditure,country,permanent,member,united,nations,security,council,member,state,g,sco,brics,apec,osce,wto,leading,member,state,cis,csto,eaeu,russia,home,unesco,world,heritage,sites",0.00,russia
"the name russia comes from a medieval latin name for rus a medieval state populated primarily by the east slavs in modern historiography this state is usually denoted as kievan rus after its capital city the name rus itself comes from the early medieval rus people who were originally a group of norse merchants and warriors who relocated from across the baltic sea and first settled in the northern region of novgorod and later founded a state centred on kiev another medieval latin name for rus was ruthenia
",russia comes medieval latin rus medieval state populated primarily east slavs modern historiography state usually denoted kievan rus capital city rus comes early medieval rus people originally group norse merchants warriors relocated baltic sea settled northern region novgorod later founded state centred kiev medieval latin rus ruthenia,8.04,"russia,comes,medieval,latin,rus,medieval,state,populated,primarily,east,slavs,modern,historiography,state,usually,denoted,kievan,rus,capital,city,rus,comes,early,medieval,rus,people,originally,group,norse,merchants,warriors,relocated,baltic,sea,settled,northern,region,novgorod,later,founded,state,centred,kiev,medieval,latin,rus,ruthenia",0.00,russia
"the first human settlement on russia dates back to the oldowan period in the early lower paleolithic about  million years ago representatives of homo erectus migrated to the taman peninsula in southern russia flint tools some  million years old have been discovered in the north caucasus radiocarbon dated specimens from denisova cave in the altai mountains estimate the oldest denisovan specimen lived  years ago fossils of denny an archaic human hybrid that was half neanderthal and half denisovan and lived some  years ago was also found within the latter cave russia was home to some of the last surviving neanderthals from about  years ago found in mezmaiskaya cave
",human settlement russia dates oldowan period early lower paleolithic million years ago representatives homo erectus migrated taman peninsula southern russia flint tools million years old discovered north caucasus radiocarbon dated specimens denisova cave altai mountains estimate oldest denisovan specimen lived years ago fossils denny archaic human hybrid half neanderthal half denisovan lived years ago found cave russia home surviving neanderthals years ago found mezmaiskaya cave,6.41,"human,settlement,russia,dates,oldowan,period,early,lower,paleolithic,million,years,ago,representatives,homo,erectus,migrated,taman,peninsula,southern,russia,flint,tools,million,years,old,discovered,north,caucasus,radiocarbon,dated,specimens,denisova,cave,altai,mountains,estimate,oldest,denisovan,specimen,lived,years,ago,fossils,denny,archaic,human,hybrid,half,neanderthal,half,denisovan,lived,years,ago,found,cave,russia,home,surviving,neanderthals,years,ago,found,mezmaiskaya,cave",0.00,russia
"the first trace of an early modern human in russia dates back to  years in western siberia the discovery of high concentration cultural remains of anatomically modern humans from at least  years ago was found at kostyonkiborshchyovo and at sungir dating back to  years agoboth in western russia humans reached arctic russia at least  years ago in mamontovaya kurya
",trace early modern human russia dates years western siberia discovery high concentration cultural remains anatomically modern humans years ago found kostyonkiborshchyovo sungir dating years agoboth western russia humans reached arctic russia years ago mamontovaya kurya,6.58,"trace,early,modern,human,russia,dates,years,western,siberia,discovery,high,concentration,cultural,remains,anatomically,modern,humans,years,ago,found,kostyonkiborshchyovo,sungir,dating,years,agoboth,western,russia,humans,reached,arctic,russia,years,ago,mamontovaya,kurya",0.00,russia
"the kurgan hypothesis places the volga dnieper region of southern russia and ukraine as the urheimat of the proto indo europeans early indo european migrations from the ponticcaspian steppe of ukraine and russia spread yamnaya ancestry and indo european languages across large parts of eurasia nomadic pastoralism developed in the ponticcaspian steppe beginning in the chalcolithic remnants of these steppe civilizations were discovered in places such as ipatovo sintashta arkaim and pazyryk which bear the earliest known traces of horses in warfare the genetic makeup of speakers of the uralic language family in northern europe was shaped by migration from siberia that began at least  years ago in classical antiquity the pontic caspian steppe was known as scythia in late th century bce ancient greek traders brought classical civilization to the trade emporiums in tanais and phanagoria
",kurgan hypothesis places volga dnieper region southern russia ukraine urheimat proto indo europeans early indo european migrations ponticcaspian steppe ukraine russia spread yamnaya ancestry indo european languages large parts eurasia nomadic pastoralism developed ponticcaspian steppe beginning chalcolithic remnants steppe civilizations discovered places ipatovo sintashta arkaim pazyryk bear earliest known traces horses warfare genetic makeup speakers uralic language family northern europe shaped migration siberia began years ago classical antiquity pontic caspian steppe known scythia late th century bce ancient greek traders brought classical civilization trade emporiums tanais phanagoria,5.61,"kurgan,hypothesis,places,volga,dnieper,region,southern,russia,ukraine,urheimat,proto,indo,europeans,early,indo,european,migrations,ponticcaspian,steppe,ukraine,russia,spread,yamnaya,ancestry,indo,european,languages,large,parts,eurasia,nomadic,pastoralism,developed,ponticcaspian,steppe,beginning,chalcolithic,remnants,steppe,civilizations,discovered,places,ipatovo,sintashta,arkaim,pazyryk,bear,earliest,known,traces,horses,warfare,genetic,makeup,speakers,uralic,language,family,northern,europe,shaped,migration,siberia,began,years,ago,classical,antiquity,pontic,caspian,steppe,known,scythia,late,th,century,bce,ancient,greek,traders,brought,classical,civilization,trade,emporiums,tanais,phanagoria",0.00,russia
"in the rd to th centuries ce the gothic kingdom of oium existed in southern russia which was later overrun by hunsfailed verification between the rd and th centuries ce the bosporan kingdom which was a hellenistic polity that succeeded the greek colonies was also overwhelmed by nomadic invasions led by warlike tribes such as the huns and eurasian avars the khazars who were of turkic origin ruled the steppes between the caucasus in the south to the east past the volga river basin and west as far as kyiv on the dnieper river until the th century after them came the pechenegs who created a large confederacy which was subsequently taken over by the cumans and the kipchaks
",rd th centuries ce gothic kingdom oium existed southern russia later overrun hunsfailed verification rd th centuries ce bosporan kingdom hellenistic polity succeeded greek colonies overwhelmed nomadic invasions led warlike tribes huns eurasian avars khazars turkic origin ruled steppes caucasus south east past volga river basin west far kyiv dnieper river th century came pechenegs created large confederacy subsequently taken cumans kipchaks,8.42,"rd,th,centuries,ce,gothic,kingdom,oium,existed,southern,russia,later,overrun,hunsfailed,verification,rd,th,centuries,ce,bosporan,kingdom,hellenistic,polity,succeeded,greek,colonies,overwhelmed,nomadic,invasions,led,warlike,tribes,huns,eurasian,avars,khazars,turkic,origin,ruled,steppes,caucasus,south,east,past,volga,river,basin,west,far,kyiv,dnieper,river,th,century,came,pechenegs,created,large,confederacy,subsequently,taken,cumans,kipchaks",0.00,russia
"the ancestors of russians are among the slavic tribes that separated from the proto indo europeans who appeared in the northeastern part of europe c  years ago the east slavs gradually settled western russia in two waves one moving from kiev towards present day suzdal and murom and another from polotsk towards novgorod and rostov from the th century onwards the east slavs constituted the bulk of the population in western russia and slowly but peacefully assimilated the native finnic peoples
",ancestors russians slavic tribes separated proto indo europeans appeared northeastern europe cyears ago east slavs gradually settled western russia waves moving kiev present day suzdal murom polotsk novgorod rostov th century onwards east slavs constituted bulk population western russia slowly peacefully assimilated native finnic peoples,7.06,"ancestors,russians,slavic,tribes,separated,proto,indo,europeans,appeared,northeastern,europe,cyears,ago,east,slavs,gradually,settled,western,russia,waves,moving,kiev,present,day,suzdal,murom,polotsk,novgorod,rostov,th,century,onwards,east,slavs,constituted,bulk,population,western,russia,slowly,peacefully,assimilated,native,finnic,peoples",0.00,russia
