Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the ruble or rouble  is the currency of the russian federation the ruble is subdivided into  kopecks  the first russian ruble  replaced the soviet ruble  in september  at par in  preceding the financial crisis the current ruble was redenominated with the new code rub and was exchanged at the rate of  rub   rur
",ruble rouble currency russian federation ruble subdivided kopecks russian ruble replaced soviet ruble september par preceding financial crisis current ruble redenominated new code rub exchanged rate rub rur,8.01,"ruble,rouble,currency,russian,federation,ruble,subdivided,kopecks,russian,ruble,replaced,soviet,ruble,september,par,preceding,financial,crisis,current,ruble,redenominated,new,code,rub,exchanged,rate,rub,rur",0.00,ruble
"the ruble was the currency of the russian empire and of the soviet union  in  the currency imagery underwent a redesign as a result of de leninization the soviet currency had different names in the different languages of the ussr russia belarus uzbekistan kyrgyzstan azerbaijan turkmenistan and transnistria have all retained the soviet era names for their new currencies
",ruble currency russian empire soviet union currency imagery underwent redesign result de leninization soviet currency different names different languages ussr russia belarus uzbekistan kyrgyzstan azerbaijan turkmenistan transnistria retained soviet era names new currencies,6.99,"ruble,currency,russian,empire,soviet,union,currency,imagery,underwent,redesign,result,de,leninization,soviet,currency,different,names,different,languages,ussr,russia,belarus,uzbekistan,kyrgyzstan,azerbaijan,turkmenistan,transnistria,retained,soviet,era,names,new,currencies",0.00,ruble
"the russian ruble is also used in the parts of ukraine under russian military occupation and in russian occupied parts of georgia
",russian ruble parts ukraine russian military occupation russian occupied parts georgia,8.46,"russian,ruble,parts,ukraine,russian,military,occupation,russian,occupied,parts,georgia",0.00,ruble
"the ruble has been used in the russian territories since the th century and is the second oldest currency still in circulation behind sterling
initially an uncoined unit of account the ruble became a circulating coin in  just before the establishment of the russian empire it was also the first currency in europe to be decimalised in  when it was divided into  kopecks the ruble has seen several incarnations and redenominations during its history the latest of which is the introduction in  of the current russian ruble  at the rate of  rub   rur
",ruble russian territories th century second oldest currency circulation sterlinginitially uncoined unit account ruble circulating coin establishment russian empire currency europe decimalised divided kopecks ruble seen incarnations redenominations history latest introduction current russian ruble rate rub rur,10.02,"ruble,russian,territories,th,century,second,oldest,currency,circulation,sterlinginitially,uncoined,unit,account,ruble,circulating,coin,establishment,russian,empire,currency,europe,decimalised,divided,kopecks,ruble,seen,incarnations,redenominations,history,latest,introduction,current,russian,ruble,rate,rub,rur",0.00,ruble
"following the dissolution of the soviet union in  the soviet ruble remained the currency of the russian federation until  a new set of coins was issued in  and a new set of banknotes was issued in the name of bank of russia in  the currency replaced the soviet ruble at par and was assigned the iso  code rur and number 
",following dissolution soviet union soviet ruble remained currency russian federation new set coins issued new set banknotes issued bank russia currency replaced soviet ruble par assigned iso code rur number,9.35,"following,dissolution,soviet,union,soviet,ruble,remained,currency,russian,federation,new,set,coins,issued,new,set,banknotes,issued,bank,russia,currency,replaced,soviet,ruble,par,assigned,iso,code,rur,number",0.00,ruble
"after the fall of the soviet union the russian federation introduced new coins in  in denominations of      and  rubles the coins depict the double headed eagle without a crown sceptre and globus cruciger above the legend    it is exactly the same eagle that the artist ivan bilibin painted after the february revolution as the coat of arms for the russian republic the  and  ruble coins were minted in brass clad steel the  and  ruble coins in cupro nickel and the  and  ruble coins were bimetallic  in  aluminium bronze  ruble coins and cupro nickel zinc  ruble coins were issued and the material of  and  ruble coins was changed to nickel plated steel in  the material of  ruble coins was changed to brass plated steel but the coins were minted with the old date  as high inflation persisted the lowest denominations disappeared from circulation and the other denominations became rarely used
",fall soviet union russian federation introduced new coins denominations rubles coins depict double headed eagle crown sceptre globus cruciger legend exactly eagle artist ivan bilibin painted february revolution coat arms russian republic ruble coins minted brass clad steel ruble coins cupro nickel ruble coins bimetallic aluminium bronze ruble coins cupro nickel zinc ruble coins issued material ruble coins changed nickel plated steel material ruble coins changed brass plated steel coins minted old date high inflation persisted lowest denominations disappeared circulation denominations rarely,7.48,"fall,soviet,union,russian,federation,introduced,new,coins,denominations,rubles,coins,depict,double,headed,eagle,crown,sceptre,globus,cruciger,legend,exactly,eagle,artist,ivan,bilibin,painted,february,revolution,coat,arms,russian,republic,ruble,coins,minted,brass,clad,steel,ruble,coins,cupro,nickel,ruble,coins,bimetallic,aluminium,bronze,ruble,coins,cupro,nickel,zinc,ruble,coins,issued,material,ruble,coins,changed,nickel,plated,steel,material,ruble,coins,changed,brass,plated,steel,coins,minted,old,date,high,inflation,persisted,lowest,denominations,disappeared,circulation,denominations,rarely",0.00,ruble
"during this period the commemorative one ruble coins were regularly issued continuing the specifications of prior commemorative soviet rubles  it is nearly identical to those of the  swiss franc coin  worth approx  or us as of august  for this reason there have been several instances of  soviet and russian ruble coins being used on a large scale to defraud automated vending machines in switzerland
",period commemorative ruble coins regularly issued continuing specifications prior commemorative soviet rubles nearly identical swiss franc coin worth approx august reason instances soviet russian ruble coins large scale defraud automated vending machines switzerland,7.73,"period,commemorative,ruble,coins,regularly,issued,continuing,specifications,prior,commemorative,soviet,rubles,nearly,identical,swiss,franc,coin,worth,approx,august,reason,instances,soviet,russian,ruble,coins,large,scale,defraud,automated,vending,machines,switzerland",0.00,ruble
"in  new state treasury notes were introduced for   and  rubles along with new state bank notes worth    and  rubles in  the state bank took over production of   and  ruble notes and also introduced   and  ruble notes although the  ruble note was no longer issued in  a final issue of notes was made bearing the name of the ussr before the russian federation introduced  and  ruble notes these were followed by  ruble notes in   rubles in  and finally  rubles in  
",new state treasury notes introduced rubles new state bank notes worth rubles state bank took production ruble notes introduced ruble notes ruble note longer issued final issue notes bearing ussr russian federation introduced ruble notes followed ruble notes rubles finally rubles,8.19,"new,state,treasury,notes,introduced,rubles,new,state,bank,notes,worth,rubles,state,bank,took,production,ruble,notes,introduced,ruble,notes,ruble,note,longer,issued,final,issue,notes,bearing,ussr,russian,federation,introduced,ruble,notes,followed,ruble,notes,rubles,finally,rubles",0.00,ruble
"since the dissolution of the soviet union in  russian ruble banknotes and coins have been notable for their lack of portraits which traditionally were included under both the tsarist and communist regimes with the issue of the  ruble note depicting a statue of peter i and then the  ruble note depicting a statue of yaroslav the lack of recognizable faces on the currency has been partially alleviated
",dissolution soviet union russian ruble banknotes coins notable lack portraits traditionally included tsarist communist regimes issue ruble note depicting statue peter ruble note depicting statue yaroslav lack recognizable faces currency partially alleviated,8.71,"dissolution,soviet,union,russian,ruble,banknotes,coins,notable,lack,portraits,traditionally,included,tsarist,communist,regimes,issue,ruble,note,depicting,statue,peter,ruble,note,depicting,statue,yaroslav,lack,recognizable,faces,currency,partially,alleviated",0.00,ruble
"in  the russian ruble was redenominated with the new iso  code rub and number  and was exchanged at the rate of  rub   rur all soviet coins issued between  and  as well as     and  kopeck coins issued before  also qualified for exchange into new rubles
",russian ruble redenominated new iso code rub number exchanged rate rub rur soviet coins issued kopeck coins issued qualified exchange new rubles,8.70,"russian,ruble,redenominated,new,iso,code,rub,number,exchanged,rate,rub,rur,soviet,coins,issued,kopeck,coins,issued,qualified,exchange,new,rubles",0.00,ruble
"the redenomination was an administrative step that reduced the unwieldiness of the old ruble but occurred on the brink of the  russian financial crisis the ruble lost  of its value against the us dollar in the six months following this financial crisis from us    to approximately  
",redenomination administrative step reduced unwieldiness old ruble occurred brink russian financial crisis ruble lost value dollar months following financial crisis approximately,8.83,"redenomination,administrative,step,reduced,unwieldiness,old,ruble,occurred,brink,russian,financial,crisis,ruble,lost,value,dollar,months,following,financial,crisis,approximately",0.00,ruble
"by april  the ruble went above its pre war level after falling as low as   per dollar in early march and recovered to its pre war value by early april
",april ruble went pre war level falling low dollar early march recovered pre war value early april,8.61,"april,ruble,went,pre,war,level,falling,low,dollar,early,march,recovered,pre,war,value,early,april",0.00,ruble
"a currency symbol was used for the ruble between the th century and the th century the symbol consisted of the russian letters   and   the symbol was placed over the amount number it belonged to this symbol however fell into disuse by the mid th century
",currency symbol ruble th century th century symbol consisted russian letters symbol placed number belonged symbol fell disuse mid th century,9.84,"currency,symbol,ruble,th,century,th,century,symbol,consisted,russian,letters,symbol,placed,number,belonged,symbol,fell,disuse,mid,th,century",0.00,ruble
"in july  the central bank of russia announced that it would decide on a symbol for the ruble and would test  symbols this included the symbol   which received preliminary approval from the central bank however one more symbol a  with a horizontal stroke below the top similar to the philippine peso sign was proposed unofficially proponents of the new sign claimed that it is simple recognizable and similar to other currency signs this symbol is also similar to the armenian letter  or the latin letter 
",july central bank russia announced decide symbol ruble test symbols included symbol received preliminary approval central bank symbol horizontal stroke similar philippine peso sign proposed unofficially proponents new sign claimed simple recognizable similar currency signs symbol similar armenian letter latin letter,8.71,"july,central,bank,russia,announced,decide,symbol,ruble,test,symbols,included,symbol,received,preliminary,approval,central,bank,symbol,horizontal,stroke,similar,philippine,peso,sign,proposed,unofficially,proponents,new,sign,claimed,simple,recognizable,similar,currency,signs,symbol,similar,armenian,letter,latin,letter",0.00,ruble
"on  december  the official symbol for the ruble became  a cyrillic letter er with a single added horizontal strokebetter source needed though the abbreviation  is in wide use in unicode version  it was assigned the encoding youbd  ruble sign
",december official symbol ruble cyrillic letter er single added horizontal strokebettersourceneeded abbreviation wide use unicode version assigned encoding youbd ruble sign,6.61,"december,official,symbol,ruble,cyrillic,letter,er,single,added,horizontal,strokebettersourceneeded,abbreviation,wide,use,unicode,version,assigned,encoding,youbd,ruble,sign",0.00,ruble
"on  february  the unicode technical committee during its th meeting in san jose accepted youbd  ruble sign symbol for unicode version  the symbol was then included into unicode  released on  june  in august  microsoft issued updates for all of its mainstream versions of microsoft windows that enabled support for the new ruble sign
",february unicode technical committee th meeting san jose accepted youbd ruble sign symbol unicode version symbol included unicode released june august microsoft issued updates mainstream versions microsoft windows enabled support new ruble sign,6.01,"february,unicode,technical,committee,th,meeting,san,jose,accepted,youbd,ruble,sign,symbol,unicode,version,symbol,included,unicode,released,june,august,microsoft,issued,updates,mainstream,versions,microsoft,windows,enabled,support,new,ruble,sign",0.00,ruble
"the ruble sign can be entered on a russian computer keyboard as altgr on windows and linux or altgr  on macos
",ruble sign entered russian computer keyboard altgr windows linux altgr macos,9.09,"ruble,sign,entered,russian,computer,keyboard,altgr,windows,linux,altgr,macos",0.00,ruble
"in  the following coins were introduced in connection with the ruble revaluation and are currently in circulation
",following coins introduced connection ruble revaluation currently circulation,7.89,"following,coins,introduced,connection,ruble,revaluation,currently,circulation",0.00,ruble
"these coins began being issued in  although some of them bear the year  kopeck denominations all depict st george and the dragon and all ruble denominations  depict the double headed eagle mint marks are denoted by  or m on kopecks and the logo of either the saint petersburg or moscow mint on rubles since  many bimetallic   circulating commemorative coins have been issued these coins have a unique holographic security feature inside the  of the denomination citation needed
",coins began issued bear year kopeck denominations depict st george dragon ruble denominations depict double headed eagle mint marks denoted kopecks logo saint petersburg moscow mint rubles bimetallic circulating commemorative coins issued coins unique holographic security feature inside denomination citation needed,7.53,"coins,began,issued,bear,year,kopeck,denominations,depict,st,george,dragon,ruble,denominations,depict,double,headed,eagle,mint,marks,denoted,kopecks,logo,saint,petersburg,moscow,mint,rubles,bimetallic,circulating,commemorative,coins,issued,coins,unique,holographic,security,feature,inside,denomination,citation,needed",0.00,ruble
