Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the russo ukrainian warc is an ongoing international conflict between russia alongside russian backed separatists and ukraine which began in february d following ukraines revolution of dignity russia annexed crimea from ukraine and supported pro russian separatists fighting the ukrainian military in the donbas war the first eight years of conflict also included naval incidents cyberwarfare and heightened political tensions in february  the conflict saw a major escalation as russia launched a full scale invasion of ukraine
",russo ukrainian warc ongoing international conflict russia alongside russian backed separatists ukraine began february following ukraines revolution dignity russia annexed crimea ukraine supported pro russian separatists fighting ukrainian military donbas war years conflict included naval incidents cyberwarfare heightened political tensions february conflict saw major escalation russia launched scale invasion ukraine,5.11,"russo,ukrainian,warc,ongoing,international,conflict,russia,alongside,russian,backed,separatists,ukraine,began,february,following,ukraines,revolution,dignity,russia,annexed,crimea,ukraine,supported,pro,russian,separatists,fighting,ukrainian,military,donbas,war,years,conflict,included,naval,incidents,cyberwarfare,heightened,political,tensions,february,conflict,saw,major,escalation,russia,launched,scale,invasion,ukraine",0.00,ukraine
"in early  the euromaidan protests led to the revolution of dignity and the ousting of ukraines pro russian president viktor yanukovych shortly after pro russian unrest erupted in eastern and southern ukraine simultaneously unmarked russian troops moved into ukraines crimea and took over government buildings strategic sites and infrastructure russia soon annexed crimea after a highly disputed referendum in april  armed pro russian separatists seized government buildings in ukraines eastern donbas region and proclaimed the donetsk peoples republic  and luhansk peoples republic  as independent states sparking the donbas war the separatists received considerable but covert support from russia and ukrainian attempts to fully retake separatist held areas were unsuccessful although russia denied involvement russian troops took part in the fighting in february  russia and ukraine signed the minsk ii agreements in a bid to end the conflict but the agreements were never fully implemented in the years that followed the donbas war settled into a violent but static conflict between ukraine and russian proxies with many brief ceasefires but no lasting peace and few changes in territorial control
",early euromaidan protests led revolution dignity ousting ukraines pro russian president viktor yanukovych shortly pro russian unrest erupted eastern southern ukraine simultaneously unmarked russian troops moved ukraines crimea took government buildings strategic sites infrastructure russia soon annexed crimea highly disputed referendum april armed pro russian separatists seized government buildings ukraines eastern donbas region proclaimed donetsk peoples republic luhansk peoples republic independent states sparking donbas war separatists received considerable covert support russia ukrainian attempts fully retake separatist held areas unsuccessful russia denied involvement russian troops took fighting february russia ukraine signed minsk ii agreements bid end conflict agreements fully implemented years followed donbas war settled violent static conflict ukraine russian proxies brief ceasefires lasting peace changes territorial control,5.08,"early,euromaidan,protests,led,revolution,dignity,ousting,ukraines,pro,russian,president,viktor,yanukovych,shortly,pro,russian,unrest,erupted,eastern,southern,ukraine,simultaneously,unmarked,russian,troops,moved,ukraines,crimea,took,government,buildings,strategic,sites,infrastructure,russia,soon,annexed,crimea,highly,disputed,referendum,april,armed,pro,russian,separatists,seized,government,buildings,ukraines,eastern,donbas,region,proclaimed,donetsk,peoples,republic,luhansk,peoples,republic,independent,states,sparking,donbas,war,separatists,received,considerable,covert,support,russia,ukrainian,attempts,fully,retake,separatist,held,areas,unsuccessful,russia,denied,involvement,russian,troops,took,fighting,february,russia,ukraine,signed,minsk,ii,agreements,bid,end,conflict,agreements,fully,implemented,years,followed,donbas,war,settled,violent,static,conflict,ukraine,russian,proxies,brief,ceasefires,lasting,peace,changes,territorial,control",0.00,ukraine
"
beginning in  russia built up a large military presence near its border with ukraine including from within neighbouring belarus russian officials repeatedly denied plans to attack ukraine russian president vladimir putin criticized the enlargement of nato and demanded that ukraine be barred from ever joining the military alliance he also expressed irredentist views and questioned ukraines right to exist russia recognized the dpr and lpr as independent states in february  with putin announcing a special military operation in ukraine and subsequently invading the region the invasion was internationally condemned many countries imposed sanctions against russia and ramped up existing sanctions russia abandoned an attempt to take kyiv in early april  amid fierce resistance from august ukrainian forces began recapturing territories in the northeast and south as a result of successful counteroffensives in late september russia declared the annexation of four partially occupied regions in southern and eastern ukraine which was internationally unrecognized the ongoing full scale war has resulted in a major refugee crisis and tens of thousands of deaths",beginning russia built large military presence near border ukraine including neighbouring belarus russian officials repeatedly denied plans attack ukraine russian president vladimir putin criticized enlargement nato demanded ukraine barred joining military alliance expressed irredentist views questioned ukraines right exist russia recognized dpr lpr independent states february putin announcing special military operation ukraine subsequently invading region invasion internationally condemned countries imposed sanctions russia ramped existing sanctions russia abandoned attempt kyiv early april amid fierce resistance august ukrainian forces began recapturing territories northeast south result successful counteroffensives late september russia declared annexation partially occupied regions southern eastern ukraine internationally unrecognized ongoing scale war resulted major refugee crisis tens thousands deaths,5.34,"beginning,russia,built,large,military,presence,near,border,ukraine,including,neighbouring,belarus,russian,officials,repeatedly,denied,plans,attack,ukraine,russian,president,vladimir,putin,criticized,enlargement,nato,demanded,ukraine,barred,joining,military,alliance,expressed,irredentist,views,questioned,ukraines,right,exist,russia,recognized,dpr,lpr,independent,states,february,putin,announcing,special,military,operation,ukraine,subsequently,invading,region,invasion,internationally,condemned,countries,imposed,sanctions,russia,ramped,existing,sanctions,russia,abandoned,attempt,kyiv,early,april,amid,fierce,resistance,august,ukrainian,forces,began,recapturing,territories,northeast,south,result,successful,counteroffensives,late,september,russia,declared,annexation,partially,occupied,regions,southern,eastern,ukraine,internationally,unrecognized,ongoing,scale,war,resulted,major,refugee,crisis,tens,thousands,deaths",0.00,ukraine
"after the dissolution of the soviet union  in  ukraine and russia maintained close ties in  ukraine agreed to accede to the treaty on the non proliferation of nuclear weapons as a non nuclear weapon state former soviet nuclear weapons in ukraine were removed and dismantled in return russia the united kingdom and the united states agreed to uphold the territorial integrity and political independence of ukraine through the budapest memorandum on security assurances in  russia was one of the signatories of the charter for european security which reaffirmed the inherent right of each and every participating state to be free to choose or change its security arrangements including treaties of alliance as they evolve in the years after the dissolution of the ussr several former eastern bloc countries joined nato partly in response to regional security threats involving russia such as the  russian constitutional crisis the war in abkhazia  and the first chechen war  russian leaders described this expansion as a violation of western powers informal assurances that nato would not expand eastward
",dissolution soviet union ukraine russia maintained close ties ukraine agreed accede treaty non proliferation nuclear weapons non nuclear weapon state soviet nuclear weapons ukraine removed dismantled return russia united kingdom united states agreed uphold territorial integrity political independence ukraine budapest memorandum security assurances russia signatories charter european security reaffirmed inherent right participating state free choose change security arrangements including treaties alliance evolve years dissolution ussr eastern bloc countries joined nato partly response regional security threats involving russia russian constitutional crisis war abkhazia chechen war russian leaders described expansion violation western powers informal assurances nato expand eastward,6.98,"dissolution,soviet,union,ukraine,russia,maintained,close,ties,ukraine,agreed,accede,treaty,non,proliferation,nuclear,weapons,non,nuclear,weapon,state,soviet,nuclear,weapons,ukraine,removed,dismantled,return,russia,united,kingdom,united,states,agreed,uphold,territorial,integrity,political,independence,ukraine,budapest,memorandum,security,assurances,russia,signatories,charter,european,security,reaffirmed,inherent,right,participating,state,free,choose,change,security,arrangements,including,treaties,alliance,evolve,years,dissolution,ussr,eastern,bloc,countries,joined,nato,partly,response,regional,security,threats,involving,russia,russian,constitutional,crisis,war,abkhazia,chechen,war,russian,leaders,described,expansion,violation,western,powers,informal,assurances,nato,expand,eastward",0.00,ukraine
"the  ukrainian presidential election was controversial during the election campaign opposition candidate viktor yushchenko was poisoned by tcdd dioxin he later implicated russian involvement in november prime minister viktor yanukovych was declared the winner despite allegations of vote rigging by election observers during a two month period which became known as the orange revolution large peaceful protests successfully challenged the outcome after the supreme court of ukraine annulled the initial result due to widespread electoral fraud a second round re run was held bringing to power yushchenko as president and yulia tymoshenko as prime minister and leaving yanukovych in opposition the orange revolution is often grouped together with other early st century protest movements particularly within the former ussr known as colour revolutions according to anthony cordesman russian military officers viewed such colour revolutions as an attempt by the us and european states to destabilise neighbouring countries and undermine russias national security russian president vladimir putin accused organisers of the  russian protests of being former advisors to yushchenko and described the protests as an attempt to transfer the orange revolution to russia rallies in favour of putin during this period were called anti orange protests
",ukrainian presidential election controversial election campaign opposition candidate viktor yushchenko poisoned tcdd dioxin later implicated russian involvement november prime minister viktor yanukovych declared winner despite allegations vote rigging election observers month period known orange revolution large peaceful protests successfully challenged outcome supreme court ukraine annulled initial result widespread electoral fraud second round run held bringing power yushchenko president yulia tymoshenko prime minister leaving yanukovych opposition orange revolution grouped early st century protest movements particularly ussr known colour revolutions according anthony cordesman russian military officers viewed colour revolutions attempt european states destabilise neighbouring countries undermine russias national security russian president vladimir putin accused organisers russian protests advisors yushchenko described protests attempt transfer orange revolution russia rallies favour putin period called anti orange protests,5.44,"ukrainian,presidential,election,controversial,election,campaign,opposition,candidate,viktor,yushchenko,poisoned,tcdd,dioxin,later,implicated,russian,involvement,november,prime,minister,viktor,yanukovych,declared,winner,despite,allegations,vote,rigging,election,observers,month,period,known,orange,revolution,large,peaceful,protests,successfully,challenged,outcome,supreme,court,ukraine,annulled,initial,result,widespread,electoral,fraud,second,round,run,held,bringing,power,yushchenko,president,yulia,tymoshenko,prime,minister,leaving,yanukovych,opposition,orange,revolution,grouped,early,st,century,protest,movements,particularly,ussr,known,colour,revolutions,according,anthony,cordesman,russian,military,officers,viewed,colour,revolutions,attempt,european,states,destabilise,neighbouring,countries,undermine,russias,national,security,russian,president,vladimir,putin,accused,organisers,russian,protests,advisors,yushchenko,described,protests,attempt,transfer,orange,revolution,russia,rallies,favour,putin,period,called,anti,orange,protests",0.00,ukraine
"at the  bucharest summit ukraine and georgia sought to join nato the response among nato members was divided western european countries opposed offering membership action plans  in order to avoid antagonising russia while us president george w bush pushed for their admission nato ultimately refused to offer ukraine and georgia maps but also issued a statement agreeing that these countries will become members of nato putin voiced strong opposition to georgia and ukraines nato membership bids by january  the possibility of ukraine joining nato remained remote
",bucharest summit ukraine georgia sought join nato response nato members divided western european countries opposed offering membership action plans order avoid antagonising russia president george w bush pushed admission nato ultimately refused offer ukraine georgia maps issued statement agreeing countries members nato putin voiced strong opposition georgia ukraines nato membership bids january possibility ukraine joining nato remained remote,4.96,"bucharest,summit,ukraine,georgia,sought,join,nato,response,nato,members,divided,western,european,countries,opposed,offering,membership,action,plans,order,avoid,antagonising,russia,president,george,w,bush,pushed,admission,nato,ultimately,refused,offer,ukraine,georgia,maps,issued,statement,agreeing,countries,members,nato,putin,voiced,strong,opposition,georgia,ukraines,nato,membership,bids,january,possibility,ukraine,joining,nato,remained,remote",0.00,ukraine
"in  yanukovych announced his intent to again run for president in the  ukrainian presidential election which he subsequently won in november  a wave of large pro european union  protests erupted in response to yanukovychs sudden decision not to sign the euukraine association agreement instead choosing closer ties to russia and the eurasian economic union the ukrainian parliament had overwhelmingly approved of finalizing the agreement with the eu and russia had put pressure on ukraine to reject it
",yanukovych announced intent run president ukrainian presidential election subsequently november wave large pro european union protests erupted response yanukovychs sudden decision sign euukraine association agreement instead choosing closer ties russia eurasian economic union ukrainian parliament overwhelmingly approved finalizing agreement eu russia pressure ukraine reject,6.57,"yanukovych,announced,intent,run,president,ukrainian,presidential,election,subsequently,november,wave,large,pro,european,union,protests,erupted,response,yanukovychs,sudden,decision,sign,euukraine,association,agreement,instead,choosing,closer,ties,russia,eurasian,economic,union,ukrainian,parliament,overwhelmingly,approved,finalizing,agreement,eu,russia,pressure,ukraine,reject",0.00,ukraine
"following months of protests as part of the euromaidan movement on  february  yanukovych and the leaders of the parliamentary opposition signed a settlement agreement that called for early elections the following day yanukovych fled from the capital ahead of an impeachment vote that stripped him of his powers as president on  february the parliament adopted a bill to repeal the  law which gave russian language an official status the bill was not enacted however the proposal provoked negative reactions in the russian speaking regions of ukraine intensified by russian media saying that the ethnic russian population was in imminent danger
",following months protests euromaidan movement february yanukovych leaders parliamentary opposition signed settlement agreement called early elections following day yanukovych fled capital ahead impeachment vote stripped powers president february parliament adopted bill repeal law gave russian language official status bill enacted proposal provoked negative reactions russian speaking regions ukraine intensified russian media saying ethnic russian population imminent danger,6.68,"following,months,protests,euromaidan,movement,february,yanukovych,leaders,parliamentary,opposition,signed,settlement,agreement,called,early,elections,following,day,yanukovych,fled,capital,ahead,impeachment,vote,stripped,powers,president,february,parliament,adopted,bill,repeal,law,gave,russian,language,official,status,bill,enacted,proposal,provoked,negative,reactions,russian,speaking,regions,ukraine,intensified,russian,media,saying,ethnic,russian,population,imminent,danger",0.00,ukraine
"on  february an interim government was established and early presidential elections were scheduled the following day yanukovych resurfaced in russia and in a press conference declared that he remained the acting president of ukraine just as russia was beginning its overt military campaign in crimea leaders of russian speaking eastern regions of ukraine declared continuing loyalty to yanukovych causing the  pro russian unrest in ukraine
",february interim government established early presidential elections scheduled following day yanukovych resurfaced russia press conference declared remained acting president ukraine russia beginning overt military campaign crimea leaders russian speaking eastern regions ukraine declared continuing loyalty yanukovych causing pro russian unrest ukraine,5.45,"february,interim,government,established,early,presidential,elections,scheduled,following,day,yanukovych,resurfaced,russia,press,conference,declared,remained,acting,president,ukraine,russia,beginning,overt,military,campaign,crimea,leaders,russian,speaking,eastern,regions,ukraine,declared,continuing,loyalty,yanukovych,causing,pro,russian,unrest,ukraine",0.00,ukraine
"at the onset of the conflict russia had roughly  military personnel in the black sea fleet in several locations in the crimean peninsula like sevastopol kacha hvardiiske simferopol raion sarych and others in  a dispute broke out over control of the sarych cape lighthouse near yalta and a number of other beacons russian presence was allowed by the basing and transit agreement with ukraine under the agreements the russian military in crimea was constrained to a maximum of  troops they were required to respect the sovereignty of ukraine honor its legislation not interfere in the internal affairs of the country and show their military identification cards when crossing the international border early in the conflict the agreements sizeable troop limit allowed russia to significantly reinforce its military presence under the plausible guise of security concerns deploy special forces and other required capabilities to conduct the operation in crimea
",onset conflict russia roughly military personnel black sea fleet locations crimean peninsula like sevastopol kacha hvardiiske simferopol raion sarych dispute broke control sarych cape lighthouse near yalta number beacons russian presence allowed basing transit agreement ukraine agreements russian military crimea constrained maximum troops required respect sovereignty ukraine honor legislation interfere internal affairs country military identification cards crossing international border early conflict agreements sizeable troop limit allowed russia significantly reinforce military presence plausible guise security concerns deploy special forces required capabilities conduct operation crimea,6.79,"onset,conflict,russia,roughly,military,personnel,black,sea,fleet,locations,crimean,peninsula,like,sevastopol,kacha,hvardiiske,simferopol,raion,sarych,dispute,broke,control,sarych,cape,lighthouse,near,yalta,number,beacons,russian,presence,allowed,basing,transit,agreement,ukraine,agreements,russian,military,crimea,constrained,maximum,troops,required,respect,sovereignty,ukraine,honor,legislation,interfere,internal,affairs,country,military,identification,cards,crossing,international,border,early,conflict,agreements,sizeable,troop,limit,allowed,russia,significantly,reinforce,military,presence,plausible,guise,security,concerns,deploy,special,forces,required,capabilities,conduct,operation,crimea",0.00,ukraine
