Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"serbia and montenegro  was a country in southeast europe located in the balkans that existed from  to  following the breakup of the socialist federal republic of yugoslavia  which bordered hungary to the north romania to the northeast bulgaria to the southeast macedonia to the south croatia and bosnia and herzegovina to the west and albania to the southwest the state was founded on  april  as the federal republic of yugoslavia known as fr yugoslavia or simply yugoslavia which comprised the republic of serbia and the republic of montenegro in february  fr yugoslavia was transformed from a federal republic to a political union until montenegro seceded from the union in june  leading to the full independence of both serbia and montenegro
",serbia montenegro country southeast europe located balkans existed following breakup socialist federal republic yugoslavia bordered hungary north romania northeast bulgaria southeast macedonia south croatia bosnia herzegovina west albania southwest state founded april federal republic yugoslavia known fr yugoslavia simply yugoslavia comprised republic serbia republic montenegro february fr yugoslavia transformed federal republic political union montenegro seceded union june leading independence serbia montenegro,7.92,"serbia,montenegro,country,southeast,europe,located,balkans,existed,following,breakup,socialist,federal,republic,yugoslavia,bordered,hungary,north,romania,northeast,bulgaria,southeast,macedonia,south,croatia,bosnia,herzegovina,west,albania,southwest,state,founded,april,federal,republic,yugoslavia,known,fr,yugoslavia,simply,yugoslavia,comprised,republic,serbia,republic,montenegro,february,fr,yugoslavia,transformed,federal,republic,political,union,montenegro,seceded,union,june,leading,independence,serbia,montenegro",0.00,serbia
"throughout its existence fr yugoslavia had a tense relationship with the international community as economic sanctions were issued against the state during the course of the yugoslav wars and kosovo war this also resulted in hyperinflation between  and  fr yugoslavias involvement in the yugoslav wars ended with the dayton agreement which recognized the independence of the republics of croatia slovenia and bosnia and herzegovina as well as establishing diplomatic relationships between the states and a guaranteed role of the serbian population within bosnian politics later on growing separatism within the autonomous province of kosovo and metohija a region of serbia heavily populated by ethnic albanians resulted in an insurrection by the kosovo liberation army an albanian separatist group the outbreak of the kosovo war reintroduced western sanctions as well as eventual western involvement in the conflict the conflict ended with the adoption of united nations security council resolution  which guaranteed economic and political separation of kosovo from fr yugoslavia to be placed under un administration
",existence fr yugoslavia tense relationship international community economic sanctions issued state course yugoslav wars kosovo war resulted hyperinflation fr yugoslavias involvement yugoslav wars ended dayton agreement recognized independence republics croatia slovenia bosnia herzegovina establishing diplomatic relationships states guaranteed role serbian population bosnian politics later growing separatism autonomous province kosovo metohija region serbia heavily populated ethnic albanians resulted insurrection kosovo liberation army albanian separatist group outbreak kosovo war reintroduced western sanctions eventual western involvement conflict conflict ended adoption united nations security council resolution guaranteed economic political separation kosovo fr yugoslavia placed un administration,6.54,"existence,fr,yugoslavia,tense,relationship,international,community,economic,sanctions,issued,state,course,yugoslav,wars,kosovo,war,resulted,hyperinflation,fr,yugoslavias,involvement,yugoslav,wars,ended,dayton,agreement,recognized,independence,republics,croatia,slovenia,bosnia,herzegovina,establishing,diplomatic,relationships,states,guaranteed,role,serbian,population,bosnian,politics,later,growing,separatism,autonomous,province,kosovo,metohija,region,serbia,heavily,populated,ethnic,albanians,resulted,insurrection,kosovo,liberation,army,albanian,separatist,group,outbreak,kosovo,war,reintroduced,western,sanctions,eventual,western,involvement,conflict,conflict,ended,adoption,united,nations,security,council,resolution,guaranteed,economic,political,separation,kosovo,fr,yugoslavia,placed,un,administration",0.00,serbia
"economic hardship and war resulted in growing discontent with the government of slobodan miloevi and his allies who ran both serbia and montenegro as an effective dictatorship this would eventually cumulate in the bulldozer revolution which saw his government overthrown and replaced by one led by the democratic opposition of serbia and vojislav kotunica which also joined the un
",economic hardship war resulted growing discontent government slobodan miloevi allies ran serbia montenegro effective dictatorship eventually cumulate bulldozer revolution saw government overthrown replaced led democratic opposition serbia vojislav kotunica joined un,7.35,"economic,hardship,war,resulted,growing,discontent,government,slobodan,miloevi,allies,ran,serbia,montenegro,effective,dictatorship,eventually,cumulate,bulldozer,revolution,saw,government,overthrown,replaced,led,democratic,opposition,serbia,vojislav,kotunica,joined,un",0.00,serbia
"the federal republic of yugoslavia ended in  after the federal assembly of yugoslavia voted to enact the constitutional charter of serbia and montenegro which established the state union of serbia and montenegro as such the name yugoslavia was consigned to history a growing independence movement in montenegro led by milo ukanovi meant that the constitution of serbia and montenegro included a clause allowing for a referendum on the question of montenegrin independence after a period of three years had passed in  the referendum was called and passed by a narrow margin this led to the dissolution of the state union of serbia and montenegro and the establishment of the independent republics of serbia and montenegro turning serbia into a landlocked country this can be considered the last act which finalized the dissolution of yugoslavia
",federal republic yugoslavia ended federal assembly yugoslavia voted enact constitutional charter serbia montenegro established state union serbia montenegro yugoslavia consigned history growing independence movement montenegro led milo ukanovi meant constitution serbia montenegro included clause allowing referendum question montenegrin independence period years passed referendum called passed narrow margin led dissolution state union serbia montenegro establishment independent republics serbia montenegro turning serbia landlocked country considered act finalized dissolution yugoslavia,7.94,"federal,republic,yugoslavia,ended,federal,assembly,yugoslavia,voted,enact,constitutional,charter,serbia,montenegro,established,state,union,serbia,montenegro,yugoslavia,consigned,history,growing,independence,movement,montenegro,led,milo,ukanovi,meant,constitution,serbia,montenegro,included,clause,allowing,referendum,question,montenegrin,independence,period,years,passed,referendum,called,passed,narrow,margin,led,dissolution,state,union,serbia,montenegro,establishment,independent,republics,serbia,montenegro,turning,serbia,landlocked,country,considered,act,finalized,dissolution,yugoslavia",0.00,serbia
"at the countrys founding in  following the breakup of the socialist federal republic of yugoslavia  the countrys official name was the federal republic of yugoslavia  as it claimed to be the sole legal successor state of the sfr yugoslavia the united states and european union member states referred to the country as serbia and montenegro as their governments viewed its claim to yugoslavias successorship as illegitimate
",countrys founding following breakup socialist federal republic yugoslavia countrys official federal republic yugoslavia claimed sole legal successor state sfr yugoslavia united states european union member states referred country serbia montenegro governments viewed claim yugoslavias successorship illegitimate,7.09,"countrys,founding,following,breakup,socialist,federal,republic,yugoslavia,countrys,official,federal,republic,yugoslavia,claimed,sole,legal,successor,state,sfr,yugoslavia,united,states,european,union,member,states,referred,country,serbia,montenegro,governments,viewed,claim,yugoslavias,successorship,illegitimate",0.00,serbia
"the  constitution stated that the name of the state was simply serbia and montenegro dropping all claims to successorship of the sfr yugoslavia
",constitution stated state simply serbia montenegro dropping claims successorship sfr yugoslavia,8.33,"constitution,stated,state,simply,serbia,montenegro,dropping,claims,successorship,sfr,yugoslavia",0.00,serbia
"after the collapse of sfr yugoslavia in the s the two serb majority republics serbia and montenegro agreed to remain as yugoslavia and established a new constitution in  which established the federal republic of yugoslavia essentially as a rump state with a population consisting of a majority of serbs the new state abandoned the communist legacy the red star was removed from the national flag and the communist coat of arms was replaced by a new coat of arms representing serbia and montenegro the new state also established the office of the president held by a single person initially appointed with the consent of the republics of serbia and montenegro until  after which the president was democratically elected the president of yugoslavia acted alongside the presidents of the republics of serbia and montenegro initially all three offices were dominated by allies of slobodan milosevic and his socialist party of serbia
",collapse sfr yugoslavia serb majority republics serbia montenegro agreed remain yugoslavia established new constitution established federal republic yugoslavia essentially rump state population consisting majority serbs new state abandoned communist legacy red star removed national flag communist coat arms replaced new coat arms representing serbia montenegro new state established office president held single person initially appointed consent republics serbia montenegro president democratically elected president yugoslavia acted alongside presidents republics serbia montenegro initially offices dominated allies slobodan milosevic socialist party serbia,7.64,"collapse,sfr,yugoslavia,serb,majority,republics,serbia,montenegro,agreed,remain,yugoslavia,established,new,constitution,established,federal,republic,yugoslavia,essentially,rump,state,population,consisting,majority,serbs,new,state,abandoned,communist,legacy,red,star,removed,national,flag,communist,coat,arms,replaced,new,coat,arms,representing,serbia,montenegro,new,state,established,office,president,held,single,person,initially,appointed,consent,republics,serbia,montenegro,president,democratically,elected,president,yugoslavia,acted,alongside,presidents,republics,serbia,montenegro,initially,offices,dominated,allies,slobodan,milosevic,socialist,party,serbia",0.00,serbia
"on  december  serbia montenegro and the serb rebel held territories in croatia agreed that they would form a new third yugoslavia efforts were also made in  to include sr bosnia and herzegovina within the federation with negotiations between miloevic bosnias serbian democratic party and the bosniak proponent of union  bosnias vice president adil zulfikarpai taking place on this matter zulfikarpai believed that bosnia could benefit from a union with serbia montenegro and krajina thus he supported a union which would secure the unity of serbs and bosniaks miloevi continued negotiations with zulfikarpai to include bosnia within a new yugoslavia however efforts to include the whole of bosnia within a new yugoslavia effectively terminated by late  as izetbegovi planned to hold a referendum on independence while the bosnian serbs and bosnian croats formed autonomous territories violence between ethnic serbs and bosniaks soon broke out thus fr yugoslavia was restricted to the republics of serbia and montenegro and became closely associated with breakaway serb republics during the yugoslav wars
",december serbia montenegro serb rebel held territories croatia agreed form new yugoslavia efforts include sr bosnia herzegovina federation negotiations miloevic bosnias serbian democratic party bosniak proponent union bosnias vice president adil zulfikarpai taking place matter zulfikarpai believed bosnia benefit union serbia montenegro krajina supported union secure unity serbs bosniaks miloevi continued negotiations zulfikarpai include bosnia new yugoslavia efforts include bosnia new yugoslavia effectively terminated late izetbegovi planned hold referendum independence bosnian serbs bosnian croats formed autonomous territories violence ethnic serbs bosniaks soon broke fr yugoslavia restricted republics serbia montenegro closely associated breakaway serb republics yugoslav wars,6.43,"december,serbia,montenegro,serb,rebel,held,territories,croatia,agreed,form,new,yugoslavia,efforts,include,sr,bosnia,herzegovina,federation,negotiations,miloevic,bosnias,serbian,democratic,party,bosniak,proponent,union,bosnias,vice,president,adil,zulfikarpai,taking,place,matter,zulfikarpai,believed,bosnia,benefit,union,serbia,montenegro,krajina,supported,union,secure,unity,serbs,bosniaks,miloevi,continued,negotiations,zulfikarpai,include,bosnia,new,yugoslavia,efforts,include,bosnia,new,yugoslavia,effectively,terminated,late,izetbegovi,planned,hold,referendum,independence,bosnian,serbs,bosnian,croats,formed,autonomous,territories,violence,ethnic,serbs,bosniaks,soon,broke,fr,yugoslavia,restricted,republics,serbia,montenegro,closely,associated,breakaway,serb,republics,yugoslav,wars",0.00,serbia
"fr yugoslavia acted to support serbian separatist movements in breakaway states including the republic of serbian krajina and the republika srpska and sought to establish them as independent serbian republics with potential eventual reintegration with fr yugoslvia however the government of fr yugoslavia would treat these republics as separate entities and gave unofficial rather than active aid by transferring control of units from the jna to the secessionist movements in this way fr yugoslavia avoided potential accusations of committing acts of aggression against the breakaway republics recognised by the international community slobodan miloevi the president of serbia did not consider himself to be at war with the breakaway republics of yugoslavia
",fr yugoslavia acted support serbian separatist movements breakaway states including republic serbian krajina republika srpska sought establish independent serbian republics potential eventual reintegration fr yugoslvia government fr yugoslavia treat republics separate entities gave unofficial active aid transferring control units jna secessionist movements way fr yugoslavia avoided potential accusations committing acts aggression breakaway republics recognised international community slobodan miloevi president serbia consider war breakaway republics yugoslavia,6.07,"fr,yugoslavia,acted,support,serbian,separatist,movements,breakaway,states,including,republic,serbian,krajina,republika,srpska,sought,establish,independent,serbian,republics,potential,eventual,reintegration,fr,yugoslvia,government,fr,yugoslavia,treat,republics,separate,entities,gave,unofficial,active,aid,transferring,control,units,jna,secessionist,movements,way,fr,yugoslavia,avoided,potential,accusations,committing,acts,aggression,breakaway,republics,recognised,international,community,slobodan,miloevi,president,serbia,consider,war,breakaway,republics,yugoslavia",0.00,serbia
"following the transfer of yugoslav army units the state of fr yugoslavia ceased to play an important military role in the yugoslav wars barring conflicts on the border with croatia such as the siege of dubrovnik it instead provided economic and political aid to avoid provoking the international community further and to preserve fr yugoslavia as the republics of serbia and montenegro rather than greater serbia
",following transfer yugoslav army units state fr yugoslavia ceased play important military role yugoslav wars barring conflicts border croatia siege dubrovnik instead provided economic political aid avoid provoking international community preserve fr yugoslavia republics serbia montenegro greater serbia,6.78,"following,transfer,yugoslav,army,units,state,fr,yugoslavia,ceased,play,important,military,role,yugoslav,wars,barring,conflicts,border,croatia,siege,dubrovnik,instead,provided,economic,political,aid,avoid,provoking,international,community,preserve,fr,yugoslavia,republics,serbia,montenegro,greater,serbia",0.00,serbia
