Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"serbia  sur bee  serbian  srbija pronounced sbija  officially the republic of serbia  is a landlocked country in southeastern and central europe situated at the crossroads of the pannonian basin and the balkans it shares land borders with hungary to the north romania to the northeast bulgaria to the southeast north macedonia to the south croatia and bosnia and herzegovina to the west and montenegro to the southwest and claims a border with albania through the disputed territory of kosovoa serbia without kosovo has about  million inhabitants about  million if kosovo is included its capital belgrade is also the largest city 
",serbia sur bee serbian srbija pronouncedsbija officially republic serbia landlocked country southeastern central europe situated crossroads pannonian basin balkans shares land borders hungary north romania northeast bulgaria southeast north macedonia south croatia bosnia herzegovina west montenegro southwest claims border albania disputed territory kosovoa serbia kosovo million inhabitants million kosovo included capital belgrade largest city,7.13,"serbia,sur,bee,serbian,srbija,pronouncedsbija,officially,republic,serbia,landlocked,country,southeastern,central,europe,situated,crossroads,pannonian,basin,balkans,shares,land,borders,hungary,north,romania,northeast,bulgaria,southeast,north,macedonia,south,croatia,bosnia,herzegovina,west,montenegro,southwest,claims,border,albania,disputed,territory,kosovoa,serbia,kosovo,million,inhabitants,million,kosovo,included,capital,belgrade,largest,city",0.00,serbia
"continuously inhabited since the paleolithic age the territory of modern day serbia faced slavic migrations in the th century establishing several regional states in the early middle ages at times recognised as tributaries to the byzantine frankish and hungarian kingdoms the serbian kingdom obtained recognition by the holy see and constantinople in  reaching its territorial apex in  as the serbian empire by the mid th century the ottomans annexed the entirety of modern day serbia their rule was at times interrupted by the habsburg empire which began expanding towards central serbia from the end of the th century while maintaining a foothold in vojvodina in the early th century the serbian revolution established the nation state as the regions first constitutional monarchy which subsequently expanded its territory following casualties in world war i and the subsequent unification of the former habsburg crownland of vojvodina with serbia the country co founded yugoslavia with other south slavic nations which would exist in various political formations until the yugoslav wars of the s during the breakup of yugoslavia serbia formed a union with montenegro which was peacefully dissolved in  restoring serbias independence as a sovereign state for the first time since  in  representatives of the assembly of kosovo unilaterally declared independence with mixed responses from the international community while serbia continues to claim it as part of its own sovereign territory
",continuously inhabited paleolithic age territory modern day serbia faced slavic migrations th century establishing regional states early middle ages times recognised tributaries byzantine frankish hungarian kingdoms serbian kingdom obtained recognition holy constantinople reaching territorial apex serbian empire mid th century ottomans annexed entirety modern day serbia rule times interrupted habsburg empire began expanding central serbia end th century maintaining foothold vojvodina early th century serbian revolution established nation state regions constitutional monarchy subsequently expanded territory following casualties world war subsequent unification habsburg crownland vojvodina serbia country co founded yugoslavia south slavic nations exist political formations yugoslav wars breakup yugoslavia serbia formed union montenegro peacefully dissolved restoring serbias independence sovereign state time representatives assembly kosovo unilaterally declared independence mixed responses international community serbia continues claim sovereign territory,6.84,"continuously,inhabited,paleolithic,age,territory,modern,day,serbia,faced,slavic,migrations,th,century,establishing,regional,states,early,middle,ages,times,recognised,tributaries,byzantine,frankish,hungarian,kingdoms,serbian,kingdom,obtained,recognition,holy,constantinople,reaching,territorial,apex,serbian,empire,mid,th,century,ottomans,annexed,entirety,modern,day,serbia,rule,times,interrupted,habsburg,empire,began,expanding,central,serbia,end,th,century,maintaining,foothold,vojvodina,early,th,century,serbian,revolution,established,nation,state,regions,constitutional,monarchy,subsequently,expanded,territory,following,casualties,world,war,subsequent,unification,habsburg,crownland,vojvodina,serbia,country,co,founded,yugoslavia,south,slavic,nations,exist,political,formations,yugoslav,wars,breakup,yugoslavia,serbia,formed,union,montenegro,peacefully,dissolved,restoring,serbias,independence,sovereign,state,time,representatives,assembly,kosovo,unilaterally,declared,independence,mixed,responses,international,community,serbia,continues,claim,sovereign,territory",0.00,serbia
"serbia is an upper middle income economy ranked very high in the human development index domain  it is a unitary parliamentary constitutional republic member of the un coe osce pfp bsec cefta and is acceding to the wto since  the country has been negotiating its eu accession with the aim of joining the european union by  serbia formally adheres to the policy of military neutrality the country provides universal health care and free primary and secondary education to its citizens
",serbia upper middle income economy ranked high human development index domain unitary parliamentary constitutional republic member un coe osce pfp bsec cefta acceding wto country negotiating eu accession aim joining european union serbia formally adheres policy military neutrality country provides universal health care free primary secondary education citizens,6.61,"serbia,upper,middle,income,economy,ranked,high,human,development,index,domain,unitary,parliamentary,constitutional,republic,member,un,coe,osce,pfp,bsec,cefta,acceding,wto,country,negotiating,eu,accession,aim,joining,european,union,serbia,formally,adheres,policy,military,neutrality,country,provides,universal,health,care,free,primary,secondary,education,citizens",0.00,serbia
"the origin of the name serbia is unclear historically authors have mentioned the serbs  and the sorbs of eastern germany  in a variety of ways cervetiis  gentis urbiorum suurbi sorabi soraborum sorabos surpe sorabici sorabiet sarbin swrbjn servians sorbi sirbia sribia zirbia zribia suurbelant surbia serbulia  sorbulia among others these authors used these names to refer to serbs and sorbs in areas where their historical and current presence is not disputable  however there are also sources that mention the same or similar names in other parts of the world 
",origin serbia unclear historically authors mentioned serbs sorbs eastern germany variety ways cervetiis gentis urbiorum suurbi sorabi soraborum sorabos surpe sorabici sorabiet sarbin swrbjn servians sorbi sirbia sribia zirbia zribia suurbelant surbia serbulia sorbulia authors names refer serbs sorbs areas historical current presence disputable sources mention similar names parts world,6.93,"origin,serbia,unclear,historically,authors,mentioned,serbs,sorbs,eastern,germany,variety,ways,cervetiis,gentis,urbiorum,suurbi,sorabi,soraborum,sorabos,surpe,sorabici,sorabiet,sarbin,swrbjn,servians,sorbi,sirbia,sribia,zirbia,zribia,suurbelant,surbia,serbulia,sorbulia,authors,names,refer,serbs,sorbs,areas,historical,current,presence,disputable,sources,mention,similar,names,parts,world",0.00,serbia
"there exist two prevailing theories on the origin of the ethnonym sb  one from a proto slavic language with an appellative meaning of a family kinship and alliance while another from an iranian sarmatian language with various meanings in his work de administrando imperio constantine vii porphyrogenitus suggests that the serbs originated from white serbia near francia according to the recorded tradition the white serbs split in two with the half that became known as the serbs coming down to settle byzantine land
",exist prevailing theories origin ethnonym sb proto slavic language appellative meaning family kinship alliance iranian sarmatian language meanings work de administrando imperio constantine vii porphyrogenitus suggests serbs originated white serbia near francia according recorded tradition white serbs split half known serbs coming settle byzantine land,7.35,"exist,prevailing,theories,origin,ethnonym,sb,proto,slavic,language,appellative,meaning,family,kinship,alliance,iranian,sarmatian,language,meanings,work,de,administrando,imperio,constantine,vii,porphyrogenitus,suggests,serbs,originated,white,serbia,near,francia,according,recorded,tradition,white,serbs,split,half,known,serbs,coming,settle,byzantine,land",0.00,serbia
"from  to  the official name for serbia was the principality of serbia from  to  it was renamed to the kingdom of serbia later from  to  the official name for serbia was the peoples republic of serbia this was again renamed the socialist republic of serbia from  to  since  the official name of the country has been the republic of serbia
",official serbia principality serbia renamed kingdom serbia later official serbia peoples republic serbia renamed socialist republic serbia official country republic serbia,11.54,"official,serbia,principality,serbia,renamed,kingdom,serbia,later,official,serbia,peoples,republic,serbia,renamed,socialist,republic,serbia,official,country,republic,serbia",0.00,serbia
"archaeological evidence of paleolithic settlements on the territory of present day serbia is scarce a fragment of a human jaw was found in sievo  and is believed to be up to  years old
",archaeological evidence paleolithic settlements territory present day serbia scarce fragment human jaw found sievo believed years old,8.65,"archaeological,evidence,paleolithic,settlements,territory,present,day,serbia,scarce,fragment,human,jaw,found,sievo,believed,years,old",0.00,serbia
"the romans conquered much of the territory in the nd century because in  because the roman province of illyricum was established the remainder was conquered around  because forming the roman province of moesia superior the modern day srem region was conquered in  because and baka and banat in  ad after the dacian wars as a result of this contemporary serbia extends fully or partially over several former roman provinces including moesia pannonia praevalitana dalmatia dacia and macedonia
",romans conquered territory nd century roman province illyricum established remainder conquered forming roman province moesia superior modern day srem region conquered baka banat ad dacian wars result contemporary serbia extends fully partially roman provinces including moesia pannonia praevalitana dalmatia dacia macedonia,7.33,"romans,conquered,territory,nd,century,roman,province,illyricum,established,remainder,conquered,forming,roman,province,moesia,superior,modern,day,srem,region,conquered,baka,banat,ad,dacian,wars,result,contemporary,serbia,extends,fully,partially,roman,provinces,including,moesia,pannonia,praevalitana,dalmatia,dacia,macedonia",0.00,serbia
"the chief towns of upper moesia  were singidunum  viminacium  remesiana  naissos  and sirmium  the latter of which served as a roman capital during the tetrarchy seventeen roman emperors were born in the area of modern day serbia second only to contemporary italy the most famous of these was constantine the great the first christian emperor who issued an edict ordering religious tolerance throughout the empire
",chief towns upper moesia singidunum viminacium remesiana naissos sirmium served roman capital tetrarchy seventeen roman emperors born area modern day serbia second contemporary italy famous constantine great christian emperor issued edict ordering religious tolerance empire,7.25,"chief,towns,upper,moesia,singidunum,viminacium,remesiana,naissos,sirmium,served,roman,capital,tetrarchy,seventeen,roman,emperors,born,area,modern,day,serbia,second,contemporary,italy,famous,constantine,great,christian,emperor,issued,edict,ordering,religious,tolerance,empire",0.00,serbia
"when the roman empire was divided in  most of serbia remained under the eastern roman empire at the same time its northwestern parts were included in the western roman empire by the th century south slavs migrated into the european provinces of the byzantine empire in large numbers they merged with the local romanised population that was gradually assimilated
",roman empire divided serbia remained eastern roman empire time northwestern parts included western roman empire th century south slavs migrated european provinces byzantine empire large numbers merged local romanised population gradually assimilated,7.46,"roman,empire,divided,serbia,remained,eastern,roman,empire,time,northwestern,parts,included,western,roman,empire,th,century,south,slavs,migrated,european,provinces,byzantine,empire,large,numbers,merged,local,romanised,population,gradually,assimilated",0.00,serbia
