Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"serbo croatian   also called serbo croat  serbo croat bosnian  bosnian croatian serbian  and bosnian croatian montenegrin serbian   is a south slavic language and the primary language of serbia croatia bosnia and herzegovina and montenegro it is a pluricentric language with four mutually intelligible standard varieties namely serbian croatian bosnian and montenegrin
",serbo croatian called serbo croat serbo croat bosnian bosnian croatian serbian bosnian croatian montenegrin serbian south slavic language primary language serbia croatia bosnia herzegovina montenegro pluricentric language mutually intelligible standard varieties serbian croatian bosnian montenegrin,4.34,"serbo,croatian,called,serbo,croat,serbo,croat,bosnian,bosnian,croatian,serbian,bosnian,croatian,montenegrin,serbian,south,slavic,language,primary,language,serbia,croatia,bosnia,herzegovina,montenegro,pluricentric,language,mutually,intelligible,standard,varieties,serbian,croatian,bosnian,montenegrin",0.00,croatian
"south slavic languages historically formed a continuum the turbulent history of the area particularly due to expansion of the ottoman empire resulted in a patchwork of dialectal and religious differences due to population migrations shtokavian became the most widespread dialect in the western balkans intruding westwards into the area previously occupied by chakavian and kajkavian  bosniaks croats and serbs differ in religion and were historically often part of different cultural circles although a large part of the nations have lived side by side under foreign overlords during that period the language was referred to under a variety of names such as slavic in general or serbian croatian or bosnian in particular in a classicizing manner it was also referred to as illyrian
",south slavic languages historically formed continuum turbulent history area particularly expansion ottoman empire resulted patchwork dialectal religious differences population migrations shtokavian widespread dialect western balkans intruding westwards area previously occupied chakavian kajkavian bosniaks croats serbs differ religion historically different cultural circles large nations lived foreign overlords period language referred variety names slavic general serbian croatian bosnian particular classicizing manner referred illyrian,7.80,"south,slavic,languages,historically,formed,continuum,turbulent,history,area,particularly,expansion,ottoman,empire,resulted,patchwork,dialectal,religious,differences,population,migrations,shtokavian,widespread,dialect,western,balkans,intruding,westwards,area,previously,occupied,chakavian,kajkavian,bosniaks,croats,serbs,differ,religion,historically,different,cultural,circles,large,nations,lived,foreign,overlords,period,language,referred,variety,names,slavic,general,serbian,croatian,bosnian,particular,classicizing,manner,referred,illyrian",0.00,croatian
"the process of linguistic standardization of serbo croatian was originally initiated in the mid th century vienna literary agreement by croatian and serbian writers and philologists decades before a yugoslav state was established from the very beginning there were slightly different literary serbian and croatian standards although both were based on the same dialect of shtokavian eastern herzegovinian in the th century serbo croatian served as the official language of the kingdom of yugoslavia  and later as one of the official languages of the socialist federal republic of yugoslavia the breakup of yugoslavia affected language attitudes so that social conceptions of the language separated along ethnic and political lines since the breakup of yugoslavia bosnian has likewise been established as an official standard in bosnia and herzegovina and there is an ongoing movement to codify a separate montenegrin standard
",process linguistic standardization serbo croatian originally initiated mid th century vienna literary agreement croatian serbian writers philologists decades yugoslav state established beginning slightly different literary serbian croatian standards based dialect shtokavian eastern herzegovinian th century serbo croatian served official language kingdom yugoslavia later official languages socialist federal republic yugoslavia breakup yugoslavia affected language attitudes social conceptions language separated ethnic political lines breakup yugoslavia bosnian likewise established official standard bosnia herzegovina ongoing movement codify separate montenegrin standard,6.80,"process,linguistic,standardization,serbo,croatian,originally,initiated,mid,th,century,vienna,literary,agreement,croatian,serbian,writers,philologists,decades,yugoslav,state,established,beginning,slightly,different,literary,serbian,croatian,standards,based,dialect,shtokavian,eastern,herzegovinian,th,century,serbo,croatian,served,official,language,kingdom,yugoslavia,later,official,languages,socialist,federal,republic,yugoslavia,breakup,yugoslavia,affected,language,attitudes,social,conceptions,language,separated,ethnic,political,lines,breakup,yugoslavia,bosnian,likewise,established,official,standard,bosnia,herzegovina,ongoing,movement,codify,separate,montenegrin,standard",0.00,croatian
"like other south slavic languages serbo croatian has a simple phonology with the common five vowel system and twenty five consonants its grammar evolved from common slavic with complex inflection preserving seven grammatical cases in nouns pronouns and adjectives verbs exhibit imperfective or perfective aspect with a moderately complex tense system serbo croatian is a pro drop language with flexible word order subjectverbobject being the default it can be written in either localized variants of latin  or cyrillic  whose thirty letters mutually map one to one and the orthography is highly phonemic in all standards
",like south slavic languages serbo croatian simple phonology common vowel system consonants grammar evolved common slavic complex inflection preserving seven grammatical cases nouns pronouns adjectives verbs exhibit imperfective perfective aspect moderately complex tense system serbo croatian pro drop language flexible word order subjectverbobject default written localized variants latin cyrillic thirty letters mutually map orthography highly phonemic standards,6.12,"like,south,slavic,languages,serbo,croatian,simple,phonology,common,vowel,system,consonants,grammar,evolved,common,slavic,complex,inflection,preserving,seven,grammatical,cases,nouns,pronouns,adjectives,verbs,exhibit,imperfective,perfective,aspect,moderately,complex,tense,system,serbo,croatian,pro,drop,language,flexible,word,order,subjectverbobject,default,written,localized,variants,latin,cyrillic,thirty,letters,mutually,map,orthography,highly,phonemic,standards",0.00,croatian
"serbo croatian generally goes by the individual names serbian croatian bosnian and sometimes montenegrin including sub dialects such as bunjevac
",serbo croatian generally goes individual names serbian croatian bosnian montenegrin including sub dialects bunjevac,4.14,"serbo,croatian,generally,goes,individual,names,serbian,croatian,bosnian,montenegrin,including,sub,dialects,bunjevac",0.00,croatian
"in the language itself it is typically known as srpskohrvatski serbo croatian hrvatskosrpskio croato serbian or informally naki ours
",language typically known srpskohrvatski serbo croatian hrvatskosrpskio croato serbian informally naki,6.02,"language,typically,known,srpskohrvatski,serbo,croatian,hrvatskosrpskio,croato,serbian,informally,naki",0.00,croatian
"throughout the history of the south slavs the vernacular literary and written languages  of the various regions and ethnicities developed and diverged independently prior to the th century they were collectively called illyric slavic slavonian bosnian dalmatian serbian or croatian since the nineteenth century the term illyrian or illyric was used quite often  although the word illyrian was used on a few occasions before its widespread usage began after ljudevit gaj and several other prominent linguists met at ljudevit vukotinovis house to discuss the issue in  the term serbo croatian was first used by jacob grimm in  popularized by the viennese philologist jernej kopitar in the following decades and accepted by croatian zagreb grammarians in  and  at that time serb and croat lands were still part of the ottoman and austrian empires officially the language was called variously serbo croat croato serbian serbian and croatian croatian and serbian serbian or croatian croatian or serbian  unofficially serbs and croats typically called the language serbian or croatian respectively without implying a distinction between the two and again in independent bosnia and herzegovina bosnian croatian and serbian were considered to be three names of a single official language croatian linguist dalibor brozovi advocated the term serbo croatian as late as  claiming that in an analogy with indo european serbo croatian does not only name the two components of the same language but simply charts the limits of the region in which it is spoken and includes everything between the limits  today use of the term serbo croatian is controversial due to the prejudice that nation and language must match it is still used for lack of a succinct alternative though alternative names have emerged such as bosniancroatianserbian  which is often seen in political contexts such as the international criminal tribunal for the former yugoslavia
",history south slavs vernacular literary written languages regions ethnicities developed diverged independently prior th century collectively called illyric slavic slavonian bosnian dalmatian serbian croatian nineteenth century term illyrian illyric word illyrian occasions widespread usage began ljudevit gaj prominent linguists met ljudevit vukotinovis house discuss issue term serbo croatian jacob grimm popularized viennese philologist jernej kopitar following decades accepted croatian zagreb grammarians time serb croat lands ottoman austrian empires officially language called variously serbo croat croato serbian serbian croatian croatian serbian serbian croatian croatian serbian unofficially serbs croats typically called language serbian croatian respectively implying distinction independent bosnia herzegovina bosnian croatian serbian considered names single official language croatian linguist dalibor brozovi advocated term serbo croatian late claiming analogy indo european serbo croatian components language simply charts limits region spoken includes limits today use term serbo croatian controversial prejudice nation language match lack succinct alternative alternative names emerged bosniancroatianserbian seen political contexts international criminal tribunal yugoslavia,7.60,"history,south,slavs,vernacular,literary,written,languages,regions,ethnicities,developed,diverged,independently,prior,th,century,collectively,called,illyric,slavic,slavonian,bosnian,dalmatian,serbian,croatian,nineteenth,century,term,illyrian,illyric,word,illyrian,occasions,widespread,usage,began,ljudevit,gaj,prominent,linguists,met,ljudevit,vukotinovis,house,discuss,issue,term,serbo,croatian,jacob,grimm,popularized,viennese,philologist,jernej,kopitar,following,decades,accepted,croatian,zagreb,grammarians,time,serb,croat,lands,ottoman,austrian,empires,officially,language,called,variously,serbo,croat,croato,serbian,serbian,croatian,croatian,serbian,serbian,croatian,croatian,serbian,unofficially,serbs,croats,typically,called,language,serbian,croatian,respectively,implying,distinction,independent,bosnia,herzegovina,bosnian,croatian,serbian,considered,names,single,official,language,croatian,linguist,dalibor,brozovi,advocated,term,serbo,croatian,late,claiming,analogy,indo,european,serbo,croatian,components,language,simply,charts,limits,region,spoken,includes,limits,today,use,term,serbo,croatian,controversial,prejudice,nation,language,match,lack,succinct,alternative,alternative,names,emerged,bosniancroatianserbian,seen,political,contexts,international,criminal,tribunal,yugoslavia",0.00,croatian
"in the th century old church slavonic was adopted as the language of the liturgy in churches serving various slavic nations this language was gradually adapted to non liturgical purposes and became known as the croatian version of old slavonic the two variants of the language liturgical and non liturgical continued to be a part of the glagolitic service as late as the middle of the th century the earliest known croatian church slavonic glagolitic manuscripts are the glagolita clozianus and the vienna folia from the th century
",th century old church slavonic adopted language liturgy churches serving slavic nations language gradually adapted non liturgical purposes known croatian version old slavonic variants language liturgical non liturgical continued glagolitic service late middle th century earliest known croatian church slavonic glagolitic manuscripts glagolita clozianus vienna folia th century,7.52,"th,century,old,church,slavonic,adopted,language,liturgy,churches,serving,slavic,nations,language,gradually,adapted,non,liturgical,purposes,known,croatian,version,old,slavonic,variants,language,liturgical,non,liturgical,continued,glagolitic,service,late,middle,th,century,earliest,known,croatian,church,slavonic,glagolitic,manuscripts,glagolita,clozianus,vienna,folia,th,century",0.00,croatian
"the beginning of written serbo croatian can be traced from the tenth century and on when serbo croatian medieval texts were written in five scripts latin glagolitic early cyrillic bosnian cyrillic  and arebica the last principally by bosniak nobility serbo croatian competed with the more established literary languages of latin and old slavonic in the west and persian and arabic in the east
",beginning written serbo croatian traced tenth century serbo croatian medieval texts written scripts latin glagolitic early cyrillic bosnian cyrillic arebica principally bosniak nobility serbo croatian competed established literary languages latin old slavonic west persian arabic east,6.87,"beginning,written,serbo,croatian,traced,tenth,century,serbo,croatian,medieval,texts,written,scripts,latin,glagolitic,early,cyrillic,bosnian,cyrillic,arebica,principally,bosniak,nobility,serbo,croatian,competed,established,literary,languages,latin,old,slavonic,west,persian,arabic,east",0.00,croatian
"old slavonic developed into the serbo croatian variant of church slavonic between the th and th centuries
",old slavonic developed serbo croatian variant church slavonic th th centuries,5.66,"old,slavonic,developed,serbo,croatian,variant,church,slavonic,th,th,centuries",0.00,croatian
"among the earliest attestations of serbo croatian are the humac tablet dating from the th or th century written in bosnian cyrillic and glagolitic the plomin tablet dating from the same era written in glagolitic the valun tablet dated to the th century written in glagolitic and latin and the inscription of upa dubrovaka a glagolitic tablet dated to the th century
",earliest attestations serbo croatian humac tablet dating th th century written bosnian cyrillic glagolitic plomin tablet dating era written glagolitic valun tablet dated th century written glagolitic latin inscription upa dubrovaka glagolitic tablet dated th century,7.10,"earliest,attestations,serbo,croatian,humac,tablet,dating,th,th,century,written,bosnian,cyrillic,glagolitic,plomin,tablet,dating,era,written,glagolitic,valun,tablet,dated,th,century,written,glagolitic,latin,inscription,upa,dubrovaka,glagolitic,tablet,dated,th,century",0.00,croatian
