Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the majority of serbs live in their nation state of serbia as well as in bosnia and herzegovina croatia montenegro north macedonia and kosovoa they also form significant minorities in slovenia there is a large serb diaspora in western europe and outside europe and there are significant communities in north america and australia
",majority serbs live nation state serbia bosnia herzegovina croatia montenegro north macedonia kosovoa form significant minorities slovenia large serb diaspora western europe outside europe significant communities north america australia,7.27,"majority,serbs,live,nation,state,serbia,bosnia,herzegovina,croatia,montenegro,north,macedonia,kosovoa,form,significant,minorities,slovenia,large,serb,diaspora,western,europe,outside,europe,significant,communities,north,america,australia",0.00,serbia
"the serbs share many cultural traits with the rest of the peoples of southeast europe they are predominantly eastern orthodox christians by religion the serbian language  is official in serbia co official in kosovo and bosnia and herzegovina and is spoken by the plurality in montenegro
",serbs share cultural traits rest peoples southeast europe predominantly eastern orthodox christians religion serbian language official serbia co official kosovo bosnia herzegovina spoken plurality montenegro,7.32,"serbs,share,cultural,traits,rest,peoples,southeast,europe,predominantly,eastern,orthodox,christians,religion,serbian,language,official,serbia,co,official,kosovo,bosnia,herzegovina,spoken,plurality,montenegro",0.00,serbia
"the identity of serbs is rooted in eastern orthodoxy and traditions in the th century the serbian national identity was manifested with awareness of history and tradition medieval heritage cultural unity despite living under different empirescitation needed three elements together with the legacy of the nemanji dynasty were crucial in forging identity and preservation during foreign domination the serbian orthodox church the serbian language and the kosovo myth when the principality of serbia gained independence from the ottoman empire orthodoxy became crucial in defining the national identity instead of language which was shared by other south slavs  the tradition of slava the family saint feast day is an important ethnic marker of serb identity and is usually regarded their most significant and most solemn feast day
",identity serbs rooted eastern orthodoxy traditions th century serbian national identity manifested awareness history tradition medieval heritage cultural unity despite living different empirescitation needed elements legacy nemanji dynasty crucial forging identity preservation foreign domination serbian orthodox church serbian language kosovo myth principality serbia gained independence ottoman empire orthodoxy crucial defining national identity instead language shared south slavs tradition slava family saint feast day important ethnic marker serb identity usually regarded significant solemn feast day,6.27,"identity,serbs,rooted,eastern,orthodoxy,traditions,th,century,serbian,national,identity,manifested,awareness,history,tradition,medieval,heritage,cultural,unity,despite,living,different,empirescitation,needed,elements,legacy,nemanji,dynasty,crucial,forging,identity,preservation,foreign,domination,serbian,orthodox,church,serbian,language,kosovo,myth,principality,serbia,gained,independence,ottoman,empire,orthodoxy,crucial,defining,national,identity,instead,language,shared,south,slavs,tradition,slava,family,saint,feast,day,important,ethnic,marker,serb,identity,usually,regarded,significant,solemn,feast,day",0.00,serbia
"early slavs especially sclaveni and antae including the white serbs invaded and settled southeastern europe in the th and th century up until the late s their activity was raiding crossing from the danube though with limited slavic settlement mainly through byzantine foederati colonies the danube and sava frontier was overwhelmed by large scale slavic settlement in the late th and early th century what is today central serbia was an important geo strategical province through which the via militaris crossed this area was frequently intruded by barbarians in the th and th centuries the numerous slavs mixed with and assimilated the descendants of the indigenous population  white serbs from white serbia came to an area near thessaloniki and then they settled area between dinaric alps and adriatic coast the region of rascia  was the center of serb settlement and serb tribes also occupied parts of modern day herzegovina and montenegro prior to their arrival to the balkans serbs were predominantly involved in agriculture which is why they settled in areas which were cultivated even during roman times
",early slavs especially sclaveni antae including white serbs invaded settled southeastern europe th th century late activity raiding crossing danube limited slavic settlement mainly byzantine foederati colonies danube sava frontier overwhelmed large scale slavic settlement late th early th century today central serbia important geo strategical province militaris crossed area frequently intruded barbarians th th centuries numerous slavs mixed assimilated descendants indigenous population white serbs white serbia came area near thessaloniki settled area dinaric alps adriatic coast region rascia center serb settlement serb tribes occupied parts modern day herzegovina montenegro prior arrival balkans serbs predominantly involved agriculture settled areas cultivated roman times,6.84,"early,slavs,especially,sclaveni,antae,including,white,serbs,invaded,settled,southeastern,europe,th,th,century,late,activity,raiding,crossing,danube,limited,slavic,settlement,mainly,byzantine,foederati,colonies,danube,sava,frontier,overwhelmed,large,scale,slavic,settlement,late,th,early,th,century,today,central,serbia,important,geo,strategical,province,militaris,crossed,area,frequently,intruded,barbarians,th,th,centuries,numerous,slavs,mixed,assimilated,descendants,indigenous,population,white,serbs,white,serbia,came,area,near,thessaloniki,settled,area,dinaric,alps,adriatic,coast,region,rascia,center,serb,settlement,serb,tribes,occupied,parts,modern,day,herzegovina,montenegro,prior,arrival,balkans,serbs,predominantly,involved,agriculture,settled,areas,cultivated,roman,times",0.00,serbia
"the first serb states raka and duklja  were formed chiefly under the vlastimirovi and vojislavljevi dynasties respectively the other serb inhabited lands or principalities that were mentioned included the countries of paganija zahumlje travunija with the decline of the serbian state of duklja in the late th century raka separated from it and replaced it as the most powerful serbian state prince stefan nemanja  conquered the neighbouring territories of kosovo duklja and zachlumia the nemanji dynasty ruled over serbia until the th century nemanjas older son stefan nemanji became serbias first recognized king while his younger son rastko founded the serbian orthodox church in the year  and became known as saint sava after his death parts of modern day montenegro bosnia and herzegovina and central serbia would come under the control of nemanji
",serb states raka duklja formed chiefly vlastimirovi vojislavljevi dynasties respectively serb inhabited lands principalities mentioned included countries paganija zahumlje travunija decline serbian state duklja late th century raka separated replaced powerful serbian state prince stefan nemanja conquered neighbouring territories kosovo duklja zachlumia nemanji dynasty ruled serbia th century nemanjas older son stefan nemanji serbias recognized king younger son rastko founded serbian orthodox church year known saint sava death parts modern day montenegro bosnia herzegovina central serbia come control nemanji,6.34,"serb,states,raka,duklja,formed,chiefly,vlastimirovi,vojislavljevi,dynasties,respectively,serb,inhabited,lands,principalities,mentioned,included,countries,paganija,zahumlje,travunija,decline,serbian,state,duklja,late,th,century,raka,separated,replaced,powerful,serbian,state,prince,stefan,nemanja,conquered,neighbouring,territories,kosovo,duklja,zachlumia,nemanji,dynasty,ruled,serbia,th,century,nemanjas,older,son,stefan,nemanji,serbias,recognized,king,younger,son,rastko,founded,serbian,orthodox,church,year,known,saint,sava,death,parts,modern,day,montenegro,bosnia,herzegovina,central,serbia,come,control,nemanji",0.00,serbia
"over the next  years serbia expanded its borders from numerous smaller principalities reaching to a unified serbian empire its cultural model remained byzantine despite political ambitions directed against the empire the medieval power and influence of serbia culminated in the reign of stefan duan who ruled the state from  until his death in  ruling as emperor from  his territory included macedonia northern greece montenegro and almost all of modern albania when duan died his son stephen uro v became emperor
",years serbia expanded borders numerous smaller principalities reaching unified serbian empire cultural model remained byzantine despite political ambitions directed empire medieval power influence serbia culminated reign stefan duan ruled state death ruling emperor territory included macedonia northern greece montenegro modern albania duan died son stephen uro v emperor,6.23,"years,serbia,expanded,borders,numerous,smaller,principalities,reaching,unified,serbian,empire,cultural,model,remained,byzantine,despite,political,ambitions,directed,empire,medieval,power,influence,serbia,culminated,reign,stefan,duan,ruled,state,death,ruling,emperor,territory,included,macedonia,northern,greece,montenegro,modern,albania,duan,died,son,stephen,uro,v,emperor",0.00,serbia
"with turkish invaders beginning their conquest of the balkans in the s a major conflict ensued between them and the serbs the first major battle was the battle of maritsa  in which the serbs were defeated with the death of two important serb leaders in the battle and with the death of stephen uro that same year the serbian empire broke up into several small serbian domains these states were ruled by feudal lords with zeta controlled by the bali family raka kosovo and northern macedonia held by the brankovi family and lazar hrebeljanovi holding todays central serbia and a portion of kosovo hrebeljanovi was subsequently accepted as the titular leader of the serbs because he was married to a member of the nemanji dynasty in  the serbs faced the ottomans at the battle of kosovo on the plain of kosovo polje near the town of pritina both lazar and sultan murad i were killed in the fighting the battle most likely ended in a stalemate and afterwards serbia enjoyed a short period of prosperity under despot stefan lazarevi and resisted falling to the turks until 
",turkish invaders beginning conquest balkans major conflict ensued serbs major battle battle maritsa serbs defeated death important serb leaders battle death stephen uro year serbian empire broke small serbian domains states ruled feudal lords zeta controlled bali family raka kosovo northern macedonia held brankovi family lazar hrebeljanovi holding todays central serbia portion kosovo hrebeljanovi subsequently accepted titular leader serbs married member nemanji dynasty serbs faced ottomans battle kosovo plain kosovo polje near town pritina lazar sultan murad killed fighting battle likely ended stalemate serbia enjoyed short period prosperity despot stefan lazarevi resisted falling turks,8.60,"turkish,invaders,beginning,conquest,balkans,major,conflict,ensued,serbs,major,battle,battle,maritsa,serbs,defeated,death,important,serb,leaders,battle,death,stephen,uro,year,serbian,empire,broke,small,serbian,domains,states,ruled,feudal,lords,zeta,controlled,bali,family,raka,kosovo,northern,macedonia,held,brankovi,family,lazar,hrebeljanovi,holding,todays,central,serbia,portion,kosovo,hrebeljanovi,subsequently,accepted,titular,leader,serbs,married,member,nemanji,dynasty,serbs,faced,ottomans,battle,kosovo,plain,kosovo,polje,near,town,pritina,lazar,sultan,murad,killed,fighting,battle,likely,ended,stalemate,serbia,enjoyed,short,period,prosperity,despot,stefan,lazarevi,resisted,falling,turks",0.00,serbia
"the serbs had taken an active part in the wars fought in the balkans against the ottoman empire and also organized uprisings because of this they suffered persecution and their territories were devastated  major migrations from serbia into habsburg territory ensued after allied christian forces had captured buda from the ottoman empire in  during the great turkish war serbs from pannonian plain  joined the troops of the habsburg monarchy as separate units known as serbian militia serbs as volunteers massively joined the austrian side
",serbs taken active wars fought balkans ottoman empire organized uprisings suffered persecution territories devastated major migrations serbia habsburg territory ensued allied christian forces captured buda ottoman empire great turkish war serbs pannonian plain joined troops habsburg monarchy separate units known serbian militia serbs volunteers massively joined austrian,6.85,"serbs,taken,active,wars,fought,balkans,ottoman,empire,organized,uprisings,suffered,persecution,territories,devastated,major,migrations,serbia,habsburg,territory,ensued,allied,christian,forces,captured,buda,ottoman,empire,great,turkish,war,serbs,pannonian,plain,joined,troops,habsburg,monarchy,separate,units,known,serbian,militia,serbs,volunteers,massively,joined,austrian",0.00,serbia
"in  the habsburg army took belgrade and entered the territory of present day central serbia louis william margrave of baden baden called serbian patriarch arsenije iii arnojevi to raise arms against the turks the patriarch accepted and returned to the liberated pe as serbia fell under habsburg control leopold i granted arsenije nobility and the title of duke in early november arsenije iii met with habsburg commander in chief general enea silvio piccolomini in prizren after this talk he sent a note to all serb bishops to come to him and collaborate only with habsburg forces
",habsburg army took belgrade entered territory present day central serbia louis william margrave baden baden called serbian patriarch arsenije iii arnojevi raise arms turks patriarch accepted returned liberated pe serbia fell habsburg control leopold granted arsenije nobility title duke early november arsenije iii met habsburg commander chief general enea silvio piccolomini prizren talk sent note serb bishops come collaborate habsburg forces,6.03,"habsburg,army,took,belgrade,entered,territory,present,day,central,serbia,louis,william,margrave,baden,baden,called,serbian,patriarch,arsenije,iii,arnojevi,raise,arms,turks,patriarch,accepted,returned,liberated,pe,serbia,fell,habsburg,control,leopold,granted,arsenije,nobility,title,duke,early,november,arsenije,iii,met,habsburg,commander,chief,general,enea,silvio,piccolomini,prizren,talk,sent,note,serb,bishops,come,collaborate,habsburg,forces",0.00,serbia
"the serbian revolution for independence from the ottoman empire lasted eleven years from  until  the revolution comprised two separate uprisings which gained autonomy from the ottoman empire that eventually evolved towards full independence  during the first serbian uprising led by duke karaore petrovi serbia was independent for almost a decade before the ottoman army was able to reoccupy the country shortly after this the second serbian uprising began led by milo obrenovi it ended in  with a compromise between serbian revolutionaries and ottoman authorities likewise serbia was one of the first nations in the balkans to abolish feudalism serbs are among the first ethnic groups in europe to form a nation and a clear sense of national identity
",serbian revolution independence ottoman empire lasted years revolution comprised separate uprisings gained autonomy ottoman empire eventually evolved independence serbian uprising led duke karaore petrovi serbia independent decade ottoman army able reoccupy country shortly second serbian uprising began led milo obrenovi ended compromise serbian revolutionaries ottoman authorities likewise serbia nations balkans abolish feudalism serbs ethnic groups europe form nation clear sense national identity,7.45,"serbian,revolution,independence,ottoman,empire,lasted,years,revolution,comprised,separate,uprisings,gained,autonomy,ottoman,empire,eventually,evolved,independence,serbian,uprising,led,duke,karaore,petrovi,serbia,independent,decade,ottoman,army,able,reoccupy,country,shortly,second,serbian,uprising,began,led,milo,obrenovi,ended,compromise,serbian,revolutionaries,ottoman,authorities,likewise,serbia,nations,balkans,abolish,feudalism,serbs,ethnic,groups,europe,form,nation,clear,sense,national,identity",0.00,serbia
