Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the slovaks  are a west slavic ethnic group and nation native to slovakia who share a common ancestry culture history and speak slovak
",slovaks west slavic ethnic group nation native slovakia share common ancestry culture history speak slovak,5.93,"slovaks,west,slavic,ethnic,group,nation,native,slovakia,share,common,ancestry,culture,history,speak,slovak",0.00,slovakia
"in slovakia c  million are ethnic slovaks of  million total population there are slovak minorities in many neighboring countries including austria croatia czech republic hungary poland romania serbia and ukraine and sizeable populations of immigrants and their descendants in australia canada france germany united kingdom and the united states among others which are collectively referred to as the slovak diaspora
",slovakia c million ethnic slovaks million total population slovak minorities neighboring countries including austria croatia czech republic hungary poland romania serbia ukraine sizeable populations immigrants descendants australia canada france germany united kingdom united states collectively referred slovak diaspora,5.29,"slovakia,c,million,ethnic,slovaks,million,total,population,slovak,minorities,neighboring,countries,including,austria,croatia,czech,republic,hungary,poland,romania,serbia,ukraine,sizeable,populations,immigrants,descendants,australia,canada,france,germany,united,kingdom,united,states,collectively,referred,slovak,diaspora",0.00,slovakia
"the original name of slovaks sloveninslovene was still recorded in pressburg latin czech dictionary  but it changed to slovk under the influence of czech and polish  the first written mention of new form in the territory of present day slovakia is from bardejov  the mentions in czech sources are older  the change is not related to the ethnogenesis of slovaks but exclusively to linguistic changes in the west slavic languages the word slovak was used also later as a common name for all slavs in czech polish and also slovak together with other forms
",original slovaks sloveninslovene recorded pressburg latin czech dictionary changed slovk influence czech polish written mention new form territory present day slovakia bardejov mentions czech sources older change related ethnogenesis slovaks exclusively linguistic changes west slavic languages word slovak later common slavs czech polish slovak forms,8.86,"original,slovaks,sloveninslovene,recorded,pressburg,latin,czech,dictionary,changed,slovk,influence,czech,polish,written,mention,new,form,territory,present,day,slovakia,bardejov,mentions,czech,sources,older,change,related,ethnogenesis,slovaks,exclusively,linguistic,changes,west,slavic,languages,word,slovak,later,common,slavs,czech,polish,slovak,forms",0.00,slovakia
"the early slavs came to the territory of slovakia in several waves from the th and th centuries and were organized on a tribal level original tribal names are not known due to the lack of written sources before their integration into higher political units weakening of tribal consciousness was probably accelerated by avars who did not respect tribal differences in the controlled territory and motivated remaining slavs to join together and to collaborate on their defense in the th century slavs  founded a larger tribal union samos empire regardless of samos empire the integration process continued in other territories with various intensities
",early slavs came territory slovakia waves th th centuries organized tribal level original tribal names known lack written sources integration higher political units weakening tribal consciousness probably accelerated avars respect tribal differences controlled territory motivated remaining slavs join collaborate defense th century slavs founded larger tribal union samos empire regardless samos empire integration process continued territories intensities,7.08,"early,slavs,came,territory,slovakia,waves,th,th,centuries,organized,tribal,level,original,tribal,names,known,lack,written,sources,integration,higher,political,units,weakening,tribal,consciousness,probably,accelerated,avars,respect,tribal,differences,controlled,territory,motivated,remaining,slavs,join,collaborate,defense,th,century,slavs,founded,larger,tribal,union,samos,empire,regardless,samos,empire,integration,process,continued,territories,intensities",0.00,slovakia
"the final fall of the avar khaganate allowed new political entities to arise the first such political unit documented by written sources is the principality of nitra one of the foundations of later common ethnic consciousness at this stage in history it is not yet possible to assume a common identity of all ancestors of slovaks in the neighboring eastern territories even if it was inhabited by closely related slavs the principality of nitra became a part of great moravia a common state of moravians  the relatively short existence of great moravia prevented it from suppressing differences which resulted from its creation from two separate entities and therefore a common slovak moravian ethnic identity failed to develop the early political integration in the territory of present day slovakia was however reflected in linguistic integration while dialects of the early ancestors of slovaks were divided into west slavic  and non west slavic  between the th and th centuries both dialects merged thus laying the foundations of a later slovak language
",final fall avar khaganate allowed new political entities arise political unit documented written sources principality nitra foundations later common ethnic consciousness stage history possible assume common identity ancestors slovaks neighboring eastern territories inhabited closely related slavs principality nitra great moravia common state moravians relatively short existence great moravia prevented suppressing differences resulted creation separate entities common slovak moravian ethnic identity failed develop early political integration territory present day slovakia reflected linguistic integration dialects early ancestors slovaks divided west slavic non west slavic th th centuries dialects merged laying foundations later slovak language,7.28,"final,fall,avar,khaganate,allowed,new,political,entities,arise,political,unit,documented,written,sources,principality,nitra,foundations,later,common,ethnic,consciousness,stage,history,possible,assume,common,identity,ancestors,slovaks,neighboring,eastern,territories,inhabited,closely,related,slavs,principality,nitra,great,moravia,common,state,moravians,relatively,short,existence,great,moravia,prevented,suppressing,differences,resulted,creation,separate,entities,common,slovak,moravian,ethnic,identity,failed,develop,early,political,integration,territory,present,day,slovakia,reflected,linguistic,integration,dialects,early,ancestors,slovaks,divided,west,slavic,non,west,slavic,th,th,centuries,dialects,merged,laying,foundations,later,slovak,language",0.00,slovakia
"the th century is a milestone in the slovak ethnogenesis the fall of great moravia and further political changes supported their formation into a separate nation at the same time with the extinction of the proto slavic language between the th and th centuries slovak evolved into an independent language  the early existence of the kingdom of hungary positively influenced the development of common consciousness and companionship among slavs in the northern hungary not only within boundaries of present day slovakia the clear difference between slovaks and hungarians made adoption of a specific name unnecessary and slovaks preserved their original name  which was also used in communication with other slavic peoples  in political terms the medieval slovaks were a part of the multi ethnic political nation natio hungarica together with hungarians  slavonians germans romanians and other ethnic groups in the kingdom of hungary since a medieval political nation did not consist of ordinary people but nobility membership of the privileged class was necessary for all these peoples 
",th century milestone slovak ethnogenesis fall great moravia political changes supported formation separate nation time extinction proto slavic language th th centuries slovak evolved independent language early existence kingdom hungary positively influenced development common consciousness companionship slavs northern hungary boundaries present day slovakia clear difference slovaks hungarians adoption specific unnecessary slovaks preserved original communication slavic peoples political terms medieval slovaks multi ethnic political nation natio hungarica hungarians slavonians germans romanians ethnic groups kingdom hungary medieval political nation consist ordinary people nobility membership privileged class necessary peoples,7.46,"th,century,milestone,slovak,ethnogenesis,fall,great,moravia,political,changes,supported,formation,separate,nation,time,extinction,proto,slavic,language,th,th,centuries,slovak,evolved,independent,language,early,existence,kingdom,hungary,positively,influenced,development,common,consciousness,companionship,slavs,northern,hungary,boundaries,present,day,slovakia,clear,difference,slovaks,hungarians,adoption,specific,unnecessary,slovaks,preserved,original,communication,slavic,peoples,political,terms,medieval,slovaks,multi,ethnic,political,nation,natio,hungarica,hungarians,slavonians,germans,romanians,ethnic,groups,kingdom,hungary,medieval,political,nation,consist,ordinary,people,nobility,membership,privileged,class,necessary,peoples",0.00,slovakia
"in  hungarian linguist pl hunfalvy published a theory about missing continuity between slovaks and slavs before the arrival of the hungarians hunfalvy tried to prove that ancestors of slovaks did not live in the territory of the present day slovakia before arrival of the old hungarians  but slovaks emerged later from other slavs who came to the kingdom of hungary from neighbouring countries after the th century jnos karcsonyi assumed that central and northern slovakia were uninhabited  and in his next work our historical right to the territorial integrity of our country  he claimed that the remainder of the original slavs were assimilated by magyars and modern slovaks are descendants of immigrants from upper moravia and oder  the theory was then misused by inter war hungarian revisionists who questioned continuity to support hungarian claims on slovakia in  when rich archaeological evidence proving the opposite was already available a similar theory was published by hungarian historian gyrgy gyrffy gyrffy accepted that smaller groups of slavs could remain in the territory of slovakia but stated that the slovaks origin was in sparse settlement of various slavic groups strengthened by later colonization according to ferenc makk the medieval moravians are not the ancestors of slovaks and the majority of the slovak people are descended from later slavic newcomers
",hungarian linguist pl hunfalvy published theory missing continuity slovaks slavs arrival hungarians hunfalvy tried prove ancestors slovaks live territory present day slovakia arrival old hungarians slovaks emerged later slavs came kingdom hungary neighbouring countries th century jnos karcsonyi assumed central northern slovakia uninhabited work historical right territorial integrity country claimed remainder original slavs assimilated magyars modern slovaks descendants immigrants upper moravia oder theory misused inter war hungarian revisionists questioned continuity support hungarian claims slovakia rich archaeological evidence proving opposite available similar theory published hungarian historian gyrgy gyrffy gyrffy accepted smaller groups slavs remain territory slovakia stated slovaks origin sparse settlement slavic groups strengthened later colonization according ferenc makk medieval moravians ancestors slovaks majority slovak people descended later slavic newcomers,6.95,"hungarian,linguist,pl,hunfalvy,published,theory,missing,continuity,slovaks,slavs,arrival,hungarians,hunfalvy,tried,prove,ancestors,slovaks,live,territory,present,day,slovakia,arrival,old,hungarians,slovaks,emerged,later,slavs,came,kingdom,hungary,neighbouring,countries,th,century,jnos,karcsonyi,assumed,central,northern,slovakia,uninhabited,work,historical,right,territorial,integrity,country,claimed,remainder,original,slavs,assimilated,magyars,modern,slovaks,descendants,immigrants,upper,moravia,oder,theory,misused,inter,war,hungarian,revisionists,questioned,continuity,support,hungarian,claims,slovakia,rich,archaeological,evidence,proving,opposite,available,similar,theory,published,hungarian,historian,gyrgy,gyrffy,gyrffy,accepted,smaller,groups,slavs,remain,territory,slovakia,stated,slovaks,origin,sparse,settlement,slavic,groups,strengthened,later,colonization,according,ferenc,makk,medieval,moravians,ancestors,slovaks,majority,slovak,people,descended,later,slavic,newcomers",0.00,slovakia
"the opposite theory supporting the supposed former common past of the czech and slovak nations thus also legitimizing the creation of the united czechoslovak nation gained political support in inter war czechoslovakia like karcsonyi czech historian vclav chaloupeck assumed that northern and central parts of slovakia remained uninhabited until the th century and that the south western part was inhabited by czechs yet in  chaloupeck assumed that the slovak nation emerged from neighboring slavs and had been formed only in the th century his theory about the lack of population in the greater part of slovakia covered by forests had already been scientifically refuted by daniel rapant  and was proven wrong by numerous archaeological findsnote  and rejected by czechoslovak histography on the other hand inter war slovak autonomists opposing ethnic czechoslovakism dated the existence of the slovak nation to the time of pribina 
",opposite theory supporting supposed common past czech slovak nations legitimizing creation united czechoslovak nation gained political support inter war czechoslovakia like karcsonyi czech historian vclav chaloupeck assumed northern central parts slovakia remained uninhabited th century south western inhabited czechs chaloupeck assumed slovak nation emerged neighboring slavs formed th century theory lack population greater slovakia covered forests scientifically refuted daniel rapant proven wrong numerous archaeological findsnote rejected czechoslovak histography hand inter war slovak autonomists opposing ethnic czechoslovakism dated existence slovak nation time pribina,6.54,"opposite,theory,supporting,supposed,common,past,czech,slovak,nations,legitimizing,creation,united,czechoslovak,nation,gained,political,support,inter,war,czechoslovakia,like,karcsonyi,czech,historian,vclav,chaloupeck,assumed,northern,central,parts,slovakia,remained,uninhabited,th,century,south,western,inhabited,czechs,chaloupeck,assumed,slovak,nation,emerged,neighboring,slavs,formed,th,century,theory,lack,population,greater,slovakia,covered,forests,scientifically,refuted,daniel,rapant,proven,wrong,numerous,archaeological,findsnote,rejected,czechoslovak,histography,hand,inter,war,slovak,autonomists,opposing,ethnic,czechoslovakism,dated,existence,slovak,nation,time,pribina",0.00,slovakia
"after the dissolution of czechoslovakia in  the formation of independent slovakia motivated interest in a particularly slovak national identity one reflection of this was the rejection of the common czechoslovak national identity in favour of a purely slovak one
",dissolution czechoslovakia formation independent slovakia motivated interest particularly slovak national identity reflection rejection common czechoslovak national identity favour purely slovak,7.22,"dissolution,czechoslovakia,formation,independent,slovakia,motivated,interest,particularly,slovak,national,identity,reflection,rejection,common,czechoslovak,national,identity,favour,purely,slovak",0.00,slovakia
"the first known slavic states on the territory of present day slovakia were the empire of samo and the principality of nitra founded sometime in the th century
",known slavic states territory present day slovakia empire samo principality nitra founded th century,8.75,"known,slavic,states,territory,present,day,slovakia,empire,samo,principality,nitra,founded,th,century",0.00,slovakia
