Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"south africa officially the republic of south africa  is the southernmost country in africa it is bounded to the south by  kilometres  of coastline that stretch along the south atlantic and indian oceans to the north by the neighbouring countries of namibia botswana and zimbabwe and to the east and northeast by mozambique and eswatini it also completely enclaves the country lesotho it is the southernmost country on the mainland of the old world and the second most populous country located entirely south of the equator after tanzania south africa is a biodiversity hotspot with unique biomes plant and animal life with over  million people the country is the worlds th most populous nation and covers an area of  square kilometres  south africa has three capital cities with the executive judicial and legislative branches of government based in pretoria bloemfontein and cape town respectively the largest city is johannesburg
",south africa officially republic south africa southernmost country africa bounded south kilometres coastline stretch south atlantic indian oceans north neighbouring countries namibia botswana zimbabwe east northeast mozambique eswatini completely enclaves country lesotho southernmost country mainland old world second populous country located entirely south equator tanzania south africa biodiversity hotspot unique biomes plant animal life million people country worlds th populous nation covers area square kilometres south africa capital cities executive judicial legislative branches government based pretoria bloemfontein cape town respectively largest city johannesburg,7.07,"south,africa,officially,republic,south,africa,southernmost,country,africa,bounded,south,kilometres,coastline,stretch,south,atlantic,indian,oceans,north,neighbouring,countries,namibia,botswana,zimbabwe,east,northeast,mozambique,eswatini,completely,enclaves,country,lesotho,southernmost,country,mainland,old,world,second,populous,country,located,entirely,south,equator,tanzania,south,africa,biodiversity,hotspot,unique,biomes,plant,animal,life,million,people,country,worlds,th,populous,nation,covers,area,square,kilometres,south,africa,capital,cities,executive,judicial,legislative,branches,government,based,pretoria,bloemfontein,cape,town,respectively,largest,city,johannesburg",0.00,africa
"about  of the population are black south africans the remaining population consists of africas largest communities of european  asian  and multiracial  ancestry south africa is a multiethnic society encompassing a wide variety of cultures languages and religions its pluralistic makeup is reflected in the constitutions recognition of  official languages the fourth highest number in the world according to the  census the two most spoken first languages are zulu  and xhosa  the two next ones are of european origin afrikaans  developed from dutch and serves as the first language of most coloured and white south africans english  reflects the legacy of british colonialism and is commonly used in public and commercial life
",population black south africans remaining population consists africas largest communities european asian multiracial ancestry south africa multiethnic society encompassing wide variety cultures languages religions pluralistic makeup reflected constitutions recognition official languages fourth highest number world according census spoken languages zulu xhosa ones european origin afrikaans developed dutch serves language coloured white south africans english reflects legacy british colonialism commonly public commercial life,6.74,"population,black,south,africans,remaining,population,consists,africas,largest,communities,european,asian,multiracial,ancestry,south,africa,multiethnic,society,encompassing,wide,variety,cultures,languages,religions,pluralistic,makeup,reflected,constitutions,recognition,official,languages,fourth,highest,number,world,according,census,spoken,languages,zulu,xhosa,ones,european,origin,afrikaans,developed,dutch,serves,language,coloured,white,south,africans,english,reflects,legacy,british,colonialism,commonly,public,commercial,life",0.00,africa
"the country is one of the few in africa never to have had a coup dtat and regular elections have been held for almost a century however the vast majority of black south africans were not enfranchised until  during the th century the black majority sought to claim more rights from the dominant white minority which played a large role in the countrys recent history and politics the national party imposed apartheid in  institutionalising previous racial segregation after a long and sometimes violent struggle by the african national congress and other anti apartheid activists both inside and outside the country the repeal of discriminatory laws began in the mid s since  all ethnic and linguistic groups have held political representation in the countrys liberal democracy which comprises a parliamentary republic and nine provinces south africa is often referred to as the rainbow nation to describe the countrys multicultural diversity especially in the wake of apartheid
",country africa coup dtat regular elections held century vast majority black south africans enfranchised th century black majority sought claim rights dominant white minority played large role countrys recent history politics national party imposed apartheid institutionalising previous racial segregation long violent struggle african national congress anti apartheid activists inside outside country repeal discriminatory laws began mid ethnic linguistic groups held political representation countrys liberal democracy comprises parliamentary republic provinces south africa referred rainbow nation describe countrys multicultural diversity especially wake apartheid,7.57,"country,africa,coup,dtat,regular,elections,held,century,vast,majority,black,south,africans,enfranchised,th,century,black,majority,sought,claim,rights,dominant,white,minority,played,large,role,countrys,recent,history,politics,national,party,imposed,apartheid,institutionalising,previous,racial,segregation,long,violent,struggle,african,national,congress,anti,apartheid,activists,inside,outside,country,repeal,discriminatory,laws,began,mid,ethnic,linguistic,groups,held,political,representation,countrys,liberal,democracy,comprises,parliamentary,republic,provinces,south,africa,referred,rainbow,nation,describe,countrys,multicultural,diversity,especially,wake,apartheid",0.00,africa
"south africa is a middle power in international affairs it maintains significant regional influence and is a member of both the commonwealth of nations and the g it is a developing country ranking th on the human development index the th highest on the continent it has been classified by the world bank as a newly industrialised country and has the third largest economy and the most industrialized technologically advanced economy in africa overall as well as the th largest economy in the world south africa has the most unesco world heritage sites in africa since the end of apartheid government accountability and quality of life have substantially improved however crime poverty and inequality remain widespread with about  of the total population being unemployed as of update while some  of the population lived under the poverty line and a quarter under  a day
",south africa middle power international affairs maintains significant regional influence member commonwealth nations g developing country ranking th human development index th highest continent classified world bank newly industrialised country largest economy industrialized technologically advanced economy africa overall th largest economy world south africa unesco world heritage sites africa end apartheid government accountability quality life substantially improved crime poverty inequality remain widespread total population unemployed update population lived poverty line quarter day,8.16,"south,africa,middle,power,international,affairs,maintains,significant,regional,influence,member,commonwealth,nations,g,developing,country,ranking,th,human,development,index,th,highest,continent,classified,world,bank,newly,industrialised,country,largest,economy,industrialized,technologically,advanced,economy,africa,overall,th,largest,economy,world,south,africa,unesco,world,heritage,sites,africa,end,apartheid,government,accountability,quality,life,substantially,improved,crime,poverty,inequality,remain,widespread,total,population,unemployed,update,population,lived,poverty,line,quarter,day",0.00,africa
"the name south africa is derived from the countrys geographic location at the southern tip of africa upon formation the country was named the union of south africa in english and unie van zuid afrika in dutch reflecting its origin from the unification of four formerly separate british colonies since  the long formal name in english has been the republic of south africa and republiek van suid afrika in afrikaans since  the country has had an official name in each of its  official languages
",south africa derived countrys geographic location southern tip africa formation country named union south africa english unie van zuid afrika dutch reflecting origin unification separate british colonies long formal english republic south africa republiek van suid afrika afrikaans country official official languages,8.50,"south,africa,derived,countrys,geographic,location,southern,tip,africa,formation,country,named,union,south,africa,english,unie,van,zuid,afrika,dutch,reflecting,origin,unification,separate,british,colonies,long,formal,english,republic,south,africa,republiek,van,suid,afrika,afrikaans,country,official,official,languages",0.00,africa
"mzansi derived from the xhosa noun umzantsi meaning south is a colloquial name for south africa while some pan africanist political parties prefer the term azania
",mzansi derived xhosa noun umzantsi meaning south colloquial south africa pan africanist political parties prefer term azania,5.52,"mzansi,derived,xhosa,noun,umzantsi,meaning,south,colloquial,south,africa,pan,africanist,political,parties,prefer,term,azania",0.00,africa
"south africa contains some of the oldest archaeological and human fossil sites in the world archaeologists have recovered extensive fossil remains from a series of caves in gauteng province the area a unesco world heritage site has been branded the cradle of humankind the sites include sterkfontein one of the richest sites for hominin fossils in the world as well as swartkrans gondolin cave kromdraai coopers cave and malapa raymond dart identified the first hominin fossil discovered in africa the taung child  in  other hominin remains have come from the sites of makapansgat in limpopo province cornelia and florisbad in free state province border cave in kwazulu natal province klasies river caves in eastern cape province and pinnacle point elandsfontein and die kelders cave in western cape province
",south africa contains oldest archaeological human fossil sites world archaeologists recovered extensive fossil remains series caves gauteng province area unesco world heritage site branded cradle humankind sites include sterkfontein richest sites hominin fossils world swartkrans gondolin cave kromdraai coopers cave malapa raymond dart identified hominin fossil discovered africa taung child hominin remains come sites makapansgat limpopo province cornelia florisbad free state province border cave kwazulu natal province klasies river caves eastern cape province pinnacle point elandsfontein die kelders cave western cape province,5.69,"south,africa,contains,oldest,archaeological,human,fossil,sites,world,archaeologists,recovered,extensive,fossil,remains,series,caves,gauteng,province,area,unesco,world,heritage,site,branded,cradle,humankind,sites,include,sterkfontein,richest,sites,hominin,fossils,world,swartkrans,gondolin,cave,kromdraai,coopers,cave,malapa,raymond,dart,identified,hominin,fossil,discovered,africa,taung,child,hominin,remains,come,sites,makapansgat,limpopo,province,cornelia,florisbad,free,state,province,border,cave,kwazulu,natal,province,klasies,river,caves,eastern,cape,province,pinnacle,point,elandsfontein,die,kelders,cave,western,cape,province",0.00,africa
"these finds suggest that various hominid species existed in south africa from about three million years ago starting with australopithecus africanus followed by australopithecus sediba homo ergaster homo erectus homo rhodesiensis homo helmei homo naledi and modern humans  modern humans have inhabited southern africa for at least  years various researchers have located pebble tools within the vaal river valley
",finds suggest hominid species existed south africa million years ago starting australopithecus africanus followed australopithecus sediba homo ergaster homo erectus homo rhodesiensis homo helmei homo naledi modern humans modern humans inhabited southern africa years researchers located pebble tools vaal river valley,4.36,"finds,suggest,hominid,species,existed,south,africa,million,years,ago,starting,australopithecus,africanus,followed,australopithecus,sediba,homo,ergaster,homo,erectus,homo,rhodesiensis,homo,helmei,homo,naledi,modern,humans,modern,humans,inhabited,southern,africa,years,researchers,located,pebble,tools,vaal,river,valley",0.00,africa
"in  the portuguese explorer bartolomeu dias led the first european voyage to land in southern africa on  december he landed at walfisch bay  this was south of the furthest point reached in  by his predecessor the portuguese navigator diogo co  dias continued down the western coast of southern africa after  january  prevented by storms from proceeding along the coast he sailed out of sight of land and passed the southernmost point of africa without seeing it he reached as far up the eastern coast of africa as what he called rio do infante probably the present day groot river in may  on his return he saw the cape which he named cabo das tormentas  king john ii renamed the point cabo da boa esperana or cape of good hope as it led to the riches of the east indies dias feat of navigation was immortalised in lus de cames  epic poem os lusadas
",portuguese explorer bartolomeu dias led european voyage land southern africa december landed walfisch bay south furthest point reached predecessor portuguese navigator diogo co dias continued western coast southern africa january prevented storms proceeding coast sailed sight land passed southernmost point africa seeing reached far eastern coast africa called rio infante probably present day groot river return saw cape named cabo das tormentas king john ii renamed point cabo da boa esperana cape good hope led riches east indies dias feat navigation immortalised lus de cames epic poem os lusadas,7.54,"portuguese,explorer,bartolomeu,dias,led,european,voyage,land,southern,africa,december,landed,walfisch,bay,south,furthest,point,reached,predecessor,portuguese,navigator,diogo,co,dias,continued,western,coast,southern,africa,january,prevented,storms,proceeding,coast,sailed,sight,land,passed,southernmost,point,africa,seeing,reached,far,eastern,coast,africa,called,rio,infante,probably,present,day,groot,river,return,saw,cape,named,cabo,das,tormentas,king,john,ii,renamed,point,cabo,da,boa,esperana,cape,good,hope,led,riches,east,indies,dias,feat,navigation,immortalised,lus,de,cames,epic,poem,os,lusadas",0.00,africa
"in  a century and a half after the discovery of the cape sea route jan van riebeeck established a victualling station at the cape of good hope at what would become cape town on behalf of the dutch east india company in time the cape became home to a large population of vrijlieden also known as vrijburgers  former company employees who stayed in dutch territories overseas after serving their contracts dutch traders also brought thousands of enslaved people to the fledgling colony from indonesia madagascar and parts of eastern africa some of the earliest mixed race communities in the country were formed between vrijburgers enslaved people and indigenous peoples this led to the development of a new ethnic group the cape coloureds most of whom adopted the dutch language and christian faith
",century half discovery cape sea route jan van riebeeck established victualling station cape good hope cape town behalf dutch east india company time cape home large population vrijlieden known vrijburgers company employees stayed dutch territories overseas serving contracts dutch traders brought thousands enslaved people fledgling colony indonesia madagascar parts eastern africa earliest mixed race communities country formed vrijburgers enslaved people indigenous peoples led development new ethnic group cape coloureds adopted dutch language christian faith,7.28,"century,half,discovery,cape,sea,route,jan,van,riebeeck,established,victualling,station,cape,good,hope,cape,town,behalf,dutch,east,india,company,time,cape,home,large,population,vrijlieden,known,vrijburgers,company,employees,stayed,dutch,territories,overseas,serving,contracts,dutch,traders,brought,thousands,enslaved,people,fledgling,colony,indonesia,madagascar,parts,eastern,africa,earliest,mixed,race,communities,country,formed,vrijburgers,enslaved,people,indigenous,peoples,led,development,new,ethnic,group,cape,coloureds,adopted,dutch,language,christian,faith",0.00,africa
