Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"south koreab officially the republic of korea c is a country in east asia it constitutes the southern part of the korean peninsula and shares a land border with north koread the countrys western border is formed by the yellow sea while its eastern border is defined by the sea of japan south korea claims to be the sole legitimate government of the entire peninsula and adjacent islands it has a population of  million of which roughly half live in the seoul capital area the fourth most populous metropolitan area in the world other major cities include incheon busan and daegu
",south koreab officially republic korea c country east asia constitutes southern korean peninsula shares land border north koread countrys western border formed yellow sea eastern border defined sea japan south korea claims sole legitimate government entire peninsula adjacent islands population million roughly half live seoul capital area fourth populous metropolitan area world major cities include incheon busan daegu,7.43,"south,koreab,officially,republic,korea,c,country,east,asia,constitutes,southern,korean,peninsula,shares,land,border,north,koread,countrys,western,border,formed,yellow,sea,eastern,border,defined,sea,japan,south,korea,claims,sole,legitimate,government,entire,peninsula,adjacent,islands,population,million,roughly,half,live,seoul,capital,area,fourth,populous,metropolitan,area,world,major,cities,include,incheon,busan,daegu",0.00,korea
"the korean peninsula was inhabited as early as the lower paleolithic period its first kingdom was noted in chinese records in the early th century bce following the unification of the three kingdoms of korea into silla and balhae in the late th century korea was ruled by the goryeo dynasty  and the joseon dynasty  the succeeding korean empire  was annexed in  into the empire of japan japanese rule ended following japans surrender in world war ii after which korea was divided into two zones a northern zone occupied by the soviet union and a southern zone occupied by the united states after negotiations on reunification failed the latter became the republic of korea in august  while the former became the socialist democratic peoples republic of korea the following month
",korean peninsula inhabited early lower paleolithic period kingdom noted chinese records early th century bce following unification kingdoms korea silla balhae late th century korea ruled goryeo dynasty joseon dynasty succeeding korean empire annexed empire japan japanese rule ended following japans surrender world war ii korea divided zones northern zone occupied soviet union southern zone occupied united states negotiations reunification failed republic korea august socialist democratic peoples republic korea following month,7.57,"korean,peninsula,inhabited,early,lower,paleolithic,period,kingdom,noted,chinese,records,early,th,century,bce,following,unification,kingdoms,korea,silla,balhae,late,th,century,korea,ruled,goryeo,dynasty,joseon,dynasty,succeeding,korean,empire,annexed,empire,japan,japanese,rule,ended,following,japans,surrender,world,war,ii,korea,divided,zones,northern,zone,occupied,soviet,union,southern,zone,occupied,united,states,negotiations,reunification,failed,republic,korea,august,socialist,democratic,peoples,republic,korea,following,month",0.00,korea
"south korea is a regional power and a highly developed country with its economy being ranked as the worlds thirteenth largest by nominal gdp and the fourteenth largest by gdp  it ranks nineteenth globally by human development index and has the third highest life expectancy in the world in recent years the country has been facing an aging population and the lowest fertility rate in the world south koreas citizens enjoy one of the worlds fastest internet connection speeds and the densest high speed railway network the country is the worlds ninth largest exporter and ninth largest importer its armed forces are ranked as one of the worlds strongest militaries with the worlds second largest standing army by military and paramilitary personnel since the st century south korea has been renowned for its globally influential pop culture particularly in music  tv dramas  and cinema a phenomenon referred to as the korean wave it is a member of the oecds development assistance committee the g the ipef and the paris club
",south korea regional power highly developed country economy ranked worlds thirteenth largest nominal gdp fourteenth largest gdp ranks nineteenth globally human development index highest life expectancy world recent years country facing aging population lowest fertility rate world south koreas citizens enjoy worlds fastest internet connection speeds densest high speed railway network country worlds ninth largest exporter ninth largest importer armed forces ranked worlds strongest militaries worlds second largest standing army military paramilitary personnel st century south korea renowned globally influential pop culture particularly music tv dramas cinema phenomenon referred korean wave member oecds development assistance committee g ipef paris club,6.84,"south,korea,regional,power,highly,developed,country,economy,ranked,worlds,thirteenth,largest,nominal,gdp,fourteenth,largest,gdp,ranks,nineteenth,globally,human,development,index,highest,life,expectancy,world,recent,years,country,facing,aging,population,lowest,fertility,rate,world,south,koreas,citizens,enjoy,worlds,fastest,internet,connection,speeds,densest,high,speed,railway,network,country,worlds,ninth,largest,exporter,ninth,largest,importer,armed,forces,ranked,worlds,strongest,militaries,worlds,second,largest,standing,army,military,paramilitary,personnel,st,century,south,korea,renowned,globally,influential,pop,culture,particularly,music,tv,dramas,cinema,phenomenon,referred,korean,wave,member,oecds,development,assistance,committee,g,ipef,paris,club",0.00,korea
"the name korea derives from the name goryeo the name goryeo itself was first used by the ancient kingdom of goguryeo which was considered a great power of east asia during its time in the th century as a shortened form of its name the th century kingdom of goryeo succeeded goguryeo and thus inherited its name which was pronounced by the visiting arab and persian merchants as korea the modern name of korea appears in the first portuguese maps of  by joo vaz dourado as conrai  and later in the late th century and early th century as korea  in the maps of teixeira albernaz of 
",korea derives goryeo goryeo ancient kingdom goguryeo considered great power east asia time th century shortened form th century kingdom goryeo succeeded goguryeo inherited pronounced visiting arab persian merchants korea modern korea appears portuguese maps joo vaz dourado conrai later late th century early th century korea maps teixeira albernaz,9.81,"korea,derives,goryeo,goryeo,ancient,kingdom,goguryeo,considered,great,power,east,asia,time,th,century,shortened,form,th,century,kingdom,goryeo,succeeded,goguryeo,inherited,pronounced,visiting,arab,persian,merchants,korea,modern,korea,appears,portuguese,maps,joo,vaz,dourado,conrai,later,late,th,century,early,th,century,korea,maps,teixeira,albernaz",0.00,korea
"the kingdom of goryeo became first known to westerners when afonso de albuquerque conquered malacca in  and described the peoples who traded with this part of the world known by the portuguese as the gores despite the coexistence of the spellings corea and korea in th century publications some koreans believe that imperial japan around the time of the japanese occupation intentionally standardized the spelling on korea making japan appear first alphabetically
",kingdom goryeo known westerners afonso de albuquerque conquered malacca described peoples traded world known portuguese gores despite coexistence spellings corea korea th century publications koreans believe imperial japan time japanese occupation intentionally standardized spelling korea making japan appear alphabetically,7.11,"kingdom,goryeo,known,westerners,afonso,de,albuquerque,conquered,malacca,described,peoples,traded,world,known,portuguese,gores,despite,coexistence,spellings,corea,korea,th,century,publications,koreans,believe,imperial,japan,time,japanese,occupation,intentionally,standardized,spelling,korea,making,japan,appear,alphabetically",0.00,korea
"after goryeo was replaced by joseon in  joseon became the official name for the entire territory though it was not universally accepted the new official name has its origin in the ancient kingdom of gojoseon  in  the joseon dynasty changed the official name of the country from joseon to daehan jeguk  the name daehan  derives from samhan  referring to the three kingdoms of korea not the ancient confederacies in the southern korean peninsula however the name joseon was still widely used by koreans to refer to their country though it was no longer the official name under japanese rule the two names han and joseon coexisted there were several groups who fought for independence the most notable being the provisional government of the republic of korea 
",goryeo replaced joseon joseon official entire territory universally accepted new official origin ancient kingdom gojoseon joseon dynasty changed official country joseon daehan jeguk daehan derives samhan referring kingdoms korea ancient confederacies southern korean peninsula joseon widely koreans refer country longer official japanese rule names han joseon coexisted groups fought independence notable provisional government republic korea,9.37,"goryeo,replaced,joseon,joseon,official,entire,territory,universally,accepted,new,official,origin,ancient,kingdom,gojoseon,joseon,dynasty,changed,official,country,joseon,daehan,jeguk,daehan,derives,samhan,referring,kingdoms,korea,ancient,confederacies,southern,korean,peninsula,joseon,widely,koreans,refer,country,longer,official,japanese,rule,names,han,joseon,coexisted,groups,fought,independence,notable,provisional,government,republic,korea",0.00,korea
"following the surrender of japan in  the republic of korea  was adopted as the legal english name for the new country however it is not a direct translation of the korean name as a result the korean name daehan minguk is sometimes used by south koreans as a metonym to refer to the korean ethnicity  as a whole rather than just the south korean state conversely the official name of north korea in english the democratic peoples republic of korea is a direct translation of the korean name
",following surrender japan republic korea adopted legal english new country direct translation korean result korean daehan minguk south koreans metonym refer korean ethnicity south korean state conversely official north korea english democratic peoples republic korea direct translation korean,10.20,"following,surrender,japan,republic,korea,adopted,legal,english,new,country,direct,translation,korean,result,korean,daehan,minguk,south,koreans,metonym,refer,korean,ethnicity,south,korean,state,conversely,official,north,korea,english,democratic,peoples,republic,korea,direct,translation,korean",0.00,korea
"since the government only controlled the southern part of the korean peninsula the informal term south korea was coined becoming increasingly common in the western world while south koreans use han  to refer to both koreas collectively north koreans and ethnic koreans living in china and japan use the term joseon instead
",government controlled southern korean peninsula informal term south korea coined increasingly common western world south koreans use han refer koreas collectively north koreans ethnic koreans living china japan use term joseon instead,6.19,"government,controlled,southern,korean,peninsula,informal,term,south,korea,coined,increasingly,common,western,world,south,koreans,use,han,refer,koreas,collectively,north,koreans,ethnic,koreans,living,china,japan,use,term,joseon,instead",0.00,korea
"the korean peninsula was inhabited as early as the lower paleolithic period the history of korea begins with the founding of joseon  in  bce by dangun according to koreas foundation mythology gojoseon was noted in chinese records in the early th century gojoseon expanded until it controlled the northern korean peninsula and parts of manchuria gija joseon was purportedly founded in the th century bce but its existence and role have been controversial in the modern era in  bce the han dynasty defeated wiman joseon and installed four commanderies in the northern korean peninsula three of the commanderies fell or retreated westward within a few decades as lelang commandery was destroyed and rebuilt around this time the place gradually moved toward liaodong thus its force was diminished and it only served as a trade center until it was conquered by goguryeo in 
",korean peninsula inhabited early lower paleolithic period history korea begins founding joseon bce dangun according koreas foundation mythology gojoseon noted chinese records early th century gojoseon expanded controlled northern korean peninsula parts manchuria gija joseon purportedly founded th century bce existence role controversial modern era bce han dynasty defeated wiman joseon installed commanderies northern korean peninsula commanderies fell retreated westward decades lelang commandery destroyed rebuilt time place gradually moved liaodong thusits force diminished andit served trade center conquered goguryeo,7.48,"korean,peninsula,inhabited,early,lower,paleolithic,period,history,korea,begins,founding,joseon,bce,dangun,according,koreas,foundation,mythology,gojoseon,noted,chinese,records,early,th,century,gojoseon,expanded,controlled,northern,korean,peninsula,parts,manchuria,gija,joseon,purportedly,founded,th,century,bce,existence,role,controversial,modern,era,bce,han,dynasty,defeated,wiman,joseon,installed,commanderies,northern,korean,peninsula,commanderies,fell,retreated,westward,decades,lelang,commandery,destroyed,rebuilt,time,place,gradually,moved,liaodong,thusits,force,diminished,andit,served,trade,center,conquered,goguryeo",0.00,korea
"during the period known as the protothree kingdoms of korea the states of buyeo okjeo dongye and samhan occupied the whole korean peninsula and southern manchuria from them goguryeo baekje and silla emerged to control the peninsula as the three kingdoms of korea goguryeo the largest and most powerful among them was a highly militaristic state and competed with various chinese dynasties during its  years of history goguryeo experienced a golden age under gwanggaeto the great and his son jangsu who both subdued baekje and silla during their times achieving a brief unification of the three kingdoms of korea and becoming the most dominant power on the korean peninsula in addition to contesting for control of the korean peninsula goguryeo had many military conflicts with various chinese dynasties most notably the goguryeosui war in which goguryeo defeated a huge force said to number over a million men baekje was a great maritime power its nautical skill which made it the phoenicia of east asia was instrumental in the dissemination of buddhism throughout east asia and continental culture to japan baekje was once a great military power on the korean peninsula especially during the time of geunchogo but was critically defeated by gwanggaeto the great and declinedcitation needed silla was the smallest and weakest of the three but it used cunning diplomatic means to make opportunistic pacts and alliances with the more powerful korean kingdoms and eventually tang china to its great advantage
",period known protothree kingdoms korea states buyeo okjeo dongye samhan occupied korean peninsula southern manchuria goguryeo baekje silla emerged control peninsula kingdoms korea goguryeo largest powerful highly militaristic state competed chinese dynasties years history goguryeo experienced golden age gwanggaeto great son jangsu subdued baekje silla times achieving brief unification kingdoms korea dominant power korean peninsula addition contesting control korean peninsula goguryeo military conflicts chinese dynasties notably goguryeosui war goguryeo defeated huge force said number million men baekje great maritime power nautical skill phoenicia east asia instrumental dissemination buddhism east asia continental culture japan baekje great military power korean peninsula especially time geunchogo critically defeated gwanggaeto great declinedcitation needed silla smallest weakest cunning diplomatic means opportunistic pacts alliances powerful korean kingdoms eventually tang china great advantage,7.77,"period,known,protothree,kingdoms,korea,states,buyeo,okjeo,dongye,samhan,occupied,korean,peninsula,southern,manchuria,goguryeo,baekje,silla,emerged,control,peninsula,kingdoms,korea,goguryeo,largest,powerful,highly,militaristic,state,competed,chinese,dynasties,years,history,goguryeo,experienced,golden,age,gwanggaeto,great,son,jangsu,subdued,baekje,silla,times,achieving,brief,unification,kingdoms,korea,dominant,power,korean,peninsula,addition,contesting,control,korean,peninsula,goguryeo,military,conflicts,chinese,dynasties,notably,goguryeosui,war,goguryeo,defeated,huge,force,said,number,million,men,baekje,great,maritime,power,nautical,skill,phoenicia,east,asia,instrumental,dissemination,buddhism,east,asia,continental,culture,japan,baekje,great,military,power,korean,peninsula,especially,time,geunchogo,critically,defeated,gwanggaeto,great,declinedcitation,needed,silla,smallest,weakest,cunning,diplomatic,means,opportunistic,pacts,alliances,powerful,korean,kingdoms,eventually,tang,china,great,advantage",0.00,korea
