Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"south sudan  officially the republic of south sudan  is a landlocked country in east africa it is bordered by ethiopia sudan the central african republic the democratic republic of the congo uganda and kenya its population was estimated at  in  juba is the capital and largest city
",south sudan officially republic south sudan landlocked country east africa bordered ethiopia sudan central african republic democratic republic congo uganda kenya population estimated juba capital largest city,7.09,"south,sudan,officially,republic,south,sudan,landlocked,country,east,africa,bordered,ethiopia,sudan,central,african,republic,democratic,republic,congo,uganda,kenya,population,estimated,juba,capital,largest,city",0.00,sudan
"it gained independence from sudan on  july  making it the most recent sovereign state or country with widespread recognition as of  it includes the vast swamp region of the sudd formed by the white nile and known locally as the bahr al jabal meaning mountain river sudan was occupied by egypt under the muhammad ali dynasty and was governed as an anglo egyptian condominium until sudanese independence in  following the first sudanese civil war the southern sudan autonomous region was formed in  and lasted until  a second sudanese civil war soon broke out in  and ended in  with the comprehensive peace agreement later that year southern autonomy was restored when an autonomous government of southern sudan was formed south sudan became an independent state on  july  following  support for independence in a january  referendum it has suffered ethnic violence and endured a civil war characterized by rampant human rights abuses including various ethnic massacres and killings of journalists by various parties to the conflict from december  until february  when competing combat leaders salva kiir mayardit  and riek machar struck a unity deal and formed a coalition government paving the way for refugees to return home
",gained independence sudan july making recent sovereign state country widespread recognition includes vast swamp region sudd formed white nile known locally bahr al jabal meaning mountain river sudan occupied egypt muhammad ali dynasty governed anglo egyptian condominium sudanese independence following sudanese civil war southern sudan autonomous region formed lasted second sudanese civil war soon broke ended comprehensive peace agreement later year southern autonomy restored autonomous government southern sudan formed south sudan independent state july following support independence january referendum suffered ethnic violence endured civil war characterized rampant human rights abuses including ethnic massacres killings journalists parties conflict december february competing combat leaders salva kiir mayardit riek machar struck unity deal formed coalition government paving way refugees return home,6.28,"gained,independence,sudan,july,making,recent,sovereign,state,country,widespread,recognition,includes,vast,swamp,region,sudd,formed,white,nile,known,locally,bahr,al,jabal,meaning,mountain,river,sudan,occupied,egypt,muhammad,ali,dynasty,governed,anglo,egyptian,condominium,sudanese,independence,following,sudanese,civil,war,southern,sudan,autonomous,region,formed,lasted,second,sudanese,civil,war,soon,broke,ended,comprehensive,peace,agreement,later,year,southern,autonomy,restored,autonomous,government,southern,sudan,formed,south,sudan,independent,state,july,following,support,independence,january,referendum,suffered,ethnic,violence,endured,civil,war,characterized,rampant,human,rights,abuses,including,ethnic,massacres,killings,journalists,parties,conflict,december,february,competing,combat,leaders,salva,kiir,mayardit,riek,machar,struck,unity,deal,formed,coalition,government,paving,way,refugees,return,home",0.00,sudan
"south sudan is a developing country ranking st  on the human development index the south sudanese population is composed mostly of nilotic peoples and it is demographically among the youngest nations in the world with roughly half under  years old the majority of inhabitants adhere to christianity or various indigenous faiths the country is a member of the united nations the african union the east african community and the intergovernmental authority on development
",south sudan developing country ranking st human development index south sudanese population composed nilotic peoples demographically youngest nations world roughly half years old majority inhabitants adhere christianity indigenous faiths country member united nations african union east african community intergovernmental authority development,6.81,"south,sudan,developing,country,ranking,st,human,development,index,south,sudanese,population,composed,nilotic,peoples,demographically,youngest,nations,world,roughly,half,years,old,majority,inhabitants,adhere,christianity,indigenous,faiths,country,member,united,nations,african,union,east,african,community,intergovernmental,authority,development",0.00,sudan
"the name sudan is a name given to a geographical region to the south of the sahara stretching from western africa to eastern central africa the name derives from the arabic bild as sdn  or the land of the blacks the term was used by arab traders and travelers in the region to refer to the various indigenous black african cultures and societies that they encountered
",sudan given geographical region south sahara stretching western africa eastern central africa derives arabic bild sdn land blacks term arab traders travelers region refer indigenous black african cultures societies encountered,9.78,"sudan,given,geographical,region,south,sahara,stretching,western,africa,eastern,central,africa,derives,arabic,bild,sdn,land,blacks,term,arab,traders,travelers,region,refer,indigenous,black,african,cultures,societies,encountered",0.00,sudan
"the nilotic people of south sudanthe dinka anyuak bari acholi nuer shilluk kaligi  and othersfirst entered south sudan sometime before the tenth century coinciding with the fall of medieval nubia from the th to the th century tribal migrations largely from the area of bahr el ghazal brought the anyuak dinka nuer and shilluk to their modern locations in bahr el ghazal and the upper nile region while the acholi and bari settled in equatoria the zande mundu avukaya and baka who entered south sudan in the th century established the regions largest state of equatoria region
",nilotic people south sudanthe dinka anyuak bari acholi nuer shilluk kaligi othersfirst entered south sudan tenth century coinciding fall medieval nubia th th century tribal migrations largely area bahr el ghazal brought anyuak dinka nuer shilluk modern locations bahr el ghazal upper nile region acholi bari settled equatoria zande mundu avukaya baka entered south sudan th century established regions largest state equatoria region,5.90,"nilotic,people,south,sudanthe,dinka,anyuak,bari,acholi,nuer,shilluk,kaligi,othersfirst,entered,south,sudan,tenth,century,coinciding,fall,medieval,nubia,th,th,century,tribal,migrations,largely,area,bahr,el,ghazal,brought,anyuak,dinka,nuer,shilluk,modern,locations,bahr,el,ghazal,upper,nile,region,acholi,bari,settled,equatoria,zande,mundu,avukaya,baka,entered,south,sudan,th,century,established,regions,largest,state,equatoria,region",0.00,sudan
"british colonial policy in sudan had a long history of emphasizing the development of the arab north and largely ignoring the black african south which lacked schools hospitals roads bridges and other basic infrastructure after sudans first independent elections in  the continued neglect of the southern region by the khartoum government led to uprisings revolts and the longest civil war on the continent people affected by the violence included the dinka nuer shilluk anyuak murle bari mundari baka balanda bviri  boya didinga jiye kaligi kuku lotuka nilotic toposa and zande
",british colonial policy sudan long history emphasizing development arab north largely ignoring black african south lacked schools hospitals roads bridges basic infrastructure sudans independent elections continued neglect southern region khartoum government led uprisings revolts longest civil war continent people affected violence included dinka nuer shilluk anyuak murle bari mundari baka balanda bviri boya didinga jiye kaligi kuku lotuka nilotic toposa zande,5.01,"british,colonial,policy,sudan,long,history,emphasizing,development,arab,north,largely,ignoring,black,african,south,lacked,schools,hospitals,roads,bridges,basic,infrastructure,sudans,independent,elections,continued,neglect,southern,region,khartoum,government,led,uprisings,revolts,longest,civil,war,continent,people,affected,violence,included,dinka,nuer,shilluk,anyuak,murle,bari,mundari,baka,balanda,bviri,boya,didinga,jiye,kaligi,kuku,lotuka,nilotic,toposa,zande",0.00,sudan
"the mahdist revolt of the s destabilized the nascent province and equatoria ceased to exist as an egyptian outpost in  important settlements in equatoria included lado gondokoro dufile and wadelai european colonial maneuverings in the region came to a head in  when the fashoda incident occurred at present day kodok britain and france almost went to war over the region in  british hopes of joining south sudan with uganda while leaving western equatoria as part of the belgian congo were dashed by the rajaf conference to unify north and south sudancitation needed
",mahdist revolt destabilized nascent province equatoria ceased exist egyptian outpost important settlements equatoria included lado gondokoro dufile wadelai european colonial maneuverings region came head fashoda incident occurred present day kodok britain france went war region british hopes joining south sudan uganda leaving western equatoria belgian congo dashed rajaf conference unify north south sudancitation needed,6.70,"mahdist,revolt,destabilized,nascent,province,equatoria,ceased,exist,egyptian,outpost,important,settlements,equatoria,included,lado,gondokoro,dufile,wadelai,european,colonial,maneuverings,region,came,head,fashoda,incident,occurred,present,day,kodok,britain,france,went,war,region,british,hopes,joining,south,sudan,uganda,leaving,western,equatoria,belgian,congo,dashed,rajaf,conference,unify,north,south,sudancitation,needed",0.00,sudan
"south sudan has an estimated population of  million but given the lack of a census in several decades this estimate may be severely distorted the economy is predominantly rural and relies chiefly on subsistence farming around  the economy began a transition from this rural dominance and urban areas within south sudan have seen extensive development
",south sudan estimated population million given lack census decades estimate severely distorted economy predominantly rural relies chiefly subsistence farming economy began transition rural dominance urban areas south sudan seen extensive development,6.84,"south,sudan,estimated,population,million,given,lack,census,decades,estimate,severely,distorted,economy,predominantly,rural,relies,chiefly,subsistence,farming,economy,began,transition,rural,dominance,urban,areas,south,sudan,seen,extensive,development",0.00,sudan
"the region has been negatively affected by two civil wars since sudanese independence from  to  the sudanese government fought the anyanya rebel army  during the first sudanese civil war followed by the sudan peoples liberation armymovement  in the second sudanese civil war for over twenty years from  to  as a result the country suffered serious neglect a lack of infrastructure development and major destruction and displacement more than  million people have been killed and millions more have become refugees both within and outside the country
",region negatively affected civil wars sudanese independence sudanese government fought anyanya rebel army sudanese civil war followed sudan peoples liberation armymovement second sudanese civil war years result country suffered neglect lack infrastructure development major destruction displacement million people killed millions refugees outside country,7.64,"region,negatively,affected,civil,wars,sudanese,independence,sudanese,government,fought,anyanya,rebel,army,sudanese,civil,war,followed,sudan,peoples,liberation,armymovement,second,sudanese,civil,war,years,result,country,suffered,neglect,lack,infrastructure,development,major,destruction,displacement,million,people,killed,millions,refugees,outside,country",0.00,sudan
"between  and  january  as a consequence of the comprehensive peace agreement a referendum was held to determine whether south sudan should become an independent country and separate from sudan and  of those who took part voted for independence on  january  members of a steering committee on post independence governing told reporters that upon independence the land would be named the republic of south sudan out of familiarity and convenience other names that had been considered were azania nile republic kush republic and even juwama a portmanteau for juba wau and malakal three major cities south sudan formally became independent from sudan on  july although certain disputes still remained including the division of oil revenues as  of all the former sudans oil reserves are in south sudan the region of abyei still remains disputed and a separate referendum will be held in abyei on whether they want to join sudan or south sudan the south kordofan conflict broke out in june  between the army of sudan and the spla over the nuba mountains
",january consequence comprehensive peace agreement referendum held determine south sudan independent country separate sudan took voted independence january members steering committee post independence governing told reporters independence land named republic south sudan familiarity convenience names considered azania nile republic kush republic juwama portmanteau juba wau malakal major cities south sudan formally independent sudan july certain disputes remained including division oil revenues sudans oil reserves south sudan region abyei remains disputed separate referendum held abyei want join sudan south sudan south kordofan conflict broke june army sudan spla nuba mountains,7.92,"january,consequence,comprehensive,peace,agreement,referendum,held,determine,south,sudan,independent,country,separate,sudan,took,voted,independence,january,members,steering,committee,post,independence,governing,told,reporters,independence,land,named,republic,south,sudan,familiarity,convenience,names,considered,azania,nile,republic,kush,republic,juwama,portmanteau,juba,wau,malakal,major,cities,south,sudan,formally,independent,sudan,july,certain,disputes,remained,including,division,oil,revenues,sudans,oil,reserves,south,sudan,region,abyei,remains,disputed,separate,referendum,held,abyei,want,join,sudan,south,sudan,south,kordofan,conflict,broke,june,army,sudan,spla,nuba,mountains",0.00,sudan
"on  july  south sudan became the th independent country in africa  and since  july  south sudan is the rd member of the united nations on  july  south sudan became the th country to join the african union in september  google maps recognized south sudan as an independent country after a massive crowdsourcing mapping initiative was launched
",july south sudan th independent country africa july south sudan rd member united nations july south sudan th country join african union september google maps recognized south sudan independent country massive crowdsourcing mapping initiative launched,6.14,"july,south,sudan,th,independent,country,africa,july,south,sudan,rd,member,united,nations,july,south,sudan,th,country,join,african,union,september,google,maps,recognized,south,sudan,independent,country,massive,crowdsourcing,mapping,initiative,launched",0.00,sudan
"in  it was reported that south sudan was at war with at least seven armed groups in  of its  states with tens of thousands displaced the fighters accuse the government of plotting to stay in power indefinitely not fairly representing and supporting all tribal groups while neglecting development in rural areas joseph konys lords resistance army  also operates in a wide area that includes south sudan
",reported south sudan war seven armed groups states tens thousands displaced fighters accuse government plotting stay power indefinitely fairly representing supporting tribal groups neglecting development rural areas joseph konys lords resistance army operates wide area includes south sudan,6.97,"reported,south,sudan,war,seven,armed,groups,states,tens,thousands,displaced,fighters,accuse,government,plotting,stay,power,indefinitely,fairly,representing,supporting,tribal,groups,neglecting,development,rural,areas,joseph,konys,lords,resistance,army,operates,wide,area,includes,south,sudan",0.00,sudan
"in march  south sudanese forces seized the heglig oil fields in lands claimed by both sudan and south sudan in the province of south kordofan after conflict with sudanese forces in the south sudanese state of unity south sudan withdrew on  march and the sudanese army entered heglig two days later
",march south sudanese forces seized heglig oil fields lands claimed sudan south sudan province south kordofan conflict sudanese forces south sudanese state unity south sudan withdrew march sudanese army entered heglig days later,6.04,"march,south,sudanese,forces,seized,heglig,oil,fields,lands,claimed,sudan,south,sudan,province,south,kordofan,conflict,sudanese,forces,south,sudanese,state,unity,south,sudan,withdrew,march,sudanese,army,entered,heglig,days,later",0.00,sudan
"south sudan and democratic republic of congo are the newest members of the east african community south sudan acceded to the treaty of the east africa community on  april  and become a full member on  august 
",south sudan democratic republic congo newest members east african community south sudan acceded treaty east africa community april member august,7.66,"south,sudan,democratic,republic,congo,newest,members,east,african,community,south,sudan,acceded,treaty,east,africa,community,april,member,august",0.00,sudan
