Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"southeast asia also spelled south east asia and south east asia and also known as southeastern asia south eastern asia or sea is the geographical south eastern region of asia consisting of the regions that are situated south of mainland china east of the indian subcontinent and north west of mainland australia southeast asia is bordered to the north by east asia to the west by south asia and the bay of bengal to the east by oceania and the pacific ocean and to the south by australia and the indian ocean apart from the british indian ocean territory and two out of  atolls of maldives in south asia maritime southeast asia is the only other subregion of asia that lies partly within the southern hemisphere mainland southeast asia is completely in the northern hemisphere east timor and the southern portion of indonesia are the only parts that are south of the equator
",southeast asia spelled south east asia south east asia known southeastern asia south eastern asia sea geographical south eastern region asia consisting regions situated south mainland china east indian subcontinent north west mainland australia southeast asia bordered north east asia west south asia bay bengal east oceania pacific ocean south australia indian ocean apart british indian ocean territory atolls maldives south asia maritime southeast asia subregion asia lies partly southern hemisphere mainland southeast asia completely northern hemisphere east timor southern portion indonesia parts south equator,7.77,"southeast,asia,spelled,south,east,asia,south,east,asia,known,southeastern,asia,south,eastern,asia,sea,geographical,south,eastern,region,asia,consisting,regions,situated,south,mainland,china,east,indian,subcontinent,north,west,mainland,australia,southeast,asia,bordered,north,east,asia,west,south,asia,bay,bengal,east,oceania,pacific,ocean,south,australia,indian,ocean,apart,british,indian,ocean,territory,atolls,maldives,south,asia,maritime,southeast,asia,subregion,asia,lies,partly,southern,hemisphere,mainland,southeast,asia,completely,northern,hemisphere,east,timor,southern,portion,indonesia,parts,south,equator",0.00,asia
"it covers about  km  which is  of eurasia and  of earths total land area its total population is more than  million about  of the worlds population it is the third most populous geographical region in asia after south asia and east asia the region is culturally and ethnically diverse with hundreds of languages spoken by different ethnic groups ten countries in the region are members of the association of southeast asian nations  a regional organisation established for economic political military educational and cultural integration amongst its members
",covers km eurasia earths total land area total population million worlds population populous geographical region asia south asia east asia region culturally ethnically diverse hundreds languages spoken different ethnic groups countries region members association southeast asian nations regional organisation established economic political military educational cultural integration members,7.17,"covers,km,eurasia,earths,total,land,area,total,population,million,worlds,population,populous,geographical,region,asia,south,asia,east,asia,region,culturally,ethnically,diverse,hundreds,languages,spoken,different,ethnic,groups,countries,region,members,association,southeast,asian,nations,regional,organisation,established,economic,political,military,educational,cultural,integration,members",0.00,asia
"southeast asia is one of the most culturally diverse regions of the world there are many different languages and ethnicities in the region historically southeast asia was significantly influenced by indian chinese muslim and colonial cultures which became core components of the regions cultural and political institutions all modern southeast asian countries with the exception of thailand were colonized and ruled by european powers the spanish ruled the phillipines for over  years until  much of southeast asia was also occupied as part of the japanese empire during world war ii in the aftermath the region was decolonised
",southeast asia culturally diverse regions world different languages ethnicities region historically southeast asia significantly influenced indian chinese muslim colonial cultures core components regions cultural political institutions modern southeast asian countries exception thailand colonized ruled european powers spanish ruled phillipines years southeast asia occupied japanese empire world war ii aftermath region decolonised,7.32,"southeast,asia,culturally,diverse,regions,world,different,languages,ethnicities,region,historically,southeast,asia,significantly,influenced,indian,chinese,muslim,colonial,cultures,core,components,regions,cultural,political,institutions,modern,southeast,asian,countries,exception,thailand,colonized,ruled,european,powers,spanish,ruled,phillipines,years,southeast,asia,occupied,japanese,empire,world,war,ii,aftermath,region,decolonised",0.00,asia
"today southeast asia is governed by independent states vietnam and laos are some of the only countries in the world that continue to follow the socialist and communist model
",today southeast asia governed independent states vietnam laos countries world continue follow socialist communist model,8.05,"today,southeast,asia,governed,independent,states,vietnam,laos,countries,world,continue,follow,socialist,communist,model",0.00,asia
"the region together with part of south asia was well known by europeans as the east indies or simply the indies until the th century chinese sources referred the region as nanyang  which literally means the southern ocean the mainland section of southeast asia was referred to as indochina by european geographers due to its location between china and the indian subcontinent and its having cultural influences from both neighbouring regions in the th century however the term became more restricted to territories of the former french indochina  the maritime section of southeast asia is also known as the malay archipelago a term derived from the european concept of a malay race another term for maritime southeast asia is insulindia  used to describe the region between indochina and australasia
",region south asia known europeans east indies simply indies th century chinese sources referred region nanyang literally means southern ocean mainland section southeast asia referred indochina european geographers location china indian subcontinent cultural influences neighbouring regions th century term restricted territories french indochina maritime section southeast asia known malay archipelago term derived european concept malay race term maritime southeast asia insulindia describe region indochina australasia,8.00,"region,south,asia,known,europeans,east,indies,simply,indies,th,century,chinese,sources,referred,region,nanyang,literally,means,southern,ocean,mainland,section,southeast,asia,referred,indochina,european,geographers,location,china,indian,subcontinent,cultural,influences,neighbouring,regions,th,century,term,restricted,territories,french,indochina,maritime,section,southeast,asia,known,malay,archipelago,term,derived,european,concept,malay,race,term,maritime,southeast,asia,insulindia,describe,region,indochina,australasia",0.00,asia
"the term southeast asia was first used in  by american pastor howard malcolm in his book travels in south eastern asia malcolm only included the mainland section and excluded the maritime section in his definition of southeast asia the term was officially used in the midst of world war ii by the allies through the formation of south east asia command  in  seac popularised the use of the term southeast asia although what constituted southeast asia was not fixed for example seac excluded the philippines and a large part of indonesia while including ceylon however by the late s a roughly standard usage of the term southeast asia and the territories it encompasses had emerged although from a cultural or linguistic perspective the definitions of southeast asia may vary the most common definitions nowadays include the area represented by the countries  listed below
",term southeast asia american pastor howard malcolm book travels south eastern asia malcolm included mainland section excluded maritime section definition southeast asia term officially midst world war ii allies formation south east asia command seac popularised use term southeast asia constituted southeast asia fixed example seac excluded philippines large indonesia including ceylon late roughly standard usage term southeast asia territories encompasses emerged cultural linguistic perspective definitions southeast asia vary common definitions nowadays include area represented countries listed,7.57,"term,southeast,asia,american,pastor,howard,malcolm,book,travels,south,eastern,asia,malcolm,included,mainland,section,excluded,maritime,section,definition,southeast,asia,term,officially,midst,world,war,ii,allies,formation,south,east,asia,command,seac,popularised,use,term,southeast,asia,constituted,southeast,asia,fixed,example,seac,excluded,philippines,large,indonesia,including,ceylon,late,roughly,standard,usage,term,southeast,asia,territories,encompasses,emerged,cultural,linguistic,perspective,definitions,southeast,asia,vary,common,definitions,nowadays,include,area,represented,countries,listed",0.00,asia
"ten of the eleven states of southeast asia are members of the association of southeast asian nations  while east timor is an observer state papua new guinea has stated that it might join asean and is currently an observer sovereignty issues exist over some islands in the south china sea
",states southeast asia members association southeast asian nations east timor observer state papua new guinea stated join asean currently observer sovereignty issues exist islands south china sea,7.99,"states,southeast,asia,members,association,southeast,asian,nations,east,timor,observer,state,papua,new,guinea,stated,join,asean,currently,observer,sovereignty,issues,exist,islands,south,china,sea",0.00,asia
"southeast asia is geographically divided into two subregions namely mainland southeast asia  and maritime southeast asia
",southeast asia geographically divided subregions mainland southeast asia maritime southeast asia,4.13,"southeast,asia,geographically,divided,subregions,mainland,southeast,asia,maritime,southeast,asia",0.00,asia
"mainland southeast asia includes
",mainland southeast asia includes,0.00,"mainland,southeast,asia,includes",0.00,asia
"maritime southeast asia includes
",maritime southeast asia includes,0.00,"maritime,southeast,asia,includes",0.00,asia
"while peninsular malaysia is geographically situated in mainland southeast asia it shares many similar cultural and ecological affinities with surrounding islands thus it is often grouped with them as part of maritime southeast asia geographically the andaman and nicobar islands of india is also considered a part of maritime southeast asia eastern bangladesh and northeast india have strong cultural ties with mainland southeast asia and are sometimes considered transregional areas between south asia and southeast asia to the east hong kong is sometimes regarded as part of southeast asia similarly christmas island and the cocos  islands have strong cultural ties with maritime southeast asia and are sometimes considered transregional areas between southeast asia and australiaoceania on some occasions sri lanka has been considered a part of southeast asia because of its cultural and religious ties to mainland southeast asia the eastern half of the island of new guinea which is not a part of indonesia namely papua new guinea is sometimes included as a part of maritime southeast asia and so are guam the northern mariana islands and palau which were all parts of the spanish east indies with strong cultural and linguistic ties to the region specifically the philippines
",peninsular malaysia geographically situated mainland southeast asia shares similar cultural ecological affinities surrounding islands grouped maritime southeast asia geographically andaman nicobar islands india considered maritime southeast asia eastern bangladesh northeast india strong cultural ties mainland southeast asia considered transregional areas south asia southeast asia east hong kong regarded southeast asia similarly christmas island cocos islands strong cultural ties maritime southeast asia considered transregional areas southeast asia australiaoceania occasions sri lanka considered southeast asia cultural religious ties mainland southeast asia eastern half island new guinea indonesia papua new guinea included maritime southeast asia guam northern mariana islands palau parts spanish east indies strong cultural linguistic ties region specifically philippines,7.18,"peninsular,malaysia,geographically,situated,mainland,southeast,asia,shares,similar,cultural,ecological,affinities,surrounding,islands,grouped,maritime,southeast,asia,geographically,andaman,nicobar,islands,india,considered,maritime,southeast,asia,eastern,bangladesh,northeast,india,strong,cultural,ties,mainland,southeast,asia,considered,transregional,areas,south,asia,southeast,asia,east,hong,kong,regarded,southeast,asia,similarly,christmas,island,cocos,islands,strong,cultural,ties,maritime,southeast,asia,considered,transregional,areas,southeast,asia,australiaoceania,occasions,sri,lanka,considered,southeast,asia,cultural,religious,ties,mainland,southeast,asia,eastern,half,island,new,guinea,indonesia,papua,new,guinea,included,maritime,southeast,asia,guam,northern,mariana,islands,palau,parts,spanish,east,indies,strong,cultural,linguistic,ties,region,specifically,philippines",0.00,asia
"east timor and the eastern half of indonesia  are considered to be geographically associated with oceania due to their distinctive faunal features geologically the island of new guinea and its surrounding islands are considered as parts of the australian continent connected via the sahul shelf both christmas island and the cocos  islands are located on the australian plate south of the sunda trench even though they are geographically closer to maritime southeast asia than mainland australia these two australian external territories are not geologically associated with asia as none of them is actually on the sunda plate the united nations geoscheme has classified both island territories as parts of oceania under the australia and new zealand  subregion
",east timor eastern half indonesia considered geographically associated oceania distinctive faunal features geologically island new guinea surrounding islands considered parts australian continent connected sahul shelf christmas island cocos islands located australian plate south sunda trench geographically closer maritime southeast asia mainland australia australian external territories geologically associated asia actually sunda plate united nations geoscheme classified island territories parts oceania australia new zealand subregion,7.09,"east,timor,eastern,half,indonesia,considered,geographically,associated,oceania,distinctive,faunal,features,geologically,island,new,guinea,surrounding,islands,considered,parts,australian,continent,connected,sahul,shelf,christmas,island,cocos,islands,located,australian,plate,south,sunda,trench,geographically,closer,maritime,southeast,asia,mainland,australia,australian,external,territories,geologically,associated,asia,actually,sunda,plate,united,nations,geoscheme,classified,island,territories,parts,oceania,australia,new,zealand,subregion",0.00,asia
"some definitions of southeast asia may include taiwan taiwan has sometimes been included in southeast asia as well as east asia but is not a member of asean likewise a similar argument could be applied to some southern parts of mainland china as well as hong kong and macau may also considered as part of southeast asia as well as east asia but are not members of asean
",definitions southeast asia include taiwan taiwan included southeast asia east asia member asean likewise similar argument applied southern parts mainland china hong kong macau considered southeast asia east asia members asean,10.00,"definitions,southeast,asia,include,taiwan,taiwan,included,southeast,asia,east,asia,member,asean,likewise,similar,argument,applied,southern,parts,mainland,china,hong,kong,macau,considered,southeast,asia,east,asia,members,asean",0.00,asia
"ancient remains of hunter gatherers in maritime southeast asia such as one holocene hunter gatherer from south sulawesi had ancestry from both the south eurasian lineage  and the east eurasian lineage  the hunter gatherer individual had approximately  basal east asian ancestry and was positioned in between modern east asians and papuans of oceania the authors concluded that east asian related ancestry expanded from mainland southeast asia into maritime southeast asia much earlier than previously suggested as early as because long before the expansion of austroasiatic and austronesian groups
",ancient remains hunter gatherers maritime southeast asia holocene hunter gatherer south sulawesi ancestry south eurasian lineage east eurasian lineage hunter gatherer individual approximately basal east asian ancestry positioned modern east asians papuans oceania authors concluded east asian related ancestry expanded mainland southeast asia maritime southeast asia earlier previously suggested early long expansion austroasiatic austronesian groups,5.52,"ancient,remains,hunter,gatherers,maritime,southeast,asia,holocene,hunter,gatherer,south,sulawesi,ancestry,south,eurasian,lineage,east,eurasian,lineage,hunter,gatherer,individual,approximately,basal,east,asian,ancestry,positioned,modern,east,asians,papuans,oceania,authors,concluded,east,asian,related,ancestry,expanded,mainland,southeast,asia,maritime,southeast,asia,earlier,previously,suggested,early,long,expansion,austroasiatic,austronesian,groups",0.00,asia
"distinctive basal east asian  ancestry was recently found to have originated in mainland southeast asia at because and expanded through multiple migration waves southwards and northwards respectively geneflow of east eurasian ancestry into maritime southeast asia and oceania could be estimated to because  the pre neolithic south eurasian populations of maritime southeast asia were largely replaced by the expansion of various east eurasian populations beginning about because to because years ago from mainland southeast asia the remainders known as negritos form small minority groups in geographically isolated regions southeast asia was dominated by east asian related ancestry already in because predating the expansion of austroasiatic and austronesian peoples
",distinctive basal east asian ancestry recently found originated mainland southeast asia expanded multiple migration waves southwards northwards respectively geneflow east eurasian ancestry maritime southeast asia oceania estimated pre neolithic south eurasian populations maritime southeast asia largely replaced expansion east eurasian populations beginning years ago mainland southeast asia remainders known negritos form small minority groups geographically isolated regions southeast asia dominated east asian related ancestry predating expansion austroasiatic austronesian peoples,5.07,"distinctive,basal,east,asian,ancestry,recently,found,originated,mainland,southeast,asia,expanded,multiple,migration,waves,southwards,northwards,respectively,geneflow,east,eurasian,ancestry,maritime,southeast,asia,oceania,estimated,pre,neolithic,south,eurasian,populations,maritime,southeast,asia,largely,replaced,expansion,east,eurasian,populations,beginning,years,ago,mainland,southeast,asia,remainders,known,negritos,form,small,minority,groups,geographically,isolated,regions,southeast,asia,dominated,east,asian,related,ancestry,predating,expansion,austroasiatic,austronesian,peoples",0.00,asia
"in the late neolithic the austronesian peoples who form the majority of the modern population in brunei indonesia east timor malaysia and the philippines migrated to southeast asia from taiwan in the first seaborne human migration known as the austronesian expansion they arrived in the northern philippines between  because to  because and rapidly spread further into the northern mariana islands and borneo by  because island melanesia by  because and to the rest of indonesia malaysia southern vietnam and palau by  because they often settled along coastal areas replacing and assimilating the diverse preexisting peoples
",late neolithic austronesian peoples form majority modern population brunei indonesia east timor malaysia philippines migrated southeast asia taiwan seaborne human migration known austronesian expansion arrived northern philippines rapidly spread northern mariana islands borneo island melanesia rest indonesia malaysia southern vietnam palau settled coastal areas replacing assimilating diverse preexisting peoples,7.20,"late,neolithic,austronesian,peoples,form,majority,modern,population,brunei,indonesia,east,timor,malaysia,philippines,migrated,southeast,asia,taiwan,seaborne,human,migration,known,austronesian,expansion,arrived,northern,philippines,rapidly,spread,northern,mariana,islands,borneo,island,melanesia,rest,indonesia,malaysia,southern,vietnam,palau,settled,coastal,areas,replacing,assimilating,diverse,preexisting,peoples",0.00,asia
"the austronesian peoples of southeast asia have been seafarers for thousands of years they spread eastwards to micronesia and polynesia as well as westwards to madagascar becoming the ancestors of modern day malagasy people micronesians melanesians and polynesians passage through the indian ocean aided the colonisation of madagascar as well as commerce between western asia eastern coast of india and chinese southern coast gold from sumatra is thought to have reached as far west as rome pliny the elder wrote in his natural history about chryse and argyre two legendary islands rich in gold and silver located in the indian ocean their vessels such as the vinta were capable to sail across the ocean magellans voyage records how much more manoeuvrable their vessels were as compared to the european ships a slave from the sulu sea was believed to have been used in magellans voyage as a translator
",austronesian peoples southeast asia seafarers thousands years spread eastwards micronesia polynesia westwards madagascar ancestors modern day malagasy people micronesians melanesians polynesians passage indian ocean aided colonisation madagascar commerce western asia eastern coast india chinese southern coast gold sumatra thought reached far west rome pliny elder wrote natural history chryse argyre legendary islands rich gold silver located indian ocean vessels vinta capable sail ocean magellans voyage records manoeuvrable vessels compared european ships slave sulu sea believed magellans voyage translator,7.76,"austronesian,peoples,southeast,asia,seafarers,thousands,years,spread,eastwards,micronesia,polynesia,westwards,madagascar,ancestors,modern,day,malagasy,people,micronesians,melanesians,polynesians,passage,indian,ocean,aided,colonisation,madagascar,commerce,western,asia,eastern,coast,india,chinese,southern,coast,gold,sumatra,thought,reached,far,west,rome,pliny,elder,wrote,natural,history,chryse,argyre,legendary,islands,rich,gold,silver,located,indian,ocean,vessels,vinta,capable,sail,ocean,magellans,voyage,records,manoeuvrable,vessels,compared,european,ships,slave,sulu,sea,believed,magellans,voyage,translator",0.00,asia
"studies presented by the human genome organisation  through genetic studies of the various peoples of asia show empirically that there was a single migration event from africa whereby the early people travelled along the south coast of asia first entered the malay peninsula  years ago the orang asli in particular the semang who show negrito characteristics are the direct descendants of these earliest settlers of southeast asia these early people diversified and travelled slowly northwards to china and the populations of southeast asia show greater genetic diversity than the younger population of china
",studies presented human genome organisation genetic studies peoples asia empirically single migration event africa early people travelled south coast asia entered malay peninsula years ago orang asli particular semang negrito characteristics direct descendants earliest settlers southeast asia early people diversified travelled slowly northwards china populations southeast asia greater genetic diversity younger population china,6.57,"studies,presented,human,genome,organisation,genetic,studies,peoples,asia,empirically,single,migration,event,africa,early,people,travelled,south,coast,asia,entered,malay,peninsula,years,ago,orang,asli,particular,semang,negrito,characteristics,direct,descendants,earliest,settlers,southeast,asia,early,people,diversified,travelled,slowly,northwards,china,populations,southeast,asia,greater,genetic,diversity,younger,population,china",0.00,asia
"solheim and others have shown evidence for a nusantao maritime trading network ranging from vietnam to the rest of the archipelago as early as  because to  ad the bronze age dong son culture flourished in northern vietnam from about  because to  because its influence spread to other parts southeast asia the region entered the iron age era in  because when iron was forged also in northern vietnam still under dong son due to its frequent interactions with neighbouring china
",solheim shown evidence nusantao maritime trading network ranging vietnam rest archipelago early ad bronze age dong son culture flourished northern vietnam influence spread parts southeast asia region entered iron age era iron forged northern vietnam dong son frequent interactions neighbouring china,7.97,"solheim,shown,evidence,nusantao,maritime,trading,network,ranging,vietnam,rest,archipelago,early,ad,bronze,age,dong,son,culture,flourished,northern,vietnam,influence,spread,parts,southeast,asia,region,entered,iron,age,era,iron,forged,northern,vietnam,dong,son,frequent,interactions,neighbouring,china",0.00,asia
"most southeast asian people were originally animist engaged in ancestors nature and spirits worship these belief systems were later supplanted by hinduism and buddhism after the region especially coastal areas came under contact with indian subcontinent during the first century indian brahmins and traders brought hinduism to the region and made contacts with local courts local rulers converted to hinduism or buddhism and adopted indian religious traditions to reinforce their legitimacy elevate ritual status above their fellow chief counterparts and facilitate trade with south asian states they periodically invited indian brahmins into their realms and began a gradual process of indianisation in the region shaivism was the dominant religious tradition of many southern indian hindu kingdoms during the first century it then spread into southeast asia via bay of bengal indochina then malay archipelago leading to thousands of shiva temples on the islands of indonesia as well as cambodia and vietnam co evolving with buddhism in the region theravada buddhism entered the region during the third century via maritime trade routes between the region and sri lanka buddhism later established a strong presence in funan region in the fifth century in present day mainland southeast asia theravada is still the dominant branch of buddhism practised by the thai burmese and cambodian buddhists this branch was fused with the hindu influenced khmer culture mahayana buddhism established presence in maritime southeast asia brought by chinese monks during their transit in the region en route to nalanda it is still the dominant branch of buddhism practised by indonesian and malaysian buddhists
",southeast asian people originally animist engaged ancestors nature spirits worship belief systems later supplanted hinduism buddhism region especially coastal areas came contact indian subcontinent century indian brahmins traders brought hinduism region contacts local courts local rulers converted hinduism buddhism adopted indian religious traditions reinforce legitimacy elevate ritual status fellow chief counterparts facilitate trade south asian states periodically invited indian brahmins realms began gradual process indianisation region shaivism dominant religious tradition southern indian hindu kingdoms century spread southeast asia bay bengal indochina malay archipelago leading thousands shiva temples islands indonesia cambodia vietnam co evolving buddhism region theravada buddhism entered region century maritime trade routes region sri lanka buddhism later established strong presence funan region fifth century present day mainland southeast asia theravada dominant branch buddhism practised thai burmese cambodian buddhists branch fused hindu influenced khmer culture mahayana buddhism established presence maritime southeast asia brought chinese monks transit region en route nalanda dominant branch buddhism practised indonesian malaysian buddhists,5.95,"southeast,asian,people,originally,animist,engaged,ancestors,nature,spirits,worship,belief,systems,later,supplanted,hinduism,buddhism,region,especially,coastal,areas,came,contact,indian,subcontinent,century,indian,brahmins,traders,brought,hinduism,region,contacts,local,courts,local,rulers,converted,hinduism,buddhism,adopted,indian,religious,traditions,reinforce,legitimacy,elevate,ritual,status,fellow,chief,counterparts,facilitate,trade,south,asian,states,periodically,invited,indian,brahmins,realms,began,gradual,process,indianisation,region,shaivism,dominant,religious,tradition,southern,indian,hindu,kingdoms,century,spread,southeast,asia,bay,bengal,indochina,malay,archipelago,leading,thousands,shiva,temples,islands,indonesia,cambodia,vietnam,co,evolving,buddhism,region,theravada,buddhism,entered,region,century,maritime,trade,routes,region,sri,lanka,buddhism,later,established,strong,presence,funan,region,fifth,century,present,day,mainland,southeast,asia,theravada,dominant,branch,buddhism,practised,thai,burmese,cambodian,buddhists,branch,fused,hindu,influenced,khmer,culture,mahayana,buddhism,established,presence,maritime,southeast,asia,brought,chinese,monks,transit,region,en,route,nalanda,dominant,branch,buddhism,practised,indonesian,malaysian,buddhists",0.00,asia
