Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the sovietafghan war was a protracted armed conflict fought in the democratic republic of afghanistan from  to  it saw extensive fighting between the soviet union the dra and allied paramilitary groups against the afghan mujahideen foreign fighters and smaller groups of anti soviet maoists
",sovietafghan war protracted armed conflict fought democratic republic afghanistan saw extensive fighting soviet union dra allied paramilitary groups afghan mujahideen foreign fighters smaller groups anti soviet maoists,5.84,"sovietafghan,war,protracted,armed,conflict,fought,democratic,republic,afghanistan,saw,extensive,fighting,soviet,union,dra,allied,paramilitary,groups,afghan,mujahideen,foreign,fighters,smaller,groups,anti,soviet,maoists",0.00,afghanistan
"the war began after the soviets under the command of leonid brezhnev had militarily intervened in or launched an invasion ofnb  afghanistan to support the local pro soviet government that had been installed during operation storm  combat took place throughout the s mostly in the afghan countryside
",war began soviets command leonid brezhnev militarily intervened launched invasion ofnb afghanistan support local pro soviet government installed operation storm combat took place afghan countryside,7.36,"war,began,soviets,command,leonid,brezhnev,militarily,intervened,launched,invasion,ofnb,afghanistan,support,local,pro,soviet,government,installed,operation,storm,combat,took,place,afghan,countryside",0.00,afghanistan
"while the mujahideen were backed by various countries and organizations the majority of their support came from pakistan the united states  the united kingdom china iran and the arab monarchies of the persian gulf the american pro mujahideen stance coincided with a sharp increase in bilateral hostilities with the soviets during the cold war the conflict led to the deaths of between  and  afghans while millions more fled from the country as refugees most externally displaced afghans sought refuge in pakistan and in iran approximately  to  of afghanistans erstwhile population of  million people  is estimated to have been killed over the course of the conflict the sovietafghan war caused grave destruction throughout afghanistan and has also been cited by scholars as a significant factor that contributed to the dissolution of the soviet union formally ending the cold war
",mujahideen backed countries organizations majority support came pakistan united states united kingdom china iran arab monarchies persian gulf american pro mujahideen stance coincided sharp increase bilateral hostilities soviets cold war conflict led deaths afghans millions fled country refugees externally displaced afghans sought refuge pakistan iran approximately afghanistans erstwhile population million people estimated killed course conflict sovietafghan war caused grave destruction afghanistan cited scholars significant factor contributed dissolution soviet union formally ending cold war,7.39,"mujahideen,backed,countries,organizations,majority,support,came,pakistan,united,states,united,kingdom,china,iran,arab,monarchies,persian,gulf,american,pro,mujahideen,stance,coincided,sharp,increase,bilateral,hostilities,soviets,cold,war,conflict,led,deaths,afghans,millions,fled,country,refugees,externally,displaced,afghans,sought,refuge,pakistan,iran,approximately,afghanistans,erstwhile,population,million,people,estimated,killed,course,conflict,sovietafghan,war,caused,grave,destruction,afghanistan,cited,scholars,significant,factor,contributed,dissolution,soviet,union,formally,ending,cold,war",0.00,afghanistan
"the foundations of the conflict were laid by the saur revolution in  which saw the nationwide seizure of power by the peoples democratic party of afghanistan  after executing then president mohammed daoud khan and purging his supporters the pdpa initiated a series of radical land reforms and modernization efforts throughout afghanistan these policies were deeply unpopular among much of the conservative rural population and established power structures who saw the pdpas socialism as an ideologically disruptive force against their islamic conservatism widespread dismay over the new policies was exacerbated by the repressive nature of the pdpas democratic republic government by april  large parts of afghanistan had erupted in open rebellion
",foundations conflict laid saur revolution saw nationwide seizure power peoples democratic party afghanistan executing president mohammed daoud khan purging supporters pdpa initiated series radical land reforms modernization efforts afghanistan policies deeply unpopular conservative rural population established power structures saw pdpas socialism ideologically disruptive force islamic conservatism widespread dismay new policies exacerbated repressive nature pdpas democratic republic government april large parts afghanistan erupted open rebellion,6.15,"foundations,conflict,laid,saur,revolution,saw,nationwide,seizure,power,peoples,democratic,party,afghanistan,executing,president,mohammed,daoud,khan,purging,supporters,pdpa,initiated,series,radical,land,reforms,modernization,efforts,afghanistan,policies,deeply,unpopular,conservative,rural,population,established,power,structures,saw,pdpas,socialism,ideologically,disruptive,force,islamic,conservatism,widespread,dismay,new,policies,exacerbated,repressive,nature,pdpas,democratic,republic,government,april,large,parts,afghanistan,erupted,open,rebellion",0.00,afghanistan
"in addition to civil unrest across the country the pdpa was experiencing deep internal turmoil due to factional rivalries between the khalqists and the parchamites in september  pdpa general secretary nur muhammad taraki was assassinated on orders from the pdpas second in command hafizullah amin amins supersession of taraki put the khalqists at an advantage against the parchamites while greatly souring afghanistans relationship with the soviet union with fears rising that amin was planning to ally afghanistan with the united states soviet leader leonid brezhnev led his government to deploy the th army inside afghanistan on  december  arriving in the capital city of kabul the soviet military contingent stormed the tajbeg palace and assassinated amin subsequently installing parchamite affiliated babrak karmal as afghanistans new pro soviet leader the decision by the soviet union to directly intervene in afghanistan was based on the brezhnev doctrine
",addition civil unrest country pdpa experiencing deep internal turmoil factional rivalries khalqists parchamites september pdpa general secretary nur muhammad taraki assassinated orders pdpas second command hafizullah amin amins supersession taraki khalqists advantage parchamites greatly souring afghanistans relationship soviet union fears rising amin planning ally afghanistan united states soviet leader leonid brezhnev led government deploy th army inside afghanistan december arriving capital city kabul soviet military contingent stormed tajbeg palace assassinated amin subsequently installing parchamite affiliated babrak karmal afghanistans new pro soviet leader decision soviet union directly intervene afghanistan based brezhnev doctrine,5.51,"addition,civil,unrest,country,pdpa,experiencing,deep,internal,turmoil,factional,rivalries,khalqists,parchamites,september,pdpa,general,secretary,nur,muhammad,taraki,assassinated,orders,pdpas,second,command,hafizullah,amin,amins,supersession,taraki,khalqists,advantage,parchamites,greatly,souring,afghanistans,relationship,soviet,union,fears,rising,amin,planning,ally,afghanistan,united,states,soviet,leader,leonid,brezhnev,led,government,deploy,th,army,inside,afghanistan,december,arriving,capital,city,kabul,soviet,military,contingent,stormed,tajbeg,palace,assassinated,amin,subsequently,installing,parchamite,affiliated,babrak,karmal,afghanistans,new,pro,soviet,leader,decision,soviet,union,directly,intervene,afghanistan,based,brezhnev,doctrine",0.00,afghanistan
"soviet troops occupied afghanistans major cities and all main arteries of communication whereas the mujahideen waged guerrilla warfare in small groups across the  of the country that was not subject to uncontested soviet controlalmost exclusively comprising the rugged mountainous terrain of the countryside in addition to laying millions of landmines across afghanistan the soviets used their aerial power to deal harshly with both rebels and civilians levelling villages to deny safe haven to the mujahideen and destroying vital irrigation ditches
",soviet troops occupied afghanistans major cities main arteries communication mujahideen waged guerrilla warfare small groups country subject uncontested soviet controlalmost exclusively comprising rugged mountainous terrain countryside addition laying millions landmines afghanistan soviets aerial power deal harshly rebels civilians levelling villages deny safe mujahideen destroying vital irrigation ditches,6.00,"soviet,troops,occupied,afghanistans,major,cities,main,arteries,communication,mujahideen,waged,guerrilla,warfare,small,groups,country,subject,uncontested,soviet,controlalmost,exclusively,comprising,rugged,mountainous,terrain,countryside,addition,laying,millions,landmines,afghanistan,soviets,aerial,power,deal,harshly,rebels,civilians,levelling,villages,deny,safe,mujahideen,destroying,vital,irrigation,ditches",0.00,afghanistan
"the soviet government had initially planned to swiftly secure afghanistans towns and road networks stabilize the pdpa government under loyalist karmal and withdraw all of their military forces in a span of six months to one year however they were met with fierce resistance from afghan guerrillas and experienced great operational difficulties on the rugged mountainous terrain by the mid s the soviet military presence in afghanistan had increased to approximately  troops and fighting across the country intensified the complication of the war effort gradually inflicted a high cost on the soviet union as military economic and political resources became increasingly exhausted 
",soviet government initially planned swiftly secure afghanistans towns road networks stabilize pdpa government loyalist karmal withdraw military forces span months year met fierce resistance afghan guerrillas experienced great operational difficulties rugged mountainous terrain mid soviet military presence afghanistan increased approximately troops fighting country intensified complication war effort gradually inflicted high cost soviet union military economic political resources increasingly exhausted,6.31,"soviet,government,initially,planned,swiftly,secure,afghanistans,towns,road,networks,stabilize,pdpa,government,loyalist,karmal,withdraw,military,forces,span,months,year,met,fierce,resistance,afghan,guerrillas,experienced,great,operational,difficulties,rugged,mountainous,terrain,mid,soviet,military,presence,afghanistan,increased,approximately,troops,fighting,country,intensified,complication,war,effort,gradually,inflicted,high,cost,soviet,union,military,economic,political,resources,increasingly,exhausted",0.00,afghanistan
"by mid  reformist soviet leader mikhail gorbachev announced that the soviet military would begin a complete withdrawal from afghanistan following a series of meetings with the afghan government that outlined a policy of national reconciliation for the country the final wave of disengagement was initiated on  may  and on  february  the last soviet military column occupying afghanistan crossed into the uzbek ssr with continued external soviet backing the pdpa government pursued a solo war effort against the mujahideen and the conflict evolved into the afghan civil war however the deeply unpopular afghan government lost all support as the soviet union itself collapsed in  leading to the toppling of the pdpas democratic republic at the hands of the mujahideen in  
",mid reformist soviet leader mikhail gorbachev announced soviet military begin complete withdrawal afghanistan following series meetings afghan government outlined policy national reconciliation country final wave disengagement initiated february soviet military column occupying afghanistan crossed uzbek ssr continued external soviet backing pdpa government pursued solo war effort mujahideen conflict evolved afghan civil war deeply unpopular afghan government lost support soviet union collapsed leading toppling pdpas democratic republic hands mujahideen,6.61,"mid,reformist,soviet,leader,mikhail,gorbachev,announced,soviet,military,begin,complete,withdrawal,afghanistan,following,series,meetings,afghan,government,outlined,policy,national,reconciliation,country,final,wave,disengagement,initiated,february,soviet,military,column,occupying,afghanistan,crossed,uzbek,ssr,continued,external,soviet,backing,pdpa,government,pursued,solo,war,effort,mujahideen,conflict,evolved,afghan,civil,war,deeply,unpopular,afghan,government,lost,support,soviet,union,collapsed,leading,toppling,pdpas,democratic,republic,hands,mujahideen",0.00,afghanistan
"due to the length of the sovietafghan war it has sometimes been referred to as the soviet unions vietnam war or as the bear trap by sources from the western world it has left a mixed legacy in the post soviet countries as well as in afghanistan additionally american support for the mujahideen in afghanistan during the conflict is thought to have contributed to a blowback of unintended consequences against american interests  which ultimately led to the united states war in afghanistan from  until  the war also had lasting impacts in pakistan
",length sovietafghan war referred soviet unions vietnam war bear trap sources western world left mixed legacy post soviet countries afghanistan additionally american support mujahideen afghanistan conflict thought contributed blowback unintended consequences american interests ultimately led united states war afghanistan war lasting impacts pakistan,8.94,"length,sovietafghan,war,referred,soviet,unions,vietnam,war,bear,trap,sources,western,world,left,mixed,legacy,post,soviet,countries,afghanistan,additionally,american,support,mujahideen,afghanistan,conflict,thought,contributed,blowback,unintended,consequences,american,interests,ultimately,led,united,states,war,afghanistan,war,lasting,impacts,pakistan",0.00,afghanistan
"in afghanistan the war is usually called the soviet war in afghanistan  in russia and elsewhere in the former soviet union it is usually called the afghan war  it is sometimes simply referred to as afgan  with the understanding that this refers to the war  it is also internationally known as the afghan jihad especially by the non afghan volunteers of the mujahideen
",afghanistan war usually called soviet war afghanistan russia soviet union usually called afghan war simply referred afgan understanding refers war internationally known afghan jihad especially non afghan volunteers mujahideen,9.24,"afghanistan,war,usually,called,soviet,war,afghanistan,russia,soviet,union,usually,called,afghan,war,simply,referred,afgan,understanding,refers,war,internationally,known,afghan,jihad,especially,non,afghan,volunteers,mujahideen",0.00,afghanistan
