Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the dynastic union of the crown of castile and the crown of aragon in  often considered the formation of spain as a country was followed by the annexation of navarre and the incorporation of portugal during the iberian union a major country of the age of discovery spain began the colonization of the new world in  developing one of the largest empires in history and underpinned the emergence of a global trading system primarily fuelled by precious metals centralisation and further state building in mainland spain ensued in the th century with the bourbon reforms in the th century the crown saw the independence of its american colonies as a result of cumulative crises and political divisions after the peninsular war political instability reached its peak in the th century with the spanish civil war giving rise to the francoist dictatorship that lasted until  with the restoration of democracy under the constitution of spain and the entry into the european union the country experienced profound economic political and social change
",dynastic union crown castile crown aragon considered formation spain country followed annexation navarre incorporation portugal iberian union major country age discovery spain began colonization new world developing largest empires history underpinned emergence global trading system primarily fuelled precious metals centralisation state building mainland spain ensued th century bourbon reforms th century crown saw independence american colonies result cumulative crises political divisions peninsular war political instability reached peak th century spanish civil war giving rise francoist dictatorship lasted restoration democracy constitution spain entry european union country experienced profound economic political social change,7.57,"dynastic,union,crown,castile,crown,aragon,considered,formation,spain,country,followed,annexation,navarre,incorporation,portugal,iberian,union,major,country,age,discovery,spain,began,colonization,new,world,developing,largest,empires,history,underpinned,emergence,global,trading,system,primarily,fuelled,precious,metals,centralisation,state,building,mainland,spain,ensued,th,century,bourbon,reforms,th,century,crown,saw,independence,american,colonies,result,cumulative,crises,political,divisions,peninsular,war,political,instability,reached,peak,th,century,spanish,civil,war,giving,rise,francoist,dictatorship,lasted,restoration,democracy,constitution,spain,entry,european,union,country,experienced,profound,economic,political,social,change",0.00,spanish
"the so called siglo de oro was a period of flourishing in arts and literature in spain coinciding with the political rise of the spanish empire under the catholic monarchs and the spanish habsburgs as such spanish art music literature and cuisine have been influential worldwide particularly in western europe and the americas as a reflection of its large cultural wealth spain has one of the worlds largest numbers of world heritage sites and is the worlds second most visited country its cultural influence extends over  million hispanophones making spanish language the worlds second most spoken native language and the worlds most widely spoken romance language
",called siglo de oro period flourishing arts literature spain coinciding political rise spanish empire catholic monarchs spanish habsburgs spanish art music literature cuisine influential worldwide particularly western europe americas reflection large cultural wealth spain worlds largest numbers world heritage sites worlds second visited country cultural influence extends million hispanophones making spanish language worlds second spoken native language worlds widely spoken romance language,6.61,"called,siglo,de,oro,period,flourishing,arts,literature,spain,coinciding,political,rise,spanish,empire,catholic,monarchs,spanish,habsburgs,spanish,art,music,literature,cuisine,influential,worldwide,particularly,western,europe,americas,reflection,large,cultural,wealth,spain,worlds,largest,numbers,world,heritage,sites,worlds,second,visited,country,cultural,influence,extends,million,hispanophones,making,spanish,language,worlds,second,spoken,native,language,worlds,widely,spoken,romance,language",0.00,spanish
"two th century spanish jewish scholars don isaac abrabanel and solomon ibn verga gave an explanation now considered folkloric both men wrote in two different published works that the first jews to reach spain were brought by ship by phiros who was confederate with the king of babylon when he laid siege to jerusalem phiros was a grecian by birth but who had been given a kingdom in spain phiros became related by marriage to espan the nephew of king heracles who also ruled over a kingdom in spain heracles later renounced his throne in preference for his native greece leaving his kingdom to his nephew espan from whom the country of espaa  took its name based upon their testimonies this eponym would have already been in use in spain by c  bce
",th century spanish jewish scholars isaac abrabanel solomon ibn verga gave explanation considered folkloric men wrote different published works jews reach spain brought ship phiros confederate king babylon laid siege jerusalem phiros grecian birth given kingdom spain phiros related marriage espan nephew king heracles ruled kingdom spain heracles later renounced throne preference native greece leaving kingdom nephew espan country espaa took based testimonies eponym use spain c bce,8.69,"th,century,spanish,jewish,scholars,isaac,abrabanel,solomon,ibn,verga,gave,explanation,considered,folkloric,men,wrote,different,published,works,jews,reach,spain,brought,ship,phiros,confederate,king,babylon,laid,siege,jerusalem,phiros,grecian,birth,given,kingdom,spain,phiros,related,marriage,espan,nephew,king,heracles,ruled,kingdom,spain,heracles,later,renounced,throne,preference,native,greece,leaving,kingdom,nephew,espan,country,espaa,took,based,testimonies,eponym,use,spain,c,bce",0.00,spanish
"athanagild having risen against king agila called in the byzantines and in payment for the support they gave him ceded to them the maritime places of the southeast  liuvigild restored the political unity of the peninsula subduing the suebians but the religious divisions of the country reaching even the royal family brought on a civil war st hermengild the kings son putting himself at the head of the catholics was defeated and taken prisoner and suffered martyrdom for rejecting communion with the arians recared son of liuvigild and brother of st hermengild added religious unity to the political unity achieved by his father accepting the catholic faith in the third council of toledo  the religious unity established by this council was the basis of that fusion of goths with hispano romans which produced the spanish nation sisebut and suintila completed the expulsion of the byzantines from spain
",athanagild risen king agila called byzantines payment support gave ceded maritime places southeast liuvigild restored political unity peninsula subduing suebians religious divisions country reaching royal family brought civil war st hermengild kings son putting head catholics defeated taken prisoner suffered martyrdom rejecting communion arians recared son liuvigild brother st hermengild added religious unity political unity achieved father accepting catholic faith council toledo religious unity established council basis fusion goths hispano romans produced spanish nation sisebut suintila completed expulsion byzantines spain,7.40,"athanagild,risen,king,agila,called,byzantines,payment,support,gave,ceded,maritime,places,southeast,liuvigild,restored,political,unity,peninsula,subduing,suebians,religious,divisions,country,reaching,royal,family,brought,civil,war,st,hermengild,kings,son,putting,head,catholics,defeated,taken,prisoner,suffered,martyrdom,rejecting,communion,arians,recared,son,liuvigild,brother,st,hermengild,added,religious,unity,political,unity,achieved,father,accepting,catholic,faith,council,toledo,religious,unity,established,council,basis,fusion,goths,hispano,romans,produced,spanish,nation,sisebut,suintila,completed,expulsion,byzantines,spain",0.00,spanish
"intermarriage between visigoths and hispano romans was prohibited though in practice it could not be entirely prevented and was eventually legalised by liuvigild the spanish gothic scholars such as braulio of zaragoza and isidore of seville played an important role in keeping the classical greek and roman culture isidore was one of the most influential clerics and philosophers in the middle ages in europe and his theories were also vital to the conversion of the visigothic kingdom from an arian domain to a catholic one in the councils of toledo isidore created the first western encyclopedia which had a huge impact during the middle ages
",intermarriage visigoths hispano romans prohibited practice entirely prevented eventually legalised liuvigild spanish gothic scholars braulio zaragoza isidore seville played important role keeping classical greek roman culture isidore influential clerics philosophers middle ages europe theories vital conversion visigothic kingdom arian domain catholic councils toledo isidore created western encyclopedia huge impact middle ages,8.37,"intermarriage,visigoths,hispano,romans,prohibited,practice,entirely,prevented,eventually,legalised,liuvigild,spanish,gothic,scholars,braulio,zaragoza,isidore,seville,played,important,role,keeping,classical,greek,roman,culture,isidore,influential,clerics,philosophers,middle,ages,europe,theories,vital,conversion,visigothic,kingdom,arian,domain,catholic,councils,toledo,isidore,created,western,encyclopedia,huge,impact,middle,ages",0.00,spanish
"the year  also marked the arrival of christopher columbus in the new world during a voyage funded by isabella columbuss first voyage crossed the atlantic and reached the caribbean islands beginning the european exploration and conquest of the americas although columbus remained convinced that he had reached the orient large numbers of indigenous americans died in battle against the spaniards during the conquest while more died from various new eurasian diseases that travelled more quickly than the spanish conquerors the death toll during the initial period of spanish conquest from columbuss initial landing until the mid th century is estimated as high as  million indigenous people out of a population of  million as imported diseases such as smallpox measles influenza and typhus decimated the pre columbian population disease killed between  and  of the indigenous populationk
",year marked arrival christopher columbus new world voyage funded isabella columbuss voyage crossed atlantic reached caribbean islands beginning european exploration conquest americas columbus remained convinced reached orient large numbers indigenous americans died battle spaniards conquest died new eurasian diseases travelled quickly spanish conquerors death toll initial period spanish conquest columbuss initial landing mid th century estimated high million indigenous people population million imported diseases smallpox measles influenza typhus decimated pre columbian population disease killed indigenous populationk,6.65,"year,marked,arrival,christopher,columbus,new,world,voyage,funded,isabella,columbuss,voyage,crossed,atlantic,reached,caribbean,islands,beginning,european,exploration,conquest,americas,columbus,remained,convinced,reached,orient,large,numbers,indigenous,americans,died,battle,spaniards,conquest,died,new,eurasian,diseases,travelled,quickly,spanish,conquerors,death,toll,initial,period,spanish,conquest,columbuss,initial,landing,mid,th,century,estimated,high,million,indigenous,people,population,million,imported,diseases,smallpox,measles,influenza,typhus,decimated,pre,columbian,population,disease,killed,indigenous,populationk",0.00,spanish
"the spanish colonisation of the americas started with the colonisation of the caribbean it was followed by the conquest of powerful pre columbian polities in central mexico and the pacific coast of south america miscegenation was the rule between the native and the spanish cultures and people an expedition sponsored by the spanish crown completed the first voyage around the world in human history the magellan elcano circumnavigation the tornaviaje or return route from the philippines to mexico made possible the manila galleon trading route the spanish encountered islam in southeast asia and in order to incorporate the philippines spanish expeditions organised from newly christianised mexico had invaded the philippine territories of the sultanate of brunei the spanish considered the war with the muslims of brunei and the philippines a repeat of the reconquista
",spanish colonisation americas started colonisation caribbean followed conquest powerful pre columbian polities central mexico pacific coast south america miscegenation rule native spanish cultures people expedition sponsored spanish crown completed voyage world human history magellan elcano circumnavigation tornaviaje return route philippines mexico possible manila galleon trading route spanish encountered islam southeast asia order incorporate philippines spanish expeditions organised newly christianised mexico invaded philippine territories sultanate brunei spanish considered war muslims brunei philippines repeat reconquista,7.00,"spanish,colonisation,americas,started,colonisation,caribbean,followed,conquest,powerful,pre,columbian,polities,central,mexico,pacific,coast,south,america,miscegenation,rule,native,spanish,cultures,people,expedition,sponsored,spanish,crown,completed,voyage,world,human,history,magellan,elcano,circumnavigation,tornaviaje,return,route,philippines,mexico,possible,manila,galleon,trading,route,spanish,encountered,islam,southeast,asia,order,incorporate,philippines,spanish,expeditions,organised,newly,christianised,mexico,invaded,philippine,territories,sultanate,brunei,spanish,considered,war,muslims,brunei,philippines,repeat,reconquista",0.00,spanish
"the unification of the crowns of aragon and castile by the marriage of their sovereigns laid the basis for modern spain and the spanish empire although each kingdom of spain remained a separate country socially politically legally and in currency and language
",unification crowns aragon castile marriage sovereigns laid basis modern spain spanish empire kingdom spain remained separate country socially politically legally currency language,7.69,"unification,crowns,aragon,castile,marriage,sovereigns,laid,basis,modern,spain,spanish,empire,kingdom,spain,remained,separate,country,socially,politically,legally,currency,language",0.00,spanish
"habsburg spain was one of the leading world powers throughout the th century and most of the th century a position reinforced by trade and wealth from colonial possessions and became the worlds leading maritime power it reached its apogee during the reigns of the first two spanish habsburgscharles vi  and philip ii  this period saw the italian wars the schmalkaldic war the dutch revolt the war of the portuguese succession clashes with the ottomans intervention in the french wars of religion and the anglo spanish war
",habsburg spain leading world powers th century th century position reinforced trade wealth colonial possessions worlds leading maritime power reached apogee reigns spanish habsburgscharles vi philip ii period saw italian wars schmalkaldic war dutch revolt war portuguese succession clashes ottomans intervention french wars religion anglo spanish war,7.66,"habsburg,spain,leading,world,powers,th,century,th,century,position,reinforced,trade,wealth,colonial,possessions,worlds,leading,maritime,power,reached,apogee,reigns,spanish,habsburgscharles,vi,philip,ii,period,saw,italian,wars,schmalkaldic,war,dutch,revolt,war,portuguese,succession,clashes,ottomans,intervention,french,wars,religion,anglo,spanish,war",0.00,spanish
"through exploration and conquest or royal marriage alliances and inheritance the spanish empire expanded across vast areas in the americas the indo pacific africa as well as the european continent  the first circumnavigation of the world was carried out in  the so called age of discovery featured explorations by sea and by land the opening up of new trade routes across oceans conquests and the beginnings of european colonialism precious metals spices luxuries and previously unknown plants brought to the metropole played a leading part in transforming the european understanding of the globe the cultural efflorescence witnessed during this period is now referred to as the spanish golden age the expansion of the empire caused immense upheaval in the americas as the collapse of societies and empires and new diseases from europe devastated american indigenous populations the rise of humanism the counter reformation and new geographical discoveries and conquests raised issues that were addressed by the intellectual movement now known as the school of salamanca which developed the first modern theories of what are now known as international law and human rights juan luis vives was another prominent humanist during this period
",exploration conquest royal marriage alliances inheritance spanish empire expanded vast areas americas indo pacific africa european continent circumnavigation world carried called age discovery featured explorations sea land opening new trade routes oceans conquests beginnings european colonialism precious metals spices luxuries previously unknown plants brought metropole played leading transforming european understanding globe cultural efflorescence witnessed period referred spanish golden age expansion empire caused immense upheaval americas collapse societies empires new diseases europe devastated american indigenous populations rise humanism counter reformation new geographical discoveries conquests raised issues addressed intellectual movement known school salamanca developed modern theories known international law human rights juan luis vives prominent humanist period,7.02,"exploration,conquest,royal,marriage,alliances,inheritance,spanish,empire,expanded,vast,areas,americas,indo,pacific,africa,european,continent,circumnavigation,world,carried,called,age,discovery,featured,explorations,sea,land,opening,new,trade,routes,oceans,conquests,beginnings,european,colonialism,precious,metals,spices,luxuries,previously,unknown,plants,brought,metropole,played,leading,transforming,european,understanding,globe,cultural,efflorescence,witnessed,period,referred,spanish,golden,age,expansion,empire,caused,immense,upheaval,americas,collapse,societies,empires,new,diseases,europe,devastated,american,indigenous,populations,rise,humanism,counter,reformation,new,geographical,discoveries,conquests,raised,issues,addressed,intellectual,movement,known,school,salamanca,developed,modern,theories,known,international,law,human,rights,juan,luis,vives,prominent,humanist,period",0.00,spanish
