Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the spanish empire  also known as the hispanic monarchy  or the catholic monarchy  was a colonial empire governed by spain and its predecessor states between  and  one of the largest empires in history it was in conjunction with the portuguese empire the first to usher the european age of discovery and achieve a global scale controlling vast portions of the americas africa various islands in asia and oceania as well as territory in other parts of europe it was one of the most powerful empires of the early modern period becoming known as the empire on which the sun never sets it reached its maximum extent in the th century
",spanish empire known hispanic monarchy catholic monarchy colonial empire governed spain predecessor states largest empires history conjunction portuguese empire usher european age discovery achieve global scale controlling vast portions americas africa islands asia oceania territory parts europe powerful empires early modern period known empire sun sets reached maximum extent th century,9.37,"spanish,empire,known,hispanic,monarchy,catholic,monarchy,colonial,empire,governed,spain,predecessor,states,largest,empires,history,conjunction,portuguese,empire,usher,european,age,discovery,achieve,global,scale,controlling,vast,portions,americas,africa,islands,asia,oceania,territory,parts,europe,powerful,empires,early,modern,period,known,empire,sun,sets,reached,maximum,extent,th,century",0.00,spanish
"an important element in the formation of spains empire was the dynastic union between isabella i of castile and ferdinand ii of aragon in  known as the catholic monarchs which initiated political religious and social cohesion but not political unification castile  became the dominant kingdom in iberia because of its jurisdiction over the overseas empire in the americas the structure of the empire was further defined under the spanish habsburgs  and under the spanish bourbon monarchs the empire was brought under greater crown control and increased its revenues from the indies the crowns authority in the indies was enlarged by the papal grant of powers of patronage giving it power in the religious sphere
",important element formation spains empire dynastic union isabellai castile ferdinandii aragon known catholic monarchs initiated political religious social cohesion political unification castile dominant kingdom iberia jurisdiction overseas empire americas structure empire defined spanish habsburgs spanish bourbon monarchs empire brought greater crown control increased revenues indies crowns authority indies enlarged papal grant powers patronage giving power religious sphere,7.87,"important,element,formation,spains,empire,dynastic,union,isabellai,castile,ferdinandii,aragon,known,catholic,monarchs,initiated,political,religious,social,cohesion,political,unification,castile,dominant,kingdom,iberia,jurisdiction,overseas,empire,americas,structure,empire,defined,spanish,habsburgs,spanish,bourbon,monarchs,empire,brought,greater,crown,control,increased,revenues,indies,crowns,authority,indies,enlarged,papal,grant,powers,patronage,giving,power,religious,sphere",0.00,spanish
"in the beginning portugal was the only serious threat to spanish hegemony in the new world to end the threat of portuguese expansion spain invaded its iberian neighbour in  defeating portuguese french and english forces after the spanish victory in the war of the portuguese succession philip ii of spain obtained the portuguese crown in  and portugal and its overseas territories came under his rule with the so called iberian union considered by many historians as a spanish conquest phillip respected a certain degree of autonomy in its iberian territories and together with the other peninsular councils established the council of portugal which oversaw portugal and its empire and preserved its own laws institutions and monetary system and united only in sharing a common sovereign in  while spain was fighting in catalonia italy germany and the netherlands portugal revolted and re established its independence under the house of braganza iberian kingdoms retained their political identities with particular administration and juridical configurations although the power of the spanish sovereign as monarch varied from one territory to another the monarch acted as such in a unitary manner over all the rulers territories through a system of councils the unity did not mean uniformity
",beginning portugal threat spanish hegemony new world end threat portuguese expansion spain invaded iberian neighbour defeating portuguese french english forces spanish victory war portuguese succession philip ii spain obtained portuguese crown portugal overseas territories came rule called iberian union considered historians spanish conquest phillip respected certain degree autonomy iberian territories peninsular councils established council portugal oversaw portugal empire preserved laws institutions monetary system united sharing common sovereign spain fighting catalonia italy germany netherlands portugal revolted established independence house braganza iberian kingdoms retained political identities particular administration juridical configurations power spanish sovereign monarch varied territory monarch acted unitary manner rulers territories system councils unity mean uniformity,7.43,"beginning,portugal,threat,spanish,hegemony,new,world,end,threat,portuguese,expansion,spain,invaded,iberian,neighbour,defeating,portuguese,french,english,forces,spanish,victory,war,portuguese,succession,philip,ii,spain,obtained,portuguese,crown,portugal,overseas,territories,came,rule,called,iberian,union,considered,historians,spanish,conquest,phillip,respected,certain,degree,autonomy,iberian,territories,peninsular,councils,established,council,portugal,oversaw,portugal,empire,preserved,laws,institutions,monetary,system,united,sharing,common,sovereign,spain,fighting,catalonia,italy,germany,netherlands,portugal,revolted,established,independence,house,braganza,iberian,kingdoms,retained,political,identities,particular,administration,juridical,configurations,power,spanish,sovereign,monarch,varied,territory,monarch,acted,unitary,manner,rulers,territories,system,councils,unity,mean,uniformity",0.00,spanish
"the spanish empire also included european territories of which the spanish netherlands were the richest following the italian wars against france which concluded in  spain gained control over half of italy  with the treaty of cateau cambresis these territories remained under spanish rule until the war of the spanish succession
",spanish empire included european territories spanish netherlands richest following italian wars france concluded spain gained control half italy treaty cateau cambresis territories remained spanish rule war spanish succession,6.69,"spanish,empire,included,european,territories,spanish,netherlands,richest,following,italian,wars,france,concluded,spain,gained,control,half,italy,treaty,cateau,cambresis,territories,remained,spanish,rule,war,spanish,succession",0.00,spanish
"the spanish empire in the americas was formed after conquering indigenous people and claiming large stretches of land beginning with christopher columbus in the caribbean islands in the th century the spanish empire conquered and incorporated the aztec and inca empires retaining indigenous elites loyal to the spanish crown and converts to christianity as intermediaries between their communities and royal government after a short period of delegation of authority by the crown in the americas the crown asserted control over those territories and established the council of the indies to oversee rule there the crown then established viceroyalties in the two main areas of settlement new spain and peru both regions of dense indigenous populations and mineral wealth the mayans were finally conquered in  the magellan elcano circumnavigationthe first circumnavigation of the earthlaid the foundation for spains pacific empire and for spanish control over the east indies
",spanish empire americas formed conquering indigenous people claiming large stretches land beginning christopher columbus caribbean islands th century spanish empire conquered incorporated aztec inca empires retaining indigenous elites loyal spanish crown converts christianity intermediaries communities royal government short period delegation authority crown americas crown asserted control territories established council indies oversee rule crown established viceroyalties main areas settlement new spain peru regions dense indigenous populations mineral wealth mayans finally conquered magellan elcano circumnavigationthe circumnavigation earthlaid foundation spains pacific empire spanish control east indies,6.57,"spanish,empire,americas,formed,conquering,indigenous,people,claiming,large,stretches,land,beginning,christopher,columbus,caribbean,islands,th,century,spanish,empire,conquered,incorporated,aztec,inca,empires,retaining,indigenous,elites,loyal,spanish,crown,converts,christianity,intermediaries,communities,royal,government,short,period,delegation,authority,crown,americas,crown,asserted,control,territories,established,council,indies,oversee,rule,crown,established,viceroyalties,main,areas,settlement,new,spain,peru,regions,dense,indigenous,populations,mineral,wealth,mayans,finally,conquered,magellan,elcano,circumnavigationthe,circumnavigation,earthlaid,foundation,spains,pacific,empire,spanish,control,east,indies",0.00,spanish
"the structure of governance of its overseas empire was significantly reformed in the late th century by the bourbon monarchs although the crown attempted to keep its empire a closed economic system under habsburg rule spain was unable to supply the indies with sufficient consumer goods to meet demand this allowed foreign merchants from genoa france england germany and the netherlands to take advantage of the trade with silver from the mines of peru and mexico flowing to other parts of europe the merchant guild of seville  served as middlemen in the trade the crowns trade monopoly was broken early in the th century with the crown colluding with the merchant guild for fiscal reasons in circumventing the supposedly closed system spain was largely able to defend its territories in the americas with the dutch english and french taking only small caribbean islands and outposts using them to engage in contraband trade with the spanish populace in the indies
",structure governance overseas empire significantly reformed late th century bourbon monarchs crown attempted empire closed economic system habsburg rule spain unable supply indies sufficient consumer goods meet demand allowed foreign merchants genoa france england germany netherlands advantage trade silver mines peru mexico flowing parts europe merchant guild seville served middlemen trade crowns trade monopoly broken early th century crown colluding merchant guild fiscal reasons circumventing supposedly closed system spain largely able defend territories americas dutch english french taking small caribbean islands outposts engage contraband trade spanish populace indies,7.36,"structure,governance,overseas,empire,significantly,reformed,late,th,century,bourbon,monarchs,crown,attempted,empire,closed,economic,system,habsburg,rule,spain,unable,supply,indies,sufficient,consumer,goods,meet,demand,allowed,foreign,merchants,genoa,france,england,germany,netherlands,advantage,trade,silver,mines,peru,mexico,flowing,parts,europe,merchant,guild,seville,served,middlemen,trade,crowns,trade,monopoly,broken,early,th,century,crown,colluding,merchant,guild,fiscal,reasons,circumventing,supposedly,closed,system,spain,largely,able,defend,territories,americas,dutch,english,french,taking,small,caribbean,islands,outposts,engage,contraband,trade,spanish,populace,indies",0.00,spanish
"spain experienced its greatest territorial losses during the early th century when its colonies in the americas began fighting their wars of independence by  spain had also lost its colonies in the caribbean and pacific and it was left with only its african possessions in latin america among the legacies of its relationship with iberia spanish is the dominant language catholicism the main religion and political traditions of representative government can be traced to the spanish constitution of 
",spain experienced greatest territorial losses early th century colonies americas began fighting wars independence spain lost colonies caribbean pacific left african possessions latin america legacies relationship iberia spanish dominant language catholicism main religion political traditions representative government traced spanish constitution,7.58,"spain,experienced,greatest,territorial,losses,early,th,century,colonies,americas,began,fighting,wars,independence,spain,lost,colonies,caribbean,pacific,left,african,possessions,latin,america,legacies,relationship,iberia,spanish,dominant,language,catholicism,main,religion,political,traditions,representative,government,traced,spanish,constitution",0.00,spanish
"with the marriage of the heirs apparent to their respective thrones ferdinand of aragon and isabella of castile created a personal union that most scholarscitation needed view as the foundation of the spanish monarchy the union of the crowns of castile and aragon joined the economic and military power of iberia under one dynasty the house of trastamara their dynastic alliance was important for a number of reasons ruling jointly over a number of kingdoms and other territories mostly in the eastern mediterranean region under their respective legal and administrative status they successfully pursued expansion in iberia in the christian conquest of the muslim emirate of granada completed in  for which valencia born pope alexander vi gave them the title of the catholic monarchs ferdinand of aragon was particularly concerned with expansion in france and italy as well as conquests in north africa
",marriage heirs apparent respective thrones ferdinand aragon isabella castile created personal union scholarscitation needed view foundation spanish monarchy union crowns castile aragon joined economic military power iberia dynasty house trastamara dynastic alliance important number reasons ruling jointly number kingdoms territories eastern mediterranean region respective legal administrative status successfully pursued expansion iberia christian conquest muslim emirate granada completed valencia born pope alexandervi gave title catholic monarchs ferdinand aragon particularly concerned expansion france italy conquests north africa,7.42,"marriage,heirs,apparent,respective,thrones,ferdinand,aragon,isabella,castile,created,personal,union,scholarscitation,needed,view,foundation,spanish,monarchy,union,crowns,castile,aragon,joined,economic,military,power,iberia,dynasty,house,trastamara,dynastic,alliance,important,number,reasons,ruling,jointly,number,kingdoms,territories,eastern,mediterranean,region,respective,legal,administrative,status,successfully,pursued,expansion,iberia,christian,conquest,muslim,emirate,granada,completed,valencia,born,pope,alexandervi,gave,title,catholic,monarchs,ferdinand,aragon,particularly,concerned,expansion,france,italy,conquests,north,africa",0.00,spanish
"the concept of early modern spain as a subject of study is muddled the composite monarchy of the hapsburgs had no official name in the early modern period as a geographical  concept and following the medieval tradition the term spain could refer to the entire iberian peninsula the term catholic monarchy  was common during the reign of holy roman emperor charles v insofar as the regime strived towards the realization of the idea of universal  monarchy later in time other denominations such as spanish monarchy  or monarchy of spain  would also become common to refer to the composite monarchy the official intitulation of the monarchs made no mention to monarchies nor crowns but focused on the inherited kingdoms and other possessions
",concept early modern spain subject study muddled composite monarchy hapsburgs official early modern period geographical concept following medieval tradition term spain refer entire iberian peninsula term catholic monarchy common reign holy roman emperor charles v insofar regime strived realization idea universal monarchy later time denominations spanish monarchy monarchy spain common refer composite monarchy official intitulation monarchs mention monarchies crowns focused inherited kingdoms possessions,7.84,"concept,early,modern,spain,subject,study,muddled,composite,monarchy,hapsburgs,official,early,modern,period,geographical,concept,following,medieval,tradition,term,spain,refer,entire,iberian,peninsula,term,catholic,monarchy,common,reign,holy,roman,emperor,charles,v,insofar,regime,strived,realization,idea,universal,monarchy,later,time,denominations,spanish,monarchy,monarchy,spain,common,refer,composite,monarchy,official,intitulation,monarchs,mention,monarchies,crowns,focused,inherited,kingdoms,possessions",0.00,spanish
"when king ferdinand and queen isabella i captured granada in  they implemented policies to maintain control of the territory to do so the monarchy implemented a system of encomienda encomienda was a method of land control and distribution based upon vassalic ties land would be granted to a noble family who were then responsible for farming and defending it this eventually led to a large land based aristocracy a separate ruling class that the crown later tried to eliminate in its overseas colonies by implementing this method of political organization the crown was able to implement new forms of private property without completely replacing already existing systems such as the communal use of resources after the military and political conquest there was an emphasis on religious conquest as well leading to the creation of the spanish inquisition although the inquisition was technically a part of the catholic church ferdinand and isabella formed a separate spanish inquisition which led to mass expulsion of muslims and jews from the peninsula this religious court system was later adopted and transported to the americas though they took a less effective role there due to limited jurisdiction and large territories
",king ferdinand queen isabella captured granada implemented policies maintain control territory monarchy implemented system encomienda encomienda method land control distribution based vassalic ties land granted noble family responsible farming defending eventually led large land based aristocracy separate ruling class crown later tried eliminate overseas colonies implementing method political organization crown able implement new forms private property completely replacing existing systems communal use resources military political conquest emphasis religious conquest leading creation spanish inquisition inquisition technically catholic church ferdinand isabella formed separate spanish inquisition led mass expulsion muslims jews peninsula religious court system later adopted transported americas took effective role limited jurisdiction large territories,7.50,"king,ferdinand,queen,isabella,captured,granada,implemented,policies,maintain,control,territory,monarchy,implemented,system,encomienda,encomienda,method,land,control,distribution,based,vassalic,ties,land,granted,noble,family,responsible,farming,defending,eventually,led,large,land,based,aristocracy,separate,ruling,class,crown,later,tried,eliminate,overseas,colonies,implementing,method,political,organization,crown,able,implement,new,forms,private,property,completely,replacing,existing,systems,communal,use,resources,military,political,conquest,emphasis,religious,conquest,leading,creation,spanish,inquisition,inquisition,technically,catholic,church,ferdinand,isabella,formed,separate,spanish,inquisition,led,mass,expulsion,muslims,jews,peninsula,religious,court,system,later,adopted,transported,americas,took,effective,role,limited,jurisdiction,large,territories",0.00,spanish
"the catholic monarchs had developed a strategy of marriages for their children to isolate their long time enemy france the spanish princesses married the heirs of portugal england and the house of habsburg following the same strategy the catholic monarchs decided to support the aragonese house of naples against charles viii of france in the italian wars beginning in  ferdinands general gonzalo fernndez de crdoba took over naples after defeating the french at the battle of cerignola and the battle of garigliano in  in these battles which established the supremacy of the spanish tercios in european battlefields the forces of the kings of spain acquired a reputation for invincibility that would last until the  battle of rocroi
",catholic monarchs developed strategy marriages children isolate long time enemy france spanish princesses married heirs portugal england house habsburg following strategy catholic monarchs decided support aragonese house naples charlesviii france italian wars beginning ferdinands general gonzalo fernndez de crdoba took naples defeating french battle cerignola battle garigliano battles established supremacy spanish tercios european battlefields forces kings spain acquired reputation invincibility battle rocroi,7.36,"catholic,monarchs,developed,strategy,marriages,children,isolate,long,time,enemy,france,spanish,princesses,married,heirs,portugal,england,house,habsburg,following,strategy,catholic,monarchs,decided,support,aragonese,house,naples,charlesviii,france,italian,wars,beginning,ferdinands,general,gonzalo,fernndez,de,crdoba,took,naples,defeating,french,battle,cerignola,battle,garigliano,battles,established,supremacy,spanish,tercios,european,battlefields,forces,kings,spain,acquired,reputation,invincibility,battle,rocroi",0.00,spanish
"after the death of queen isabella in  and her exclusion of ferdinand from a further role in castile ferdinand married germaine de foix in  cementing an alliance with france had that couple had a surviving heir probably the crown of aragon would have been split from castile which was inherited by charles ferdinand and isabellas grandson ferdinand joined the league of cambrai against venice in  in  he became part of the holy league against france seeing a chance at taking both milanto which he held a dynastic claimand navarre in  france agreed to a truce that left milan in its control and recognized spanish control of upper navarre which had effectively been a spanish protectorate following a series of treaties in    and 
",death queen isabella exclusion ferdinand role castile ferdinand married germaine de foix cementing alliance france couple surviving heir probably crown aragon split castile inherited charles ferdinand isabellas grandson ferdinand joined league cambrai venice holy league france seeing chance taking milanto held dynastic claimand navarre france agreed truce left milan control recognized spanish control upper navarre effectively spanish protectorate following series treaties,8.36,"death,queen,isabella,exclusion,ferdinand,role,castile,ferdinand,married,germaine,de,foix,cementing,alliance,france,couple,surviving,heir,probably,crown,aragon,split,castile,inherited,charles,ferdinand,isabellas,grandson,ferdinand,joined,league,cambrai,venice,holy,league,france,seeing,chance,taking,milanto,held,dynastic,claimand,navarre,france,agreed,truce,left,milan,control,recognized,spanish,control,upper,navarre,effectively,spanish,protectorate,following,series,treaties",0.00,spanish
"however this experience would prove to be profitable for future spanish overseas expansion because as the spaniards were excluded from the lands discovered or to be discovered from the canaries southwardand consequently from the road to india around africathey sponsored the voyage of columbus towards the west  in search of asia to trade in its spices encountering the americas instead thus the limitations imposed by the alcovas treaty were overcome and a new and more balanced division of the world would be reached in the treaty of tordesillas between both emerging maritime powers
",experience prove profitable future spanish overseas expansion spaniards excluded lands discovered discovered canaries southwardand consequently road india africathey sponsored voyage columbus west search asia trade spices encountering americas instead limitations imposed alcovas treaty overcome new balanced division world reached treaty tordesillas emerging maritime powers,8.36,"experience,prove,profitable,future,spanish,overseas,expansion,spaniards,excluded,lands,discovered,discovered,canaries,southwardand,consequently,road,india,africathey,sponsored,voyage,columbus,west,search,asia,trade,spices,encountering,americas,instead,limitations,imposed,alcovas,treaty,overcome,new,balanced,division,world,reached,treaty,tordesillas,emerging,maritime,powers",0.00,spanish
"ferdinand and isabella defeated the last muslim king out of granada in  after a ten year war the catholic monarchs then negotiated with christopher columbus a genoese sailor attempting to reach cipangu  by sailing west castile was already engaged in a race of exploration with portugal to reach the far east by sea when columbus made his bold proposal to isabella in the capitulations of santa fe dated on  april  christopher columbus obtained from the catholic monarchs his appointment as viceroy and governor in the lands already discovered and that he might discover thenceforth thereby it was the first document to establish an administrative organization in the indies columbus discoveries began the spanish colonization of the americas spains claim to these lands was solidified by the inter caetera papal bull dated  may  and dudum siquidem on  september  which vested the sovereignty of the territories discovered and to be discovered
",ferdinand isabella defeated muslim king granada year war catholic monarchs negotiated christopher columbus genoese sailor attempting reach cipangu sailing west castile engaged race exploration portugal reach far east sea columbus bold proposal isabella capitulations santa fe dated april christopher columbus obtained catholic monarchs appointment viceroy governor lands discovered discover thenceforth document establish administrative organization indies columbus discoveries began spanish colonization americas spains claim lands solidified inter caetera papal bull dated dudum siquidem september vested sovereignty territories discovered discovered,7.53,"ferdinand,isabella,defeated,muslim,king,granada,year,war,catholic,monarchs,negotiated,christopher,columbus,genoese,sailor,attempting,reach,cipangu,sailing,west,castile,engaged,race,exploration,portugal,reach,far,east,sea,columbus,bold,proposal,isabella,capitulations,santa,fe,dated,april,christopher,columbus,obtained,catholic,monarchs,appointment,viceroy,governor,lands,discovered,discover,thenceforth,document,establish,administrative,organization,indies,columbus,discoveries,began,spanish,colonization,americas,spains,claim,lands,solidified,inter,caetera,papal,bull,dated,dudum,siquidem,september,vested,sovereignty,territories,discovered,discovered",0.00,spanish
"since the portuguese wanted to keep the line of demarcation of alcaovas running east and west along a latitude south of cape bojador a compromise was worked out and incorporated in the treaty of tordesillas dated on  june  in which the globe was split into two hemispheres dividing spanish and portuguese claims these actions gave spain exclusive rights to establish colonies in all of the new world from north to south  as well as the easternmost parts of asia the treaty of tordesillas was confirmed by pope julius ii in the bull ea quae pro bono pacis on  january 
",portuguese wanted line demarcation alcaovas running east west latitude south cape bojador compromise worked incorporated treaty tordesillas dated june globe split hemispheres dividing spanish portuguese claims actions gave spain exclusive rights establish colonies new world north south easternmost parts asia treaty tordesillas confirmed pope juliusii bull ea quae pro bono pacis january,8.10,"portuguese,wanted,line,demarcation,alcaovas,running,east,west,latitude,south,cape,bojador,compromise,worked,incorporated,treaty,tordesillas,dated,june,globe,split,hemispheres,dividing,spanish,portuguese,claims,actions,gave,spain,exclusive,rights,establish,colonies,new,world,north,south,easternmost,parts,asia,treaty,tordesillas,confirmed,pope,juliusii,bull,ea,quae,pro,bono,pacis,january",0.00,spanish
