Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"squeak is an object oriented class based and reflective programming language it was derived from smalltalk  by a group that included some of smalltalk s original developers initially at apple computer then at walt disney imagineering where it was intended for use in internal disney projects the group would later go on to be supported by hp labs sap and most recently y combinator
",squeak object oriented class based reflective programming language derived smalltalk group included smalltalk original developers initially apple computer walt disney imagineering intended use internal disney projects group later supported hp labs sap recently combinator,7.85,"squeak,object,oriented,class,based,reflective,programming,language,derived,smalltalk,group,included,smalltalk,original,developers,initially,apple,computer,walt,disney,imagineering,intended,use,internal,disney,projects,group,later,supported,hp,labs,sap,recently,combinator",0.00,squeak
"squeak runs on a virtual machine  allowing for a high degree of portability the squeak system includes code for generating a new version of the vm on which it runs along with a vm simulator written in squeak
",squeak runs virtual machine allowing high degree portability squeak system includes code generating new version vm runs vm simulator written squeak,8.17,"squeak,runs,virtual,machine,allowing,high,degree,portability,squeak,system,includes,code,generating,new,version,vm,runs,vm,simulator,written,squeak",0.00,squeak
"dan ingalls an important contributor to the squeak project wrote the paper upon which squeak is built and constructed the architecture for five generations of the smalltalk language
",dan ingalls important contributor squeak project wrote paper squeak built constructed architecture generations smalltalk language,7.14,"dan,ingalls,important,contributor,squeak,project,wrote,paper,squeak,built,constructed,architecture,generations,smalltalk,language",0.00,squeak
"alan kay is an important contributor to the squeak project and squeak incorporates many elements of his proposed dynabook concept
",alan kay important contributor squeak project squeak incorporates elements proposed dynabook concept,6.15,"alan,kay,important,contributor,squeak,project,squeak,incorporates,elements,proposed,dynabook,concept",0.00,squeak
"squeak includes four user interface frameworks
",squeak includes user interface frameworks,2.13,"squeak,includes,user,interface,frameworks",0.00,squeak
"many squeak contributors collaborate on open cobalt a free and open source virtual world browser and construction toolkit built on squeak
",squeak contributors collaborate open cobalt free open source virtual world browser construction toolkit built squeak,4.35,"squeak,contributors,collaborate,open,cobalt,free,open,source,virtual,world,browser,construction,toolkit,built,squeak",0.00,squeak
"the first version of scratch
was implemented in squeak
",version scratchwas implemented squeak,9.09,"version,scratchwas,implemented,squeak",0.00,squeak
"openqwaq a virtual conferencing and collaboration system is based on squeak
",openqwaq virtual conferencing collaboration system based squeak,5.26,"openqwaq,virtual,conferencing,collaboration,system,based,squeak",0.00,squeak
"squeak is also used in the nintendo es operating system
",squeak nintendo es operating system,8.93,"squeak,nintendo,es,operating,system",0.00,squeak
"squeak  and later may be downloaded at no cost including source code as a prebuilt virtual machine image licensed under the mit license with the exception of some of the original apple code which is governed by the apache license
",squeak later downloaded cost including source code prebuilt virtual machine image licensed mit license exception original apple code governed apache license,8.26,"squeak,later,downloaded,cost,including,source,code,prebuilt,virtual,machine,image,licensed,mit,license,exception,original,apple,code,governed,apache,license",0.00,squeak
"squeak was originally released by apple under its own squeak license while source code was available and modification permitted the squeak license contained an indemnity clause that prevented it from qualifying as true free and open source software
",squeak originally released apple squeak license source code available modification permitted squeak license contained indemnity clause prevented qualifying true free open source software,6.02,"squeak,originally,released,apple,squeak,license,source,code,available,modification,permitted,squeak,license,contained,indemnity,clause,prevented,qualifying,true,free,open,source,software",0.00,squeak
"in  apple relicensed squeak twice first in may apple used its own apple public source license which satisfies the free software foundations concept of a free software license and has attained official approval from the open source initiative as an open source license however the apple public source license fails to conform to the debian free software guidelines to enable inclusion of etoys in the one laptop per child project a second relicensing was undertaken using the apache license at this point an effort was also made to address the issue of code contributed by members of the squeak community which it was not in apples power to unilaterally relicense
",apple relicensed squeak twice apple apple public source license satisfies free software foundations concept free software license attained official approval open source initiative open source license apple public source license fails conform debian free software guidelines enable inclusion etoys laptop child project second relicensing undertaken apache license point effort address issue code contributed members squeak community apples power unilaterally relicense,7.54,"apple,relicensed,squeak,twice,apple,apple,public,source,license,satisfies,free,software,foundations,concept,free,software,license,attained,official,approval,open,source,initiative,open,source,license,apple,public,source,license,fails,conform,debian,free,software,guidelines,enable,inclusion,etoys,laptop,child,project,second,relicensing,undertaken,apache,license,point,effort,address,issue,code,contributed,members,squeak,community,apples,power,unilaterally,relicense",0.00,squeak
"for each contribution made under the squeak license since  a relicensing statement was obtained authorizing distribution under the mit license and finally in march  the end result was released as squeak  now under combined mit and apache licenses
",contribution squeak license relicensing statement obtained authorizing distribution mit license finally march end result released squeak combined mit apache licenses,7.29,"contribution,squeak,license,relicensing,statement,obtained,authorizing,distribution,mit,license,finally,march,end,result,released,squeak,combined,mit,apache,licenses",0.00,squeak
"the squeak virtual machine is a family of virtual machines  used in smalltalk programming language implementations they are an essential part of any smalltalk implementation all are open source software the current vm is a high performance dynamic translation system the relevant code is maintained in the opensmalltalkopensmalltalk vm repository on github
",squeak virtual machine family virtual machines smalltalk programming language implementations essential smalltalk implementation open source software current vm high performance dynamic translation system relevant code maintained opensmalltalkopensmalltalk vm repository github,6.16,"squeak,virtual,machine,family,virtual,machines,smalltalk,programming,language,implementations,essential,smalltalk,implementation,open,source,software,current,vm,high,performance,dynamic,translation,system,relevant,code,maintained,opensmalltalkopensmalltalk,vm,repository,github",0.00,squeak
