Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"stockholm syndrome is a proposed condition in which hostages develop a psychological bond with their captors it is supposed to result from a rather specific set of circumstances namely the power imbalances contained in hostage taking kidnapping and abusive relationships therefore it is difficult to find a large number of people who experience stockholm syndrome to conduct studies with any sort of power this makes it hard to determine trends in the development and effects of the conditionand in fact it is a contested illness due to doubts about the legitimacy of the condition
",stockholm syndrome proposed condition hostages develop psychological bond captors supposed result specific set circumstances power imbalances contained hostage taking kidnapping abusive relationships difficult find large number people experience stockholm syndrome conduct studies sort power makes hard determine trends development effects conditionand fact contested illness doubts legitimacy condition,8.08,"stockholm,syndrome,proposed,condition,hostages,develop,psychological,bond,captors,supposed,result,specific,set,circumstances,power,imbalances,contained,hostage,taking,kidnapping,abusive,relationships,difficult,find,large,number,people,experience,stockholm,syndrome,conduct,studies,sort,power,makes,hard,determine,trends,development,effects,conditionand,fact,contested,illness,doubts,legitimacy,condition",0.00,stockholm
"emotional bonds may be formed between captors and captives during intimate time together but these are generally considered irrational in light of the danger or risk endured by the victims stockholm syndrome has never been included in the diagnostic and statistical manual of mental disorders or dsm the standard tool for diagnosis of psychiatric illnesses and disorders in the us mainly due to the lack of a consistent body of academic research the syndrome is rare according to data from the fbi about  of hostage victims show evidence of stockholm syndrome
",emotional bonds formed captors captives intimate time generally considered irrational light danger risk endured victims stockholm syndrome included diagnostic statistical manual mental disorders dsm standard tool diagnosis psychiatric illnesses disorders mainly lack consistent body academic research syndrome rare according data fbi hostage victims evidence stockholm syndrome,8.04,"emotional,bonds,formed,captors,captives,intimate,time,generally,considered,irrational,light,danger,risk,endured,victims,stockholm,syndrome,included,diagnostic,statistical,manual,mental,disorders,dsm,standard,tool,diagnosis,psychiatric,illnesses,disorders,mainly,lack,consistent,body,academic,research,syndrome,rare,according,data,fbi,hostage,victims,evidence,stockholm,syndrome",0.00,stockholm
"this term was first used by the media in  when four hostages were taken during a bank robbery in stockholm sweden the hostages defended their captors after being released and would not agree to testify in court against them it was noted that in this case however the police were perceived to have acted with little care for the hostages safety providing an alternative reason for their unwillingness to testify stockholm syndrome is paradoxical because the sympathetic sentiments that captives feel towards their captors are the opposite of the fear and disdain which an onlooker might feel towards the captors
",term media hostages taken bank robbery stockholm sweden hostages defended captors released agree testify court noted case police perceived acted little care hostages safety providing alternative reason unwillingness testify stockholm syndrome paradoxical sympathetic sentiments captives feel captors opposite fear disdain onlooker feel captors,9.33,"term,media,hostages,taken,bank,robbery,stockholm,sweden,hostages,defended,captors,released,agree,testify,court,noted,case,police,perceived,acted,little,care,hostages,safety,providing,alternative,reason,unwillingness,testify,stockholm,syndrome,paradoxical,sympathetic,sentiments,captives,feel,captors,opposite,fear,disdain,onlooker,feel,captors",0.00,stockholm
"there are four key components that characterize stockholm syndrome
",key components characterize stockholm syndrome,5.97,"key,components,characterize,stockholm,syndrome",0.00,stockholm
"in  jan erik olsson a convict on parole took four employees  of kreditbanken one of the largest banks in stockholm sweden hostage during a failed bank robbery he negotiated the release from prison of his friend clark olofsson to assist him they held the hostages captive for six days  in one of the banks vaults when the hostages were released none of them would testify against either captor in court instead they began raising money for their defense
",jan erik olsson convict parole took employees kreditbanken largest banks stockholm sweden hostage failed bank robbery negotiated release prison friend clark olofsson assist held hostages captive days banks vaults hostages released testify captor court instead began raising money defense,8.61,"jan,erik,olsson,convict,parole,took,employees,kreditbanken,largest,banks,stockholm,sweden,hostage,failed,bank,robbery,negotiated,release,prison,friend,clark,olofsson,assist,held,hostages,captive,days,banks,vaults,hostages,released,testify,captor,court,instead,began,raising,money,defense",0.00,stockholm
"nils bejerot a swedish criminologist and psychiatrist coined the term after the stockholm police asked him for assistance with analyzing the victims reactions to the  bank robbery and their status as hostages as the idea of brainwashing was not a new concept bejerot speaking on a news cast after the captives release described the hostages reactions as a result of being brainwashed by their captors he called it norrmalmstorgssyndromet  meaning the norrmalmstorg syndrome it later became known outside sweden as stockholm syndrome it was originally defined by psychiatrist frank ochberg to aid the management of hostage situations
",nils bejerot swedish criminologist psychiatrist coined term stockholm police asked assistance analyzing victims reactions bank robbery status hostages idea brainwashing new concept bejerot speaking news cast captives release described hostages reactions result brainwashed captors called norrmalmstorgssyndromet meaning norrmalmstorg syndrome later known outside sweden stockholm syndrome originally defined psychiatrist frank ochberg aid management hostage situations,6.79,"nils,bejerot,swedish,criminologist,psychiatrist,coined,term,stockholm,police,asked,assistance,analyzing,victims,reactions,bank,robbery,status,hostages,idea,brainwashing,new,concept,bejerot,speaking,news,cast,captives,release,described,hostages,reactions,result,brainwashed,captors,called,norrmalmstorgssyndromet,meaning,norrmalmstorg,syndrome,later,known,outside,sweden,stockholm,syndrome,originally,defined,psychiatrist,frank,ochberg,aid,management,hostage,situations",0.00,stockholm
"patty hearst the granddaughter of publisher william randolph hearst was taken and held hostage by the symbionese liberation army an urban guerilla group in  she was recorded denouncing her family as well as the police under her new name tania and was later seen working with the sla to rob banks in san francisco she publicly asserted her sympathetic feelings toward the sla and their pursuits as well after her  arrest pleading stockholm syndrome  did not work as a proper defense in court much to the chagrin of her defense lawyer f lee bailey her seven year prison sentence was later commuted and she was eventually pardoned by president bill clinton who was informed that she was not acting under her own free will
",patty hearst granddaughter publisher william randolph hearst taken held hostage symbionese liberation army urban guerilla group recorded denouncing family police new tania later seen working sla rob banks san francisco publicly asserted sympathetic feelings sla pursuits arrest pleading stockholm syndrome work proper defense court chagrin defense lawyer f lee bailey seven year prison sentence later commuted eventually pardoned president bill clinton informed acting free,8.34,"patty,hearst,granddaughter,publisher,william,randolph,hearst,taken,held,hostage,symbionese,liberation,army,urban,guerilla,group,recorded,denouncing,family,police,new,tania,later,seen,working,sla,rob,banks,san,francisco,publicly,asserted,sympathetic,feelings,sla,pursuits,arrest,pleading,stockholm,syndrome,work,proper,defense,court,chagrin,defense,lawyer,f,lee,bailey,seven,year,prison,sentence,later,commuted,eventually,pardoned,president,bill,clinton,informed,acting,free",0.00,stockholm
"an inversion of stockholm syndrome called lima syndrome has been proposed in which abductors develop sympathy for their hostages an abductor may also have second thoughts or experience empathy towards their victims
",inversion stockholm syndrome called lima syndrome proposed abductors develop sympathy hostages abductor second thoughts experience empathy victims,6.98,"inversion,stockholm,syndrome,called,lima,syndrome,proposed,abductors,develop,sympathy,hostages,abductor,second,thoughts,experience,empathy,victims",0.00,stockholm
"victims of the formal definition of stockholm syndrome develop positive feelings toward their captors and sympathy for their causes and goals and negative feelings toward the police or authorities these symptoms often follow escaped victims back into their previously ordinary lives
",victims formal definition stockholm syndrome develop positive feelings captors sympathy causes goals negative feelings police authorities symptoms follow escaped victims previously ordinary lives,6.36,"victims,formal,definition,stockholm,syndrome,develop,positive,feelings,captors,sympathy,causes,goals,negative,feelings,police,authorities,symptoms,follow,escaped,victims,previously,ordinary,lives",0.00,stockholm
"robbins and anthony who had historically studied a condition similar to stockholm syndrome known as destructive cult disorder observed in their  study that the s were rich with apprehension surrounding the potential risks of brainwashing they assert that media attention to brainwashing during this time resulted in the fluid reception of stockholm syndrome as a psychological condition
",robbins anthony historically studied condition similar stockholm syndrome known destructive cult disorder observed study rich apprehension surrounding potential risks brainwashing assert media attention brainwashing time resulted fluid reception stockholm syndrome psychological condition,6.46,"robbins,anthony,historically,studied,condition,similar,stockholm,syndrome,known,destructive,cult,disorder,observed,study,rich,apprehension,surrounding,potential,risks,brainwashing,assert,media,attention,brainwashing,time,resulted,fluid,reception,stockholm,syndrome,psychological,condition",0.00,stockholm
