Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"stockholm lm  is the capital and largest city of sweden as well as the largest urban area in scandinavia approximately  people live in the municipality with  million in the urban area and  million in the metropolitan area the city stretches across fourteen islands where lake mlaren flows into the baltic sea outside the city to the east and along the coast is the island chain of the stockholm archipelago the area has been settled since the stone age in the th millennium because and was founded as a city in  by swedish statesman birger jarl it is also the county seat of stockholm county for several hundred years stockholm was the capital of finland as well  which was then a part of sweden the population of the municipality of stockholm is expected to reach one million people in 
",stockholm lm capital largest city sweden largest urban area scandinavia approximately people live municipality million urban area million metropolitan area city stretches fourteen islands lake mlaren flows baltic sea outside city east coast island chain stockholm archipelago area settled stone age th millennium founded city swedish statesman birger jarl county seat stockholm county years stockholm capital finland sweden population municipality stockholm expected reach million people,9.26,"stockholm,lm,capital,largest,city,sweden,largest,urban,area,scandinavia,approximately,people,live,municipality,million,urban,area,million,metropolitan,area,city,stretches,fourteen,islands,lake,mlaren,flows,baltic,sea,outside,city,east,coast,island,chain,stockholm,archipelago,area,settled,stone,age,th,millennium,founded,city,swedish,statesman,birger,jarl,county,seat,stockholm,county,years,stockholm,capital,finland,sweden,population,municipality,stockholm,expected,reach,million,people",0.00,stockholm
"stockholm is the cultural media political and economic centre of sweden the stockholm region alone accounts for over a third of the countrys gdp and is among the top  regions in europe by gdp per capita ranked as an alpha global city it is the largest in scandinavia and the main centre for corporate headquarters in the nordic region the city is home to some of europes top ranking universities such as the karolinska institute stockholm school of economics kth royal institute of technology and stockholm university it hosts the annual nobel prize ceremonies and banquet at the stockholm concert hall and stockholm city hall one of the citys most prized museums the vasa museum is the most visited non art museum in scandinavia the stockholm metro opened in  is well known for the decor of its stations it has been called the longest art gallery in the world swedens national football arena is located north of the city centre in solna avicii arena the national indoor arena is in the southern part of the city the city was the host of the  summer olympics
",stockholm cultural media political economic centre sweden stockholm region accounts countrys gdp regions europe gdp capita ranked alpha global city largest scandinavia main centre corporate headquarters nordic region city home europes ranking universities karolinska institute stockholm school economics kth royal institute technology stockholm university hosts annual nobel prize ceremonies banquet stockholm concert hall stockholm city hall citys prized museums vasa museum visited non art museum scandinavia stockholm metro opened known decor stations called longest art gallery world swedens national football arena located north city centre solna avicii arena national indoor arena southern city city host summer olympics,8.31,"stockholm,cultural,media,political,economic,centre,sweden,stockholm,region,accounts,countrys,gdp,regions,europe,gdp,capita,ranked,alpha,global,city,largest,scandinavia,main,centre,corporate,headquarters,nordic,region,city,home,europes,ranking,universities,karolinska,institute,stockholm,school,economics,kth,royal,institute,technology,stockholm,university,hosts,annual,nobel,prize,ceremonies,banquet,stockholm,concert,hall,stockholm,city,hall,citys,prized,museums,vasa,museum,visited,non,art,museum,scandinavia,stockholm,metro,opened,known,decor,stations,called,longest,art,gallery,world,swedens,national,football,arena,located,north,city,centre,solna,avicii,arena,national,indoor,arena,southern,city,city,host,summer,olympics",0.00,stockholm
"stockholm is the seat of the swedish government and most of its agencies including the highest courts in the judiciary and the official residencies of the swedish monarch and the prime minister the government has its seat in the rosenbad building the riksdag  is seated in the parliament house and the prime ministers residence is adjacent at sager house stockholm palace is the official residence and principal workplace of the swedish monarch while drottningholm palace in neighboring eker serves as the royal familys private residence
",stockholm seat swedish government agencies including highest courts judiciary official residencies swedish monarch prime minister government seat rosenbad building riksdag seated parliament house prime ministers residence adjacent sager house stockholm palace official residence principal workplace swedish monarch drottningholm palace neighboring eker serves royal familys private residence,7.25,"stockholm,seat,swedish,government,agencies,including,highest,courts,judiciary,official,residencies,swedish,monarch,prime,minister,government,seat,rosenbad,building,riksdag,seated,parliament,house,prime,ministers,residence,adjacent,sager,house,stockholm,palace,official,residence,principal,workplace,swedish,monarch,drottningholm,palace,neighboring,eker,serves,royal,familys,private,residence",0.00,stockholm
"after the ice age around  because there were already many people living in what is today the stockholm area but as temperatures dropped inhabitants moved south thousands of years later as the ground thawed the climate became tolerable and the lands became fertile people began to migrate back to the north at the intersection of the baltic sea and lake mlaren is an archipelago site where the old town of stockholm was first built from about  ce by vikings they had a positive trade impact on the area because of the trade routes they created
",ice age people living today stockholm area temperatures dropped inhabitants moved south thousands years later ground thawed climate tolerable lands fertile people began migrate north intersection baltic sea lake mlaren archipelago site old town stockholm built ce vikings positive trade impact area trade routes created,9.21,"ice,age,people,living,today,stockholm,area,temperatures,dropped,inhabitants,moved,south,thousands,years,later,ground,thawed,climate,tolerable,lands,fertile,people,began,migrate,north,intersection,baltic,sea,lake,mlaren,archipelago,site,old,town,stockholm,built,ce,vikings,positive,trade,impact,area,trade,routes,created",0.00,stockholm
"stockholms location appears in norse sagas as agnafit and in heimskringla in connection with the legendary king agne the earliest written mention of the name stockholm dates from  by which time the mines in bergslagen made it an important site in the iron trade the first part of the name  means log in swedish although it may also be connected to an old german word  meaning fortification the second part of the name  means islet and is thought to refer to the islet helgeandsholmen in central stockholm according to the eric chronicles the city is said to have been founded by birger jarl to protect sweden from sea invasions made by karelians after the pillage of sigtuna on lake mlaren in the summer of 
",stockholms location appears norse sagas agnafit heimskringla connection legendary king agne earliest written mention stockholm dates time mines bergslagen important site iron trade means log swedish connected old german word meaning fortification second means islet thought refer islet helgeandsholmen central stockholm according eric chronicles city said founded birger jarl protect sweden sea invasions karelians pillage sigtuna lake mlaren summer,9.18,"stockholms,location,appears,norse,sagas,agnafit,heimskringla,connection,legendary,king,agne,earliest,written,mention,stockholm,dates,time,mines,bergslagen,important,site,iron,trade,means,log,swedish,connected,old,german,word,meaning,fortification,second,means,islet,thought,refer,islet,helgeandsholmen,central,stockholm,according,eric,chronicles,city,said,founded,birger,jarl,protect,sweden,sea,invasions,karelians,pillage,sigtuna,lake,mlaren,summer",0.00,stockholm
"stockholms core the present old town  was built on the central island next to helgeandsholmen from the mid th century onward the city originally rose to prominence as a result of the baltic trade of the hanseatic league stockholm developed strong economic and cultural linkages with lbeck hamburg gdask visby reval and riga during this time between  and  stockholms city council was made up of  members half of whom were selected from the towns german speaking burghers
",stockholms core present old town built central island helgeandsholmen mid th century onward city originally rose prominence result baltic trade hanseatic league stockholm developed strong economic cultural linkages lbeck hamburg gdask visby reval riga time stockholms city council members half selected towns german speaking burghers,6.81,"stockholms,core,present,old,town,built,central,island,helgeandsholmen,mid,th,century,onward,city,originally,rose,prominence,result,baltic,trade,hanseatic,league,stockholm,developed,strong,economic,cultural,linkages,lbeck,hamburg,gdask,visby,reval,riga,time,stockholms,city,council,members,half,selected,towns,german,speaking,burghers",0.00,stockholm
"the strategic and economic importance of the city made stockholm an important factor in relations between the danish kings of the kalmar union and the national independence movement in the th century the danish king christian ii was able to enter the city in  on  november  a massacre of opposition figures called the stockholm bloodbath took place and set off further uprisings that eventually led to the breakup of the kalmar union with the accession of gustav vasa in  and the establishment of royal power the population of stockholm began to grow reaching  by 
",strategic economic importance city stockholm important factor relations danish kings kalmar union national independence movement th century danish king christian ii able enter city november massacre opposition figures called stockholm bloodbath took place set uprisings eventually led breakup kalmar union accession gustav vasa establishment royal power population stockholm began grow reaching,7.61,"strategic,economic,importance,city,stockholm,important,factor,relations,danish,kings,kalmar,union,national,independence,movement,th,century,danish,king,christian,ii,able,enter,city,november,massacre,opposition,figures,called,stockholm,bloodbath,took,place,set,uprisings,eventually,led,breakup,kalmar,union,accession,gustav,vasa,establishment,royal,power,population,stockholm,began,grow,reaching",0.00,stockholm
"the th century saw sweden grow into a major european power reflected in the development of the city of stockholm from  to  the population multiplied sixfold in  stockholm became the official capital of the swedish empire trading rules were also created that gave stockholm an essential monopoly over trade between foreign merchants and other swedish and scandinavian territories  in  tre kronor  burned and was replaced by stockholm palace
",th century saw sweden grow major european power reflected development city stockholm population multiplied sixfold stockholm official capital swedish empire trading rules created gave stockholm essential monopoly trade foreign merchants swedish scandinavian territories tre kronor burned replaced stockholm palace,6.59,"th,century,saw,sweden,grow,major,european,power,reflected,development,city,stockholm,population,multiplied,sixfold,stockholm,official,capital,swedish,empire,trading,rules,created,gave,stockholm,essential,monopoly,trade,foreign,merchants,swedish,scandinavian,territories,tre,kronor,burned,replaced,stockholm,palace",0.00,stockholm
"throughout swedens history walls were created in stockholm to defend the city from attacks these defensive walls were modified throughout the th to the th century in  the great stockholm fire of  destroyed the southwestern section of stadsholmen an island in the centre of stockholm the amount of destruction led to the beginning of the demolition of the stockholm walls today most of the younger city walls cannot be found anywhere above ground however parts of the northern city walls are preserved in the museum of medieval stockholm
",swedens history walls created stockholm defend city attacks defensive walls modified th th century great stockholm fire destroyed southwestern section stadsholmen island centre stockholm destruction led beginning demolition stockholm walls today younger city walls found ground parts northern city walls preserved museum medieval stockholm,8.19,"swedens,history,walls,created,stockholm,defend,city,attacks,defensive,walls,modified,th,th,century,great,stockholm,fire,destroyed,southwestern,section,stadsholmen,island,centre,stockholm,destruction,led,beginning,demolition,stockholm,walls,today,younger,city,walls,found,ground,parts,northern,city,walls,preserved,museum,medieval,stockholm",0.00,stockholm
"in  a plague killed about   of the population after the end of the great northern war the city stagnated population growth halted and economic growth slowed the city was in shock after having lost its place as the capital of a great power however stockholm maintained its role as the political centre of sweden and continued to develop culturally under gustav iii
",plague killed population end great northern war city stagnated population growth halted economic growth slowed city shock lost place capital great power stockholm maintained role political centre sweden continued develop culturally gustav iii,7.97,"plague,killed,population,end,great,northern,war,city,stagnated,population,growth,halted,economic,growth,slowed,city,shock,lost,place,capital,great,power,stockholm,maintained,role,political,centre,sweden,continued,develop,culturally,gustav,iii",0.00,stockholm
