Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"sudan  officially the republic of the sudan   is a country in northeast africa it is bordered with the central african republic to the southwest chad to the west egypt to the north eritrea to the northeast ethiopia to the southeast libya to the northwest south sudan to the south and the red sea it has a population of  million people as of  and occupies  square kilometres  making it africas third largest country by area and the third largest by area in the arab league it was the largest country by area in africa and the arab league until the secession of south sudan in  since which both titles have been held by algeria its capital city is khartoum and its most populous city is omdurman 
",sudan officially republic sudan country northeast africa bordered central african republic southwest chad west egypt north eritrea northeast ethiopia southeast libya northwest south sudan south red sea population million people occupies square kilometres making africas largest country area largest area arab league largest country area africa arab league secession south sudan titles held algeria capital city khartoum populous city omdurman,9.35,"sudan,officially,republic,sudan,country,northeast,africa,bordered,central,african,republic,southwest,chad,west,egypt,north,eritrea,northeast,ethiopia,southeast,libya,northwest,south,sudan,south,red,sea,population,million,people,occupies,square,kilometres,making,africas,largest,country,area,largest,area,arab,league,largest,country,area,africa,arab,league,secession,south,sudan,titles,held,algeria,capital,city,khartoum,populous,city,omdurman",0.00,sudan
"sudans history goes back to the pharaonic period witnessing the kingdom of kerma  the subsequent rule of the egyptian new kingdom  and the rise of the kingdom of kush  which would in turn control egypt itself for nearly a century after the fall of kush the nubians formed the three christian kingdoms of nobatia makuria and alodia with the latter two lasting until around  between the th and th centuries most of sudan was gradually settled by arab nomads from the th to the th centuries central and eastern sudan were dominated by the funj sultanate while darfur ruled the west and the ottomans the east
",sudans history goes pharaonic period witnessing kingdom kerma subsequent rule egyptian new kingdom rise kingdom kush turn control egypt nearly century fall kush nubians formed christian kingdoms nobatia makuria alodia lasting th th centuries sudan gradually settled arab nomads th th centuries central eastern sudan dominated funj sultanate darfur ruled west ottomans east,8.76,"sudans,history,goes,pharaonic,period,witnessing,kingdom,kerma,subsequent,rule,egyptian,new,kingdom,rise,kingdom,kush,turn,control,egypt,nearly,century,fall,kush,nubians,formed,christian,kingdoms,nobatia,makuria,alodia,lasting,th,th,centuries,sudan,gradually,settled,arab,nomads,th,th,centuries,central,eastern,sudan,dominated,funj,sultanate,darfur,ruled,west,ottomans,east",0.00,sudan
"during the mamluk and ottoman periods slave trade played a big role and was demanded from the sudanese kashif as the regular remittance of tribute in  mamluks established a state at dunqulah as a base for their slave trading under turco egyptian rule of sudan after the s the practice of trading slaves was entrenched along a northsouth axis with slave raids taking place in southern parts of the country and slaves being transported to egypt and the ottoman empire
",mamluk ottoman periods slave trade played big role demanded sudanese kashif regular remittance tribute mamluks established state dunqulah base slave trading turco egyptian rule sudan practice trading slaves entrenched northsouth axis slave raids taking place southern parts country slaves transported egypt ottoman empire,7.94,"mamluk,ottoman,periods,slave,trade,played,big,role,demanded,sudanese,kashif,regular,remittance,tribute,mamluks,established,state,dunqulah,base,slave,trading,turco,egyptian,rule,sudan,practice,trading,slaves,entrenched,northsouth,axis,slave,raids,taking,place,southern,parts,country,slaves,transported,egypt,ottoman,empire",0.00,sudan
"from the early th century the entirety of sudan was conquered by the egyptians under the muhammad ali dynasty it was under egyptian rule that sudan acquired its modern borders and began the process of political agricultural and economic development in  nationalist sentiment in egypt led to the orabi revolt weakening the power of the egyptian monarchy and eventually leading to the occupation of egypt by the united kingdom at the same time religious nationalist fervour in sudan erupted in the mahdist uprising led by the self proclaimed mahdi muhammad ahmad and resulting in the establishment of the caliphate of omdurman the mahdist forces were eventually defeated by a joint egyptian british military force restoring the authority of the egyptian monarch however egyptian sovereignty in sudan would henceforth be rather nominal as the true power in both egypt and sudan was now the united kingdom in  under british pressure egypt agreed to share sovereignty over sudan with the united kingdom as a condominium in effect sudan was governed as a british possession the th century saw the growth of both egyptian and sudanese nationalism focusing on ending the united kingdoms occupation the egyptian revolution of  toppled the monarchy and demanded the withdrawal of british forces from all of egypt and sudan muhammad naguib one of the two co leaders of the revolution and egypts first president who was half sudanese and had been raised in sudan made securing sudanese independence a priority of the revolutionary government the following year under egyptian and sudanese pressure the united kingdom agreed to egypts demand for both governments to terminate their shared sovereignty over sudan and to grant sudan independence on  january  sudan was duly declared an independent state
",early th century entirety sudan conquered egyptians muhammad ali dynasty egyptian rule sudan acquired modern borders began process political agricultural economic development nationalist sentiment egypt led orabi revolt weakening power egyptian monarchy eventually leading occupation egypt united kingdom time religious nationalist fervour sudan erupted mahdist uprising led self proclaimed mahdi muhammad ahmad resulting establishment caliphate omdurman mahdist forces eventually defeated joint egyptian british military force restoring authority egyptian monarch egyptian sovereignty sudan henceforth nominal true power egypt sudan united kingdom british pressure egypt agreed share sovereignty sudan united kingdom condominium effect sudan governed british possession th century saw growth egyptian sudanese nationalism focusing ending united kingdoms occupation egyptian revolution toppled monarchy demanded withdrawal british forces egypt sudan muhammad naguib co leaders revolution egypts president half sudanese raised sudan securing sudanese independence priority revolutionary government following year egyptian sudanese pressure united kingdom agreed egypts demand governments terminate shared sovereignty sudan grant sudan independence january sudan duly declared independent state,7.10,"early,th,century,entirety,sudan,conquered,egyptians,muhammad,ali,dynasty,egyptian,rule,sudan,acquired,modern,borders,began,process,political,agricultural,economic,development,nationalist,sentiment,egypt,led,orabi,revolt,weakening,power,egyptian,monarchy,eventually,leading,occupation,egypt,united,kingdom,time,religious,nationalist,fervour,sudan,erupted,mahdist,uprising,led,self,proclaimed,mahdi,muhammad,ahmad,resulting,establishment,caliphate,omdurman,mahdist,forces,eventually,defeated,joint,egyptian,british,military,force,restoring,authority,egyptian,monarch,egyptian,sovereignty,sudan,henceforth,nominal,true,power,egypt,sudan,united,kingdom,british,pressure,egypt,agreed,share,sovereignty,sudan,united,kingdom,condominium,effect,sudan,governed,british,possession,th,century,saw,growth,egyptian,sudanese,nationalism,focusing,ending,united,kingdoms,occupation,egyptian,revolution,toppled,monarchy,demanded,withdrawal,british,forces,egypt,sudan,muhammad,naguib,co,leaders,revolution,egypts,president,half,sudanese,raised,sudan,securing,sudanese,independence,priority,revolutionary,government,following,year,egyptian,sudanese,pressure,united,kingdom,agreed,egypts,demand,governments,terminate,shared,sovereignty,sudan,grant,sudan,independence,january,sudan,duly,declared,independent,state",0.00,sudan
"after sudan became independent the jaafar nimeiry regime began islamist rule this exacerbated the rift between the islamic north the seat of the government and the animists and christians in the south differences in language religion and political power erupted in a civil war between government forces influenced by the national islamic front  and the southern rebels whose most influential faction was the sudan peoples liberation army  which eventually led to the independence of south sudan in  between  and  sudan experienced a  year long military dictatorship led by omar al bashir who was accused of human rights abuses including torture persecution of minorities allegations of sponsoring global terrorism and ethnic genocide due to its actions in the war in the darfur region that broke out in  overall the regimes actions killed an estimated  to  people protests erupted in  demanding bashirs resignation which resulted in a coup dtat on  april  and bashirs imprisonment
",sudan independent jaafar nimeiry regime began islamist rule exacerbated rift islamic north seat government animists christians south differences language religion political power erupted civil war government forces influenced national islamic southern rebels influential faction sudan peoples liberation army eventually led independence south sudan sudan experienced year long military dictatorship led omar al bashir accused human rights abuses including torture persecution minorities allegations sponsoring global terrorism ethnic genocide actions war darfur region broke overall regimes actions killed estimated people protests erupted demanding bashirs resignation resulted coup dtat april bashirs imprisonment,6.42,"sudan,independent,jaafar,nimeiry,regime,began,islamist,rule,exacerbated,rift,islamic,north,seat,government,animists,christians,south,differences,language,religion,political,power,erupted,civil,war,government,forces,influenced,national,islamic,southern,rebels,influential,faction,sudan,peoples,liberation,army,eventually,led,independence,south,sudan,sudan,experienced,year,long,military,dictatorship,led,omar,al,bashir,accused,human,rights,abuses,including,torture,persecution,minorities,allegations,sponsoring,global,terrorism,ethnic,genocide,actions,war,darfur,region,broke,overall,regimes,actions,killed,estimated,people,protests,erupted,demanding,bashirs,resignation,resulted,coup,dtat,april,bashirs,imprisonment",0.00,sudan
"islam was sudans state religion and islamic laws were applied from  until  when the country became a secular state sudan is a developing country and ranks nd on the human development index as of  sudan has a lower middle income economy which largely relies on agriculture due to long term international sanctions and isolation as well as a long history of internal instability and factional violence over  of sudans population lives in poverty sudan is a member of the united nations the arab league african union comesa non aligned movement and the organisation of islamic cooperation
",islam sudans state religion islamic laws applied country secular state sudan developing country ranks nd human development index sudan lower middle income economy largely relies agriculture long term international sanctions isolation long history internal instability factional violence sudans population lives poverty sudan member united nations arab league african union comesa non aligned movement organisation islamic cooperation,6.83,"islam,sudans,state,religion,islamic,laws,applied,country,secular,state,sudan,developing,country,ranks,nd,human,development,index,sudan,lower,middle,income,economy,largely,relies,agriculture,long,term,international,sanctions,isolation,long,history,internal,instability,factional,violence,sudans,population,lives,poverty,sudan,member,united,nations,arab,league,african,union,comesa,non,aligned,movement,organisation,islamic,cooperation",0.00,sudan
"the countrys name sudan is a name given historically to the large sahel region of west africa to the immediate west of modern day sudan historically sudan referred to both the geographical region stretching from senegal on the atlantic coast to northeast africa and the modern sudan the name derives from the arabic bild as sdn  or the land of the blacks the name is one of various toponyms sharing similar etymologies in reference to the more or less dark skin of the inhabitants prior to this sudan was known as nubia and ta nehesi or ta seti by ancient egyptians named for the nubian and medjay archers or bow men
",countrys sudan given historically large sahel region west africa immediate west modern day sudan historically sudan referred geographical region stretching senegal atlantic coast northeast africa modern sudan derives arabic bild sdn land blacks toponyms sharing similar etymologies reference dark skin inhabitants prior sudan known nubia ta nehesi ta seti ancient egyptians named nubian medjay archers bow men,8.75,"countrys,sudan,given,historically,large,sahel,region,west,africa,immediate,west,modern,day,sudan,historically,sudan,referred,geographical,region,stretching,senegal,atlantic,coast,northeast,africa,modern,sudan,derives,arabic,bild,sdn,land,blacks,toponyms,sharing,similar,etymologies,reference,dark,skin,inhabitants,prior,sudan,known,nubia,ta,nehesi,ta,seti,ancient,egyptians,named,nubian,medjay,archers,bow,men",0.00,sudan
"from the late thth century makurias capital dongola was in decline and alodias capital declined in the th century as well in the th and th centuries bedouin tribes overran most of sudan migrating to the butana the gezira kordofan and darfur in  a civil war forced the makurian court to flee to gebel adda in lower nubia while dongola was destroyed and left to the arabs afterwards makuria continued to exist only as a petty kingdom after the prosperous reign of king joel  makuria collapsed coastal areas from southern sudan up to the port city of suakin was succeeded by the adal sultanate in the fifteenth century to the south the kingdom of alodia fell to either the arabs commanded by tribal leader abdallah jamma or the funj an african people originating from the south datings range from the th century after the hijra  the late th century  to  an alodian rump state might have survived in the form of the kingdom of fazughli lasting until 
",late thth century makurias capital dongola decline alodias capital declined th century th th centuries bedouin tribes overran sudan migrating butana gezira kordofan darfur civil war forced makurian court flee gebel adda lower nubia dongola destroyed left arabs makuria continued exist petty kingdom prosperous reign king joel makuria collapsed coastal areas southern sudan port city suakin succeeded adal sultanate fifteenth century south kingdom alodia fell arabs commanded tribal leader abdallah jamma funj african people originating south datings range th century hijra late th century alodian rump state survived form kingdom fazughli lasting,7.92,"late,thth,century,makurias,capital,dongola,decline,alodias,capital,declined,th,century,th,th,centuries,bedouin,tribes,overran,sudan,migrating,butana,gezira,kordofan,darfur,civil,war,forced,makurian,court,flee,gebel,adda,lower,nubia,dongola,destroyed,left,arabs,makuria,continued,exist,petty,kingdom,prosperous,reign,king,joel,makuria,collapsed,coastal,areas,southern,sudan,port,city,suakin,succeeded,adal,sultanate,fifteenth,century,south,kingdom,alodia,fell,arabs,commanded,tribal,leader,abdallah,jamma,funj,african,people,originating,south,datings,range,th,century,hijra,late,th,century,alodian,rump,state,survived,form,kingdom,fazughli,lasting",0.00,sudan
"in  the funj are recorded to have founded the kingdom of sennar in which abdallah jammas realm was incorporated by  when jewish traveler david reubeni visited sudan the funj state already extended as far north as dongola meanwhile islam began to be preached on the nile by sufi holymen who settled there in the th and th centuries and by david reubenis visit king amara dunqas previously a pagan or nominal christian was recorded to be muslim however the funj would retain un islamic customs like the divine kingship or the consumption of alcohol until the th century sudanese folk islam preserved many rituals stemming from christian traditions until the recent past
",funj recorded founded kingdom sennar abdallah jammas realm incorporated jewish traveler david reubeni visited sudan funj state extended far north dongola islam began preached nile sufi holymen settled th th centuries david reubenis visit king amara dunqas previously pagan nominal christian recorded muslim funj retain un islamic customs like divine kingship consumption alcohol th century sudanese folk islam preserved rituals stemming christian traditions recent past,7.04,"funj,recorded,founded,kingdom,sennar,abdallah,jammas,realm,incorporated,jewish,traveler,david,reubeni,visited,sudan,funj,state,extended,far,north,dongola,islam,began,preached,nile,sufi,holymen,settled,th,th,centuries,david,reubenis,visit,king,amara,dunqas,previously,pagan,nominal,christian,recorded,muslim,funj,retain,un,islamic,customs,like,divine,kingship,consumption,alcohol,th,century,sudanese,folk,islam,preserved,rituals,stemming,christian,traditions,recent,past",0.00,sudan
"the coup of  kicked off a policy of pursuing a more orthodox islam which in turn promoted the arabisation of the state in order to legitimise their rule over their arab subjects the funj began to propagate an umayyad descend north of the confluence of the blue and white niles as far downstream as al dabbah the nubians adopted the tribal identity of the arab jaalin until the th century arabic had succeeded in becoming the dominant language of central riverine sudan and most of kordofan
",coup kicked policy pursuing orthodox islam turn promoted arabisation state order legitimise rule arab subjects funj began propagate umayyad descend north confluence blue white niles far downstream al dabbah nubians adopted tribal identity arab jaalin th century arabic succeeded dominant language central riverine sudan kordofan,8.37,"coup,kicked,policy,pursuing,orthodox,islam,turn,promoted,arabisation,state,order,legitimise,rule,arab,subjects,funj,began,propagate,umayyad,descend,north,confluence,blue,white,niles,far,downstream,al,dabbah,nubians,adopted,tribal,identity,arab,jaalin,th,century,arabic,succeeded,dominant,language,central,riverine,sudan,kordofan",0.00,sudan
