Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"swedenf formally the kingdom of swedeng is a nordic country located on the scandinavian peninsula in northern europe it borders norway to the west and north finland to the east and is connected to denmark in the southwest by a bridgetunnel across the resund at  square kilometres  sweden is the largest nordic country the third largest country in the european union and the fifth largest country in europe the capital and largest city is stockholm sweden has a total population of  million and a low population density of  inhabitants per square kilometre  with around  of swedes residing in urban areas which cover  of the entire land area in the central and southern half of the country
",swedenf formally kingdom swedeng nordic country located scandinavian peninsula northern europe borders norway west north finland east connected denmark southwest bridgetunnel resund square kilometres sweden largest nordic country largest country european union fifth largest country europe capital largest city stockholm sweden total population million low population density inhabitants square kilometre swedes residing urban areas cover entire land area central southern half country,7.84,"swedenf,formally,kingdom,swedeng,nordic,country,located,scandinavian,peninsula,northern,europe,borders,norway,west,north,finland,east,connected,denmark,southwest,bridgetunnel,resund,square,kilometres,sweden,largest,nordic,country,largest,country,european,union,fifth,largest,country,europe,capital,largest,city,stockholm,sweden,total,population,million,low,population,density,inhabitants,square,kilometre,swedes,residing,urban,areas,cover,entire,land,area,central,southern,half,country",0.00,sweden
"nature in sweden is dominated by forests and many lakes including some of the largest in europe many long rivers run from the scandes range through the landscape primarily emptying into the northern tributaries of the baltic sea it has an extensive coastline and most of the population lives near a major body of water with the country ranging from n to n the climate of sweden is diverse due to the length of the country the usual conditions are mild for the latitudes with a maritime south continental centre and subarctic north snow cover is variable in the densely populated south but reliable in higher latitudes furthermore the rain shadow of the scandes results in quite dry winters and sunny summers in much of the country
",nature sweden dominated forests lakes including largest europe long rivers run scandes range landscape primarily emptying northern tributaries baltic sea extensive coastline population lives near major body water country ranging n n climate sweden diverse length country usual conditions mild latitudes maritime south continental centre subarctic north snow cover variable densely populated south reliable higher latitudes furthermore rain shadow scandes results dry winters sunny summers country,8.34,"nature,sweden,dominated,forests,lakes,including,largest,europe,long,rivers,run,scandes,range,landscape,primarily,emptying,northern,tributaries,baltic,sea,extensive,coastline,population,lives,near,major,body,water,country,ranging,n,n,climate,sweden,diverse,length,country,usual,conditions,mild,latitudes,maritime,south,continental,centre,subarctic,north,snow,cover,variable,densely,populated,south,reliable,higher,latitudes,furthermore,rain,shadow,scandes,results,dry,winters,sunny,summers,country",0.00,sweden
"germanic peoples have inhabited sweden since prehistoric times emerging into history as the geats  and swedes  and constituting the sea peoples known as the norsemen an independent swedish state emerged during the early th century after the black death in the middle of the th century killed about a third of the scandinavian population the dominance of the hanseatic league in northern europe threatened scandinavia economically and politically this led to the forming of the scandinavian kalmar union in  which sweden left in  when sweden became involved in the thirty years war on the protestant side an expansion of its territories began forming the swedish empire which remained one of the great powers of europe until the early th century
",germanic peoples inhabited sweden prehistoric times emerging history geats swedes constituting sea peoples known norsemen independent swedish state emerged early th century black death middle th century killed scandinavian population dominance hanseatic league northern europe threatened scandinavia economically politically led forming scandinavian kalmar union sweden left sweden involved thirty years war protestant expansion territories began forming swedish empire remained great powers europe early th century,7.38,"germanic,peoples,inhabited,sweden,prehistoric,times,emerging,history,geats,swedes,constituting,sea,peoples,known,norsemen,independent,swedish,state,emerged,early,th,century,black,death,middle,th,century,killed,scandinavian,population,dominance,hanseatic,league,northern,europe,threatened,scandinavia,economically,politically,led,forming,scandinavian,kalmar,union,sweden,left,sweden,involved,thirty,years,war,protestant,expansion,territories,began,forming,swedish,empire,remained,great,powers,europe,early,th,century",0.00,sweden
"swedish territories outside the scandinavian peninsula were gradually lost during the th and th centuries ending with the annexation of present day finland by russia in  the last war in which sweden was directly involved was in  when norway was militarily forced into a personal union which peacefully dissolved in  in  sweden celebrated  years of peace a longer span of peacetime than even switzerland sweden maintained an official policy of neutrality during wartime and non participation in military alliances during peacetime although sweden secretly relied on yous nuclear submarines during the cold war sweden has since  joined eu battlegroups provided intelligence to nato and since  openly moved towards cooperation with nato
",swedish territories outside scandinavian peninsula gradually lost th th centuries ending annexation present day finland russia war sweden directly involved norway militarily forced personal union peacefully dissolved sweden celebrated years peace longer span peacetime switzerland sweden maintained official policy neutrality wartime non participation military alliances peacetime sweden secretly relied yous nuclear submarines cold war sweden joined eu battlegroups provided intelligence nato openly moved cooperation nato,6.27,"swedish,territories,outside,scandinavian,peninsula,gradually,lost,th,th,centuries,ending,annexation,present,day,finland,russia,war,sweden,directly,involved,norway,militarily,forced,personal,union,peacefully,dissolved,sweden,celebrated,years,peace,longer,span,peacetime,switzerland,sweden,maintained,official,policy,neutrality,wartime,non,participation,military,alliances,peacetime,sweden,secretly,relied,yous,nuclear,submarines,cold,war,sweden,joined,eu,battlegroups,provided,intelligence,nato,openly,moved,cooperation,nato",0.00,sweden
"sweden is a highly developed country ranked seventh in the human development index it is a constitutional monarchy and a parliamentary democracy with legislative power vested in the  member unicameral riksdag it is a unitary state currently divided into  counties and  municipalities sweden maintains a nordic social welfare system that provides universal health care and tertiary education for its citizens it has the worlds th highest gdp per capita and ranks very highly in quality of life health education protection of civil liberties economic competitiveness income equality gender equality and prosperity sweden joined the european union on  january  but rejected eurozone membership following a referendum it is also a member of the united nations the nordic council the council of europe the world trade organization and the organisation for economic co operation and development 
",sweden highly developed country ranked seventh human development index constitutional monarchy parliamentary democracy legislative power vested member unicameral riksdag unitary state currently divided counties municipalities sweden maintains nordic social welfare system provides universal health care tertiary education citizens worlds th highest gdp capita ranks highly quality life health education protection civil liberties economic competitiveness income equality gender equality prosperity sweden joined european union january rejected eurozone membership following referendum member united nations nordic council council europe world trade organization organisation economic co operation development,5.62,"sweden,highly,developed,country,ranked,seventh,human,development,index,constitutional,monarchy,parliamentary,democracy,legislative,power,vested,member,unicameral,riksdag,unitary,state,currently,divided,counties,municipalities,sweden,maintains,nordic,social,welfare,system,provides,universal,health,care,tertiary,education,citizens,worlds,th,highest,gdp,capita,ranks,highly,quality,life,health,education,protection,civil,liberties,economic,competitiveness,income,equality,gender,equality,prosperity,sweden,joined,european,union,january,rejected,eurozone,membership,following,referendum,member,united,nations,nordic,council,council,europe,world,trade,organization,organisation,economic,co,operation,development",0.00,sweden
"the name for sweden is generally agreed to derive from the proto indo european root se meaning ones own referring to ones own tribe from the tribal period the native swedish name sverige  translates as realm of the swedes which excluded the geats in gtaland
",sweden generally agreed derive proto indo european root se meaning ones referring ones tribe tribal period native swedish sverige translates realm swedes excluded geats gtaland,7.75,"sweden,generally,agreed,derive,proto,indo,european,root,se,meaning,ones,referring,ones,tribe,tribal,period,native,swedish,sverige,translates,realm,swedes,excluded,geats,gtaland",0.00,sweden
"the contemporary english variation was derived in the th century from middle dutch and middle low german as early as  references are found in middle dutch referring to a lande van sweden  with swede as the singular form in old english the country was known as swoland or sworce and in early modern english as swedeland some finnic languages such as finnish and estonian use the terms ruotsi and rootsi these variations refer to the rus people who inhabited the coastal areas of roslagen in uppland and who gave their name to russia
",contemporary english variation derived th century middle dutch middle low german early references found middle dutch referring lande van sweden swede singular form old english country known swoland sworce early modern english swedeland finnic languages finnish estonian use terms ruotsi rootsi variations refer rus people inhabited coastal areas roslagen uppland gave russia,7.71,"contemporary,english,variation,derived,th,century,middle,dutch,middle,low,german,early,references,found,middle,dutch,referring,lande,van,sweden,swede,singular,form,old,english,country,known,swoland,sworce,early,modern,english,swedeland,finnic,languages,finnish,estonian,use,terms,ruotsi,rootsi,variations,refer,rus,people,inhabited,coastal,areas,roslagen,uppland,gave,russia",0.00,sweden
"sweden and its people were first described by publius cornelius tacitus in his written work germania  in germania  and  he mentions the swedes  as a powerful tribe  with ships that had a prow at each end  which kings  ruled these suiones is unknown but norse mythology presents a long line of legendary and semi legendary kings going back to the last centuries because as for literacy in sweden itself the runic script was in use among the south scandinavian elite by at least the second century ad but all that has come down to the present from the roman period is curt inscriptions on artefacts mainly of male names demonstrating that the people of south scandinavia spoke proto norse at the time a language ancestral to swedish and other north germanic languages
",sweden people described publius cornelius tacitus written work germania germania mentions swedes powerful tribe ships prow end kings ruled suiones unknown norse mythology presents long line legendary semi legendary kings going centuries literacy sweden runic script use south scandinavian elite second century ad come present roman period curt inscriptions artefacts mainly male names demonstrating people south scandinavia spoke proto norse time language ancestral swedish north germanic languages,8.49,"sweden,people,described,publius,cornelius,tacitus,written,work,germania,germania,mentions,swedes,powerful,tribe,ships,prow,end,kings,ruled,suiones,unknown,norse,mythology,presents,long,line,legendary,semi,legendary,kings,going,centuries,literacy,sweden,runic,script,use,south,scandinavian,elite,second,century,ad,come,present,roman,period,curt,inscriptions,artefacts,mainly,male,names,demonstrating,people,south,scandinavia,spoke,proto,norse,time,language,ancestral,swedish,north,germanic,languages",0.00,sweden
"the actions of these swedish vikings are commemorated on many runestones in sweden such as the greece runestones and the varangian runestones there was also considerable participation in expeditions westwards which are commemorated on stones such as the england runestones the last major swedish viking expedition appears to have been the ill fated expedition of ingvar the far travelled to serkland the region south east of the caspian sea its members are commemorated on the ingvar runestones none of which mentions any survivor what happened to the crew is unknown but it is believed that they died of sickness
",actions swedish vikings commemorated runestones sweden greece runestones varangian runestones considerable participation expeditions westwards commemorated stones england runestones major swedish viking expedition appears ill fated expedition ingvar far travelled serkland region south east caspian sea members commemorated ingvar runestones mentions survivor happened crew unknown believed died sickness,8.47,"actions,swedish,vikings,commemorated,runestones,sweden,greece,runestones,varangian,runestones,considerable,participation,expeditions,westwards,commemorated,stones,england,runestones,major,swedish,viking,expedition,appears,ill,fated,expedition,ingvar,far,travelled,serkland,region,south,east,caspian,sea,members,commemorated,ingvar,runestones,mentions,survivor,happened,crew,unknown,believed,died,sickness",0.00,sweden
"it is not known when and how the kingdom of sweden was born but the list of swedish monarchs is drawn from the first kings known to have ruled both svealand  and gtaland  as one province beginning with eric the victorious sweden and gothia were two separate nations long before that and since antiquitycitation needed it is not known how long they existed the epic poem beowulf describes semi legendary swedish geatish wars in the sixth century gtaland in this sense mainly includes the provinces of stergtland  and vstergtland  the island of gotland was disputed by other than swedes at this time  smland was at that time of little interest to anyone due to the deep pine forests and only the city of kalmar with its castle was of importance the south west parts of the scandinavian peninsula consisted of three danish provinces  north of halland denmark had a direct border to norway and its province bohusln but there were swedish settlements along the southern coastline of norrland
",known kingdom sweden born list swedish monarchs drawn kings known ruled svealand gtaland province beginning eric victorious sweden gothia separate nations long antiquitycitation needed known long existed epic poem beowulf describes semi legendary swedish geatish wars sixth century gtaland sense mainly includes provinces stergtland vstergtland island gotland disputed swedes time smland time little interest deep pine forests city kalmar castle importance south west parts scandinavian peninsula consisted danish provinces north halland denmark direct border norway province bohusln swedish settlements southern coastline norrland,8.71,"known,kingdom,sweden,born,list,swedish,monarchs,drawn,kings,known,ruled,svealand,gtaland,province,beginning,eric,victorious,sweden,gothia,separate,nations,long,antiquitycitation,needed,known,long,existed,epic,poem,beowulf,describes,semi,legendary,swedish,geatish,wars,sixth,century,gtaland,sense,mainly,includes,provinces,stergtland,vstergtland,island,gotland,disputed,swedes,time,smland,time,little,interest,deep,pine,forests,city,kalmar,castle,importance,south,west,parts,scandinavian,peninsula,consisted,danish,provinces,north,halland,denmark,direct,border,norway,province,bohusln,swedish,settlements,southern,coastline,norrland",0.00,sweden
