Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the krona  plural kronor sign kr code sek is the official currency of the kingdom of sweden both the iso code sek and currency sign kr are in common use the former precedes or follows the value the latter usually follows it but especially in the past it sometimes preceded the value in english the currency is sometimes referred to as the swedish crown as krona means crown in swedish the swedish krona was the ninth most traded currency in the world by value in april 
",krona plural kronor sign kr code sek official currency kingdom sweden iso code sek currency sign kr common use precedes follows value usually follows especially past preceded value english currency referred swedish crown krona means crown swedish swedish krona ninth traded currency world value april,8.72,"krona,plural,kronor,sign,kr,code,sek,official,currency,kingdom,sweden,iso,code,sek,currency,sign,kr,common,use,precedes,follows,value,usually,follows,especially,past,preceded,value,english,currency,referred,swedish,crown,krona,means,crown,swedish,swedish,krona,ninth,traded,currency,world,value,april",0.00,krona
"one krona is subdivided into  re  however all re coins were discontinued from  september  goods can still be priced in re but all sums are rounded to the nearest krona when paying with cash the word re is ultimately derived from the latin word for gold 
",krona subdivided coins discontinued september goods priced sums rounded nearest krona paying cash word ultimately derived latin word gold,10.63,"krona,subdivided,coins,discontinued,september,goods,priced,sums,rounded,nearest,krona,paying,cash,word,ultimately,derived,latin,word,gold",0.00,krona
"the introduction of the krona which replaced at par the riksdaler was a result of the scandinavian monetary union which came into effect in  and lasted until the beginning of world war i the parties to the union were the scandinavian countries where the name was krona in sweden and krone in denmark and norway which in english literally means crown the three currencies were on the gold standard with the kronakrone defined as  of a kilogram of pure gold
",introduction krona replaced par riksdaler result scandinavian monetary union came effect lasted beginning world war parties union scandinavian countries krona sweden krone denmark norway english literally means crown currencies gold standard kronakrone defined kilogram pure gold,9.65,"introduction,krona,replaced,par,riksdaler,result,scandinavian,monetary,union,came,effect,lasted,beginning,world,war,parties,union,scandinavian,countries,krona,sweden,krone,denmark,norway,english,literally,means,crown,currencies,gold,standard,kronakrone,defined,kilogram,pure,gold",0.00,krona
"on  september  the riksbank announced a new series of coins with new sizes to replace the  and  krona coins which arrived in october  the design of the coins follows the theme of singer songwriter ted grdestads song sol vind och vatten  with the designs depicting the elements on the reverse side of the coins this also included the reintroduction of the  krona coin while the current  krona coin remained the same the new coins also have a new portrait of the king in their design one of the reasons for a new series of coins is to end the use of nickel  vending machines and parking meters have to a fairly high degree stopped accepting coins and accept only bank cards or mobile phone payments
",september riksbank announced new series coins new sizes replace krona coins arrived october design coins follows theme singer songwriter ted grdestads song sol vind och vatten designs depicting elements reverse coins included reintroduction krona coin current krona coin remained new coins new portrait king design reasons new series coins end use nickel vending machines parking meters fairly high degree stopped accepting coins accept bank cards mobile phone payments,8.18,"september,riksbank,announced,new,series,coins,new,sizes,replace,krona,coins,arrived,october,design,coins,follows,theme,singer,songwriter,ted,grdestads,song,sol,vind,och,vatten,designs,depicting,elements,reverse,coins,included,reintroduction,krona,coin,current,krona,coin,remained,new,coins,new,portrait,king,design,reasons,new,series,coins,end,use,nickel,vending,machines,parking,meters,fairly,high,degree,stopped,accepting,coins,accept,bank,cards,mobile,phone,payments",0.00,krona
"between  and  coins in denominations of      and  re and    and  kronor were introduced the   and  re were in bronze the      re and  krona and  kronor were in silver and the   and  kronor were in gold gold  kronor coins were added in 
",coins denominations kronor introduced bronze krona kronor silver kronor gold gold kronor coins added,11.44,"coins,denominations,kronor,introduced,bronze,krona,kronor,silver,kronor,gold,gold,kronor,coins,added",0.00,krona
"in  the scandinavian monetary union currency was fixed so that  kronor purchased  kg of gold in  the price of gold is  kronor per kg so one re in  bought as much gold as  kronor in  so if it is reasonable to have the smallest denomination coin  krona today in  a reasonable smallest denomination coin was  re a  kr gold coin weighed  grams with  fineness so that the fine weight was  grams or exactly th of a kilogram
",scandinavian monetary union currency fixed kronor purchased kg gold price gold kronor kg bought gold kronor reasonable smallest denomination coin krona today reasonable smallest denomination coin kr gold coin weighed grams fineness fine weight grams exactly th kilogram,9.33,"scandinavian,monetary,union,currency,fixed,kronor,purchased,kg,gold,price,gold,kronor,kg,bought,gold,kronor,reasonable,smallest,denomination,coin,krona,today,reasonable,smallest,denomination,coin,kr,gold,coin,weighed,grams,fineness,fine,weight,grams,exactly,th,kilogram",0.00,krona
"in  the  kronor switched to cupronickel and the  krona switched to cupronickel clad copper  nonetheless all previous mintages of the  krona  and  kronor  were still legal tender until  though  kronor coins were extremely rarely seen in circulation as they have not been issued since  the  kronor coins contained  silver until  which meant they had been for several years worth much more than face value so most have been bought and melted down by arbitrageurs and the rest are kept by collectors
",kronor switched cupronickel krona switched cupronickel clad copper nonetheless previous mintages krona kronor legal tender kronor coins extremely rarely seen circulation issued kronor coins contained silver meant years worth face value bought melted arbitrageurs rest kept collectors,8.87,"kronor,switched,cupronickel,krona,switched,cupronickel,clad,copper,nonetheless,previous,mintages,krona,kronor,legal,tender,kronor,coins,extremely,rarely,seen,circulation,issued,kronor,coins,contained,silver,meant,years,worth,face,value,bought,melted,arbitrageurs,rest,kept,collectors",0.00,krona
"in   and   kronor silver coins were produced with designs similar to contemporary  krona and  kronor coins in  a new smaller  kronor coin was introduced struck in cupronickel clad nickel the current design has been produced since   kronor coins minted since  are legal tender but tend to be kept by collectors for their silver content
",kronor silver coins produced designs similar contemporary krona kronor coins new smaller kronor coin introduced struck cupronickel clad nickel current design produced kronor coins minted legal tender tend kept collectors silver content,6.57,"kronor,silver,coins,produced,designs,similar,contemporary,krona,kronor,coins,new,smaller,kronor,coin,introduced,struck,cupronickel,clad,nickel,current,design,produced,kronor,coins,minted,legal,tender,tend,kept,collectors,silver,content",0.00,krona
"in  notes were introduced by the riksbank in denominations of  krona and     and  kronor the  krona was only initially issued for two years although it reappeared between  and  in  and   krona notes were issued
",notes introduced riksbank denominations krona kronor krona initially issued years reappeared krona notes issued,9.48,"notes,introduced,riksbank,denominations,krona,kronor,krona,initially,issued,years,reappeared,krona,notes,issued",0.00,krona
"production of the  kronor note ceased in  although a coin had been issued since  with the introduction of a  krona coin in  production of  krona notes ceased and a  kronor note was introduced
",production kronor note ceased coin issued introduction krona coin production krona notes ceased kronor note introduced,8.85,"production,kronor,note,ceased,coin,issued,introduction,krona,coin,production,krona,notes,ceased,kronor,note,introduced",0.00,krona
