Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"switzerland officially the swiss confederation is a landlocked country located at the confluence of western central and southern europef it is bordered by italy to the south france to the west germany to the north and austria and liechtenstein to the east 
",switzerland officially swiss confederation landlocked country located confluence western central southern europef bordered italy south france west germany north austria liechtenstein east,7.78,"switzerland,officially,swiss,confederation,landlocked,country,located,confluence,western,central,southern,europef,bordered,italy,south,france,west,germany,north,austria,liechtenstein,east",0.00,switzerland
"switzerland is geographically divided among the swiss plateau the alps and the jura the alps occupy the greater part of the territory whereas the swiss population of approximately  million is concentrated mostly on the plateau where the largest cities and economic centres are located including zrich geneva and basel 
",switzerland geographically divided swiss plateau alps jura alps occupy greater territory swiss population approximately million concentrated plateau largest cities economic centres located including zrich geneva basel,7.21,"switzerland,geographically,divided,swiss,plateau,alps,jura,alps,occupy,greater,territory,swiss,population,approximately,million,concentrated,plateau,largest,cities,economic,centres,located,including,zrich,geneva,basel",0.00,switzerland
"switzerland originates from the old swiss confederacy established in the late middle ages following a series of military successes against austria and burgundy the federal charter of  is considered the countrys founding document since the reformation of the th century switzerland has maintained a policy of armed neutrality swiss independence from the holy roman empire was formally recognised in the peace of westphalia in  switzerland has not fought an international war since  it joined the united nations only in  though it pursues an active foreign policy including participation in frequent peace building processes worldwide switzerland is the birthplace of the red cross one of the worlds oldest and best known humanitarian organisations and hosts the headquarters or offices of most major international institutions including the wto the who the ilo fifa and the united nations it is a founding member of the european free trade association  but not part of the european union  the european economic area or the eurozone however it participates in the european single market and the schengen area through bilateral treaties 
",switzerland originates old swiss confederacy established late middle ages following series military successes austria burgundy federal charter considered countrys founding document reformation th century switzerland maintained policy armed neutrality swiss independence holy roman empire formally recognised peace westphalia switzerland fought international war joined united nations pursues active foreign policy including participation frequent peace building processes worldwide switzerland birthplace red cross worlds oldest best known humanitarian organisations hosts headquarters offices major international institutions including wto ilo fifa united nations founding member european free trade association european union european economic area eurozone participates european single market schengen area bilateral treaties,6.78,"switzerland,originates,old,swiss,confederacy,established,late,middle,ages,following,series,military,successes,austria,burgundy,federal,charter,considered,countrys,founding,document,reformation,th,century,switzerland,maintained,policy,armed,neutrality,swiss,independence,holy,roman,empire,formally,recognised,peace,westphalia,switzerland,fought,international,war,joined,united,nations,pursues,active,foreign,policy,including,participation,frequent,peace,building,processes,worldwide,switzerland,birthplace,red,cross,worlds,oldest,best,known,humanitarian,organisations,hosts,headquarters,offices,major,international,institutions,including,wto,ilo,fifa,united,nations,founding,member,european,free,trade,association,european,union,european,economic,area,eurozone,participates,european,single,market,schengen,area,bilateral,treaties",0.00,switzerland
"switzerland is a federal republic composed of  cantons with federal authorities based in berna it has four main linguistic and cultural regions german french italian and romansh although most swiss are german speaking national identity is rooted in a common historical background shared values such as federalism and direct democracy and alpine symbolism this identity transcends language ethnicity and religion leading to switzerland being described as a willensnationcode deu promoted to code de   rather than a nation state
",switzerland federal republic composed cantons federal authorities based berna main linguistic cultural regions german french italian romansh swiss german speaking national identity rooted common historical background shared values federalism direct democracy alpine symbolism identity transcends language ethnicity religion leading switzerland described willensnationcode deu promoted code de nation state,5.69,"switzerland,federal,republic,composed,cantons,federal,authorities,based,berna,main,linguistic,cultural,regions,german,french,italian,romansh,swiss,german,speaking,national,identity,rooted,common,historical,background,shared,values,federalism,direct,democracy,alpine,symbolism,identity,transcends,language,ethnicity,religion,leading,switzerland,described,willensnationcode,deu,promoted,code,de,nation,state",0.00,switzerland
"due to its linguistic diversity switzerland is known by multiple native names schweizcode deu promoted to code de  vats gh suisse sis audio   svizzeracode ita promoted to code it  zvittsera  and svizracode roh promoted to code rm  vitsr vits i on coins and stamps the latin name confoederatio helveticacode lat promoted to code la   frequently shortened to helvetia  is used instead of the spoken languages
",linguistic diversity switzerland known multiple native names schweizcode deu promoted code de vats gh suisse sis audio svizzeracode ita promoted code zvittsera svizracode roh promoted code rm vitsr vits coins stamps latin confoederatio helveticacode lat promoted code la frequently shortened helvetia instead spoken languages,5.16,"linguistic,diversity,switzerland,known,multiple,native,names,schweizcode,deu,promoted,code,de,vats,gh,suisse,sis,audio,svizzeracode,ita,promoted,code,zvittsera,svizracode,roh,promoted,code,rm,vitsr,vits,coins,stamps,latin,confoederatio,helveticacode,lat,promoted,code,la,frequently,shortened,helvetia,instead,spoken,languages",0.00,switzerland
"switzerland is one of the worlds most developed countries it has the highest nominal wealth per adult of any country and the eighth highest gross domestic product per capita switzerland ranks first in the human development index since  and performs highly also on several international metrics including economic competitiveness and democratic governance cities such as zrich geneva and basel rank among the highest in terms of quality of life albeit with some of the highest costs of living
",switzerland worlds developed countries highest nominal wealth adult country eighth highest gross domestic product capita switzerland ranks human development index performs highly international metrics including economic competitiveness democratic governance cities zrich geneva basel rank highest terms quality life albeit highest costs living,7.32,"switzerland,worlds,developed,countries,highest,nominal,wealth,adult,country,eighth,highest,gross,domestic,product,capita,switzerland,ranks,human,development,index,performs,highly,international,metrics,including,economic,competitiveness,democratic,governance,cities,zrich,geneva,basel,rank,highest,terms,quality,life,albeit,highest,costs,living",0.00,switzerland
"the english name switzerland is a portmanteau of switzer an obsolete term for a swiss person which was in use during the th to th centuries and land the english adjective swiss is a loanword from french suisse also in use since the th century the name switzer is from the alemannic schwiizer in origin an inhabitant of schwyz and its associated territory one of the waldstttecode deu promoted to code de  cantons which formed the nucleus of the old swiss confederacy the swiss began to adopt the name for themselves after the swabian war of  used alongside the term for confederates eidgenossencode deu promoted to code de   used since the th century the data code for switzerland ch is derived from latin confoederatio helveticacode lat promoted to code la  
",english switzerland portmanteau switzer obsolete term swiss person use th th centuries land english adjective swiss loanword french suisse use th century switzer alemannic schwiizer origin inhabitant schwyz associated territory waldstttecode deu promoted code de cantons formed nucleus old swiss confederacy swiss began adopt swabian war alongside term confederates eidgenossencode deu promoted code de th century data code switzerland ch derived latin confoederatio helveticacode lat promoted code la,8.16,"english,switzerland,portmanteau,switzer,obsolete,term,swiss,person,use,th,th,centuries,land,english,adjective,swiss,loanword,french,suisse,use,th,century,switzer,alemannic,schwiizer,origin,inhabitant,schwyz,associated,territory,waldstttecode,deu,promoted,code,de,cantons,formed,nucleus,old,swiss,confederacy,swiss,began,adopt,swabian,war,alongside,term,confederates,eidgenossencode,deu,promoted,code,de,th,century,data,code,switzerland,ch,derived,latin,confoederatio,helveticacode,lat,promoted,code,la",0.00,switzerland
"the state of switzerland took its present form with the adoption of the swiss federal constitution in  switzerlands precursors established a defensive alliance in  forming a loose confederation that persisted for centuries
",state switzerland took present form adoption swiss federal constitution switzerlands precursors established defensive alliance forming loose confederation persisted centuries,5.83,"state,switzerland,took,present,form,adoption,swiss,federal,constitution,switzerlands,precursors,established,defensive,alliance,forming,loose,confederation,persisted,centuries",0.00,switzerland
"the oldest traces of hominid existence in switzerland date to about  years ago the oldest known farming settlements in switzerland which were found at gchlingen date to around  because
",oldest traces hominid existence switzerland date years ago oldest known farming settlements switzerland found gchlingen date,7.03,"oldest,traces,hominid,existence,switzerland,date,years,ago,oldest,known,farming,settlements,switzerland,found,gchlingen,date",0.00,switzerland
"the earliest known tribes formed the hallstatt and la tne cultures named after the archaeological site of la tne on the north side of lake neuchtel la tne culture developed and flourished during the late iron age from around  because possibly influenced by greek and etruscan civilisations one of the most important tribal groups was the helvetii steadily harassed by germanic tribes in  because the helvetii decided to abandon the swiss plateau and migrate to western gallia julius caesars armies pursued and defeated them at the battle of bibracte in todays eastern france forcing the tribe to move back to its homeland in  because tiberius  and his brother drusus conquered the alps integrating them into the roman empire the area occupied by the helvetii first became part of romes gallia belgica province and then of its germania superior province the eastern portion of modern switzerland was integrated into the roman province of raetia sometime around the start of the common era the romans maintained a large camp called vindonissa now a ruin at the confluence of the aare and reuss rivers near the town of windisch
",earliest known tribes formed hallstatt la tne cultures named archaeological site la tne north lake neuchtel la tne culture developed flourished late iron age possibly influenced greek etruscan civilisations important tribal groups helvetii steadily harassed germanic tribes helvetii decided abandon swiss plateau migrate western gallia julius caesars armies pursued defeated battle bibracte todays eastern france forcing tribe homeland tiberius brother drusus conquered alps integrating roman empire area occupied helvetii romes gallia belgica province germania superior province eastern portion modern switzerland integrated roman province raetia start common era romans maintained large camp called vindonissa ruin confluence aare reuss rivers near town windisch,7.56,"earliest,known,tribes,formed,hallstatt,la,tne,cultures,named,archaeological,site,la,tne,north,lake,neuchtel,la,tne,culture,developed,flourished,late,iron,age,possibly,influenced,greek,etruscan,civilisations,important,tribal,groups,helvetii,steadily,harassed,germanic,tribes,helvetii,decided,abandon,swiss,plateau,migrate,western,gallia,julius,caesars,armies,pursued,defeated,battle,bibracte,todays,eastern,france,forcing,tribe,homeland,tiberius,brother,drusus,conquered,alps,integrating,roman,empire,area,occupied,helvetii,romes,gallia,belgica,province,germania,superior,province,eastern,portion,modern,switzerland,integrated,roman,province,raetia,start,common,era,romans,maintained,large,camp,called,vindonissa,ruin,confluence,aare,reuss,rivers,near,town,windisch",0.00,switzerland
