Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"syria  officially the syrian arab republic  is a western asian country located in the eastern mediterranean and the levant it is a unitary republic that consists of  governorates  and is bordered by the mediterranean sea to the west turkey to the north iraq to the east and southeast jordan to the south and israel and lebanon to the southwest cyprus lies to the west across the mediterranean sea a country of fertile plains high mountains and deserts syria is home to diverse ethnic and religious groups including the majority syrian arabs kurds turkmens assyrians armenians circassians albanians and greeks religious groups include muslims christians alawites druze and yazidis the capital and largest city of syria is damascus arabs are the largest ethnic group and muslims are the largest religious group syria is the only country that is governed by baathism an ideology that advocates arab socialism and arab nationalism 
",syria officially syrian arab republic western asian country located eastern mediterranean levant unitary republic consists governorates bordered mediterranean sea west turkey north iraq east southeast jordan south israel lebanon southwest cyprus lies west mediterranean sea country fertile plains high mountains deserts syria home diverse ethnic religious groups including majority syrian arabs kurds turkmens assyrians armenians circassians albanians greeks religious groups include muslims christians alawites druze yazidis capital largest city syria damascus arabs largest ethnic group muslims largest religious group syria country governed baathism ideology advocates arab socialism arab nationalism,6.47,"syria,officially,syrian,arab,republic,western,asian,country,located,eastern,mediterranean,levant,unitary,republic,consists,governorates,bordered,mediterranean,sea,west,turkey,north,iraq,east,southeast,jordan,south,israel,lebanon,southwest,cyprus,lies,west,mediterranean,sea,country,fertile,plains,high,mountains,deserts,syria,home,diverse,ethnic,religious,groups,including,majority,syrian,arabs,kurds,turkmens,assyrians,armenians,circassians,albanians,greeks,religious,groups,include,muslims,christians,alawites,druze,yazidis,capital,largest,city,syria,damascus,arabs,largest,ethnic,group,muslims,largest,religious,group,syria,country,governed,baathism,ideology,advocates,arab,socialism,arab,nationalism",0.00,syria
"the name syria historically referred to a wider region broadly synonymous with the levant and known in arabic as al sham the modern state encompasses the sites of several ancient kingdoms and empires including the eblan civilization of the rd millennium because aleppo and the capital city damascus are among the oldest continuously inhabited cities in the world in the islamic era damascus was the seat of the umayyad caliphate and a provincial capital of the mamluk sultanate in egypt the modern syrian state was established in the mid th century after centuries of ottoman rule after a period as a french mandate  the newly created state represented the largest arab state to emerge from the formerly ottoman ruled syrian provinces it gained de jure independence as a democratic parliamentary republic on  october  when the republic of syria became a founding member of the united nations an act which legally ended the former french mandate 
",syria historically referred wider region broadly synonymous levant known arabic al sham modern state encompasses sites ancient kingdoms empires including eblan civilization rd millennium aleppo capital city damascus oldest continuously inhabited cities world islamic era damascus seat umayyad caliphate provincial capital mamluk sultanate egypt modern syrian state established mid th century centuries ottoman rule period french mandate newly created state represented largest arab state emerge ottoman ruled syrian provinces gained de jure independence democratic parliamentary republic october republic syria founding member united nations act legally ended french mandate,7.08,"syria,historically,referred,wider,region,broadly,synonymous,levant,known,arabic,al,sham,modern,state,encompasses,sites,ancient,kingdoms,empires,including,eblan,civilization,rd,millennium,aleppo,capital,city,damascus,oldest,continuously,inhabited,cities,world,islamic,era,damascus,seat,umayyad,caliphate,provincial,capital,mamluk,sultanate,egypt,modern,syrian,state,established,mid,th,century,centuries,ottoman,rule,period,french,mandate,newly,created,state,represented,largest,arab,state,emerge,ottoman,ruled,syrian,provinces,gained,de,jure,independence,democratic,parliamentary,republic,october,republic,syria,founding,member,united,nations,act,legally,ended,french,mandate",0.00,syria
"the post independence period was tumultuous with multiple military coups and coup attempts shaking the country between  and  in  syria entered a brief union with egypt called the united arab republic which was terminated by the  syrian coup dtat the republic was renamed as the arab republic of syria in late  after the december  constitutional referendum of that year a significant event was the  coup dtat carried out by the military committee of the arab socialist baath party which established a one party state syria was under emergency law from  to  effectively suspending the constitutional protections for citizens internal power struggles within neo baathist factions caused further coups in  and  which eventually resulted in the seizure of power by general hafez al assad assad assigned alawite loyalists to key posts in the armed forces bureaucracy mukhabarat and the ruling elite effectively establishing an alawi minority rule to consolidate power within his family
",post independence period tumultuous multiple military coups coup attempts shaking country syria entered brief union egypt called united arab republic terminated syrian coup dtat republic renamed arab republic syria late december constitutional referendum year significant event coup dtat carried military committee arab socialist baath party established party state syria emergency law effectively suspending constitutional protections citizens internal power struggles neo baathist factions caused coups eventually resulted seizure power general hafez al assad assad assigned alawite loyalists key posts armed forces bureaucracy mukhabarat ruling elite effectively establishing alawi minority rule consolidate power family,6.12,"post,independence,period,tumultuous,multiple,military,coups,coup,attempts,shaking,country,syria,entered,brief,union,egypt,called,united,arab,republic,terminated,syrian,coup,dtat,republic,renamed,arab,republic,syria,late,december,constitutional,referendum,year,significant,event,coup,dtat,carried,military,committee,arab,socialist,baath,party,established,party,state,syria,emergency,law,effectively,suspending,constitutional,protections,citizens,internal,power,struggles,neo,baathist,factions,caused,coups,eventually,resulted,seizure,power,general,hafez,al,assad,assad,assigned,alawite,loyalists,key,posts,armed,forces,bureaucracy,mukhabarat,ruling,elite,effectively,establishing,alawi,minority,rule,consolidate,power,family",0.00,syria
"after the death of hafez al assad in  his son bashar al assad inherited the presidency and political system centred around a cult of personality to al assad family the baath regime has been condemned for numerous human rights abuses including frequent executions of citizens and political prisoners massive censorship and for financing a multi billion dollar illicit drug trade syria is a member of one international organization other than the united nations the non aligned movement following its violent suppression of arab spring protests of the  syrian revolution the syrian government was suspended from the arab league in november  and self suspended from the union for the mediterranean in december 
since july  syria has been embroiled in a multi sided civil war with the involvement of different countries the organisation of islamic cooperation suspended syria in august  citing deep concern at the massacres and inhuman acts perpetrated by forces loyal to bashar al assada as of  three political entities  the syrian interim government syrian salvation government and rojava  have emerged in syrian territory to challenge assads rule
",death hafez al assad son bashar al assad inherited presidency political system centred cult personality al assad family baath regime condemned numerous human rights abuses including frequent executions citizens political prisoners massive censorship financing multi billion dollar illicit drug trade syria member international organization united nations non aligned movement following violent suppression arab spring protests syrian revolution syrian government suspended arab league november self suspended union mediterranean december july syria embroiled multi sided civil war involvement different countries organisation islamic cooperation suspended syria august citing deep concern massacres inhuman acts perpetrated forces loyal bashar al assada political entities syrian interim government syrian salvation government rojava emerged syrian territory challenge assads rule,5.85,"death,hafez,al,assad,son,bashar,al,assad,inherited,presidency,political,system,centred,cult,personality,al,assad,family,baath,regime,condemned,numerous,human,rights,abuses,including,frequent,executions,citizens,political,prisoners,massive,censorship,financing,multi,billion,dollar,illicit,drug,trade,syria,member,international,organization,united,nations,non,aligned,movement,following,violent,suppression,arab,spring,protests,syrian,revolution,syrian,government,suspended,arab,league,november,self,suspended,union,mediterranean,december,july,syria,embroiled,multi,sided,civil,war,involvement,different,countries,organisation,islamic,cooperation,suspended,syria,august,citing,deep,concern,massacres,inhuman,acts,perpetrated,forces,loyal,bashar,al,assada,political,entities,syrian,interim,government,syrian,salvation,government,rojava,emerged,syrian,territory,challenge,assads,rule",0.00,syria
"syria was ranked last on the global peace index from  to  making it the most violent country in the world due to the war syria is the most corrupt country in the mena region and was ranked the second lowest  globally on the  corruption perceptions indexb the syrian civil war has killed more than  people with pro assad forces causing more than  of the total civilian casualtiesc the war led to the syrian refugee crisis with an estimated  million internally displaced people  and over  million refugees  making population assessment difficult in recent years the war has also worsened economic conditions with more than  of population living under poverty and  of syrians face food insecurityd
",syria ranked global peace index making violent country world war syria corrupt country mena region ranked second lowest globally corruption perceptions indexb syrian civil war killed people pro assad forces causing total civilian casualtiesc war led syrian refugee crisis estimated million internally displaced people million refugees making population assessment difficult recent years war worsened economic conditions population living poverty syrians face food insecurityd,7.34,"syria,ranked,global,peace,index,making,violent,country,world,war,syria,corrupt,country,mena,region,ranked,second,lowest,globally,corruption,perceptions,indexb,syrian,civil,war,killed,people,pro,assad,forces,causing,total,civilian,casualtiesc,war,led,syrian,refugee,crisis,estimated,million,internally,displaced,people,million,refugees,making,population,assessment,difficult,recent,years,war,worsened,economic,conditions,population,living,poverty,syrians,face,food,insecurityd",0.00,syria
"several sources indicate that the name syria is derived from the th century because luwian term surai and the derivative ancient greek name  srioi or  sroi both of which originally derived from aare  in northern mesopotamia  however from the seleucid empire  this term was also applied to the levant and from this point the greeks applied the term without distinction between the assyrians of mesopotamia and arameans of the levant mainstream modern academic opinion strongly favors the argument that the greek word is related to the cognate  assyria ultimately derived from the akkadian ayou are the greek name appears to correspond to phoenician are assur rym assyrians recorded in the th century because ineky inscription
",sources indicate syria derived th century luwian term surai derivative ancient greek srioi sroi originally derived aare northern mesopotamia seleucid empire term applied levant point greeks applied term distinction assyrians mesopotamia arameans levant mainstream modern academic opinion strongly favors argument greek word related cognate assyria ultimately derived akkadian ayou greek appears correspond phoenician assur rym assyrians recorded th century ineky inscription,7.45,"sources,indicate,syria,derived,th,century,luwian,term,surai,derivative,ancient,greek,srioi,sroi,originally,derived,aare,northern,mesopotamia,seleucid,empire,term,applied,levant,point,greeks,applied,term,distinction,assyrians,mesopotamia,arameans,levant,mainstream,modern,academic,opinion,strongly,favors,argument,greek,word,related,cognate,assyria,ultimately,derived,akkadian,ayou,greek,appears,correspond,phoenician,assur,rym,assyrians,recorded,th,century,ineky,inscription",0.00,syria
"the area designated by the word has changed over time classically syria lies at the eastern end of the mediterranean between arabia to the south and asia minor to the north stretching inland to include parts of iraq and having an uncertain border to the northeast that pliny the elder describes as including from west to east commagene sophene and adiabene
",area designated word changed time classically syria lies eastern end mediterranean arabia south asia minor north stretching inland include parts iraq uncertain border northeast pliny elder describes including west east commagene sophene adiabene,7.84,"area,designated,word,changed,time,classically,syria,lies,eastern,end,mediterranean,arabia,south,asia,minor,north,stretching,inland,include,parts,iraq,uncertain,border,northeast,pliny,elder,describes,including,west,east,commagene,sophene,adiabene",0.00,syria
"by plinys time however this larger syria had been divided into a number of provinces under the roman empire  judaea later renamed palaestina in ad   in the extreme southwest phoenice  corresponding to modern lebanon damascus and homs regions coele syria  and south of the eleutheris river
",plinys time larger syria divided number provinces roman empire judaea later renamed palaestina ad extreme southwest phoenice corresponding modern lebanon damascus homs regions coele syria south eleutheris river,6.23,"plinys,time,larger,syria,divided,number,provinces,roman,empire,judaea,later,renamed,palaestina,ad,extreme,southwest,phoenice,corresponding,modern,lebanon,damascus,homs,regions,coele,syria,south,eleutheris,river",0.00,syria
"since approximately  because syria was one of the centers of neolithic culture  where agriculture and cattle breeding first began to appear the neolithic period  is represented by rectangular houses of mureybet culture at the time of the pre pottery neolithic people used containers made of stone gyps and burnt lime  the discovery of obsidian tools from anatolia are evidence of early trade the ancient cities of hamoukar and emar played an important role during the late neolithic and bronze age archaeologists have demonstrated that civilization in syria was one of the most ancient on earth perhaps preceded by only that of mesopotamia
",approximately syria centers neolithic culture agriculture cattle breeding began appear neolithic period represented rectangular houses mureybet culture time pre pottery neolithic people containers stone gyps burnt lime discovery obsidian tools anatolia evidence early trade ancient cities hamoukar emar played important role late neolithic bronze age archaeologists demonstrated civilization syria ancient earth preceded mesopotamia,7.66,"approximately,syria,centers,neolithic,culture,agriculture,cattle,breeding,began,appear,neolithic,period,represented,rectangular,houses,mureybet,culture,time,pre,pottery,neolithic,people,containers,stone,gyps,burnt,lime,discovery,obsidian,tools,anatolia,evidence,early,trade,ancient,cities,hamoukar,emar,played,important,role,late,neolithic,bronze,age,archaeologists,demonstrated,civilization,syria,ancient,earth,preceded,mesopotamia",0.00,syria
"the earliest recorded indigenous civilization in the region was the kingdom of ebla near present day idlib northern syria ebla appears to have been founded around  because and gradually built its fortune through trade with the mesopotamian states of sumer assyria and akkad as well as with the hurrian and hattian peoples to the northwest in asia minor gifts from pharaohs found during excavations confirm eblas contact with egypt
",earliest recorded indigenous civilization region kingdom ebla near present day idlib northern syria ebla appears founded gradually built fortune trade mesopotamian states sumer assyria akkad hurrian hattian peoples northwest asia minor gifts pharaohs found excavations confirm eblas contact egypt,6.96,"earliest,recorded,indigenous,civilization,region,kingdom,ebla,near,present,day,idlib,northern,syria,ebla,appears,founded,gradually,built,fortune,trade,mesopotamian,states,sumer,assyria,akkad,hurrian,hattian,peoples,northwest,asia,minor,gifts,pharaohs,found,excavations,confirm,eblas,contact,egypt",0.00,syria
