Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the syrian civil war  is an ongoing multi sided civil war in syria fought between the syrian arab republic led by syrian president bashar al assad  and various domestic and foreign forces that oppose both the syrian government and each other in varying combinations
",syrian civil war ongoing multi sided civil war syria fought syrian arab republic led syrian president bashar al assad domestic foreign forces oppose syrian government varying combinations,6.39,"syrian,civil,war,ongoing,multi,sided,civil,war,syria,fought,syrian,arab,republic,led,syrian,president,bashar,al,assad,domestic,foreign,forces,oppose,syrian,government,varying,combinations",0.00,syria
"unrest in syria began on  march  as part of the wider  arab spring protests out of discontent with the syrian government eventually escalating to an armed conflict after protests calling for assads removal were violently suppressed the war is currently being fought by several factions the syrian armed forces and its domestic and international allies represent the syrian arab republic and the assad regime opposed to it is the syrian interim government a big tent alliance of pro democratic nationalist opposition groups  another faction is the syrian salvation government a coalition of sunni islamist rebel groups headed by tahrir al sham independent of all of them is the de facto autonomous territory of rojava whose armed wing is the mixed kurdish arab syrian democratic forces  other competing factions include salafi jihadist organisations such as the al qaeda affiliated al nusra front and the islamic state  the peak of the war was during  violence in the country has since diminished but the situation remains a crisis
",unrest syria began march wider arab spring protests discontent syrian government eventually escalating armed conflict protests calling assads removal violently suppressed war currently fought factions syrian armed forces domestic international allies represent syrian arab republic assad regime opposed syrian interim government big tent alliance pro democratic nationalist opposition groups faction syrian salvation government coalition sunni islamist rebel groups headed tahrir al sham independent de facto autonomous territory rojava armed wing mixed kurdish arab syrian democratic forces competing factions include salafi jihadist organisations al qaeda affiliated al nusra islamic state peak war violence country diminished situation remains crisis,6.60,"unrest,syria,began,march,wider,arab,spring,protests,discontent,syrian,government,eventually,escalating,armed,conflict,protests,calling,assads,removal,violently,suppressed,war,currently,fought,factions,syrian,armed,forces,domestic,international,allies,represent,syrian,arab,republic,assad,regime,opposed,syrian,interim,government,big,tent,alliance,pro,democratic,nationalist,opposition,groups,faction,syrian,salvation,government,coalition,sunni,islamist,rebel,groups,headed,tahrir,al,sham,independent,de,facto,autonomous,territory,rojava,armed,wing,mixed,kurdish,arab,syrian,democratic,forces,competing,factions,include,salafi,jihadist,organisations,al,qaeda,affiliated,al,nusra,islamic,state,peak,war,violence,country,diminished,situation,remains,crisis",0.00,syria
"a number of foreign countries such as iran russia turkey and the united states have either directly involved themselves in the conflict or provided support to one or another faction iran russia and hezbollah support the syrian arab republic and the syrian armed forces militarily with russia conducting airstrikes and ground operations since september  the yous led international coalition established in  with the declared purpose of countering isil has conducted airstrikes primarily against isil as well as some against government and pro government targets they have also deployed special forces and artillery units to engage isil on the ground since  the yous has supported the autonomous administration of north and east syria and its armed wing the syrian democratic forces  materially financially and logistically turkish forces have fought the sdf isil and the syrian government since  but have also actively supported the syrian opposition and currently occupy large swaths of northwestern syria while engaging in significant ground combat between  and  fighting from the syrian civil war spilled over into lebanon as opponents and supporters of the syrian government traveled to lebanon to fight and attack each other on lebanese soil with isil and al nusra also engaging the lebanese army furthermore while officially neutral israel has exchanged border fire and carried out repeated strikes against hezbollah and iranian forces whose presence in western syria it views as a threat
",number foreign countries iran russia turkey united states directly involved conflict provided support faction iran russia hezbollah support syrian arab republic syrian armed forces militarily russia conducting airstrikes ground operations september yous led international coalition established declared purpose countering isil conducted airstrikes primarily isil government pro government targets deployed special forces artillery units engage isil ground yous supported autonomous administration north east syria armed wing syrian democratic forces materially financially logistically turkish forces fought sdf isil syrian government actively supported syrian opposition currently occupy large swaths northwestern syria engaging significant ground combat fighting syrian civil war spilled lebanon opponents supporters syrian government traveled lebanon fight attack lebanese soil isil al nusra engaging lebanese army furthermore officially neutral israel exchanged border fire carried repeated strikes hezbollah iranian forces presence western syria views threat,6.49,"number,foreign,countries,iran,russia,turkey,united,states,directly,involved,conflict,provided,support,faction,iran,russia,hezbollah,support,syrian,arab,republic,syrian,armed,forces,militarily,russia,conducting,airstrikes,ground,operations,september,yous,led,international,coalition,established,declared,purpose,countering,isil,conducted,airstrikes,primarily,isil,government,pro,government,targets,deployed,special,forces,artillery,units,engage,isil,ground,yous,supported,autonomous,administration,north,east,syria,armed,wing,syrian,democratic,forces,materially,financially,logistically,turkish,forces,fought,sdf,isil,syrian,government,actively,supported,syrian,opposition,currently,occupy,large,swaths,northwestern,syria,engaging,significant,ground,combat,fighting,syrian,civil,war,spilled,lebanon,opponents,supporters,syrian,government,traveled,lebanon,fight,attack,lebanese,soil,isil,al,nusra,engaging,lebanese,army,furthermore,officially,neutral,israel,exchanged,border,fire,carried,repeated,strikes,hezbollah,iranian,forces,presence,western,syria,views,threat",0.00,syria
"the war has resulted in an estimated  deaths making the syrian civil war the second deadliest conflict of the st century after the second congo war international organizations have accused virtually all sides involved the assad regime isil opposition groups iran russia turkey and the yous led coalition of severe human rights violations and massacres the conflict has caused a major refugee crisis with millions fleeing mainly to neighboring countries turkey lebanon and jordan over the course of the war a number of peace initiatives have been launched including the march  geneva peace talks on syria led by the united nations but fighting has continued
",war resulted estimated deaths making syrian civil war second deadliest conflict st century second congo war international organizations accused virtually sides involved assad regime isil opposition groups iran russia turkey yous led coalition severe human rights violations massacres conflict caused major refugee crisis millions fleeing mainly neighboring countries turkey lebanon jordan course war number peace initiatives launched including march geneva peace talks syria led united nations fighting continued,5.63,"war,resulted,estimated,deaths,making,syrian,civil,war,second,deadliest,conflict,st,century,second,congo,war,international,organizations,accused,virtually,sides,involved,assad,regime,isil,opposition,groups,iran,russia,turkey,yous,led,coalition,severe,human,rights,violations,massacres,conflict,caused,major,refugee,crisis,millions,fleeing,mainly,neighboring,countries,turkey,lebanon,jordan,course,war,number,peace,initiatives,launched,including,march,geneva,peace,talks,syria,led,united,nations,fighting,continued",0.00,syria
"the non religious baath syrian regional branch government came to power through a coup dtat in  for several years syria went through additional coups and changes in leadership until in march  general hafez al assad an alawite declared himself president it marked the beginning of the domination of personality cults centred around the assad dynasty that pervaded all aspects of syrian daily life and was accompanied by a systematic suppression of civil and political freedoms becoming the central feature of state propaganda authority in baathist syria is monopolised by three power centres alawite clans baath party and the armed forces glued together by unwavering allegiance towards the assad dynasty
",non religious baath syrian regional branch government came power coup dtat years syria went additional coups changes leadership march general hafez al assad alawite declared president marked beginning domination personality cults centred assad dynasty pervaded aspects syrian daily life accompanied systematic suppression civil political freedoms central feature state propaganda authority baathist syria monopolised power centres alawite clans baath party armed forces glued unwavering allegiance assad dynasty,6.11,"non,religious,baath,syrian,regional,branch,government,came,power,coup,dtat,years,syria,went,additional,coups,changes,leadership,march,general,hafez,al,assad,alawite,declared,president,marked,beginning,domination,personality,cults,centred,assad,dynasty,pervaded,aspects,syrian,daily,life,accompanied,systematic,suppression,civil,political,freedoms,central,feature,state,propaganda,authority,baathist,syria,monopolised,power,centres,alawite,clans,baath,party,armed,forces,glued,unwavering,allegiance,assad,dynasty",0.00,syria
"the syrian regional branch remained the dominant political authority in what had been a one party state until the first multi party election to the peoples council of syria was held in  on  january  hafez al assad implemented a new constitution leading to a national crisis the  constitution entrusted arab socialist baath party with the distinctive role as the leader of the state and society empowering it to mobilise the civilians for party programmes issue decrees to ascertain their loyalty and supervise all legal trade unions baathist ideology was imposed upon children as compulsory part of school curriculum and syrian armed forces were tightly controlled to the party the constitution removed islam from being recognised as the state religion and stripped existing provisions such as the president of syria being required to be a muslim these measures caused widespread furore amongst the public leading to fierce demonstrations in hama homs and aleppo organized by the muslim brotherhood and the ulama assad regime violently crushed the islamic revolts that occurred during  waged by revolutionaries from the syrian muslim brotherhood
",syrian regional branch remained dominant political authority party state multi party election peoples council syria held january hafez al assad implemented new constitution leading national crisis constitution entrusted arab socialist baath party distinctive role leader state society empowering mobilise civilians party programmes issue decrees ascertain loyalty supervise legal trade unions baathist ideology imposed children compulsory school curriculum syrian armed forces tightly controlled party constitution removed islam recognised state religion stripped existing provisions president syria required muslim measures caused widespread furore public leading fierce demonstrations hama homs aleppo organized muslim brotherhood ulama assad regime violently crushed islamic revolts occurred waged revolutionaries syrian muslim brotherhood,6.54,"syrian,regional,branch,remained,dominant,political,authority,party,state,multi,party,election,peoples,council,syria,held,january,hafez,al,assad,implemented,new,constitution,leading,national,crisis,constitution,entrusted,arab,socialist,baath,party,distinctive,role,leader,state,society,empowering,mobilise,civilians,party,programmes,issue,decrees,ascertain,loyalty,supervise,legal,trade,unions,baathist,ideology,imposed,children,compulsory,school,curriculum,syrian,armed,forces,tightly,controlled,party,constitution,removed,islam,recognised,state,religion,stripped,existing,provisions,president,syria,required,muslim,measures,caused,widespread,furore,public,leading,fierce,demonstrations,hama,homs,aleppo,organized,muslim,brotherhood,ulama,assad,regime,violently,crushed,islamic,revolts,occurred,waged,revolutionaries,syrian,muslim,brotherhood",0.00,syria
"the baath party carefully constructed assad as the guiding father figure of the party and modern syrian nation advocating the continuation of assad dynastic rule of syria as part of the publicity efforts to brand the nation and assad dynasty as inseparable slogans such as assad or we burn the country assad or to hell with the country and hafez assad forever became an integral part of the state and party discourse during the s eventually the party organisation itself became a rubberstamp and the power structures became deeply dependent on sectarian affiliation to the assad family and the central role of armed forces needed to crack down on dissent in the society critics of the regime have pointed out that deployment of violence is at the crux of baathist syria and describe it as a dictatorship with genocidal tendencies upon hafez al assads death in  his son bashar al assad succeeded him as the president of syria
",baath party carefully constructed assad guiding father figure party modern syrian nation advocating continuation assad dynastic rule syria publicity efforts brand nation assad dynasty inseparable slogans assad burn country assad hell country hafez assad forever integral state party discourse eventually party organisation rubberstamp power structures deeply dependent sectarian affiliation assad family central role armed forces needed crack dissent society critics regime pointed deployment violence crux baathist syria describe dictatorship genocidal tendencies hafez al assads death son bashar al assad succeeded president syria,8.22,"baath,party,carefully,constructed,assad,guiding,father,figure,party,modern,syrian,nation,advocating,continuation,assad,dynastic,rule,syria,publicity,efforts,brand,nation,assad,dynasty,inseparable,slogans,assad,burn,country,assad,hell,country,hafez,assad,forever,integral,state,party,discourse,eventually,party,organisation,rubberstamp,power,structures,deeply,dependent,sectarian,affiliation,assad,family,central,role,armed,forces,needed,crack,dissent,society,critics,regime,pointed,deployment,violence,crux,baathist,syria,describe,dictatorship,genocidal,tendencies,hafez,al,assads,death,son,bashar,al,assad,succeeded,president,syria",0.00,syria
"bashars wife asma a sunni muslim born and educated in britain was initially hailed in the western press a rose in the desert the couple once raised hopes amongst syrian intellectuals and outside western observers as wanting to implement economic and political reforms however bashar failed to deliver on promised reforms instead crushing the civil society groups political reformists and democratic activists that emerged during the damascus spring in the s bashar al assad claims that no moderate opposition to his government exists and that all opposition forces are jihadists focused on destroying the current secular leadership his view was that terrorist groups operating in syria are linked to the agendas of foreign countries
",bashars wife asma sunni muslim born educated britain initially hailed western press rose desert couple raised hopes syrian intellectuals outside western observers wanting implement economic political reforms bashar failed deliver promised reforms instead crushing civil society groups political reformists democratic activists emerged damascus spring bashar al assad claims moderate opposition government exists opposition forces jihadists focused destroying current secular leadership view terrorist groups operating syria linked agendas foreign countries,6.14,"bashars,wife,asma,sunni,muslim,born,educated,britain,initially,hailed,western,press,rose,desert,couple,raised,hopes,syrian,intellectuals,outside,western,observers,wanting,implement,economic,political,reforms,bashar,failed,deliver,promised,reforms,instead,crushing,civil,society,groups,political,reformists,democratic,activists,emerged,damascus,spring,bashar,al,assad,claims,moderate,opposition,government,exists,opposition,forces,jihadists,focused,destroying,current,secular,leadership,view,terrorist,groups,operating,syria,linked,agendas,foreign,countries",0.00,syria
"this coincided with the most intense drought ever recorded in syria which lasted from  to  and resulted in widespread crop failure an increase in food prices and a mass migration of farming families to urban centers this migration strained infrastructure already burdened by the influx of some  million refugees from the iraq war the drought has been linked to anthropogenic global warming subsequent analysis however has challenged the narrative of the drought as a major contributor to the start of the war adequate water supply continues to be an issue in the ongoing civil war and it is frequently the target of military action
",coincided intense drought recorded syria lasted resulted widespread crop failure increase food prices mass migration farming families urban centers migration strained infrastructure burdened influx million refugees iraq war drought linked anthropogenic global warming subsequent analysis challenged narrative drought major contributor start war adequate water supply continues issue ongoing civil war frequently target military action,7.91,"coincided,intense,drought,recorded,syria,lasted,resulted,widespread,crop,failure,increase,food,prices,mass,migration,farming,families,urban,centers,migration,strained,infrastructure,burdened,influx,million,refugees,iraq,war,drought,linked,anthropogenic,global,warming,subsequent,analysis,challenged,narrative,drought,major,contributor,start,war,adequate,water,supply,continues,issue,ongoing,civil,war,frequently,target,military,action",0.00,syria
"the human rights situation in syria has long been the subject of harsh critique from global organizations the rights of free expression association and assembly were strictly controlled in syria even before the uprising the country was under emergency rule from  until  and public gatherings of more than five people were banned security forces had sweeping powers of arrest and detention despite hopes for democratic change with the  damascus spring bashar al assad was widely reported as having failed to implement any improvements in  he imposed a controversial national ban on female islamic dresscodes such as faceveils across universities and expelled over a thousand female tutors and school teachers as part of the ban a human rights watch report issued just before the beginning of the  uprising stated that assad had failed to substantially improve the state of human rights since taking power
",human rights situation syria long subject harsh critique global organizations rights free expression association assembly strictly controlled syria uprising country emergency rule public gatherings people banned security forces sweeping powers arrest detention despite hopes democratic change damascus spring bashar al assad widely reported failed implement improvements imposed controversial national ban female islamic dresscodes faceveils universities expelled thousand female tutors school teachers ban human rights watch report issued beginning uprising stated assad failed substantially improve state human rights taking power,7.08,"human,rights,situation,syria,long,subject,harsh,critique,global,organizations,rights,free,expression,association,assembly,strictly,controlled,syria,uprising,country,emergency,rule,public,gatherings,people,banned,security,forces,sweeping,powers,arrest,detention,despite,hopes,democratic,change,damascus,spring,bashar,al,assad,widely,reported,failed,implement,improvements,imposed,controversial,national,ban,female,islamic,dresscodes,faceveils,universities,expelled,thousand,female,tutors,school,teachers,ban,human,rights,watch,report,issued,beginning,uprising,stated,assad,failed,substantially,improve,state,human,rights,taking,power",0.00,syria
