Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"taiwaniin officially the republic of china io is a country in east asia it is located at the junction of the east and south china seas in the northwestern pacific ocean with the peoples republic of china  to the northwest japan to the northeast and the philippines to the south the territories controlled by the roc consist of  islandsp with a combined area of  square kilometres  the main island of taiwan also known as formosa has an area of  square kilometres  with mountain ranges dominating the eastern two thirds and plains in the western third where its highly urbanised population is concentrated the capital taipei forms along with new taipei city and keelung the largest metropolitan area of taiwan other major cities include taoyuan taichung tainan and kaohsiung with around  million inhabitants taiwan is among the most densely populated countries in the world
",taiwaniin officially republic china io country east asia located junction east south china seas northwestern pacific ocean peoples republic china northwest japan northeast philippines south territories controlled roc consist islandsp combined area square kilometres main island taiwan known formosa area square kilometres mountain ranges dominating eastern thirds plains western highly urbanised population concentrated capital taipei forms new taipei city keelung largest metropolitan area taiwan major cities include taoyuan taichung tainan kaohsiung million inhabitants taiwan densely populated countries world,7.45,"taiwaniin,officially,republic,china,io,country,east,asia,located,junction,east,south,china,seas,northwestern,pacific,ocean,peoples,republic,china,northwest,japan,northeast,philippines,south,territories,controlled,roc,consist,islandsp,combined,area,square,kilometres,main,island,taiwan,known,formosa,area,square,kilometres,mountain,ranges,dominating,eastern,thirds,plains,western,highly,urbanised,population,concentrated,capital,taipei,forms,new,taipei,city,keelung,largest,metropolitan,area,taiwan,major,cities,include,taoyuan,taichung,tainan,kaohsiung,million,inhabitants,taiwan,densely,populated,countries,world",0.00,china
"taiwan has been settled for at least  years ancestors of taiwanese indigenous peoples settled the island around  years ago in the th century large scale han chinese  immigration to western taiwan began under a dutch colony and continued under the kingdom of tungning the first predominantly han chinese state in taiwanese history the island was annexed in  by the qing dynasty of china and ceded to the empire of japan in  the republic of china which had overthrown the qing in  took control of taiwan following the surrender of japan in q japan would renounce sovereignty over taiwan in  the immediate resumption of the chinese civil war resulted in the loss of the chinese mainland to communist forces who established the peoples republic of china and the flight of the roc central government to taiwan in  the effective jurisdiction of the roc has since been limited to taiwan penghu and smaller islands
",taiwan settled years ancestors taiwanese indigenous peoples settled island years ago th century large scale han chinese immigration western taiwan began dutch colony continued kingdom tungning predominantly han chinese state taiwanese history island annexed qing dynasty china ceded empire japan republic china overthrown qing took control taiwan following surrender japan q japan renounce sovereignty taiwan immediate resumption chinese civil war resulted loss chinese mainland communist forces established peoples republic china flight roc central government taiwan effective jurisdiction roc limited taiwan penghu smaller islands,7.61,"taiwan,settled,years,ancestors,taiwanese,indigenous,peoples,settled,island,years,ago,th,century,large,scale,han,chinese,immigration,western,taiwan,began,dutch,colony,continued,kingdom,tungning,predominantly,han,chinese,state,taiwanese,history,island,annexed,qing,dynasty,china,ceded,empire,japan,republic,china,overthrown,qing,took,control,taiwan,following,surrender,japan,q,japan,renounce,sovereignty,taiwan,immediate,resumption,chinese,civil,war,resulted,loss,chinese,mainland,communist,forces,established,peoples,republic,china,flight,roc,central,government,taiwan,effective,jurisdiction,roc,limited,taiwan,penghu,smaller,islands",0.00,china
"the political status of taiwan is contentious the roc no longer represents china as a member of the united nations after un members voted in  to recognize the prc instead the roc maintained its claim of being the sole legitimate representative of china and its territory although this has been downplayed since its democratization in the s taiwan is claimed by the prc which refuses diplomatic relations with countries that recognise the roc taiwan maintains official diplomatic relations with  out of  un member states and the holy see though many others maintain unofficial diplomatic ties through representative offices and institutions that function as de facto embassies and consulates international organisations in which the prc participates either refuse to grant membership to taiwan or allow it to participate only on a non state basis under various names domestically the major political contention is between parties favouring eventual chinese unification and promoting a pan chinese identity contrasted with those aspiring to formal international recognition and promoting a taiwanese identity into the st century both sides have moderated their positions to broaden their appeal
",political status taiwan contentious roc longer represents china member united nations un members voted recognize prc instead roc maintained claim sole legitimate representative china territory downplayed democratization taiwan claimed prc refuses diplomatic relations countries recognise roc taiwan maintains official diplomatic relations un member states holy maintain unofficial diplomatic ties representative offices institutions function de facto embassies consulates international organisations prc participates refuse grant membership taiwan allow participate non state basis names domestically major political contention parties favouring eventual chinese unification promoting pan chinese identity contrasted aspiring formal international recognition promoting taiwanese identity st century sides moderated positions broaden appeal,6.87,"political,status,taiwan,contentious,roc,longer,represents,china,member,united,nations,un,members,voted,recognize,prc,instead,roc,maintained,claim,sole,legitimate,representative,china,territory,downplayed,democratization,taiwan,claimed,prc,refuses,diplomatic,relations,countries,recognise,roc,taiwan,maintains,official,diplomatic,relations,un,member,states,holy,maintain,unofficial,diplomatic,ties,representative,offices,institutions,function,de,facto,embassies,consulates,international,organisations,prc,participates,refuse,grant,membership,taiwan,allow,participate,non,state,basis,names,domestically,major,political,contention,parties,favouring,eventual,chinese,unification,promoting,pan,chinese,identity,contrasted,aspiring,formal,international,recognition,promoting,taiwanese,identity,st,century,sides,moderated,positions,broaden,appeal",0.00,china
"the official name of the country in english is the republic of china it has also been known under various names throughout its existence shortly after the rocs establishment in  while it was still located on the chinese mainland the government used the short form china  to refer to itself which derives from zhng  and gu r a term which also developed under the zhou dynasty in reference to its royal demesnes and the name was then applied to the area around luoyi  during the eastern zhou and then to chinas central plain before being used as an occasional synonym for the state during the qing era the name of the republic had stemmed from the party manifesto of tongmenghui in  which says the four goals of the chinese revolution was to expel the manchu rulers to revive chunghwa to establish a republic and to distribute land equally among the people the convener of tongmenghui and chinese revolutionary leader sun yat sen proposed the name chunghwa minkuo as the assumed name of the new country when the revolution succeeded
",official country english republic china known names existence shortly rocs establishment located chinese mainland government short form china refer derives zhng gu r term developed zhou dynasty reference royal demesnes applied area luoyi eastern zhou chinas central plain occasional synonym state qing era republic stemmed party manifesto tongmenghui says goals chinese revolution expel manchu rulers revive chunghwa establish republic distribute land equally people convener tongmenghui chinese revolutionary leader sun yat sen proposed chunghwa minkuo assumed new country revolution succeeded,9.70,"official,country,english,republic,china,known,names,existence,shortly,rocs,establishment,located,chinese,mainland,government,short,form,china,refer,derives,zhng,gu,r,term,developed,zhou,dynasty,reference,royal,demesnes,applied,area,luoyi,eastern,zhou,chinas,central,plain,occasional,synonym,state,qing,era,republic,stemmed,party,manifesto,tongmenghui,says,goals,chinese,revolution,expel,manchu,rulers,revive,chunghwa,establish,republic,distribute,land,equally,people,convener,tongmenghui,chinese,revolutionary,leader,sun,yat,sen,proposed,chunghwa,minkuo,assumed,new,country,revolution,succeeded",0.00,china
"during the s and s after the roc government had withdrawn to taiwan upon losing the chinese civil war it was commonly referred to as nationalist china  to differentiate it from communist china  it was a member of the united nations representing china until  when the roc lost its seat to the peoples republic of china over subsequent decades the republic of china has become commonly known as taiwan after the main island in some contexts including roc government publications the name is written as republic of china  republic of chinataiwan or sometimes taiwan 
",roc government withdrawn taiwan losing chinese civil war commonly referred nationalist china differentiate communist china member united nations representing china roc lost seat peoples republic china subsequent decades republic china commonly known taiwan main island contexts including roc government publications written republic china republic chinataiwan taiwan,8.51,"roc,government,withdrawn,taiwan,losing,chinese,civil,war,commonly,referred,nationalist,china,differentiate,communist,china,member,united,nations,representing,china,roc,lost,seat,peoples,republic,china,subsequent,decades,republic,china,commonly,known,taiwan,main,island,contexts,including,roc,government,publications,written,republic,china,republic,chinataiwan,taiwan",0.00,china
"the republic of china participates in most international forums and organizations under the name chinese taipei as a compromise with the peoples republic of china  for instance it is the name under which it has participated in the olympic games as well as the apec  taiwan authorities is sometimes used by the prc to refer to the current government in taiwan
",republic china participates international forums organizations chinese taipei compromise peoples republic china instance participated olympic games apec taiwan authorities prc refer current government taiwan,10.31,"republic,china,participates,international,forums,organizations,chinese,taipei,compromise,peoples,republic,china,instance,participated,olympic,games,apec,taiwan,authorities,prc,refer,current,government,taiwan",0.00,china
"around  years ago taiwan was settled by farmers most likely from what is now southeast china 
they are believed to be the ancestors of todays taiwanese indigenous peoples whose languages belong to the austronesian language family but show much greater diversity than the rest of the family which spans a huge area from maritime southeast asia west to madagascar and east as far as new zealand hawaii and easter island this has led linguists to propose taiwan as the urheimat of the family from which seafaring peoples dispersed across southeast asia and the pacific and indian oceans trade links with the philippines subsisted from the early nd millennium because including the use of jade from eastern taiwan in the philippine jade culture the raw jade from taiwan which was further processed in the philippines was the basis for taiwanese philippine commerce with ancient vietnam malaysia brunei singapore thailand indonesia and cambodia
",years ago taiwan settled farmers likely southeast china believed ancestors todays taiwanese indigenous peoples languages belong austronesian language family greater diversity rest family spans huge area maritime southeast asia west madagascar east far new zealand hawaii easter island led linguists propose taiwan urheimat family seafaring peoples dispersed southeast asia pacific indian oceans trade links philippines subsisted early nd millennium including use jade eastern taiwan philippine jade culture raw jade taiwan processed philippines basis taiwanese philippine commerce ancient vietnam malaysia brunei singapore thailand indonesia cambodia,7.13,"years,ago,taiwan,settled,farmers,likely,southeast,china,believed,ancestors,todays,taiwanese,indigenous,peoples,languages,belong,austronesian,language,family,greater,diversity,rest,family,spans,huge,area,maritime,southeast,asia,west,madagascar,east,far,new,zealand,hawaii,easter,island,led,linguists,propose,taiwan,urheimat,family,seafaring,peoples,dispersed,southeast,asia,pacific,indian,oceans,trade,links,philippines,subsisted,early,nd,millennium,including,use,jade,eastern,taiwan,philippine,jade,culture,raw,jade,taiwan,processed,philippines,basis,taiwanese,philippine,commerce,ancient,vietnam,malaysia,brunei,singapore,thailand,indonesia,cambodia",0.00,china
"in the th century the ming ordered the evacuation of the penghu islands as part of their maritime ban when these restrictions were removed in the late th century legal fishing communities most of which hailing from tongan county were re established on the penghu islands the dutch east india company  attempted to establish a trading outpost on the penghu islands  in  but was driven off by ming forces
in  the voc established a stronghold called fort zeelandia on the coastal islet of tayouan which is now part of the main island at anping tainan
when the dutch arrived they found southwestern taiwan already frequented by a mostly transient chinese population numbering close to  david wright a scottish agent of the voc who lived on the island in the s described the lowland areas of the island as being divided among  chiefdoms ranging in size from two settlements to  some of these fell under dutch control including the kingdom of middag in the central western plains while others remained independent the voc encouraged farmers to immigrate from fujian and work the lands under dutch control by the s some  to  chinese were living on the island most of the farmers cultivated rice for local consumption and sugar for export some immigrants were engaged in commercial deer hunting deerskins were sold to the dutch and exported to japan venison horns and genitals were exported to china where the products were used as food or medicine
",th century ming ordered evacuation penghu islands maritime ban restrictions removed late th century legal fishing communities hailing tongan county established penghu islands dutch east india company attempted establish trading outpost penghu islands driven ming forcesin voc established stronghold called fort zeelandia coastal islet tayouan main island anping tainanwhen dutch arrived found southwestern taiwan frequented transient chinese population numbering close david wright scottish agent voc lived island described lowland areas island divided chiefdoms ranging size settlements fell dutch control including kingdom middag central western plains remained independent voc encouraged farmers immigrate fujian work lands dutch control chinese living island farmers cultivated rice local consumption sugar export immigrants engaged commercial deer hunting deerskins sold dutch exported japan venison horns genitals exported china products food medicine,8.33,"th,century,ming,ordered,evacuation,penghu,islands,maritime,ban,restrictions,removed,late,th,century,legal,fishing,communities,hailing,tongan,county,established,penghu,islands,dutch,east,india,company,attempted,establish,trading,outpost,penghu,islands,driven,ming,forcesin,voc,established,stronghold,called,fort,zeelandia,coastal,islet,tayouan,main,island,anping,tainanwhen,dutch,arrived,found,southwestern,taiwan,frequented,transient,chinese,population,numbering,close,david,wright,scottish,agent,voc,lived,island,described,lowland,areas,island,divided,chiefdoms,ranging,size,settlements,fell,dutch,control,including,kingdom,middag,central,western,plains,remained,independent,voc,encouraged,farmers,immigrate,fujian,work,lands,dutch,control,chinese,living,island,farmers,cultivated,rice,local,consumption,sugar,export,immigrants,engaged,commercial,deer,hunting,deerskins,sold,dutch,exported,japan,venison,horns,genitals,exported,china,products,food,medicine",0.00,china
"following the fall of the ming dynasty in beijing in  koxinga  pledged allegiance to the yongli emperor of southern ming and attacked the qing dynasty along the southeastern coast of china in  under increasing qing pressure he moved his forces from his base in xiamen to taiwan expelling the dutch in the following year after being ousted from taiwan the dutch allied with the new qing dynasty in china against the zheng regime in taiwan following some skirmishes the dutch retook the northern fortress at keelung in  zheng jing sent troops to dislodge the dutch but they were unsuccessful the dutch held out at keelung until  when aborigine resistance and the lack of progress in retaking any other parts of the island persuaded the colonial authorities to abandon this final stronghold and withdraw from taiwan altogether
",following fall ming dynasty beijing koxinga pledged allegiance yongli emperor southern ming attacked qing dynasty southeastern coast china increasing qing pressure moved forces base xiamen taiwan expelling dutch following year ousted taiwan dutch allied new qing dynasty china zheng regime taiwan following skirmishes dutch retook northern fortress keelung zheng jing sent troops dislodge dutch unsuccessful dutch held keelung aborigine resistance lack progress retaking parts island persuaded colonial authorities abandon final stronghold withdraw taiwan altogether,7.52,"following,fall,ming,dynasty,beijing,koxinga,pledged,allegiance,yongli,emperor,southern,ming,attacked,qing,dynasty,southeastern,coast,china,increasing,qing,pressure,moved,forces,base,xiamen,taiwan,expelling,dutch,following,year,ousted,taiwan,dutch,allied,new,qing,dynasty,china,zheng,regime,taiwan,following,skirmishes,dutch,retook,northern,fortress,keelung,zheng,jing,sent,troops,dislodge,dutch,unsuccessful,dutch,held,keelung,aborigine,resistance,lack,progress,retaking,parts,island,persuaded,colonial,authorities,abandon,final,stronghold,withdraw,taiwan,altogether",0.00,china
"the zheng regime known as kingdom of tungning is considered to be loyal to the ming while others argue that the regime acted as an independent ruler however zheng jings return to china to participate in the revolt of the three feudatories a rebellion against the qing court ruined the regime and paved the way for the qing invasion and occupation of taiwan in 
",zheng regime known kingdom tungning considered loyal ming argue regime acted independent ruler zheng jings return china participate revolt feudatories rebellion qing court ruined regime paved way qing invasion occupation taiwan,9.14,"zheng,regime,known,kingdom,tungning,considered,loyal,ming,argue,regime,acted,independent,ruler,zheng,jings,return,china,participate,revolt,feudatories,rebellion,qing,court,ruined,regime,paved,way,qing,invasion,occupation,taiwan",0.00,china
