Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"tehran  is the capital and largest city of iran and the largest city in tehran province with a population of around  million in the city and around  million in the larger metropolitan area of greater tehran tehran is the most populous city in iran and western asia and has the second largest metropolitan area in the middle east after cairo it is ranked th in the world by metropolitan area population 
",tehran capital largest city iran largest city tehran province population million city million larger metropolitan area greater tehran tehran populous city iran western asia second largest metropolitan area middle east cairo ranked th world metropolitan area population,8.44,"tehran,capital,largest,city,iran,largest,city,tehran,province,population,million,city,million,larger,metropolitan,area,greater,tehran,tehran,populous,city,iran,western,asia,second,largest,metropolitan,area,middle,east,cairo,ranked,th,world,metropolitan,area,population",0.00,tehran
"in the classical antiquity part of the territory of present day tehran was occupied by rhages  a prominent median city destroyed in the medieval arab turkic and mongol invasions modern ray was absorbed into the metropolitan area of greater tehran
",classical antiquity territory present day tehran occupied rhages prominent median city destroyed medieval arab turkic mongol invasions modern ray absorbed metropolitan area greater tehran,6.48,"classical,antiquity,territory,present,day,tehran,occupied,rhages,prominent,median,city,destroyed,medieval,arab,turkic,mongol,invasions,modern,ray,absorbed,metropolitan,area,greater,tehran",0.00,tehran
"tehran was first chosen as the capital of iran by agha mohammad khan of the qajar dynasty in  because of its proximity to irans territories in the caucasus then separated from iran in the russo iranian wars to avoid the vying factions of the previously ruling iranian dynasties the capital has been moved several times throughout history however and tehran became the nd capital of persia large scale construction works began in the s and tehran became a destination for mass migrations from all over iran since the th century
",tehran chosen capital iran agha mohammad khan qajar dynasty proximity irans territories caucasus separated iran russo iranian wars avoid vying factions previously ruling iranian dynasties capital moved times history tehran nd capital persia large scale construction works began tehran destination mass migrations iran th century,8.54,"tehran,chosen,capital,iran,agha,mohammad,khan,qajar,dynasty,proximity,irans,territories,caucasus,separated,iran,russo,iranian,wars,avoid,vying,factions,previously,ruling,iranian,dynasties,capital,moved,times,history,tehran,nd,capital,persia,large,scale,construction,works,began,tehran,destination,mass,migrations,iran,th,century",0.00,tehran
"tehran is home to many historical sites including the royal complexes of golestan sadabad and niavaran where the last two dynasties of the former imperial state of iran were seated tehrans landmarks include the azadi tower a memorial built under the reign of mohammad reza shah of the pahlavi dynasty in  to mark the th anniversary of the persian empire the milad tower the worlds sixth tallest self supporting tower completed in  and the tabiat bridge completed in 
",tehran home historical sites including royal complexes golestan sadabad niavaran dynasties imperial state iran seated tehrans landmarks include azadi tower memorial built reign mohammad reza shah pahlavi dynasty mark th anniversary persian empire milad tower worlds sixth tallest self supporting tower completed tabiat bridge completed,7.07,"tehran,home,historical,sites,including,royal,complexes,golestan,sadabad,niavaran,dynasties,imperial,state,iran,seated,tehrans,landmarks,include,azadi,tower,memorial,built,reign,mohammad,reza,shah,pahlavi,dynasty,mark,th,anniversary,persian,empire,milad,tower,worlds,sixth,tallest,self,supporting,tower,completed,tabiat,bridge,completed",0.00,tehran
"tehran is served by imam khomeini international airport alongside the domestic mehrabad airport a central railway station  tehran metro a bus rapid transit system trolleybuses and a large network of highways
",tehran served imam khomeini international airport alongside domestic mehrabad airport central railway station tehran metro bus rapid transit system trolleybuses large network highways,3.85,"tehran,served,imam,khomeini,international,airport,alongside,domestic,mehrabad,airport,central,railway,station,tehran,metro,bus,rapid,transit,system,trolleybuses,large,network,highways",0.00,tehran
"plans to relocate the capital from tehran to another area due to air pollution and earthquakes have not been approved so far a  survey of  cities across the globe by mercer ranked tehran rd for quality of life according to the global destinations cities index in  tehran is among the top ten fastest growing destinations tehran city council declared october  the tehran day in  celebrating the date when in  the city officially became the capital of iran
",plans relocate capital tehran area air pollution earthquakes approved far survey cities globe mercer ranked tehran rd quality life according global destinations cities index tehran fastest growing destinations tehran city council declared october tehran day celebrating date city officially capital iran,7.91,"plans,relocate,capital,tehran,area,air,pollution,earthquakes,approved,far,survey,cities,globe,mercer,ranked,tehran,rd,quality,life,according,global,destinations,cities,index,tehran,fastest,growing,destinations,tehran,city,council,declared,october,tehran,day,celebrating,date,city,officially,capital,iran",0.00,tehran
"various theories on the origin of the name tehran have been put forward
",theories origin tehran forward,12.50,"theories,origin,tehran,forward",0.00,tehran
"iranian linguist ahmad kasravi in an article shemiran tehran suggested that tehran and kehran mean the warm place and shemiran means the cool place he listed cities with the same base and suffix and studied the components of the word in ancient iranian languages and came to the conclusion that tehran and kehran meant the same thing in different iranian language families as the constant t and k are close to each other in such languages he also provided evidence that cities named shemiran were colder than those named tehran or kehran he considered other theories not considering the ancient history of iranian languages such as tirgan theory and tahran theory folk etymology
",iranian linguist ahmad kasravi article shemiran tehran suggested tehran kehran mean warm place shemiran means cool place listed cities base suffix studied components word ancient iranian languages came conclusion tehran kehran meant thing different iranian language families constant k close languages provided evidence cities named shemiran colder named tehran kehran considered theories considering ancient history iranian languages tirgan theory tahran theory folk etymology,7.36,"iranian,linguist,ahmad,kasravi,article,shemiran,tehran,suggested,tehran,kehran,mean,warm,place,shemiran,means,cool,place,listed,cities,base,suffix,studied,components,word,ancient,iranian,languages,came,conclusion,tehran,kehran,meant,thing,different,iranian,language,families,constant,k,close,languages,provided,evidence,cities,named,shemiran,colder,named,tehran,kehran,considered,theories,considering,ancient,history,iranian,languages,tirgan,theory,tahran,theory,folk,etymology",0.00,tehran
"another theory is that tehran derives from tirantirgan the abode of tir the zoroastrian equivalent of hermes the ancient parthian town of tiran had a neighbour mehran  both of these were mere villages in the suburbs of the great city of rayrhages mehran still exists as a residential district in greater tehran as well as ray which forms the southern suburbs of tehran
",theory tehran derives tirantirgan abode tir zoroastrian equivalent hermes ancient parthian town tiran neighbour mehran mere villages suburbs great city rayrhages mehran exists residential district greater tehran ray forms southern suburbs tehran,8.40,"theory,tehran,derives,tirantirgan,abode,tir,zoroastrian,equivalent,hermes,ancient,parthian,town,tiran,neighbour,mehran,mere,villages,suburbs,great,city,rayrhages,mehran,exists,residential,district,greater,tehran,ray,forms,southern,suburbs,tehran",0.00,tehran
"the official city of tehran website says that tehran comes from the persian words tah meaning end or bottom and ran meaning mountain slopeliterally the bottom of the mountain  given tehrans position at the foot of the alborz mountains this seems plausible
",official city tehran website says tehran comes persian words tah meaning end ran meaning mountain slopeliterally mountain given tehrans position foot alborz mountains plausible,7.03,"official,city,tehran,website,says,tehran,comes,persian,words,tah,meaning,end,ran,meaning,mountain,slopeliterally,mountain,given,tehrans,position,foot,alborz,mountains,plausible",0.00,tehran
