Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"thaia or central thaib  is a tai language of the kradai language family spoken by the central thai peoplee and a vast majority of thai chinese it is the sole official language of thailand
",thaia central thaib tai language kradai language family spoken central thai peoplee vast majority thai chinese sole official language thailand,7.45,"thaia,central,thaib,tai,language,kradai,language,family,spoken,central,thai,peoplee,vast,majority,thai,chinese,sole,official,language,thailand",0.00,thai
"thai is the most spoken of over  languages of thailand by both number of native and overall speakers over half of its vocabulary is derived from or borrowed from pali sanskrit mon and old khmer it is a tonal and analytic language thai has a complex orthography and system of relational markers spoken thai depending on standard sociolinguistic factors such as age gender class spatial proximity and the urbanrural divide is partly mutually intelligible with lao isan and some fellow thai topolects these languages are written with slightly different scripts but are linguistically similar and effectively form a dialect continuum
",thai spoken languages thailand number native overall speakers half vocabulary derived borrowed pali sanskrit mon old khmer tonal analytic language thai complex orthography system relational markers spoken thai depending standard sociolinguistic factors age gender class spatial proximity urbanrural divide partly mutually intelligible lao isan fellow thai topolects languages written slightly different scripts linguistically similar effectively form dialect continuum,6.67,"thai,spoken,languages,thailand,number,native,overall,speakers,half,vocabulary,derived,borrowed,pali,sanskrit,mon,old,khmer,tonal,analytic,language,thai,complex,orthography,system,relational,markers,spoken,thai,depending,standard,sociolinguistic,factors,age,gender,class,spatial,proximity,urbanrural,divide,partly,mutually,intelligible,lao,isan,fellow,thai,topolects,languages,written,slightly,different,scripts,linguistically,similar,effectively,form,dialect,continuum",0.00,thai
"thai language is spoken by over  million people  moreover most thais in the northern and the northeastern  parts of the country today are bilingual speakers of central thai and their respective regional dialects because  thai is the language of television education news reporting and all forms of media a recent research found that the speakers of the northern thai language  have become so few as most people in northern thailand now invariably speak standard thai so that they are now using mostly central thai words and seasoning their speech only with kham mueang accent standard thai is based on the register of the educated classes by central thai people in the metropolis
",thai language spoken million people thais northern northeastern parts country today bilingual speakers central thai respective regional dialects thai language television education news reporting forms media recent research found speakers northern thai language people northern thailand invariably speak standard thai central thai words seasoning speech kham mueang accent standard thai based register educated classes central thai people metropolis,7.94,"thai,language,spoken,million,people,thais,northern,northeastern,parts,country,today,bilingual,speakers,central,thai,respective,regional,dialects,thai,language,television,education,news,reporting,forms,media,recent,research,found,speakers,northern,thai,language,people,northern,thailand,invariably,speak,standard,thai,central,thai,words,seasoning,speech,kham,mueang,accent,standard,thai,based,register,educated,classes,central,thai,people,metropolis",0.00,thai
"in addition to central thai thailand is home to other related tai languages although some linguists classify these dialects as related but distinct languages native speakers often identify them as regional variants or dialects of the same thai language or as different kinds of thai as a dominant language in all aspects of society in thailand thai initially saw gradual and later widespread adoption as a second language among the countrys minority ethnic groups from the mid late ayutthaya period onward ethnic minorities today are predominantly bilingual speaking thai alongside their native language or dialect
",addition central thai thailand home related tai languages linguists classify dialects related distinct languages native speakers identify regional variants dialects thai language different kinds thai dominant language aspects society thailand thai initially saw gradual later widespread adoption second language countrys minority ethnic groups mid late ayutthaya period onward ethnic minorities today predominantly bilingual speaking thai alongside native language dialect,5.85,"addition,central,thai,thailand,home,related,tai,languages,linguists,classify,dialects,related,distinct,languages,native,speakers,identify,regional,variants,dialects,thai,language,different,kinds,thai,dominant,language,aspects,society,thailand,thai,initially,saw,gradual,later,widespread,adoption,second,language,countrys,minority,ethnic,groups,mid,late,ayutthaya,period,onward,ethnic,minorities,today,predominantly,bilingual,speaking,thai,alongside,native,language,dialect",0.00,thai
"standard thai is classified as one of the chiang saen languagesothers being tai lanna southern thai and numerous smaller languages which together with the northwestern tai and lao phutai languages form the southwestern branch of tai languages the tai languages are a branch of the kradai language family which encompasses a large number of indigenous languages spoken in an arc from hainan and guangxi south through laos and northern vietnam to the cambodian border
",standard thai classified chiang saen languagesothers tai lanna southern thai numerous smaller languages northwestern tai lao phutai languages form southwestern branch tai languages tai languages branch kradai language family encompasses large number indigenous languages spoken arc hainan guangxi south laos northern vietnam cambodian border,6.44,"standard,thai,classified,chiang,saen,languagesothers,tai,lanna,southern,thai,numerous,smaller,languages,northwestern,tai,lao,phutai,languages,form,southwestern,branch,tai,languages,tai,languages,branch,kradai,language,family,encompasses,large,number,indigenous,languages,spoken,arc,hainan,guangxi,south,laos,northern,vietnam,cambodian,border",0.00,thai
"standard thai is the principal language of education and government and spoken throughout thailand the standard is based on the dialect of the central thai people and it is written in the thai script
",standard thai principal language education government spoken thailand standard based dialect central thai people written thai script,8.50,"standard,thai,principal,language,education,government,spoken,thailand,standard,based,dialect,central,thai,people,written,thai,script",0.00,thai
"northern thai language
",northern thai language,0.00,"northern,thai,language",0.00,thai
"thai language
",thai language,0.00,"thai,language",0.00,thai
"southern thai language
",southern thai language,0.00,"southern,thai,language",0.00,thai
"according to a chinese source during the ming dynasty yingya shenglan  ma huan reported on the language of the hsien lo saying that it somewhat resembled the local patois as pronounced in guangdong   thai has undergone various historical sound changes some of the most significant changes occurred during the evolution from old thai to modern thai the thai writing system has an eight century history and many of these changes especially in consonants and tones are evidenced in the modern orthography
",according chinese source ming dynasty yingya shenglan huan reported language hsien lo saying somewhat resembled local patois pronounced guangdong thai undergone historical sound changes significant changes occurred evolution old thai modern thai thai writing system century history changes especially consonants tones evidenced modern orthography,7.37,"according,chinese,source,ming,dynasty,yingya,shenglan,huan,reported,language,hsien,lo,saying,somewhat,resembled,local,patois,pronounced,guangdong,thai,undergone,historical,sound,changes,significant,changes,occurred,evolution,old,thai,modern,thai,thai,writing,system,century,history,changes,especially,consonants,tones,evidenced,modern,orthography",0.00,thai
