Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"tai peoples migrated from southwestern china to mainland southeast asia from the th century indianised kingdoms such as the mon khmer empire and malay states ruled the region competing with thai states such as the kingdoms of ngoenyang sukhothai lan na and ayutthaya which also rivalled each other european contact began in  with a portuguese diplomatic mission to ayutthaya which became a regional power by the end of the th century ayutthaya reached its peak during the th century until it was destroyed in the burmesesiamese war taksin quickly reunified the fragmented territory and established the short lived thonburi kingdom he was succeeded in  by buddha yodfa chulaloke the first monarch of the current chakri dynasty throughout the era of western imperialism in asia siam remained the only nation in the region to avoid colonization by foreign powers although it was often forced to make territorial trade and legal concessions in unequal treaties the siamese system of government was centralised and transformed into a modern unitary absolute monarchy in the reign of chulalongkorn in world war i siam sided with the allies a political decision made in order to amend the unequal treaties following a bloodless revolution in  it became a constitutional monarchy and changed its official name to thailand becoming an ally of japan in world war ii in the late s a military coup under field marshal sarit thanarat revived the monarchys historically influential role in politics thailand became a major ally of the united states and played an anti communist role in the region as a member of the failed seato but from  sought to improve relations with communist china and thailands neighbours
",tai peoples migrated southwestern china mainland southeast asia th century indianised kingdoms mon khmer empire malay states ruled region competing thai states kingdoms ngoenyang sukhothai lan na ayutthaya rivalled european contact began portuguese diplomatic mission ayutthaya regional power end th century ayutthaya reached peak th century destroyed burmesesiamese war taksin quickly reunified fragmented territory established short lived thonburi kingdom succeeded buddha yodfa chulaloke monarch current chakri dynasty era western imperialism asia siam remained nation region avoid colonization foreign powers forced territorial trade legal concessions unequal treaties siamese system government centralised transformed modern unitary absolute monarchy reign chulalongkorn world war siam sided allies political decision order amend unequal treaties following bloodless revolution constitutional monarchy changed official thailand ally japan world war ii late military coup field marshal sarit thanarat revived monarchys historically influential role politics thailand major ally united states played anti communist role region member failed seato sought improve relations communist china thailands neighbours,7.18,"tai,peoples,migrated,southwestern,china,mainland,southeast,asia,th,century,indianised,kingdoms,mon,khmer,empire,malay,states,ruled,region,competing,thai,states,kingdoms,ngoenyang,sukhothai,lan,na,ayutthaya,rivalled,european,contact,began,portuguese,diplomatic,mission,ayutthaya,regional,power,end,th,century,ayutthaya,reached,peak,th,century,destroyed,burmesesiamese,war,taksin,quickly,reunified,fragmented,territory,established,short,lived,thonburi,kingdom,succeeded,buddha,yodfa,chulaloke,monarch,current,chakri,dynasty,era,western,imperialism,asia,siam,remained,nation,region,avoid,colonization,foreign,powers,forced,territorial,trade,legal,concessions,unequal,treaties,siamese,system,government,centralised,transformed,modern,unitary,absolute,monarchy,reign,chulalongkorn,world,war,siam,sided,allies,political,decision,order,amend,unequal,treaties,following,bloodless,revolution,constitutional,monarchy,changed,official,thailand,ally,japan,world,war,ii,late,military,coup,field,marshal,sarit,thanarat,revived,monarchys,historically,influential,role,politics,thailand,major,ally,united,states,played,anti,communist,role,region,member,failed,seato,sought,improve,relations,communist,china,thailands,neighbours",0.00,thai
"apart from a brief period of parliamentary democracy in the mid s thailand has periodically alternated between democracy and military rule since the s the country has been caught in continual bitter political conflict between supporters and opponents of thaksin shinawatra which resulted in two coups  along with the establishment of its current constitution a nominally democratic government after the  thai general election and large pro democracy protests in  which included unprecedented demands to reform the monarchy since  it has been nominally a parliamentary constitutional monarchy in practice however structural advantages in the constitution have ensured the militarys hold on power
",apart brief period parliamentary democracy mid thailand periodically alternated democracy military rule country caught continual bitter political conflict supporters opponents thaksin shinawatra resulted coups establishment current constitution nominally democratic government thai general election large pro democracy protests included unprecedented demands reform monarchy nominally parliamentary constitutional monarchy practice structural advantages constitution ensured militarys hold power,6.76,"apart,brief,period,parliamentary,democracy,mid,thailand,periodically,alternated,democracy,military,rule,country,caught,continual,bitter,political,conflict,supporters,opponents,thaksin,shinawatra,resulted,coups,establishment,current,constitution,nominally,democratic,government,thai,general,election,large,pro,democracy,protests,included,unprecedented,demands,reform,monarchy,nominally,parliamentary,constitutional,monarchy,practice,structural,advantages,constitution,ensured,militarys,hold,power",0.00,thai
"thailandc officially the kingdom of thailandd was known by outsiders prior to  as siame according to george cds the word thai  means free man in the thai language differentiating the thai from the natives encompassed in thai society as serfs   according to chit phumisak thai  simply means people or human being his investigation shows that some rural areas used the word thai instead of the usual thai word khon  for people according to michel ferlus the ethnonyms thai tai  would have evolved from the etymon kri human beingf
",thailandc officially kingdom thailandd known outsiders prior siame according george cds word thai means free man thai language differentiating thai natives encompassed thai society serfs according chit phumisak thai simply means people human investigation shows rural areas word thai instead usual thai word khon people according michel ferlus ethnonyms thai tai evolved etymon kri human beingf,6.06,"thailandc,officially,kingdom,thailandd,known,outsiders,prior,siame,according,george,cds,word,thai,means,free,man,thai,language,differentiating,thai,natives,encompassed,thai,society,serfs,according,chit,phumisak,thai,simply,means,people,human,investigation,shows,rural,areas,word,thai,instead,usual,thai,word,khon,people,according,michel,ferlus,ethnonyms,thai,tai,evolved,etymon,kri,human,beingf",0.00,thai
"thais often refer to their country using the polite form prathet thai  they also use the more colloquial term mueang thai  or simply thai the word mueang archaically referring to a city state is commonly used to refer to a city or town as the centre of a region ratcha anachak thai  means kingdom of thailand or kingdom of thai etymologically its components are ratcha   ana    chak  the thai national anthem  written by luang saranupraphan during the patriotic s refers to the thai nation as prathet thai  the first line of the national anthem is prathet thai ruam lueat nuea chat chuea thai  thailand is the unity of thai flesh and blood
",thais refer country polite form prathet thai use colloquial term mueang thai simply thai word mueang archaically referring city state commonly refer city town centre region ratcha anachak thai means kingdom thailand kingdom thai etymologically components ratcha ana chak thai national anthem written luang saranupraphan patriotic refers thai nation prathet thai line national anthem prathet thai ruam lueat nuea chat chuea thai thailand unity thai flesh blood,7.03,"thais,refer,country,polite,form,prathet,thai,use,colloquial,term,mueang,thai,simply,thai,word,mueang,archaically,referring,city,state,commonly,refer,city,town,centre,region,ratcha,anachak,thai,means,kingdom,thailand,kingdom,thai,etymologically,components,ratcha,ana,chak,thai,national,anthem,written,luang,saranupraphan,patriotic,refers,thai,nation,prathet,thai,line,national,anthem,prathet,thai,ruam,lueat,nuea,chat,chuea,thai,thailand,unity,thai,flesh,blood",0.00,thai
"the thai people are of the tai ethnic group characterised by common linguistic roots   chinese chronicles first mention the tai peoples in the th century bce while there are many assumptions regarding the origin of tai peoples david k wyatt a historian of thailand argued that their ancestors which at the present inhabit laos thailand myanmar india and china came from the in bin ph area between the th and the th century   thai people began migrating into present day thailand around the th century which mon and khmer people occupied at the time thus thai culture was influenced by indian mon and khmer cultures
",thai people tai ethnic group characterised common linguistic roots chinese chronicles mention tai peoples th century bce assumptions origin tai peoples david k wyatt historian thailand argued ancestors present inhabit laos thailand myanmar india china came bin ph area th th century thai people began migrating present day thailand th century mon khmer people occupied time thai culture influenced indian mon khmer cultures,6.83,"thai,people,tai,ethnic,group,characterised,common,linguistic,roots,chinese,chronicles,mention,tai,peoples,th,century,bce,assumptions,origin,tai,peoples,david,k,wyatt,historian,thailand,argued,ancestors,present,inhabit,laos,thailand,myanmar,india,china,came,bin,ph,area,th,th,century,thai,people,began,migrating,present,day,thailand,th,century,mon,khmer,people,occupied,time,thai,culture,influenced,indian,mon,khmer,cultures",0.00,thai
"according to french historian george cds the thai first enter history of farther india in the eleventh century with the mention of syam slaves or prisoners of war in champa epigraphy and in the twelfth century the bas reliefs of angkor wat where a group of warriors are described as syam   
",according french historian george cds thai enter history farther india eleventh century mention syam slaves prisoners war champa epigraphy twelfth century bas reliefs angkor wat group warriors described syam,7.56,"according,french,historian,george,cds,thai,enter,history,farther,india,eleventh,century,mention,syam,slaves,prisoners,war,champa,epigraphy,twelfth,century,bas,reliefs,angkor,wat,group,warriors,described,syam",0.00,thai
"around  pho khun bang klang hao a local tai ruler rallied the people to rebel against the khmer he later crowned himself the first king of sukhothai kingdom in    mainstream thai historians count sukhothai as the first kingdom of thai people sukhothai expanded furthest during the reign of ram khamhaeng  however it was mostly a network of local lords who swore fealty to sukhothai not directly controlled by it   he is believed have invented thai script and thai ceramics were an important export in his era sukhothai embraced theravada buddhism in the reign of maha thammaracha i 
",pho khun bang klang hao local tai ruler rallied people rebel khmer later crowned king sukhothai kingdom mainstream thai historians count sukhothai kingdom thai people sukhothai expanded furthest reign ram khamhaeng network local lords swore fealty sukhothai directly controlled believed invented thai script thai ceramics important export era sukhothai embraced theravada buddhism reign maha thammaracha,7.20,"pho,khun,bang,klang,hao,local,tai,ruler,rallied,people,rebel,khmer,later,crowned,king,sukhothai,kingdom,mainstream,thai,historians,count,sukhothai,kingdom,thai,people,sukhothai,expanded,furthest,reign,ram,khamhaeng,network,local,lords,swore,fealty,sukhothai,directly,controlled,believed,invented,thai,script,thai,ceramics,important,export,era,sukhothai,embraced,theravada,buddhism,reign,maha,thammaracha",0.00,thai
"chao tak then crowned himself as taksin and proclaimed thonburi as temporary capital in the same year he also quickly subdued the other warlords his forces engaged in wars with burma laos and cambodia which successfully drove the burmese out of lan na in    captured vientiane in    and tried to install a pro thai king in cambodia in the s in his final years there was a coup caused supposedly by his insanity and eventually taksin and his sons were executed by his longtime companion general chao phraya chakri  he was the first king of the ruling chakri dynasty and founder of the rattanakosin kingdom on  april 
",chao tak crowned taksin proclaimed thonburi temporary capital year quickly subdued warlords forces engaged wars burma laos cambodia successfully drove burmese lan na captured vientiane tried install pro thai king cambodia final years coup caused supposedly insanity eventually taksin sons executed longtime companion general chao phraya chakri king ruling chakri dynasty founder rattanakosin kingdom april,8.44,"chao,tak,crowned,taksin,proclaimed,thonburi,temporary,capital,year,quickly,subdued,warlords,forces,engaged,wars,burma,laos,cambodia,successfully,drove,burmese,lan,na,captured,vientiane,tried,install,pro,thai,king,cambodia,final,years,coup,caused,supposedly,insanity,eventually,taksin,sons,executed,longtime,companion,general,chao,phraya,chakri,king,ruling,chakri,dynasty,founder,rattanakosin,kingdom,april",0.00,thai
"chulalongkorn  initiated centralisation set up a privy council and abolished slavery and the corve system the front palace crisis of  stalled attempts at further reforms   in the s and s he incorporated the protectorates up north into the kingdom proper which later expanded to the protectorates in the northeast and the south   he established twelve krom in  which were equivalent to present day ministries   the crisis of  erupted caused by french demands for laotian territory east of mekong   thailand is the only southeast asian nation never to have been colonised by a western power in part because britain and france agreed in  to make the chao phraya valley a buffer state not until the th century could siam renegotiate every unequal treaty dating from the bowring treaty including extraterritoriality the advent of the monthon system marked the creation of the modern thai nation state   in  there were unsuccessful rebellions in the ancient patani area ubon ratchathani and phrae in opposition to an attempt to blunt the power of local lords  
",chulalongkorn initiated centralisation set privy council abolished slavery corve system palace crisis stalled attempts reforms incorporated protectorates north kingdom proper later expanded protectorates northeast south established krom equivalent present day ministries crisis erupted caused french demands laotian territory east mekong thailand southeast asian nation colonised western power britain france agreed chao phraya valley buffer state th century siam renegotiate unequal treaty dating bowring treaty including extraterritoriality advent monthon system marked creation modern thai nation state unsuccessful rebellions ancient patani area ubon ratchathani phrae opposition attempt blunt power local lords,7.68,"chulalongkorn,initiated,centralisation,set,privy,council,abolished,slavery,corve,system,palace,crisis,stalled,attempts,reforms,incorporated,protectorates,north,kingdom,proper,later,expanded,protectorates,northeast,south,established,krom,equivalent,present,day,ministries,crisis,erupted,caused,french,demands,laotian,territory,east,mekong,thailand,southeast,asian,nation,colonised,western,power,britain,france,agreed,chao,phraya,valley,buffer,state,th,century,siam,renegotiate,unequal,treaty,dating,bowring,treaty,including,extraterritoriality,advent,monthon,system,marked,creation,modern,thai,nation,state,unsuccessful,rebellions,ancient,patani,area,ubon,ratchathani,phrae,opposition,attempt,blunt,power,local,lords",0.00,thai
"the palace revolt of  was a failed attempt by western educated military officers to overthrow the siamese monarchy   vajiravudh  responded by propaganda for the entirety of his reign   which promoted the idea of the thai nation   in  siam joined the first world war on the side of the allies   in the aftermath siam had a seat at the paris peace conference and gained freedom of taxation and the revocation of extraterritoriality  
",palace revolt failed attempt western educated military officers overthrow siamese monarchy vajiravudh responded propaganda entirety reign promoted idea thai nation siam joined world war allies aftermath siam seat paris peace conference gained freedom taxation revocation extraterritoriality,8.10,"palace,revolt,failed,attempt,western,educated,military,officers,overthrow,siamese,monarchy,vajiravudh,responded,propaganda,entirety,reign,promoted,idea,thai,nation,siam,joined,world,war,allies,aftermath,siam,seat,paris,peace,conference,gained,freedom,taxation,revocation,extraterritoriality",0.00,thai
