Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"thiruvananthapuram  formerly known as trivandrum  is the capital of the indian state of kerala it is the most populous city in kerala with a population of  as of  the encompassing urban agglomeration population is around  million located on the west coast of india near the extreme south of the mainland thiruvananthapuram is a major information technology hub in kerala and contributes  of the states software exports as of  referred to by mahatma gandhi as the evergreen city of india the city is characterised by its undulating terrain of low coastal hills
",thiruvananthapuram known trivandrum capital indian state kerala populous city kerala population encompassing urban agglomeration population million located west coast india near extreme south mainland thiruvananthapuram major information technology hub kerala contributes states software exports referred mahatma gandhi evergreen city india city characterised undulating terrain low coastal hills,7.86,"thiruvananthapuram,known,trivandrum,capital,indian,state,kerala,populous,city,kerala,population,encompassing,urban,agglomeration,population,million,located,west,coast,india,near,extreme,south,mainland,thiruvananthapuram,major,information,technology,hub,kerala,contributes,states,software,exports,referred,mahatma,gandhi,evergreen,city,india,city,characterised,undulating,terrain,low,coastal,hills",0.00,thiruvananthapuram
"the present regions that constitute thiruvananthapuram were ruled by the ays who were feudatories of the chera dynasty in the th century it was conquered by the kingdom of venad in the th century the king marthanda varma expanded the territory founded the princely state of travancore and made thiruvananthapuram its capital travancore became the most dominant state in kerala by defeating the powerful zamorin of kozhikode in the battle of purakkad in  following indias independence in  thiruvananthapuram became the capital of travancore cochin state and remained so until the new indian state of kerala was formed in 
",present regions constitute thiruvananthapuram ruled ays feudatories chera dynasty th century conquered kingdom venad th century king marthanda varma expanded territory founded princely state travancore thiruvananthapuram capital travancore dominant state kerala defeating powerful zamorin kozhikode battle purakkad following indias independence thiruvananthapuram capital travancore cochin state remained new indian state kerala formed,7.57,"present,regions,constitute,thiruvananthapuram,ruled,ays,feudatories,chera,dynasty,th,century,conquered,kingdom,venad,th,century,king,marthanda,varma,expanded,territory,founded,princely,state,travancore,thiruvananthapuram,capital,travancore,dominant,state,kerala,defeating,powerful,zamorin,kozhikode,battle,purakkad,following,indias,independence,thiruvananthapuram,capital,travancore,cochin,state,remained,new,indian,state,kerala,formed",0.00,thiruvananthapuram
"thiruvananthapuram is a notable academic and research hub and home to the university of kerala apj abdul kalam technological university  the regional headquarters of indira gandhi national open university and many other schools and colleges thiruvananthapuram is also home to research centers such as the national institute for interdisciplinary science and technology indian space research organisations vikram sarabhai space centre  the indian institute of space science and technology national centre for earth science studies and a campus of the indian institutes of science education and research the city is home to media institutions like toonz india ltd and tata elxsi ltd and is also home to chitranjali film studio one of the first film studios in malayalam cinema and kinfra film and video park at kazhakoottom which is indias first infotainment industrial park
",thiruvananthapuram notable academic research hub home university kerala apj abdul kalam technological university regional headquarters indira gandhi national open university schools colleges thiruvananthapuram home research centers national institute interdisciplinary science technology indian space research organisations vikram sarabhai space centre indian institute space science technology national centre earth science studies campus indian institutes science education research city home media institutions like toonz india ltd tata elxsi ltd home chitranjali film studio film studios malayalam cinema kinfra film video park kazhakoottom indias infotainment industrial park,5.73,"thiruvananthapuram,notable,academic,research,hub,home,university,kerala,apj,abdul,kalam,technological,university,regional,headquarters,indira,gandhi,national,open,university,schools,colleges,thiruvananthapuram,home,research,centers,national,institute,interdisciplinary,science,technology,indian,space,research,organisations,vikram,sarabhai,space,centre,indian,institute,space,science,technology,national,centre,earth,science,studies,campus,indian,institutes,science,education,research,city,home,media,institutions,like,toonz,india,ltd,tata,elxsi,ltd,home,chitranjali,film,studio,film,studios,malayalam,cinema,kinfra,film,video,park,kazhakoottom,indias,infotainment,industrial,park",0.00,thiruvananthapuram
"being indias largest city in the deep south it is strategically prominent and hosts the southern air command headquarters of the indian air force the thumba equatorial rocket launching station and the upcoming vizhinjam international seaport thiruvananthapuram is a major tourist centre known for the padmanabhaswamy temple the beaches of kovalam and varkala the backwaters of poovar and anchuthengu and its western ghats tracts of ponmudi and the agastya mala in  thiruvananthapuram was named the best kerala city to live in by a field survey conducted by the times of india in  the city was ranked the fifteenth best city to live in india in a survey conducted by india today thiruvananthapuram was ranked the best indian city for two consecutive years  and  according to the annual survey of indias city systems  conducted by the janaagraha centre for citizenship and democracy the city was also selected as the best governed city in india in a survey conducted by janaagraha centre for citizenship and democracy in 
",indias largest city deep south strategically prominent hosts southern air command headquarters indian air force thumba equatorial rocket launching station upcoming vizhinjam international seaport thiruvananthapuram major tourist centre known padmanabhaswamy temple beaches kovalam varkala backwaters poovar anchuthengu western ghats tracts ponmudi agastya mala thiruvananthapuram named best kerala city live field survey conducted times india city ranked fifteenth best city live india survey conducted india today thiruvananthapuram ranked best indian city consecutive years according annual survey indias city systems conducted janaagraha centre citizenship democracy city selected best governed city india survey conducted janaagraha centre citizenship democracy,6.86,"indias,largest,city,deep,south,strategically,prominent,hosts,southern,air,command,headquarters,indian,air,force,thumba,equatorial,rocket,launching,station,upcoming,vizhinjam,international,seaport,thiruvananthapuram,major,tourist,centre,known,padmanabhaswamy,temple,beaches,kovalam,varkala,backwaters,poovar,anchuthengu,western,ghats,tracts,ponmudi,agastya,mala,thiruvananthapuram,named,best,kerala,city,live,field,survey,conducted,times,india,city,ranked,fifteenth,best,city,live,india,survey,conducted,india,today,thiruvananthapuram,ranked,best,indian,city,consecutive,years,according,annual,survey,indias,city,systems,conducted,janaagraha,centre,citizenship,democracy,city,selected,best,governed,city,india,survey,conducted,janaagraha,centre,citizenship,democracy",0.00,thiruvananthapuram
"the city takes its name from malayalam word thiru anantha puram  meaning the city of lord ananta referring to the deity of the sri padmanabhaswamy temple located in the city thiruvananthapuram is also known in literature and popular reference as ananthapuri derived from the sanskrit word syanandurapuram meaning the city of bliss in carnatic kirtanas composed by swathi thirunal erstwhile maharaja of travancore the city was officially referred to as trivandrum until   when the government decided to reinstate the citys original name thiruvananthapuram
",city takes malayalam word thiru anantha puram meaning city lord ananta referring deity sri padmanabhaswamy temple located city thiruvananthapuram known literature popular reference ananthapuri derived sanskrit word syanandurapuram meaning city bliss carnatic kirtanas composed swathi thirunal erstwhile maharaja travancore city officially referred trivandrum government decided reinstate citys original thiruvananthapuram,6.13,"city,takes,malayalam,word,thiru,anantha,puram,meaning,city,lord,ananta,referring,deity,sri,padmanabhaswamy,temple,located,city,thiruvananthapuram,known,literature,popular,reference,ananthapuri,derived,sanskrit,word,syanandurapuram,meaning,city,bliss,carnatic,kirtanas,composed,swathi,thirunal,erstwhile,maharaja,travancore,city,officially,referred,trivandrum,government,decided,reinstate,citys,original,thiruvananthapuram",0.00,thiruvananthapuram
"thiruvananthapuram is a relatively modern region with trading traditions dating back to  bce it is believed that the ships of king solomon landed in a port called ophir  in thiruvananthapuram in  bce the city was the trading post of spices sandalwood and ivory however the ancient political and cultural history of the city was almost entirely independent from that of the rest of kerala
",thiruvananthapuram relatively modern region trading traditions dating bce believed ships king solomon landed port called ophir thiruvananthapuram bce city trading post spices sandalwood ivory ancient political cultural history city entirely independent rest kerala,7.99,"thiruvananthapuram,relatively,modern,region,trading,traditions,dating,bce,believed,ships,king,solomon,landed,port,called,ophir,thiruvananthapuram,bce,city,trading,post,spices,sandalwood,ivory,ancient,political,cultural,history,city,entirely,independent,rest,kerala",0.00,thiruvananthapuram
"the early rulers of the city were the ays vizhinjam which is now a region in the present day thiruvananthapuram was the capital of the ay dynasty vizhinjam was an important port city from as early as the second century because during the ay dynastys rule thiruvananthapuram witnessed many battles in which the chola and pandyan dynasties attempted to capture the port town
",early rulers city ays vizhinjam region present day thiruvananthapuram capital ay dynasty vizhinjam important port city early second century ay dynastys rule thiruvananthapuram witnessed battles chola pandyan dynasties attempted capture port town,8.31,"early,rulers,city,ays,vizhinjam,region,present,day,thiruvananthapuram,capital,ay,dynasty,vizhinjam,important,port,city,early,second,century,ay,dynastys,rule,thiruvananthapuram,witnessed,battles,chola,pandyan,dynasties,attempted,capture,port,town",0.00,thiruvananthapuram
"present day thiruvananthapuram city district and kanyakumari district were parts of the ay dynasty during ancient and medieval ages which was a tamil kingdom based in the southernmost part of the indian subcontinent ay kingdom had experienced attacks and conquests by cholas and pandyas in various periods later it became a part of venad in late middle ages which was eventually expanded as the powerful kingdom of travancore in th century ce the tamil dravidian kind of architecture is also found in padmanabhaswamy temple which makes it distinct and unique from the architectural style of temples in northern and central parts of kerala
",present day thiruvananthapuram city district kanyakumari district parts ay dynasty ancient medieval ages tamil kingdom based southernmost indian subcontinent ay kingdom experienced attacks conquests cholas pandyas periods later venad late middle ages eventually expanded powerful kingdom travancore th century ce tamil dravidian kind architecture found padmanabhaswamy temple makes distinct unique architectural style temples northern central parts kerala,7.20,"present,day,thiruvananthapuram,city,district,kanyakumari,district,parts,ay,dynasty,ancient,medieval,ages,tamil,kingdom,based,southernmost,indian,subcontinent,ay,kingdom,experienced,attacks,conquests,cholas,pandyas,periods,later,venad,late,middle,ages,eventually,expanded,powerful,kingdom,travancore,th,century,ce,tamil,dravidian,kind,architecture,found,padmanabhaswamy,temple,makes,distinct,unique,architectural,style,temples,northern,central,parts,kerala",0.00,thiruvananthapuram
"in the early th century ce the travancore royal family adopted some members from the royal family of kolathunadu based at kannur and parappanad based in present day malappuram district then marthanda varma who inherited the kingdom of venad expanded the kingdom by conquering the kingdoms of attingal kollam kayamkulam kottarakara kottayam changanassery meenachil poonjar and ambalapuzha in  marthanda varma founded the princely state of thiruvithamkoor and thiruvananthapuram was made the capital in  after shifting the capital from padmanabhapuram in kanyakumari district thiruvananthapuram became a prominent city in kerala under marthanda varma
",early th century ce travancore royal family adopted members royal family kolathunadu based kannur parappanad based present day malappuram district marthanda varma inherited kingdom venad expanded kingdom conquering kingdoms attingal kollam kayamkulam kottarakara kottayam changanassery meenachil poonjar ambalapuzha marthanda varma founded princely state thiruvithamkoor thiruvananthapuram capital shifting capital padmanabhapuram kanyakumari district thiruvananthapuram prominent city kerala marthanda varma,5.39,"early,th,century,ce,travancore,royal,family,adopted,members,royal,family,kolathunadu,based,kannur,parappanad,based,present,day,malappuram,district,marthanda,varma,inherited,kingdom,venad,expanded,kingdom,conquering,kingdoms,attingal,kollam,kayamkulam,kottarakara,kottayam,changanassery,meenachil,poonjar,ambalapuzha,marthanda,varma,founded,princely,state,thiruvithamkoor,thiruvananthapuram,capital,shifting,capital,padmanabhapuram,kanyakumari,district,thiruvananthapuram,prominent,city,kerala,marthanda,varma",0.00,thiruvananthapuram
"as a result of the annexation of neighbouring chiefdoms the artists and scholars from these places migrated to thiruvananthapuram turning it into a cultural center marthanda varma gave patronage to different temple art forms including koothu padhakam kathakali thullal and koodiyattam noted artists such as ramapurathu warrier and kunchan nambiar amongst others served as his court poets travancore became the most dominant state in kerala by defeating the powerful zamorin of kozhikode in the battle of purakkad in 
",result annexation neighbouring chiefdoms artists scholars places migrated thiruvananthapuram turning cultural center marthanda varma gave patronage different temple art forms including koothu padhakam kathakali thullal koodiyattam noted artists ramapurathu warrier kunchan nambiar served court poets travancore dominant state kerala defeating powerful zamorin kozhikode battle purakkad,6.38,"result,annexation,neighbouring,chiefdoms,artists,scholars,places,migrated,thiruvananthapuram,turning,cultural,center,marthanda,varma,gave,patronage,different,temple,art,forms,including,koothu,padhakam,kathakali,thullal,koodiyattam,noted,artists,ramapurathu,warrier,kunchan,nambiar,served,court,poets,travancore,dominant,state,kerala,defeating,powerful,zamorin,kozhikode,battle,purakkad",0.00,thiruvananthapuram
