Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"tokyo  officially the tokyo metropolis  is the capital and most populous city of japan formerly known as edo its metropolitan area  is the most populous in the world with an estimated  million residents as of update the city proper has a population of  million people located at the head of tokyo bay the prefecture forms part of the kant region on the central coast of honshu japans largest island tokyo serves as japans economic center and is the seat of both the japanese government and the emperor of japan
",tokyo officially tokyo metropolis capital populous city japan known edo metropolitan area populous world estimated million residents update city proper population million people located head tokyo bay prefecture forms kant region central coast honshu japans largest island tokyo serves japans economic center seat japanese government emperor japan,8.22,"tokyo,officially,tokyo,metropolis,capital,populous,city,japan,known,edo,metropolitan,area,populous,world,estimated,million,residents,update,city,proper,population,million,people,located,head,tokyo,bay,prefecture,forms,kant,region,central,coast,honshu,japans,largest,island,tokyo,serves,japans,economic,center,seat,japanese,government,emperor,japan",0.00,tokyo
"originally a fishing village named edo the city became politically prominent in  when it became the seat of the tokugawa shogunate by the mid th century edo was one of the most populous cities in the world with a population of over one million people following the meiji restoration of  the imperial capital in kyoto was moved to edo which was renamed tokyo  tokyo was devastated by the  great kant earthquake and again by allied bombing raids during world war ii beginning in the s the city underwent rapid reconstruction and expansion efforts going on to lead the japanese economic miracle since  the tokyo metropolitan government has administered the prefectures  special wards  various commuter towns and suburbs in its western area and two outlying island chains known as the tokyo islands
",originally fishing village named edo city politically prominent seat tokugawa shogunate mid th century edo populous cities world population onemillion people following meiji restoration imperial capital kyoto moved edo renamed tokyo tokyo devastated great kant earthquake allied bombing raids world war ii beginning city underwent rapid reconstruction expansion efforts going lead japanese economic miracle tokyo metropolitan government administered prefectures special wards commuter towns suburbs western area outlying island chains known tokyo islands,7.42,"originally,fishing,village,named,edo,city,politically,prominent,seat,tokugawa,shogunate,mid,th,century,edo,populous,cities,world,population,onemillion,people,following,meiji,restoration,imperial,capital,kyoto,moved,edo,renamed,tokyo,tokyo,devastated,great,kant,earthquake,allied,bombing,raids,world,war,ii,beginning,city,underwent,rapid,reconstruction,expansion,efforts,going,lead,japanese,economic,miracle,tokyo,metropolitan,government,administered,prefectures,special,wards,commuter,towns,suburbs,western,area,outlying,island,chains,known,tokyo,islands",0.00,tokyo
"tokyo is the second largest urban economy worldwide by gross domestic product after new york city and is categorized as an alpha city by the globalization and world cities research network it is also japans leading business hub as part of an industrial region that includes the cities of yokohama kawasaki and chiba as of update tokyo is home to  companies of the fortune global  in  the city ranked fourth on the global financial centres index behind only new york city london and shanghai tokyo is home to the worlds tallest tower tokyo skytree and the worlds largest underground floodwater diversion facility the metropolitan area outer underground discharge channel  the tokyo metro ginza line opened in  is the oldest underground metro line in east asia recognized as one of the most livable cities in the world tokyo was tied fourth with wellington in the  global livability ranking
",tokyo second largest urban economy worldwide gross domestic product new york city categorized alpha city globalization world cities research network japans leading business hub industrial region includes cities yokohama kawasaki chiba update tokyo home companies fortune global city ranked fourth global financial centres index new york city london shanghai tokyo home worlds tallest tower tokyo skytree worlds largest underground floodwater diversion facility metropolitan area outer underground discharge channel tokyo metro ginza line opened oldest underground metro line east asia recognized livable cities world tokyo tied fourth wellington global livability ranking,6.41,"tokyo,second,largest,urban,economy,worldwide,gross,domestic,product,new,york,city,categorized,alpha,city,globalization,world,cities,research,network,japans,leading,business,hub,industrial,region,includes,cities,yokohama,kawasaki,chiba,update,tokyo,home,companies,fortune,global,city,ranked,fourth,global,financial,centres,index,new,york,city,london,shanghai,tokyo,home,worlds,tallest,tower,tokyo,skytree,worlds,largest,underground,floodwater,diversion,facility,metropolitan,area,outer,underground,discharge,channel,tokyo,metro,ginza,line,opened,oldest,underground,metro,line,east,asia,recognized,livable,cities,world,tokyo,tied,fourth,wellington,global,livability,ranking",0.00,tokyo
"the city has hosted multiple international events including the  summer olympics and  summer paralympics the  summer olympics and  summer paralympics  and three summits of the g  tokyo is an international  research and development hub and is likewise represented by several major universities most notably the university of tokyo tokyo station is the central hub for japans high speed railway network the shinkansen shinjuku station in tokyo is also the worlds busiest train station notable special wards of tokyo include chiyoda the site of the national diet building and the tokyo imperial palace shinjuku the citys administrative center and shibuya a commercial cultural and business hub
",city hosted multiple international events including summer olympics summer paralympics summer olympics summer paralympics summits g tokyo international research development hub likewise represented major universities notably university tokyo tokyo station central hub japans high speed railway network shinkansen shinjuku station tokyo worlds busiest train station notable special wards tokyo include chiyoda site national diet building tokyo imperial palace shinjuku citys administrative center shibuya commercial cultural business hub,5.50,"city,hosted,multiple,international,events,including,summer,olympics,summer,paralympics,summer,olympics,summer,paralympics,summits,g,tokyo,international,research,development,hub,likewise,represented,major,universities,notably,university,tokyo,tokyo,station,central,hub,japans,high,speed,railway,network,shinkansen,shinjuku,station,tokyo,worlds,busiest,train,station,notable,special,wards,tokyo,include,chiyoda,site,national,diet,building,tokyo,imperial,palace,shinjuku,citys,administrative,center,shibuya,commercial,cultural,business,hub",0.00,tokyo
" tokyo was originally known as edo  a kanji compound of   and   the name which can be translated as estuary is a reference to the original settlements location at the meeting of the sumida river and tokyo bay during the meiji restoration in  the name of the city was changed to tokyo  when it became the new imperial capital in line with the east asian tradition of including the word capital  in the name of the capital city  keij  beijing  nanjing  and xijing  during the early meiji period the city was sometimes called tkei an alternative pronunciation for the same characters representing tokyo making it a kanji homograph some surviving official english documents use the spelling tokei however this pronunciation is now obsolete
",tokyo originally known edo kanji compound translated estuary reference original settlements location meeting sumida river tokyo bay meiji restoration city changed tokyo new imperial capital line east asian tradition including word capital capital city keij beijing nanjing xijing early meiji period city called tkei alternative pronunciation characters representing tokyo making kanji homograph surviving official english documents use spelling tokei pronunciation obsolete,8.29,"tokyo,originally,known,edo,kanji,compound,translated,estuary,reference,original,settlements,location,meeting,sumida,river,tokyo,bay,meiji,restoration,city,changed,tokyo,new,imperial,capital,line,east,asian,tradition,including,word,capital,capital,city,keij,beijing,nanjing,xijing,early,meiji,period,city,called,tkei,alternative,pronunciation,characters,representing,tokyo,making,kanji,homograph,surviving,official,english,documents,use,spelling,tokei,pronunciation,obsolete",0.00,tokyo
"tokyo was originally a village called edo in what was formerly part of the old musashi province edo was first fortified by the edo clan in the late twelfth century in  ta dkan built edo castle in  tokugawa ieyasu moved from mikawa province  to the kant region when he became shgun in  edo became the center of his ruling during the subsequent edo period edo grew into one of the largest cities in the world with a population topping one million by the th century
",tokyo originally village called edo old musashi province edo fortified edo clan late twelfth century ta dkan built edo castle tokugawa ieyasu moved mikawa province kant region shgun edo center ruling subsequent edo period edo grew largest cities world population topping million th century,8.86,"tokyo,originally,village,called,edo,old,musashi,province,edo,fortified,edo,clan,late,twelfth,century,ta,dkan,built,edo,castle,tokugawa,ieyasu,moved,mikawa,province,kant,region,shgun,edo,center,ruling,subsequent,edo,period,edo,grew,largest,cities,world,population,topping,million,th,century",0.00,tokyo
"edo was renamed tokyo  on september   as the new government was consolidating its power after the fall of the edo shogunate the young emperor meiji visited once at the end of that year and eventually moved in in  tokyo was already the nations political center and the emperors residence made it a de facto imperial capital as well with the former edo castle becoming the imperial palace the city of tokyo was officially established on may  
",edo renamed tokyo september new government consolidating power fall edo shogunate young emperor meiji visited end year eventually moved tokyo nations political center emperors residence de facto imperial capital edo castle imperial palace city tokyo officially established,8.84,"edo,renamed,tokyo,september,new,government,consolidating,power,fall,edo,shogunate,young,emperor,meiji,visited,end,year,eventually,moved,tokyo,nations,political,center,emperors,residence,de,facto,imperial,capital,edo,castle,imperial,palace,city,tokyo,officially,established",0.00,tokyo
"the tokyo metro ginza line portion between ueno and asakusa was the first subway line built in japan and east asia completed on december   central tokyo like osaka has been designed since about  to be centered on major railway stations in a high density fashion so suburban railways were built relatively cheaply at street level and with their own right of way though expressways have been built in tokyo the basic design has not changedcitation needed
",tokyo metro ginza line portion ueno asakusa subway line built japan east asia completed december central tokyo like osaka designed centered major railway stations high density fashion suburban railways built relatively cheaply street level right way expressways built tokyo basic design changedcitation needed,7.28,"tokyo,metro,ginza,line,portion,ueno,asakusa,subway,line,built,japan,east,asia,completed,december,central,tokyo,like,osaka,designed,centered,major,railway,stations,high,density,fashion,suburban,railways,built,relatively,cheaply,street,level,right,way,expressways,built,tokyo,basic,design,changedcitation,needed",0.00,tokyo
"tokyo went on to suffer two major catastrophes in the th century the  great kant earthquake which left  dead or missing and world war ii
",tokyo went suffer major catastrophes th century great kant earthquake left dead missing world war ii,6.57,"tokyo,went,suffer,major,catastrophes,th,century,great,kant,earthquake,left,dead,missing,world,war,ii",0.00,tokyo
"the s chuo dori terraces in ginza tokyo
",chuo dori terraces ginza tokyo,7.50,"chuo,dori,terraces,ginza,tokyo",0.00,tokyo
"an aerial view of the sumida river with tait ku  and sumida ku  in tokyo c 
",aerial view sumida river tait ku sumida ku tokyo c,7.89,"aerial,view,sumida,river,tait,ku,sumida,ku,tokyo,c",0.00,tokyo
"the first underground railway in the orient tokyo underground opened on december  
",underground railway orient tokyo underground opened december,6.02,"underground,railway,orient,tokyo,underground,opened,december",0.00,tokyo
"in  the city of tokyo merged with the prefecture of tokyo to form the metropolitan prefecture of tokyo since then the tokyo metropolitan government served as both the prefecture government for tokyo as well as administering the special wards of tokyo for what had previously been tokyo city world war ii wreaked widespread destruction of most of the city due to the persistent allied air raids on japan and the use of incendiary bombs the bombing of tokyo in  and  is estimated to have killed between  and  civilians and left more than half of the city destroyed
",city tokyo merged prefecture tokyo form metropolitan prefecture tokyo tokyo metropolitan government served prefecture government tokyo administering special wards tokyo previously tokyo city world war ii wreaked widespread destruction city persistent allied air raids japan use incendiary bombs bombing tokyo estimated killed civilians left half city destroyed,8.88,"city,tokyo,merged,prefecture,tokyo,form,metropolitan,prefecture,tokyo,tokyo,metropolitan,government,served,prefecture,government,tokyo,administering,special,wards,tokyo,previously,tokyo,city,world,war,ii,wreaked,widespread,destruction,city,persistent,allied,air,raids,japan,use,incendiary,bombs,bombing,tokyo,estimated,killed,civilians,left,half,city,destroyed",0.00,tokyo
"the bombing of tokyo in 
",bombing tokyo,12.00,"bombing,tokyo",0.00,tokyo
"the aftermath of the bombing of tokyo march 
",aftermath bombing tokyo march,8.89,"aftermath,bombing,tokyo,march",0.00,tokyo
"after the war tokyo became the base from which the united states under douglas macarthur administered japan for six years tokyo struggled to rebuild as occupation authorities stepped in and drastically cut back on japanese government rebuilding programs focusing instead on simply improving roads and transportation tokyo did not experience fast economic growth until the s
",war tokyo base united states douglas macarthur administered japan years tokyo struggled rebuild occupation authorities stepped drastically cut japanese government rebuilding programs focusing instead simply improving roads transportation tokyo experience fast economic growth,6.15,"war,tokyo,base,united,states,douglas,macarthur,administered,japan,years,tokyo,struggled,rebuild,occupation,authorities,stepped,drastically,cut,japanese,government,rebuilding,programs,focusing,instead,simply,improving,roads,transportation,tokyo,experience,fast,economic,growth",0.00,tokyo
"after the occupation of japan ended in  tokyo was completely rebuilt and was showcased to the world during the  summer olympics the s and the s brought new high rise developments in  sunshine   the tallest skyscraper in asia until  and in japan until   and narita international airport were constructed and the population increased to about  million in the metropolitan area the edo tokyo open air architectural museum has historic japanese buildings that existed in the urban landscape of pre war tokyo
",occupation japan ended tokyo completely rebuilt showcased world summer olympics brought new high rise developments sunshine tallest skyscraper asia japan narita international airport constructed population increased million metropolitan area edo tokyo open air architectural museum historic japanese buildings existed urban landscape pre war tokyo,7.34,"occupation,japan,ended,tokyo,completely,rebuilt,showcased,world,summer,olympics,brought,new,high,rise,developments,sunshine,tallest,skyscraper,asia,japan,narita,international,airport,constructed,population,increased,million,metropolitan,area,edo,tokyo,open,air,architectural,museum,historic,japanese,buildings,existed,urban,landscape,pre,war,tokyo",0.00,tokyo
