Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the tower of hanoi  is a mathematical game or puzzle consisting of three rods and a number of disks of various diameters which can slide onto any rod the puzzle begins with the disks stacked on one rod in order of decreasing size the smallest at the top thus approximating a conical shape the objective of the puzzle is to move the entire stack to the last rod obeying the following rules
",tower hanoi mathematical game puzzle consisting rods number disks diameters slide rod puzzle begins disks stacked rod order decreasing size smallest approximating conical shape objective puzzle entire stack rod obeying following rules,10.28,"tower,hanoi,mathematical,game,puzzle,consisting,rods,number,disks,diameters,slide,rod,puzzle,begins,disks,stacked,rod,order,decreasing,size,smallest,approximating,conical,shape,objective,puzzle,entire,stack,rod,obeying,following,rules",0.00,hanoi
"with  disks the puzzle can be solved in  moves the minimal number of moves required to solve a tower of hanoi puzzle is n   where n is the number of disks
",disks puzzle solved moves minimal number moves required solve tower hanoi puzzle n n number disks,9.68,"disks,puzzle,solved,moves,minimal,number,moves,required,solve,tower,hanoi,puzzle,n,n,number,disks",0.00,hanoi
"there are many variations on this legend for instance in some tellings the temple is a monastery and the priests are monks the temple or monastery may be in various locales including hanoi and may be associated with any religion in some versions other elements are introduced such as the fact that the tower was created at the beginning of the world or that the priests or monks may make only one move per day
",variations legend instance tellings temple monastery priests monks temple monastery locales including hanoi associated religion versions elements introduced fact tower created beginning world priests monks day,11.95,"variations,legend,instance,tellings,temple,monastery,priests,monks,temple,monastery,locales,including,hanoi,associated,religion,versions,elements,introduced,fact,tower,created,beginning,world,priests,monks,day",0.00,hanoi
"the puzzle can be played with any number of disks although many toy versions have around  to  of them the minimal number of moves required to solve a tower of hanoi puzzle is n   where n is the number of disks this is precisely the nth mersenne number without primality requirements
",puzzle played number disks toy versions minimal number moves required solve tower hanoi puzzle n n number disks precisely nth mersenne number primality requirements,9.54,"puzzle,played,number,disks,toy,versions,minimal,number,moves,required,solve,tower,hanoi,puzzle,n,n,number,disks,precisely,nth,mersenne,number,primality,requirements",0.00,hanoi
"the key to solving a problem recursively is to recognize that it can be broken down into a collection of smaller sub problems to each of which that same general solving procedure that we are seeking applies and the total solution is then found in some simple way from those sub problems solutions each of these created sub problems being smaller guarantees that the base case will eventually be reached  thence for the towers of hanoi
",key solving problem recursively recognize broken collection smaller sub problems general solving procedure seeking applies total solution found simple way sub problems solutions created sub problems smaller guarantees base case eventually reached towers hanoi,9.66,"key,solving,problem,recursively,recognize,broken,collection,smaller,sub,problems,general,solving,procedure,seeking,applies,total,solution,found,simple,way,sub,problems,solutions,created,sub,problems,smaller,guarantees,base,case,eventually,reached,towers,hanoi",0.00,hanoi
"the full tower of hanoi solution then consists of moving n disks from the source peg a to the target peg c using b as the spare peg
",tower hanoi solution consists moving n disks source peg target peg c b spare peg,9.85,"tower,hanoi,solution,consists,moving,n,disks,source,peg,target,peg,c,b,spare,peg",0.00,hanoi
"for example in an  disk hanoi
",example disk hanoi,10.00,"example,disk,hanoi",0.00,hanoi
"if one counts in gray code of a bit size equal to the number of disks in a particular tower of hanoi begins at zero and counts up then the bit changed each move corresponds to the disk to move where the least significant bit is the smallest disk and the most significant bit is the largest
",counts gray code bit size equal number disks particular tower hanoi begins zero counts bit changed corresponds disk significant bit smallest disk significant bit largest,11.03,"counts,gray,code,bit,size,equal,number,disks,particular,tower,hanoi,begins,zero,counts,bit,changed,corresponds,disk,significant,bit,smallest,disk,significant,bit,largest",0.00,hanoi
"in cyclic hanoi we are given three pegs  which are arranged as a circle with the clockwise and the counterclockwise directions being defined as a  b  c  a and a  c  b  a respectively the moving direction of the disk must be clockwise it suffices to represent the sequence of disks to be moved the solution can be found using two mutually recursive procedures
",cyclic hanoi given pegs arranged circle clockwise counterclockwise directions defined b c c b respectively moving direction disk clockwise suffices represent sequence disks moved solution found mutually recursive procedures,9.75,"cyclic,hanoi,given,pegs,arranged,circle,clockwise,counterclockwise,directions,defined,b,c,c,b,respectively,moving,direction,disk,clockwise,suffices,represent,sequence,disks,moved,solution,found,mutually,recursive,procedures",0.00,hanoi
"the solution for the cyclic hanoi has some interesting properties
",solution cyclic hanoi interesting properties,7.58,"solution,cyclic,hanoi,interesting,properties",0.00,hanoi
