Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"tripura   is a state in northeast india the third smallest state in the country it covers  km  and the seventh least populous state with a population of  lakh  it is bordered by assam and mizoram to the east and by bangladesh to the north south and west tripura is divided into  districts and  sub divisions where agartala is the capital and the largest city in the state tripura has  different tribal communities with a majority of the bengali population bengali english and kokborok are the states official languages
",tripura state northeast india smallest state country covers km seventh populous state population lakh bordered assam mizoram east bangladesh north south west tripura divided districts sub divisions agartala capital largest city state tripura different tribal communities majority bengali population bengali english kokborok states official languages,8.29,"tripura,state,northeast,india,smallest,state,country,covers,km,seventh,populous,state,population,lakh,bordered,assam,mizoram,east,bangladesh,north,south,west,tripura,divided,districts,sub,divisions,agartala,capital,largest,city,state,tripura,different,tribal,communities,majority,bengali,population,bengali,english,kokborok,states,official,languages",0.00,tripura
"the area of modern tripura  ruled for several centuries by the manikya dynasty  was part of the tripuri kingdom  it became a princely state under the british raj during its tenure and acceded to independent india in  it merged with india in  and was designated as a part c state  it became a full fledged state of india in 
",area modern tripura ruled centuries manikya dynasty tripuri kingdom princely state british raj tenure acceded independent india merged india designated c state fledged state india,10.49,"area,modern,tripura,ruled,centuries,manikya,dynasty,tripuri,kingdom,princely,state,british,raj,tenure,acceded,independent,india,merged,india,designated,c,state,fledged,state,india",0.00,tripura
"tripura lies in a geographically isolated location in india as only one major highway national highway  connects it with the rest of the country five mountain ranges  hathai kotor atharamura longtharai shakhan and jampui hills  run north to south with intervening valleys agartala the capital is located on a plain to the west the state has a tropical savanna climate and receives seasonal heavy rains from the south west monsoon 
",tripura lies geographically isolated location india major highway national highway connects rest country mountain ranges hathai kotor atharamura longtharai shakhan jampui hills run north south intervening valleys agartala capital located plain west state tropical savanna climate receives seasonal heavy rains south west monsoon,6.26,"tripura,lies,geographically,isolated,location,india,major,highway,national,highway,connects,rest,country,mountain,ranges,hathai,kotor,atharamura,longtharai,shakhan,jampui,hills,run,north,south,intervening,valleys,agartala,capital,located,plain,west,state,tropical,savanna,climate,receives,seasonal,heavy,rains,south,west,monsoon",0.00,tripura
"forests cover more than half of the area in which bamboo and cane tracts are common tripura has the highest number of primate species found in any indian state due to its geographical isolation economic progress in the state is hindered poverty and unemployment continue to plague tripura which has a limited infrastructure most residents are involved in agriculture and allied activities although the service sector is the largest contributor to the states gross domestic product
",forests cover half area bamboo cane tracts common tripura highest number primate species found indian state geographical isolation economic progress state hindered poverty unemployment continue plague tripura limited infrastructure residents involved agriculture allied activities service sector largest contributor states gross domestic product,7.07,"forests,cover,half,area,bamboo,cane,tracts,common,tripura,highest,number,primate,species,found,indian,state,geographical,isolation,economic,progress,state,hindered,poverty,unemployment,continue,plague,tripura,limited,infrastructure,residents,involved,agriculture,allied,activities,service,sector,largest,contributor,states,gross,domestic,product",0.00,tripura
"according to the  census tripura is one of the most literate states in india with a literacy rate of  mainstream indian cultural elements coexist with traditional practices of the ethnic groups such as various dances to celebrate religious occasions weddings and festivities the use of locally crafted musical instruments and clothes and the worship of regional deities the sculptures at the archaeological sites unakoti pilak and devtamura provide historical evidence of artistic fusion between organised and indigenous religions
",according census tripura literate states india literacy rate mainstream indian cultural elements coexist traditional practices ethnic groups dances celebrate religious occasions weddings festivities use locally crafted musical instruments clothes worship regional deities sculptures archaeological sites unakoti pilak devtamura provide historical evidence artistic fusion organised indigenous religions,6.03,"according,census,tripura,literate,states,india,literacy,rate,mainstream,indian,cultural,elements,coexist,traditional,practices,ethnic,groups,dances,celebrate,religious,occasions,weddings,festivities,use,locally,crafted,musical,instruments,clothes,worship,regional,deities,sculptures,archaeological,sites,unakoti,pilak,devtamura,provide,historical,evidence,artistic,fusion,organised,indigenous,religions",0.00,tripura
"the name tripura is linked to the hindu goddess tripura sundari the presiding deity of the tripura sundari temple at udaipur one of the  shakti peethas  and to the legendary tyrant king tripur who reigned in the region tripur was the th descendant of druhyu who belonged to the lineage of yayati a king of the lunar dynasty
",tripura linked hindu goddess tripura sundari presiding deity tripura sundari temple udaipur shakti peethas legendary tyrant king tripur reigned region tripur th descendant druhyu belonged lineage yayati king lunar dynasty,8.64,"tripura,linked,hindu,goddess,tripura,sundari,presiding,deity,tripura,sundari,temple,udaipur,shakti,peethas,legendary,tyrant,king,tripur,reigned,region,tripur,th,descendant,druhyu,belonged,lineage,yayati,king,lunar,dynasty",0.00,tripura
"there are alternative theories regarding the origin of the name tripura such as a possible etymological reinterpretation to sanskrit of a tibeto burman  name variants of the name include tipra tuipura and tippera which can all denote the  indigenous people inhabiting the area a kokborok etymology from  ti  and pra  has been suggested the boundaries of tripura extended to the bay of bengal when the kings of the tipra kingdom held sway from the garo hills of meghalaya to arakan the present rakhine state of burma so the name may reflect vicinity to the sea
",alternative theories origin tripura possible etymological reinterpretation sanskrit tibeto burman variants include tipra tuipura tippera denote indigenous people inhabiting area kokborok etymology ti pra suggested boundaries tripura extended bay bengal kings tipra kingdom held sway garo hills meghalaya arakan present rakhine state burma reflect vicinity sea,8.75,"alternative,theories,origin,tripura,possible,etymological,reinterpretation,sanskrit,tibeto,burman,variants,include,tipra,tuipura,tippera,denote,indigenous,people,inhabiting,area,kokborok,etymology,ti,pra,suggested,boundaries,tripura,extended,bay,bengal,kings,tipra,kingdom,held,sway,garo,hills,meghalaya,arakan,present,rakhine,state,burma,reflect,vicinity,sea",0.00,tripura
"although there is no evidence of lower or middle paleolithic settlements in tripura upper paleolithic tools made of fossil wood have been found in the haora and khowai valleys the indian epic the mahabharata ancient religious texts the puranas and the edicts of ashoka  stone pillar inscriptions of the emperor ashoka dating from the third century bce  all mention tripura an ancient name of tripura  is kirat desh  probably referring to the kirata kingdoms or the more generic term kirata   however it is unclear whether the extent of modern tripura is coterminous with kirat desh the region was under the rule of the twipra kingdom for centuries but when this dynasty began is not documented  the rajmala a chronicle of tripuri kings which was first written in the th century provides a list of  kings from antiquity up to krishna kishore manikya    but it is not a reliable source
",evidence lower middle paleolithic settlements tripura upper paleolithic tools fossil wood found haora khowai valleys indian epic mahabharata ancient religious texts puranas edicts ashoka stone pillar inscriptions emperor ashoka dating century bce mention tripura ancient tripura kirat desh probably referring kirata kingdoms generic term kirata unclear extent modern tripura coterminous kirat desh region rule twipra kingdom centuries dynasty began documented rajmala chronicle tripuri kings written th century provides list kings antiquity krishna kishore manikya reliable source,8.26,"evidence,lower,middle,paleolithic,settlements,tripura,upper,paleolithic,tools,fossil,wood,found,haora,khowai,valleys,indian,epic,mahabharata,ancient,religious,texts,puranas,edicts,ashoka,stone,pillar,inscriptions,emperor,ashoka,dating,century,bce,mention,tripura,ancient,tripura,kirat,desh,probably,referring,kirata,kingdoms,generic,term,kirata,unclear,extent,modern,tripura,coterminous,kirat,desh,region,rule,twipra,kingdom,centuries,dynasty,began,documented,rajmala,chronicle,tripuri,kings,written,th,century,provides,list,kings,antiquity,krishna,kishore,manikya,reliable,source",0.00,tripura
"tripura became a princely state during british rule in india the kings had an estate in british india known as tippera district or chakla roshanbad  in addition to the independent area known as hill tippera roughly corresponding to the present day tripura state udaipur in the south of tripura was the capital of the kingdom until the king krishna manikya moved the capital to old agartala in the th century  it was moved to the new city of agartala in the th century bir chandra manikya  modelled his administration on the pattern of british india and enacted reforms including the formation of agartala municipal corporation
",tripura princely state british rule india kings estate british india known tippera district chakla roshanbad addition independent area known hill tippera roughly corresponding present day tripura state udaipur south tripura capital kingdom king krishna manikya moved capital old agartala th century moved new city agartala th century bir chandra manikya modelled administration pattern british india enacted reforms including formation agartala municipal corporation,6.86,"tripura,princely,state,british,rule,india,kings,estate,british,india,known,tippera,district,chakla,roshanbad,addition,independent,area,known,hill,tippera,roughly,corresponding,present,day,tripura,state,udaipur,south,tripura,capital,kingdom,king,krishna,manikya,moved,capital,old,agartala,th,century,moved,new,city,agartala,th,century,bir,chandra,manikya,modelled,administration,pattern,british,india,enacted,reforms,including,formation,agartala,municipal,corporation",0.00,tripura
"following the independence of india in  tippera district  the estate in the plains of british india  became comilla district of east pakistan and hill tippera remained under a regency council until  the maharani regent of tripura signed the tripura merger agreement on  september  making tripura a part c state of india    it became a union territory without a legislature in november  and an elected ministry was installed in july    it was conferred full statehood in  by the north eastern areas  act  the geographic partition that coincided with the independence of india resulted in major economic and infrastructural setbacks for the state as road transport between the state and the major cities of the newly independent india had to follow a more circuitous route around east pakistan the road distance between kolkata and agartala before the partition was less than  km  and increased to  km  as the route now avoided east pakistan the geopolitical isolation was aggravated by an absence of rail transport  
",following independence india tippera district estate plains british india comilla district east pakistan hill tippera remained regency council maharani regent tripura signed tripura merger agreement september making tripura c state india union territory legislature november elected ministry installed july conferred statehood north eastern areas act geographic partition coincided independence india resulted major economic infrastructural setbacks state road transport state major cities newly independent india follow circuitous route east pakistan road distance kolkata agartala partition km increased km route avoided east pakistan geopolitical isolation aggravated absence rail transport,7.38,"following,independence,india,tippera,district,estate,plains,british,india,comilla,district,east,pakistan,hill,tippera,remained,regency,council,maharani,regent,tripura,signed,tripura,merger,agreement,september,making,tripura,c,state,india,union,territory,legislature,november,elected,ministry,installed,july,conferred,statehood,north,eastern,areas,act,geographic,partition,coincided,independence,india,resulted,major,economic,infrastructural,setbacks,state,road,transport,state,major,cities,newly,independent,india,follow,circuitous,route,east,pakistan,road,distance,kolkata,agartala,partition,km,increased,km,route,avoided,east,pakistan,geopolitical,isolation,aggravated,absence,rail,transport",0.00,tripura
