Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"usa today  is an american daily middle market newspaper and news broadcasting company founded by al neuharth on september   the newspaper operates from gannetts corporate headquarters in tysons virginia its newspaper is printed at  sites across the united states and at five additional sites internationally the papers dynamic design influenced the style of local regional and national newspapers worldwide through its use of concise reports colorized images informational graphics and inclusion of popular culture stories among other distinct features
",usa today american daily middle market newspaper news broadcasting company founded al neuharth september newspaper operates gannetts corporate headquarters tysons virginia newspaper printed sites united states additional sites internationally papers dynamic design influenced style local regional national newspapers worldwide use concise reports colorized images informational graphics inclusion popular culture stories distinct features,4.88,"usa,today,american,daily,middle,market,newspaper,news,broadcasting,company,founded,al,neuharth,september,newspaper,operates,gannetts,corporate,headquarters,tysons,virginia,newspaper,printed,sites,united,states,additional,sites,internationally,papers,dynamic,design,influenced,style,local,regional,national,newspapers,worldwide,use,concise,reports,colorized,images,informational,graphics,inclusion,popular,culture,stories,distinct,features",0.00,usa
"with an average print circulation of  as of  a digital only subscriber base of  as of  and an approximate daily readership of  million usa today is ranked as the first by circulation on the list of newspapers in the united states it has been shown to maintain a generally center left audience in regards to political persuasion usa today is distributed in all  states washington dc and puerto rico and an international edition is distributed in asia canada europe and the pacific islands
",average print circulation digital subscriber base approximate daily readership million usa today ranked circulation list newspapers united states shown maintain generally center left audience regards political persuasion usa today distributed states washington dc puerto rico international edition distributed asia canada europe pacific islands,8.20,"average,print,circulation,digital,subscriber,base,approximate,daily,readership,million,usa,today,ranked,circulation,list,newspapers,united,states,shown,maintain,generally,center,left,audience,regards,political,persuasion,usa,today,distributed,states,washington,dc,puerto,rico,international,edition,distributed,asia,canada,europe,pacific,islands",0.00,usa
"usa today was first conceived on february   when a company task force known as project nn met with then chairman of gannett al neuharth in cocoa beach florida early regional prototypes of usa today included east bay today an oakland california based publication published in the late s to serve as the morning edition of the oakland tribune an afternoon newspaper which gannett owned at the time on june   gannett printed the first prototypes of the proposed publication the two proposed design layouts were mailed to newsmakers and prominent leaders in journalism for review and feedback gannetts board of directors approved the launch of the national newspaper titled usa today on december   at launch neuharth was appointed president and publisher of the newspaper adding those responsibilities to his existing position as gannetts chief executive officer
",usa today conceived february company task force known project nn met chairman gannett al neuharth cocoa beach florida early regional prototypes usa today included east bay today oakland california based publication published late serve morning edition oakland tribune afternoon newspaper gannett owned time june gannett printed prototypes proposed publication proposed design layouts mailed newsmakers prominent leaders journalism review feedback gannetts board directors approved launch national newspaper titled usa today december launch neuharth appointed president publisher newspaper adding responsibilities existing position gannetts chief executive officer,5.94,"usa,today,conceived,february,company,task,force,known,project,nn,met,chairman,gannett,al,neuharth,cocoa,beach,florida,early,regional,prototypes,usa,today,included,east,bay,today,oakland,california,based,publication,published,late,serve,morning,edition,oakland,tribune,afternoon,newspaper,gannett,owned,time,june,gannett,printed,prototypes,proposed,publication,proposed,design,layouts,mailed,newsmakers,prominent,leaders,journalism,review,feedback,gannetts,board,directors,approved,launch,national,newspaper,titled,usa,today,december,launch,neuharth,appointed,president,publisher,newspaper,adding,responsibilities,existing,position,gannetts,chief,executive,officer",0.00,usa
"gannett announced the launch of the paper on april   usa today began publishing on september   initially in the baltimore and washington dc metropolitan areas for a newsstand price of   after selling out the first issue gannett gradually expanded the national distribution of the paper reaching an estimated circulation of  copies by the end of  double the amount of sales that gannett projectedcitation needed
",gannett announced launch paper april usa today began publishing september initially baltimore washington dc metropolitan areas newsstand price selling issue gannett gradually expanded national distribution paper reaching estimated circulation copies end double sales gannett projectedcitation needed,6.57,"gannett,announced,launch,paper,april,usa,today,began,publishing,september,initially,baltimore,washington,dc,metropolitan,areas,newsstand,price,selling,issue,gannett,gradually,expanded,national,distribution,paper,reaching,estimated,circulation,copies,end,double,sales,gannett,projectedcitation,needed",0.00,usa
"the design uniquely incorporated color graphics and photographs initially only its front news section pages were rendered in four color while the remaining pages were printed in a spot color format the papers overall style and elevated use of graphics  developed by neuharth in collaboration with staff graphics designers george rorick sam ward suzy parker john sherlock and web bryant  was derided by critics who referred to it as a mcpaper or television you can wrap fish in because it opted to incorporate concise nuggets of information more akin to the style of television news rather than in depth stories like traditional newspapers which many in the newspaper industry considered to be a dumbing down of content although usa today had been profitable for just ten years as of  it changed the appearance and feel of newspapers around the world
",design uniquely incorporated color graphics photographs initially news section pages rendered color remaining pages printed spot color format papers overall style elevated use graphics developed neuharth collaboration staff graphics designers george rorick sam ward suzy parker john sherlock web bryant derided critics referred mcpaper television wrap fish opted incorporate concise nuggets information akin style television news depth stories like traditional newspapers newspaper industry considered dumbing content usa today profitable years changed appearance feel newspapers world,7.65,"design,uniquely,incorporated,color,graphics,photographs,initially,news,section,pages,rendered,color,remaining,pages,printed,spot,color,format,papers,overall,style,elevated,use,graphics,developed,neuharth,collaboration,staff,graphics,designers,george,rorick,sam,ward,suzy,parker,john,sherlock,web,bryant,derided,critics,referred,mcpaper,television,wrap,fish,opted,incorporate,concise,nuggets,information,akin,style,television,news,depth,stories,like,traditional,newspapers,newspaper,industry,considered,dumbing,content,usa,today,profitable,years,changed,appearance,feel,newspapers,world",0.00,usa
"on july   the newspaper switched from predominantly black and white to full color photography and graphics in all four sections the following week on july  usa today launched an international edition intended for yous readers abroad followed four months later on october  with the rollout of the first transmission via satellite of its international version to singapore on april   the paper published its first special bonus section a  page section called baseball  which previewed the  major league baseball season
",july newspaper switched predominantly black white color photography graphics sections following week july usa today launched international edition intended yous readers abroad followed months later october rollout transmission satellite international version singapore april paper published special bonus section page section called baseball previewed major league baseball season,6.19,"july,newspaper,switched,predominantly,black,white,color,photography,graphics,sections,following,week,july,usa,today,launched,international,edition,intended,yous,readers,abroad,followed,months,later,october,rollout,transmission,satellite,international,version,singapore,april,paper,published,special,bonus,section,page,section,called,baseball,previewed,major,league,baseball,season",0.00,usa
"by the fourth quarter of  usa today had become the second largest newspaper in the united states reaching a daily circulation of  million copies total daily readership of the paper by   had reached  million the largest of any daily newspaper in the yous on may   usa today began production of its international edition in switzerland usa today operated at a loss for most of its first four years of operation accumulating a total deficit of  million after taxes according to figures released by gannett in july  the newspaper began turning its first profit in may  six months ahead of gannett corporate revenue projections
",fourth quarter usa today second largest newspaper united states reaching daily circulation million copies total daily readership paper reached million largest daily newspaper yous usa today began production international edition switzerland usa today operated loss years operation accumulating total deficit million taxes according figures released gannett july newspaper began turning profit months ahead gannett corporate revenue projections,7.38,"fourth,quarter,usa,today,second,largest,newspaper,united,states,reaching,daily,circulation,million,copies,total,daily,readership,paper,reached,million,largest,daily,newspaper,yous,usa,today,began,production,international,edition,switzerland,usa,today,operated,loss,years,operation,accumulating,total,deficit,million,taxes,according,figures,released,gannett,july,newspaper,began,turning,profit,months,ahead,gannett,corporate,revenue,projections",0.00,usa
"on january   usa today published the largest edition in its history a  page weekend edition featuring a section previewing super bowl xxii the edition included  pages of advertising and sold  copies setting a single day record for an american newspaper  on april  usa today launched a third international printing site based in hong kong the international edition set circulation and advertising records during august  with coverage of the  summer olympics selling more than  copies and  pages of advertising
",january usa today published largest edition history page weekend edition featuring section previewing super bowl xxii edition included pages advertising sold copies setting single day record american newspaper april usa today launched international printing site based hong kong international edition set circulation advertising records august coverage summer olympics selling copies pages advertising,5.11,"january,usa,today,published,largest,edition,history,page,weekend,edition,featuring,section,previewing,super,bowl,xxii,edition,included,pages,advertising,sold,copies,setting,single,day,record,american,newspaper,april,usa,today,launched,international,printing,site,based,hong,kong,international,edition,set,circulation,advertising,records,august,coverage,summer,olympics,selling,copies,pages,advertising",0.00,usa
"by july  simmons market research bureau estimated that usa today had a total daily readership of nearly  million an all time high and the largest readership of any daily newspaper in the united states on september   usa today launched a fourth printsite for its international edition in london for the united kingdom and the british isles the international editions schedule was changed as of april   to monday through friday rather than from tuesday through saturday in order to accommodate business travelers on february   usa today opened its first editorial bureau outside the united states at its hong kong publishing facility additional editorial bureaus were launched in london and moscow in 
",july simmons market research bureau estimated usa today total daily readership nearly million time high largest readership daily newspaper united states september usa today launched fourth printsite international edition london united kingdom british isles international editions schedule changed april monday friday tuesday saturday order accommodate business travelers february usa today opened editorial bureau outside united states hong kong publishing facility additional editorial bureaus launched london moscow,6.29,"july,simmons,market,research,bureau,estimated,usa,today,total,daily,readership,nearly,million,time,high,largest,readership,daily,newspaper,united,states,september,usa,today,launched,fourth,printsite,international,edition,london,united,kingdom,british,isles,international,editions,schedule,changed,april,monday,friday,tuesday,saturday,order,accommodate,business,travelers,february,usa,today,opened,editorial,bureau,outside,united,states,hong,kong,publishing,facility,additional,editorial,bureaus,launched,london,moscow",0.00,usa
"on april   usa today launched its website to provide real time news coverage in june  the site expanded to include a section providing travel information and booking tools on august   a fifth international publishing site was launched in frankfurt germany to print and distribute the international edition throughout most of europe
",april usa today launched website provide real time news coverage june site expanded include section providing travel information booking tools august fifth international publishing site launched frankfurt germany print distribute international edition europe,5.42,"april,usa,today,launched,website,provide,real,time,news,coverage,june,site,expanded,include,section,providing,travel,information,booking,tools,august,fifth,international,publishing,site,launched,frankfurt,germany,print,distribute,international,edition,europe",0.00,usa
