Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"ukraine  is a country in eastern europe it is the second largest european country after russia which it borders to the east and northeasta ukraine covers approximately  square kilometres b prior to the ongoing russian invasion it was the eighth most populous country in europe with a population of around  million people it is also bordered by belarus to the north by poland slovakia and hungary to the west and by romania and moldovac to the southwest with a coastline along the black sea and the sea of azov to the south and southeastd kyiv is the nations capital and largest city ukraines state language is ukrainian russian is also widely spoken especially in the east and south
",ukraine country eastern europe second largest european country russia borders east northeasta ukraine covers approximately square kilometres b prior ongoing russian invasion eighth populous country europe population million people bordered belarus north poland slovakia hungary west romania moldovac southwest coastline black sea sea azov south southeastd kyiv nations capital largest city ukraines state language ukrainian russian widely spoken especially east south,8.35,"ukraine,country,eastern,europe,second,largest,european,country,russia,borders,east,northeasta,ukraine,covers,approximately,square,kilometres,b,prior,ongoing,russian,invasion,eighth,populous,country,europe,population,million,people,bordered,belarus,north,poland,slovakia,hungary,west,romania,moldovac,southwest,coastline,black,sea,sea,azov,south,southeastd,kyiv,nations,capital,largest,city,ukraines,state,language,ukrainian,russian,widely,spoken,especially,east,south",0.00,ukraine
"during the middle ages ukraine was the site of early slavic expansion and the area later became a key centre of east slavic culture under the state of kievan rus which emerged in the th century the state eventually disintegrated into rival regional powers and was ultimately destroyed by the mongol invasions of the th century the area was then contested divided and ruled by a variety of external powers for the next  years including the polishlithuanian commonwealth the austrian empire the ottoman empire and the tsardom of russia the cossack hetmanate emerged in central ukraine in the th century but was partitioned between russia and poland and ultimately absorbed by the russian empire ukrainian nationalism developed and following the russian revolution in  the short lived ukrainian peoples republic was formed the bolsheviks consolidated control over much of the former empire and established the ukrainian soviet socialist republic which became a constituent republic of the soviet union when it was formed in  in the early s millions of ukrainians died in the holodomor a man made famine the german occupation during world war ii in ukraine was devastating and seven million ukrainian civilians were killed including the majority of ukrainian jews
",middle ages ukraine site early slavic expansion area later key centre east slavic culture state kievan rus emerged th century state eventually disintegrated rival regional powers ultimately destroyed mongol invasions th century area contested divided ruled variety external powers years including polishlithuanian commonwealth austrian empire ottoman empire tsardom russia cossack hetmanate emerged central ukraine th century partitioned russia poland ultimately absorbed russian empire ukrainian nationalism developed following russian revolution short lived ukrainian peoples republic formed bolsheviks consolidated control empire established ukrainian soviet socialist republic constituent republic soviet union formed early millions ukrainians died holodomor man famine german occupation world war ii ukraine devastating seven million ukrainian civilians killed including majority ukrainian jews,7.06,"middle,ages,ukraine,site,early,slavic,expansion,area,later,key,centre,east,slavic,culture,state,kievan,rus,emerged,th,century,state,eventually,disintegrated,rival,regional,powers,ultimately,destroyed,mongol,invasions,th,century,area,contested,divided,ruled,variety,external,powers,years,including,polishlithuanian,commonwealth,austrian,empire,ottoman,empire,tsardom,russia,cossack,hetmanate,emerged,central,ukraine,th,century,partitioned,russia,poland,ultimately,absorbed,russian,empire,ukrainian,nationalism,developed,following,russian,revolution,short,lived,ukrainian,peoples,republic,formed,bolsheviks,consolidated,control,empire,established,ukrainian,soviet,socialist,republic,constituent,republic,soviet,union,formed,early,millions,ukrainians,died,holodomor,man,famine,german,occupation,world,war,ii,ukraine,devastating,seven,million,ukrainian,civilians,killed,including,majority,ukrainian,jews",0.00,ukraine
"ukraine gained independence in  as the soviet union dissolved and declared itself neutral a new constitution was adopted in  a series of mass demonstrations known as the euromaidan led to the establishment of a new government in  after a revolution russia then unilaterally annexed ukraines crimean peninsula and pro russian unrest culminated in a war in the donbas between russian backed separatists and government forces in eastern ukraine russia launched a full scale invasion of ukraine in february  since the outbreak of war with russia ukraine has continued to seek closer ties with the european union and nato
",ukraine gained independence soviet union dissolved declared neutral new constitution adopted series mass demonstrations known euromaidan led establishment new government revolution russia unilaterally annexed ukraines crimean peninsula pro russian unrest culminated war donbas russian backed separatists government forces eastern ukraine russia launched scale invasion ukraine february outbreak war russia ukraine continued seek closer ties european union nato,6.65,"ukraine,gained,independence,soviet,union,dissolved,declared,neutral,new,constitution,adopted,series,mass,demonstrations,known,euromaidan,led,establishment,new,government,revolution,russia,unilaterally,annexed,ukraines,crimean,peninsula,pro,russian,unrest,culminated,war,donbas,russian,backed,separatists,government,forces,eastern,ukraine,russia,launched,scale,invasion,ukraine,february,outbreak,war,russia,ukraine,continued,seek,closer,ties,european,union,nato",0.00,ukraine
"ukraine is a unitary state with a semi presidential system it is a developing country ranking th on the human development index ukraine is the poorest country in europe by nominal gdp per capita and corruption remains a significant issue however due to its extensive fertile land pre war ukraine was one of the largest grain exporters in the world it is a founding member of the united nations as well as a member of the council of europe the world trade organization and the osce it is in the process of joining the european union and has submitted an application for nato membership
",ukraine unitary state semi presidential system developing country ranking th human development index ukraine poorest country europe nominal gdp capita corruption remains significant issue extensive fertile land pre war ukraine largest grain exporters world founding member united nations member council europe world trade organization osce process joining european union submitted application nato membership,8.72,"ukraine,unitary,state,semi,presidential,system,developing,country,ranking,th,human,development,index,ukraine,poorest,country,europe,nominal,gdp,capita,corruption,remains,significant,issue,extensive,fertile,land,pre,war,ukraine,largest,grain,exporters,world,founding,member,united,nations,member,council,europe,world,trade,organization,osce,process,joining,european,union,submitted,application,nato,membership",0.00,ukraine
"the name of ukraine likely comes from the old slavic term for borderland as does the word krajina
",ukraine likely comes old slavic term borderland word krajina,9.18,"ukraine,likely,comes,old,slavic,term,borderland,word,krajina",0.00,ukraine
"in the english speaking world during most of the th century ukraine  was referred to as the ukraine this is because the word ukraina means borderland so the definite article would be natural in the english language this is similar to nederlanden which means low lands and is rendered in english as the netherlands however since ukraines declaration of independence in  this usage has become politicised and is now rarer and style guides advise against its use us ambassador william taylor said that using the ukraine implies disregard for ukrainian sovereignty the official ukrainian position is that the ukraine is both grammatically and politically incorrect
",english speaking world th century ukraine referred ukraine word ukraina means borderland definite article natural english language similar nederlanden means low lands rendered english netherlands ukraines declaration independence usage politicised rarer style guides advise use ambassador william taylor said ukraine implies disregard ukrainian sovereignty official ukrainian position ukraine grammatically politically incorrect,8.17,"english,speaking,world,th,century,ukraine,referred,ukraine,word,ukraina,means,borderland,definite,article,natural,english,language,similar,nederlanden,means,low,lands,rendered,english,netherlands,ukraines,declaration,independence,usage,politicised,rarer,style,guides,advise,use,ambassador,william,taylor,said,ukraine,implies,disregard,ukrainian,sovereignty,official,ukrainian,position,ukraine,grammatically,politically,incorrect",0.00,ukraine
"settlement by modern humans in ukraine and its vicinity dates back to  because with evidence of the gravettian culture in the crimean mountains by  because the neolithic cucutenitrypillia culture was flourishing in wide areas of modern ukraine including trypillia and the entire dnieper dniester region ukraine is also considered to be the likely location of the first domestication of the horse the kurgan hypothesis places the volga dnieper region of ukraine and southern russia as the urheimat of the proto indo europeans early indo european migrations from the pontic steppes in the rd millennium because spread yamnaya steppe pastoralist ancestry and indo european languages across large parts of europe during the iron age the land was inhabited by iranian speaking cimmerians scythians and sarmatians between  because and  because it was part of the scythian kingdom
",settlement modern humans ukraine vicinity dates evidence gravettian culture crimean mountains neolithic cucutenitrypillia culture flourishing wide areas modern ukraine including trypillia entire dnieper dniester region ukraine considered likely location domestication horse kurgan hypothesis places volga dnieper region ukraine southern russia urheimat proto indo europeans early indo european migrations pontic steppes rd millennium spread yamnaya steppe pastoralist ancestry indo european languages large parts europe iron age land inhabited iranian speaking cimmerians scythians sarmatians scythian kingdom,6.98,"settlement,modern,humans,ukraine,vicinity,dates,evidence,gravettian,culture,crimean,mountains,neolithic,cucutenitrypillia,culture,flourishing,wide,areas,modern,ukraine,including,trypillia,entire,dnieper,dniester,region,ukraine,considered,likely,location,domestication,horse,kurgan,hypothesis,places,volga,dnieper,region,ukraine,southern,russia,urheimat,proto,indo,europeans,early,indo,european,migrations,pontic,steppes,rd,millennium,spread,yamnaya,steppe,pastoralist,ancestry,indo,european,languages,large,parts,europe,iron,age,land,inhabited,iranian,speaking,cimmerians,scythians,sarmatians,scythian,kingdom",0.00,ukraine
"from the th century because greek roman and byzantine colonies were established on the north eastern shore of the black sea such as at tyras olbia and chersonesus these thrived into the th century ad the goths stayed in the area but came under the sway of the huns from the s in the th century the territory that is now eastern ukraine was the centre of old great bulgaria at the end of the century the majority of bulgar tribes migrated in different directions and the khazars took over much of the land
",thcentury greek roman byzantine colonies established north eastern shore black sea tyras olbia chersonesus thrived thcentury ad goths stayed area came sway huns thcentury territory eastern ukraine centre old great bulgaria end century majority bulgar tribes migrated different directions khazars took land,9.70,"thcentury,greek,roman,byzantine,colonies,established,north,eastern,shore,black,sea,tyras,olbia,chersonesus,thrived,thcentury,ad,goths,stayed,area,came,sway,huns,thcentury,territory,eastern,ukraine,centre,old,great,bulgaria,end,century,majority,bulgar,tribes,migrated,different,directions,khazars,took,land",0.00,ukraine
"in the th and th centuries the early slavic antes people lived in ukraine the antes were the ancestors of ukrainians white croats severians eastern polans drevlyans dulebes ulichians and tiverians migrations from the territories of present day ukraine throughout the balkans established many south slavic nations northern migrations reaching almost to lake ilmen led to the emergence of the ilmen slavs krivichs and radimichs the groups ancestral to the russians following an avar raid in  and the collapse of the antes union most of these peoples survived as separate tribes until the beginning of the second millenniumneed quotation to verify
",th th centuries early slavic antes people lived ukraine antes ancestors ukrainians white croats severians eastern polans drevlyans dulebes ulichians tiverians migrations territories present day ukraine balkans established south slavic nations northern migrations reaching lake ilmen led emergence ilmen slavs krivichs radimichs groups ancestral russians following avar raid collapse antes union peoples survived separate tribes beginning second millenniumneed quotation verify,6.36,"th,th,centuries,early,slavic,antes,people,lived,ukraine,antes,ancestors,ukrainians,white,croats,severians,eastern,polans,drevlyans,dulebes,ulichians,tiverians,migrations,territories,present,day,ukraine,balkans,established,south,slavic,nations,northern,migrations,reaching,lake,ilmen,led,emergence,ilmen,slavs,krivichs,radimichs,groups,ancestral,russians,following,avar,raid,collapse,antes,union,peoples,survived,separate,tribes,beginning,second,millenniumneed,quotation,verify",0.00,ukraine
"the establishment of the state of kievan rus remains obscure and uncertain the state included much of present day ukraine belarus and the western part of european russia according to the primary chronicle the rus people initially consisted of varangians from scandinavia in  the pagan prince oleg  conquered kyiv from askold and dir and proclaimed it as the new capital of the rus anti normanist historians however argue that the east slavic tribes along the southern parts of the dnieper river were already in the process of forming a state independently the varangian elite including the ruling rurik dynasty later assimilated into the slavic population kievan rus was composed of several principalities ruled by the interrelated rurikid kniazes  who often fought each other for possession of kyiv
",establishment state kievan rus remains obscure uncertain state included present day ukraine belarus western european russia according primary chronicle rus people initially consisted varangians scandinavia pagan prince oleg conquered kyiv askold dir proclaimed new capital rus anti normanist historians argue east slavic tribes southern parts dnieper river process forming state independently varangian elite including ruling rurik dynasty later assimilated slavic population kievan rus composed principalities ruled interrelated rurikid kniazes fought possession kyiv,6.88,"establishment,state,kievan,rus,remains,obscure,uncertain,state,included,present,day,ukraine,belarus,western,european,russia,according,primary,chronicle,rus,people,initially,consisted,varangians,scandinavia,pagan,prince,oleg,conquered,kyiv,askold,dir,proclaimed,new,capital,rus,anti,normanist,historians,argue,east,slavic,tribes,southern,parts,dnieper,river,process,forming,state,independently,varangian,elite,including,ruling,rurik,dynasty,later,assimilated,slavic,population,kievan,rus,composed,principalities,ruled,interrelated,rurikid,kniazes,fought,possession,kyiv",0.00,ukraine
