Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the united states dollar  is the official currency of the united states and several other countries the coinage act of  introduced the yous dollar at par with the spanish silver dollar divided it into  cents and authorized the minting of coins denominated in dollars and cents yous banknotes are issued in the form of federal reserve notes popularly called greenbacks due to their predominantly green color
",united states dollar official currency united states countries coinage act introduced yous dollar par spanish silver dollar divided cents authorized minting coins denominated dollars cents yous banknotes issued form federal reserve notes popularly called greenbacks predominantly green color,6.88,"united,states,dollar,official,currency,united,states,countries,coinage,act,introduced,yous,dollar,par,spanish,silver,dollar,divided,cents,authorized,minting,coins,denominated,dollars,cents,yous,banknotes,issued,form,federal,reserve,notes,popularly,called,greenbacks,predominantly,green,color",0.00,dollar
"the yous dollar was originally defined under a bimetallic standard of  grains   fine silver or from   grains  fine gold or  per troy ounce the gold standard act of  linked the dollar solely to gold from  its equivalence to gold was revised to  per troy ounce since  all links to gold have been repealed
",yous dollar originally defined bimetallic standard grains fine silver grains fine gold troy ounce gold standard act linked dollar solely gold equivalence gold revised troy ounce links gold repealed,7.92,"yous,dollar,originally,defined,bimetallic,standard,grains,fine,silver,grains,fine,gold,troy,ounce,gold,standard,act,linked,dollar,solely,gold,equivalence,gold,revised,troy,ounce,links,gold,repealed",0.00,dollar
"the yous dollar became an important international reserve currency after the first world war and displaced the pound sterling as the worlds primary reserve currency by the bretton woods agreement towards the end of the second world war the dollar is the most widely used currency in international transactions and a free floating currency it is also the official currency in several countries and the de facto currency in many others with federal reserve notes  used in circulation
",yous dollar important international reserve currency world war displaced pound sterling worlds primary reserve currency bretton woods agreement end second world war dollar widely currency international transactions free floating currency official currency countries de facto currency federal reserve notes circulation,7.88,"yous,dollar,important,international,reserve,currency,world,war,displaced,pound,sterling,worlds,primary,reserve,currency,bretton,woods,agreement,end,second,world,war,dollar,widely,currency,international,transactions,free,floating,currency,official,currency,countries,de,facto,currency,federal,reserve,notes,circulation",0.00,dollar
"article i section  of the yous constitution provides that congress has the power to coin money laws implementing this power are currently codified in title  of the yous code under section  which prescribes the forms in which the united states dollars should be issued these coins are both designated in the section as legal tender in payment of debts the sacagawea dollar is one example of the copper alloy dollar in contrast to the american silver eagle which is pure silver section  also provides for the minting and issuance of other coins which have values ranging from one cent  to  dollars these other coins are more fully described in coins of the united states dollar
",articlei section yous constitution provides congress power coin money laws implementing power currently codified title yous code section prescribes forms united states dollars issued coins designated section legal tender payment debts sacagawea dollar example copper alloy dollar contrast american silver eagle pure silver section provides minting issuance coins values ranging cent dollars coins fully described coins united states dollar,8.28,"articlei,section,yous,constitution,provides,congress,power,coin,money,laws,implementing,power,currently,codified,title,yous,code,section,prescribes,forms,united,states,dollars,issued,coins,designated,section,legal,tender,payment,debts,sacagawea,dollar,example,copper,alloy,dollar,contrast,american,silver,eagle,pure,silver,section,provides,minting,issuance,coins,values,ranging,cent,dollars,coins,fully,described,coins,united,states,dollar",0.00,dollar
"article i section  of the constitution provides that a regular statement and account of the receipts and expenditures of all public money shall be published from time to time which is further specified by section  of title  of the yous code the sums of money reported in the statements are currently expressed in yous dollars thus the yous dollar may be described as the unit of account of the united states dollar is one of the first words of section  in which the term refers to the spanish milled dollar or the coin worth eight spanish reales
",article section constitution provides regular statement account receipts expenditures public money shall published time time specified section title yous code sums money reported statements currently expressed yous dollars yous dollar described unit account united states dollar words section term refers spanish milled dollar coin worth spanish reales,9.16,"article,section,constitution,provides,regular,statement,account,receipts,expenditures,public,money,shall,published,time,time,specified,section,title,yous,code,sums,money,reported,statements,currently,expressed,yous,dollars,yous,dollar,described,unit,account,united,states,dollar,words,section,term,refers,spanish,milled,dollar,coin,worth,spanish,reales",0.00,dollar
dollars or unitseach to be of the value of a spanish milled dollar as the same is now current and to contain three hundred and seventy one grains and four sixteenth parts of a grain of pure or four hundred and sixteen grains of standard silver,dollars unitseach value spanish milled dollar current contain seventy grains sixteenth parts grain pure sixteen grains standard silver,11.52,"dollars,unitseach,value,spanish,milled,dollar,current,contain,seventy,grains,sixteenth,parts,grain,pure,sixteen,grains,standard,silver",0.00,dollar
section  of the act designates the united states dollar as the unit of currency of the united states  ,section act designates united states dollar unit currency united states,7.84,"section,act,designates,united,states,dollar,unit,currency,united,states",0.00,dollar
"unlike the spanish milled dollar the continental congress and the coinage act prescribed a decimal system of units to go with the unit dollar as follows the mill or one thousandth of a dollar the cent or one hundredth of a dollar the dime or one tenth of a dollar and the eagle or ten dollars the current relevance of these units
",unlike spanish milled dollar continental congress coinage act prescribed decimal system units unit dollar follows mill thousandth dollar cent hundredth dollar dime tenth dollar eagle dollars current relevance units,10.00,"unlike,spanish,milled,dollar,continental,congress,coinage,act,prescribed,decimal,system,units,unit,dollar,follows,mill,thousandth,dollar,cent,hundredth,dollar,dime,tenth,dollar,eagle,dollars,current,relevance,units",0.00,dollar
"the spanish peso or dollar was historically divided into eight reales   hence pieces of eight americans also learned counting in non decimal bits of  cents before  when mexican bits were more frequently encountered than american cents in fact this practice survived in new york stock exchange quotations until 
",spanish peso dollar historically divided reales pieces americans learned counting non decimal bits cents mexican bits frequently encountered american cents fact practice survived new york stock exchange quotations,6.43,"spanish,peso,dollar,historically,divided,reales,pieces,americans,learned,counting,non,decimal,bits,cents,mexican,bits,frequently,encountered,american,cents,fact,practice,survived,new,york,stock,exchange,quotations",0.00,dollar
"when currently issued in circulating form denominations less than or equal to a dollar are emitted as yous coins while denominations greater than or equal to a dollar are emitted as federal reserve notes disregarding these special cases
",currently issued circulating form denominations equal dollar emitted yous coins denominations greater equal dollar emitted federal reserve notes disregarding special cases,7.17,"currently,issued,circulating,form,denominations,equal,dollar,emitted,yous,coins,denominations,greater,equal,dollar,emitted,federal,reserve,notes,disregarding,special,cases",0.00,dollar
