Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"vichy france  officially the french state  was the french state headed by marshal philippe ptain during world war ii officially independent but with half of its territory occupied under the harsh terms of the armistice with nazi germany it adopted a policy of collaboration the occupation of france by nazi germany at first affected only the northern and western portions of the country before the germans occupied the remainder of metropolitan france in november  though paris was ostensibly its capital the vichy government established itself in the resort town of vichy in the unoccupied free zone  where it remained responsible for the civil administration of france as well as its colonies
",vichy france officially french state french state headed marshal philippe ptain world war ii officially independent half territory occupied harsh terms armistice nazi germany adopted policy collaboration occupation france nazi germany affected northern western portions country germans occupied remainder metropolitan france november paris ostensibly capital vichy government established resort town vichy unoccupied free zone remained responsible civil administration france colonies,7.34,"vichy,france,officially,french,state,french,state,headed,marshal,philippe,ptain,world,war,ii,officially,independent,half,territory,occupied,harsh,terms,armistice,nazi,germany,adopted,policy,collaboration,occupation,france,nazi,germany,affected,northern,western,portions,country,germans,occupied,remainder,metropolitan,france,november,paris,ostensibly,capital,vichy,government,established,resort,town,vichy,unoccupied,free,zone,remained,responsible,civil,administration,france,colonies",0.00,france
"the third french republic had begun the war in september  on the side of the allies on  may  it was invaded by nazi germany the german army rapidly broke through the allied lines by bypassing the highly fortified maginot line and invading through belgium luxembourg and as an extension the ardennes by mid june the military situation of the french was dire and it was apparent that it would lose the battle for metropolitan france the french government began to discuss the possibility of an armistice paul reynaud resigned as prime minister rather than sign an armistice and was replaced by marshal philippe ptain a hero of world war i shortly thereafter ptain signed the armistice of  june 
",french republic begun war september allies invaded nazi germany german army rapidly broke allied lines bypassing highly fortified maginot line invading belgium luxembourg extension ardennes mid june military situation french dire apparent lose battle metropolitan france french government began discuss possibility armistice paul reynaud resigned prime minister sign armistice replaced marshal philippe ptain hero world war shortly ptain signed armistice june,8.23,"french,republic,begun,war,september,allies,invaded,nazi,germany,german,army,rapidly,broke,allied,lines,bypassing,highly,fortified,maginot,line,invading,belgium,luxembourg,extension,ardennes,mid,june,military,situation,french,dire,apparent,lose,battle,metropolitan,france,french,government,began,discuss,possibility,armistice,paul,reynaud,resigned,prime,minister,sign,armistice,replaced,marshal,philippe,ptain,hero,world,war,shortly,ptain,signed,armistice,june",0.00,france
"at vichy ptain established an authoritarian government that reversed many liberal policies and began tight supervision of the economy conservative catholics became prominent and paris lost its avant garde status in european art and culture the media were tightly controlled and promoted antisemitism and after operation barbarossa started in june  anti sovietism the terms of the armistice presented certain advantages such as keeping the french navy and french colonial empire under french control and avoiding full occupation of the country by germany which maintained a degree of french independence and neutrality despite heavy pressure the french government at vichy never joined the axis powers and even remained formally at war with germany in practice however vichy france became a collaborationist regime
",vichy ptain established authoritarian government reversed liberal policies began tight supervision economy conservative catholics prominent paris lost avant garde status european art culture media tightly controlled promoted antisemitism operation barbarossa started june anti sovietism terms armistice presented certain advantages keeping french navy french colonial empire french control avoiding occupation country germany maintained degree french independence neutrality despite heavy pressure french government vichy joined axis powers remained formally war germany practice vichy france collaborationist regime,5.77,"vichy,ptain,established,authoritarian,government,reversed,liberal,policies,began,tight,supervision,economy,conservative,catholics,prominent,paris,lost,avant,garde,status,european,art,culture,media,tightly,controlled,promoted,antisemitism,operation,barbarossa,started,june,anti,sovietism,terms,armistice,presented,certain,advantages,keeping,french,navy,french,colonial,empire,french,control,avoiding,occupation,country,germany,maintained,degree,french,independence,neutrality,despite,heavy,pressure,french,government,vichy,joined,axis,powers,remained,formally,war,germany,practice,vichy,france,collaborationist,regime",0.00,france
"most of the french public initially supported the regime but opinion gradually turned against the french government and the occupying german forces when it became clear that germany was losing the war and living conditions in france worsened the french resistance working largely in concert with the london based free france movement increased in strength over the course of the occupation after the allied invasion of normandy in june  and the liberation of france later that year the free french provisional government of the french republic  was installed as the new national government led by charles de gaulle
",french public initially supported regime opinion gradually turned french government occupying german forces clear germany losing war living conditions france worsened french resistance working largely concert london based free france movement increased strength course occupation allied invasion normandy june liberation france later year free french provisional government french republic installed new national government led charles de gaulle,6.67,"french,public,initially,supported,regime,opinion,gradually,turned,french,government,occupying,german,forces,clear,germany,losing,war,living,conditions,france,worsened,french,resistance,working,largely,concert,london,based,free,france,movement,increased,strength,course,occupation,allied,invasion,normandy,june,liberation,france,later,year,free,french,provisional,government,french,republic,installed,new,national,government,led,charles,de,gaulle",0.00,france
"after the national assembly under the third republic voted to give full powers to philippe ptain on  july  the name rpublique franaise  disappeared from all official documents from then on the regime was referred to officially as the tat franais  because of its unique situation in the history of france its contested legitimacy and the generic nature of its official name the french state is most often represented in english by the synonyms vichy france vichy regime government of vichy or in context simply vichy
",national assembly republic voted powers philippe ptain july rpublique franaise disappeared official documents regime referred officially tat franais unique situation history france contested legitimacy generic nature official french state represented english synonyms vichy france vichy regime government vichy context simply vichy,8.53,"national,assembly,republic,voted,powers,philippe,ptain,july,rpublique,franaise,disappeared,official,documents,regime,referred,officially,tat,franais,unique,situation,history,france,contested,legitimacy,generic,nature,official,french,state,represented,english,synonyms,vichy,france,vichy,regime,government,vichy,context,simply,vichy",0.00,france
"the territory under the control of the vichy government was the unoccupied southern portion of metropolitan france south of the line of demarcation as established by the armistice of  june  and the overseas french territories such as french north africa which was an integral part of vichy and where all antisemitic vichys laws were also implemented this was called the unbesetztes gebiet  by the germans and known as the zone libre  in france or less formally as the southern zone  especially after operation anton the invasion of the zone libre by german forces in november  other contemporary colloquial terms for the zone libre were based on abbreviation and wordplay such as the zone nono for the non occupied zone
",territory control vichy government unoccupied southern portion metropolitan france south line demarcation established armistice june overseas french territories french north africa integral vichy antisemitic vichys laws implemented called unbesetztes gebiet germans known zone libre france formally southern zone especially operation anton invasion zone libre german forces november contemporary colloquial terms zone libre based abbreviation wordplay zone nono non occupied zone,8.19,"territory,control,vichy,government,unoccupied,southern,portion,metropolitan,france,south,line,demarcation,established,armistice,june,overseas,french,territories,french,north,africa,integral,vichy,antisemitic,vichys,laws,implemented,called,unbesetztes,gebiet,germans,known,zone,libre,france,formally,southern,zone,especially,operation,anton,invasion,zone,libre,german,forces,november,contemporary,colloquial,terms,zone,libre,based,abbreviation,wordplay,zone,nono,non,occupied,zone",0.00,france
"in theory the civil jurisdiction of the vichy government extended over most of metropolitan france french algeria the french protectorate in morocco the french protectorate of tunisia and the rest of the french colonial empire that accepted the authority of vichy only the disputed border territory of alsace lorraine was placed under direct german administration alsace lorraine was officially still part of france as the reich never annexed the region the reich government at the time was not interested in attempting to enforce piecemeal annexations in the west although it later annexed luxembourg it operated under the assumption that germanys new western border would be determined in peace negotiations which would be attended by all of the western allies and thus producing a frontier that would be recognised by all of the major powers since hitlers overall territorial ambitions were not limited to recovering alsace lorraine and britain was never brought to terms those peace negotiations never took place
",theory civil jurisdiction vichy government extended metropolitan france french algeria french protectorate morocco french protectorate tunisia rest french colonial empire accepted authority vichy disputed border territory alsace lorraine placed direct german administration alsace lorraine officially france reich annexed region reich government time interested attempting enforce piecemeal annexations west later annexed luxembourg operated assumption germanys new western border determined peace negotiations attended western allies producing frontier recognised major powers hitlers overall territorial ambitions limited recovering alsace lorraine britain brought terms peace negotiations took place,7.47,"theory,civil,jurisdiction,vichy,government,extended,metropolitan,france,french,algeria,french,protectorate,morocco,french,protectorate,tunisia,rest,french,colonial,empire,accepted,authority,vichy,disputed,border,territory,alsace,lorraine,placed,direct,german,administration,alsace,lorraine,officially,france,reich,annexed,region,reich,government,time,interested,attempting,enforce,piecemeal,annexations,west,later,annexed,luxembourg,operated,assumption,germanys,new,western,border,determined,peace,negotiations,attended,western,allies,producing,frontier,recognised,major,powers,hitlers,overall,territorial,ambitions,limited,recovering,alsace,lorraine,britain,brought,terms,peace,negotiations,took,place",0.00,france
"the nazis had some intention of annexing a large swath of northeastern france replacing that regions inhabitants with german settlers and initially forbade french refugees from returning to the region but the restrictions were never thoroughly enforced and were basically abandoned following the invasion of the soviet union which had the effect of turning german territorial ambitions almost exclusively to the east  german troops guarding the boundary line of the northeastern zone interdite were withdrawn on the night of  december  but the line remained in place on paper for the remainder of the occupation
",nazis intention annexing large swath northeastern france replacing regions inhabitants german settlers initially forbade french refugees returning region restrictions thoroughly enforced basically abandoned following invasion soviet union effect turning german territorial ambitions exclusively east german troops guarding boundary line northeastern zone interdite withdrawn night december line remained place paper remainder occupation,7.03,"nazis,intention,annexing,large,swath,northeastern,france,replacing,regions,inhabitants,german,settlers,initially,forbade,french,refugees,returning,region,restrictions,thoroughly,enforced,basically,abandoned,following,invasion,soviet,union,effect,turning,german,territorial,ambitions,exclusively,east,german,troops,guarding,boundary,line,northeastern,zone,interdite,withdrawn,night,december,line,remained,place,paper,remainder,occupation",0.00,france
"nevertheless effectively alsace lorraine was annexed german law applied to the region its inhabitants were conscripted into the wehrmachtcitation needed and pointedly the customs posts separating france from germany were placed back where they had been between  and  similarly a sliver of french territory in the alps was under direct italian administration from june  to september  throughout the rest of the country civil servants were under the formal authority of french ministers in vichycitation needed ren bousquet the head of french police nominated by vichy exercised his power in paris through his second in command jean leguay who coordinated raids with the nazis german laws took precedence over french laws in the occupied territories and the germans often rode roughshod over the sensibilities of vichy administrators
",effectively alsace lorraine annexed german law applied region inhabitants conscripted wehrmachtcitation needed pointedly customs posts separating france germany placed similarly sliver french territory alps direct italian administration june september rest country civil servants formal authority french ministers vichycitation needed ren bousquet head french police nominated vichy exercised power paris second command jean leguay coordinated raids nazis german laws took precedence french laws occupied territories germans rode roughshod sensibilities vichy administrators,6.73,"effectively,alsace,lorraine,annexed,german,law,applied,region,inhabitants,conscripted,wehrmachtcitation,needed,pointedly,customs,posts,separating,france,germany,placed,similarly,sliver,french,territory,alps,direct,italian,administration,june,september,rest,country,civil,servants,formal,authority,french,ministers,vichycitation,needed,ren,bousquet,head,french,police,nominated,vichy,exercised,power,paris,second,command,jean,leguay,coordinated,raids,nazis,german,laws,took,precedence,french,laws,occupied,territories,germans,rode,roughshod,sensibilities,vichy,administrators",0.00,france
"on  november  following the landing of the allies in north africa  the axis launched operation anton occupying southern france and disbanding the strictly limited armistice army that vichy had been allowed by the armistice
",november following landing allies north africa axis launched operation anton occupying southern france disbanding strictly limited armistice army vichy allowed armistice,5.83,"november,following,landing,allies,north,africa,axis,launched,operation,anton,occupying,southern,france,disbanding,strictly,limited,armistice,army,vichy,allowed,armistice",0.00,france
