Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the vietnam war  was a conflict in vietnam laos and cambodia from  november a  to the fall of saigon on  april  it was the second of the indochina wars and was officially fought between north vietnam and south vietnam the north was supported by the soviet union china and other communist states while the south was supported by the united states and other anti communist allies the war is widely considered to be a cold war era proxy war it lasted almost  years with direct yous involvement ending in  the conflict also spilled over into neighboring states exacerbating the laotian civil war and the cambodian civil war which ended with these two countries becoming communist states by 
",vietnam war conflict vietnam laos cambodia november fall saigon april second indochina wars officially fought north vietnam south vietnam north supported soviet union china communist states south supported united states anti communist allies war widely considered cold war era proxy war lasted years direct yous involvement ending conflict spilled neighboring states exacerbating laotian civil war cambodian civil war ended countries communist states,8.01,"vietnam,war,conflict,vietnam,laos,cambodia,november,fall,saigon,april,second,indochina,wars,officially,fought,north,vietnam,south,vietnam,north,supported,soviet,union,china,communist,states,south,supported,united,states,anti,communist,allies,war,widely,considered,cold,war,era,proxy,war,lasted,years,direct,yous,involvement,ending,conflict,spilled,neighboring,states,exacerbating,laotian,civil,war,cambodian,civil,war,ended,countries,communist,states",0.00,vietnam
"after the french withdrawal from indochina in   following defeat of the french union in the first indochina war  vietnam was divided into north and south vietnam the communist led viet minh took control of north vietnam and the yous assumed financial and military support for the south vietnamese state led by an anti communist governmenta  the viet cong  a south vietnamese common front under the direction of the north initiated a guerrilla war in the south the peoples army of vietnam  also known as the north vietnamese army  engaged in more conventional warfare with yous and south vietnamese forces  north vietnam invaded laos in  establishing the ho chi minh trail to supply and reinforce the vc   by  the north had sent  soldiers to fight in the south   yous involvement increased under president john f kennedy from just under a thousand military advisors in  to  by   
",french withdrawal indochina following defeat french union indochina war vietnam divided north south vietnam communist led viet minh took control north vietnam yous assumed financial military support south vietnamese state led anti communist governmenta viet cong south vietnamese common direction north initiated guerrilla war south peoples army vietnam known north vietnamese army engaged conventional warfare yous south vietnamese forces north vietnam invaded laos establishing ho chi minh trail supply reinforce vc north sent soldiers fight south yous involvement increased president john f kennedy thousand military advisors,6.71,"french,withdrawal,indochina,following,defeat,french,union,indochina,war,vietnam,divided,north,south,vietnam,communist,led,viet,minh,took,control,north,vietnam,yous,assumed,financial,military,support,south,vietnamese,state,led,anti,communist,governmenta,viet,cong,south,vietnamese,common,direction,north,initiated,guerrilla,war,south,peoples,army,vietnam,known,north,vietnamese,army,engaged,conventional,warfare,yous,south,vietnamese,forces,north,vietnam,invaded,laos,establishing,ho,chi,minh,trail,supply,reinforce,vc,north,sent,soldiers,fight,south,yous,involvement,increased,president,john,f,kennedy,thousand,military,advisors",0.00,vietnam
"following the gulf of tonkin incident in august  the yous congress passed a resolution that gave president lyndon b johnson broad authority to increase yous military presence in vietnam without a formal declaration of war johnson ordered the deployment of combat units for the first time and dramatically increased the number of american troops to  yous and south vietnamese forces relied on air superiority and overwhelming firepower to conduct search and destroy operations involving ground forces artillery and airstrikes the yous also conducted a large scale strategic bombing campaign against north vietnam   and continued significantly building up its forces despite little progress being made in  north vietnamese forces launched the tet offensive though it was a military defeat for them it became a political victory as it caused yous domestic support for the war to fade   by the end of the year the vc held little territory and were sidelined by the pavn in  north vietnam declared the provisional revolutionary government of the republic of south vietnam  operations crossed national borders and the yous bombed north vietnamese supply routes in laos and cambodia the  deposing of the cambodian monarch norodom sihanouk resulted in a pavn invasion of the country  and then a yous arvn counter invasion escalating the cambodian civil war after the election of richard nixon in  a policy of vietnamization began which saw the conflict fought by an expanded arvn while yous forces withdrew in the face of increasing domestic opposition yous ground forces had largely withdrawn by early  and their operations were limited to air support artillery support advisors and materiel shipments the paris peace accords of january  saw all yous forces withdrawn   accords were broken almost immediately and fighting continued for two more years phnom penh fell to the khmer rouge on  april  while the  spring offensive saw the fall of saigon to the pavn on  april marking the end of the war north and south vietnam  were reunified under a communist state the following year
",following gulf tonkin incident august yous congress passed resolution gave president lyndon b johnson broad authority increase yous military presence vietnam formal declaration war johnson ordered deployment combat units time dramatically increased number american troops yous south vietnamese forces relied air superiority overwhelming firepower conduct search destroy operations involving ground forces artillery airstrikes yous conducted large scale strategic bombing campaign north vietnam continued significantly building forces despite little progress north vietnamese forces launched tet offensive military defeat political victory caused yous domestic support war fade end year vc held little territory sidelined pavn north vietnam declared provisional revolutionary government republic south vietnam operations crossed national borders yous bombed north vietnamese supply routes laos cambodia deposing cambodian monarch norodom sihanouk resulted pavn invasion country yous arvn counter invasion escalating cambodian civil war election richard nixon policy vietnamization began saw conflict fought expanded arvn yous forces withdrew face increasing domestic opposition yous ground forces largely withdrawn early operations limited air support artillery support advisors materiel shipments paris peace accords january saw yous forces withdrawn accords broken immediately fighting continued years phnom penh fell khmer rouge april spring offensive saw fall saigon pavn april marking end war north south vietnam reunified communist state following year,6.17,"following,gulf,tonkin,incident,august,yous,congress,passed,resolution,gave,president,lyndon,b,johnson,broad,authority,increase,yous,military,presence,vietnam,formal,declaration,war,johnson,ordered,deployment,combat,units,time,dramatically,increased,number,american,troops,yous,south,vietnamese,forces,relied,air,superiority,overwhelming,firepower,conduct,search,destroy,operations,involving,ground,forces,artillery,airstrikes,yous,conducted,large,scale,strategic,bombing,campaign,north,vietnam,continued,significantly,building,forces,despite,little,progress,north,vietnamese,forces,launched,tet,offensive,military,defeat,political,victory,caused,yous,domestic,support,war,fade,end,year,vc,held,little,territory,sidelined,pavn,north,vietnam,declared,provisional,revolutionary,government,republic,south,vietnam,operations,crossed,national,borders,yous,bombed,north,vietnamese,supply,routes,laos,cambodia,deposing,cambodian,monarch,norodom,sihanouk,resulted,pavn,invasion,country,yous,arvn,counter,invasion,escalating,cambodian,civil,war,election,richard,nixon,policy,vietnamization,began,saw,conflict,fought,expanded,arvn,yous,forces,withdrew,face,increasing,domestic,opposition,yous,ground,forces,largely,withdrawn,early,operations,limited,air,support,artillery,support,advisors,materiel,shipments,paris,peace,accords,january,saw,yous,forces,withdrawn,accords,broken,immediately,fighting,continued,years,phnom,penh,fell,khmer,rouge,april,spring,offensive,saw,fall,saigon,pavn,april,marking,end,war,north,south,vietnam,reunified,communist,state,following,year",0.00,vietnam
"the war exacted an enormous human cost estimates of the number of vietnamese soldiers and civilians killed range from  to  million some  cambodians  laotians and  yous service members also died in the conflicta  the end of the vietnam war would precipitate the vietnamese boat people and the larger indochina refugee crisis which saw millions of refugees leave indochina an estimated  of whom perished at sea once in power the khmer rouge carried out the cambodian genocide while conflict between them and the unified vietnam would eventually escalate into the cambodianvietnamese war which toppled the khmer rouge government in  in response china invaded vietnam with subsequent border conflicts lasting until  within the united states the war gave rise to what was referred to as vietnam syndrome a public aversion to american overseas military involvements which together with the watergate scandal contributed to the crisis of confidence that affected america throughout the s
",war exacted enormous human cost estimates number vietnamese soldiers civilians killed range million cambodians laotians yous service members died conflicta end vietnam war precipitate vietnamese boat people larger indochina refugee crisis saw millions refugees leave indochina estimated perished sea power khmer rouge carried cambodian genocide conflict unified vietnam eventually escalate cambodianvietnamese war toppled khmer rouge government response china invaded vietnam subsequent border conflicts lasting united states war gave rise referred vietnam syndrome public aversion american overseas military involvements watergate scandal contributed crisis confidence affected america,6.73,"war,exacted,enormous,human,cost,estimates,number,vietnamese,soldiers,civilians,killed,range,million,cambodians,laotians,yous,service,members,died,conflicta,end,vietnam,war,precipitate,vietnamese,boat,people,larger,indochina,refugee,crisis,saw,millions,refugees,leave,indochina,estimated,perished,sea,power,khmer,rouge,carried,cambodian,genocide,conflict,unified,vietnam,eventually,escalate,cambodianvietnamese,war,toppled,khmer,rouge,government,response,china,invaded,vietnam,subsequent,border,conflicts,lasting,united,states,war,gave,rise,referred,vietnam,syndrome,public,aversion,american,overseas,military,involvements,watergate,scandal,contributed,crisis,confidence,affected,america",0.00,vietnam
"various names have been applied to the conflict vietnam war is the most commonly used name in english it has also been called the second indochina war and the vietnam conflict
",names applied conflict vietnam war commonly english called second indochina war vietnam conflict,10.23,"names,applied,conflict,vietnam,war,commonly,english,called,second,indochina,war,vietnam,conflict",0.00,vietnam
"given that there have been several conflicts in indochina this particular conflict is known by its primary protagonists names to distinguish it from others in vietnam the war is generally known as the resistance war against the united states  it is also sometimes called the american war
",given conflicts indochina particular conflict known primary protagonists names distinguish vietnam war generally known resistance war united states called american war,9.03,"given,conflicts,indochina,particular,conflict,known,primary,protagonists,names,distinguish,vietnam,war,generally,known,resistance,war,united,states,called,american,war",0.00,vietnam
"the primary military organizations involved in the war were the united states armed forces and the army of the republic of vietnam pitted against the peoples army of vietnam   and the national front for the liberation of south vietnam  in english language sources a south vietnamese communist guerrilla force xli 
",primary military organizations involved war united states armed forces army republic vietnam pitted peoples army vietnam national liberation south vietnam english language sources south vietnamese communist guerrilla forcexli,6.69,"primary,military,organizations,involved,war,united,states,armed,forces,army,republic,vietnam,pitted,peoples,army,vietnam,national,liberation,south,vietnam,english,language,sources,south,vietnamese,communist,guerrilla,forcexli",0.00,vietnam
"indochina had been a french colony from the late th century to the mid th century when the japanese invaded during world war ii the viet minh a communist led common front under the leadership of ho chi minh opposed them with support from the us the soviet union and china they received some japanese arms when japan surrendered on v j day  september ho chi minh proclaimed in hanoi the establishment of the democratic republic of vietnam  the drv ruled as the only civil government in all of vietnam for  days after the abdication of emperor bo i who had governed under the japanese rule on  september  french forces overthrew the local drv government and declared french authority restored the french gradually retook control of indochina following unsuccessful negotiations the viet minh initiated an insurgency against french rule hostilities escalated into the first indochina war 
",indochina french colony late th century mid th century japanese invaded world war ii viet minh communist led common leadership ho chi minh opposed support soviet union china received japanese arms japan surrendered v j day september ho chi minh proclaimed hanoi establishment democratic republic vietnam drv ruled civil government vietnam days abdication emperor bo governed japanese rule september french forces overthrew local drv government declared french authority restored french gradually retook control indochina following unsuccessful negotiations viet minh initiated insurgency french rule hostilities escalated indochina war,6.66,"indochina,french,colony,late,th,century,mid,th,century,japanese,invaded,world,war,ii,viet,minh,communist,led,common,leadership,ho,chi,minh,opposed,support,soviet,union,china,received,japanese,arms,japan,surrendered,v,j,day,september,ho,chi,minh,proclaimed,hanoi,establishment,democratic,republic,vietnam,drv,ruled,civil,government,vietnam,days,abdication,emperor,bo,governed,japanese,rule,september,french,forces,overthrew,local,drv,government,declared,french,authority,restored,french,gradually,retook,control,indochina,following,unsuccessful,negotiations,viet,minh,initiated,insurgency,french,rule,hostilities,escalated,indochina,war",0.00,vietnam
"by the s the conflict had become entwined with the cold war in january  china and the soviet union recognized the viet minhs democratic republic of vietnam based in hanoi as the legitimate government of vietnam the following month the united states and great britain recognized the french backed state of vietnam in saigon led by former emperor bo i as the legitimate vietnamese government     the outbreak of the korean war in june  convinced many washington policymakers that the war in indochina was an example of communist expansionism directed by the soviet union  
",conflict entwined cold war january china soviet union recognized viet minhs democratic republic vietnam based hanoi legitimate government vietnam following month united states great britain recognized french backed state vietnam saigon led emperor bo legitimate vietnamese government outbreak korean war june convinced washington policymakers war indochina example communist expansionism directed soviet union,7.18,"conflict,entwined,cold,war,january,china,soviet,union,recognized,viet,minhs,democratic,republic,vietnam,based,hanoi,legitimate,government,vietnam,following,month,united,states,great,britain,recognized,french,backed,state,vietnam,saigon,led,emperor,bo,legitimate,vietnamese,government,outbreak,korean,war,june,convinced,washington,policymakers,war,indochina,example,communist,expansionism,directed,soviet,union",0.00,vietnam
"during the battle of dien bien phu  yous carriers sailed to the gulf of tonkin and the yous conducted reconnaissance flights france and the united states also discussed the use of three tactical nuclear weapons although reports of how seriously this was considered and by whom are vague and contradictory   according to then vice president richard nixon the joint chiefs of staff drew up plans to use small tactical nuclear weapons to support the french nixon a so called hawk on vietnam suggested that the united states might have to put american boys in   president dwight d eisenhower made american participation contingent on british support but the british were opposed   eisenhower wary of involving the united states in a land war in asia decided against military intervention   throughout the conflict yous intelligence estimates remained skeptical of frances chance of success
",battle dien bien phu yous carriers sailed gulf tonkin yous conducted reconnaissance flights france united states discussed use tactical nuclear weapons reports seriously considered vague contradictory according vice president richard nixon joint chiefs staff drew plans use small tactical nuclear weapons support french nixon called hawk vietnam suggested united states american boys president dwight eisenhower american participation contingent british support british opposed eisenhower wary involving united states land war asia decided military intervention conflict yous intelligence estimates remained skeptical frances chance success,6.55,"battle,dien,bien,phu,yous,carriers,sailed,gulf,tonkin,yous,conducted,reconnaissance,flights,france,united,states,discussed,use,tactical,nuclear,weapons,reports,seriously,considered,vague,contradictory,according,vice,president,richard,nixon,joint,chiefs,staff,drew,plans,use,small,tactical,nuclear,weapons,support,french,nixon,called,hawk,vietnam,suggested,united,states,american,boys,president,dwight,eisenhower,american,participation,contingent,british,support,british,opposed,eisenhower,wary,involving,united,states,land,war,asia,decided,military,intervention,conflict,yous,intelligence,estimates,remained,skeptical,frances,chance,success",0.00,vietnam
