Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"vietnam or viet namn   officially the socialist republic of vietnamn  is a country in southeast asia it is located at the eastern edge of mainland southeast asia with an area of  square kilometres  and population of  million making it the worlds sixteenth most populous country vietnam borders china to the north and laos and cambodia to the west it shares maritime borders with thailand through the gulf of thailand and the philippines indonesia and malaysia through the south china sea its capital is hanoi and its largest city is ho chi minh city 
",vietnam viet namn officially socialist republic vietnamn country southeast asia located eastern edge mainland southeast asia area square kilometres population million making worlds sixteenth populous country vietnam borders china north laos cambodia west shares maritime borders thailand gulf thailand philippines indonesia malaysia south china sea capital hanoi largest city ho chi minh city,7.26,"vietnam,viet,namn,officially,socialist,republic,vietnamn,country,southeast,asia,located,eastern,edge,mainland,southeast,asia,area,square,kilometres,population,million,making,worlds,sixteenth,populous,country,vietnam,borders,china,north,laos,cambodia,west,shares,maritime,borders,thailand,gulf,thailand,philippines,indonesia,malaysia,south,china,sea,capital,hanoi,largest,city,ho,chi,minh,city",0.00,vietnam
"vietnam was inhabited by the paleolithic age with states established in the first millennium because on the red river delta in modern day northern vietnam the han dynasty annexed northern and central vietnam under chinese rule from  because until the first dynasty emerged in  successive monarchical dynasties absorbed chinese influences through confucianism and buddhism and expanded southward to the mekong delta conquering champa the nguynthe last imperial dynastysurrendered to france in  following the august revolution the nationalist viet minh under the leadership of communist revolutionary ho chi minh proclaimed independence from france in 
",vietnam inhabited paleolithic age states established millennium red river delta modern day northern vietnam han dynasty annexed northern central vietnam chinese rule dynasty emerged successive monarchical dynasties absorbed chinese influences confucianism buddhism expanded southward mekong delta conquering champa nguynthe imperial dynastysurrendered france following august revolution nationalist viet minh leadership communist revolutionary ho chi minh proclaimed independence france,5.53,"vietnam,inhabited,paleolithic,age,states,established,millennium,red,river,delta,modern,day,northern,vietnam,han,dynasty,annexed,northern,central,vietnam,chinese,rule,dynasty,emerged,successive,monarchical,dynasties,absorbed,chinese,influences,confucianism,buddhism,expanded,southward,mekong,delta,conquering,champa,nguynthe,imperial,dynastysurrendered,france,following,august,revolution,nationalist,viet,minh,leadership,communist,revolutionary,ho,chi,minh,proclaimed,independence,france",0.00,vietnam
"vietnam went through prolonged warfare in the th century after world war ii france returned to reclaim colonial power in the first indochina war from which vietnam emerged victorious in  as a result of treaties signed two years later vietnam was also separated into two parts the vietnam war began shortly after between the communist north supported by the soviet union and china and the anti communist south supported by the united states upon the north vietnamese victory in  vietnam reunified as a unitary socialist state under the communist party of vietnam  in  an ineffective planned economy a trade embargo by the west and wars with cambodia and china crippled the country further in  the cpv initiated economic and political reforms similar to the chinese economic reform transforming the country to a market oriented economy the reforms facilitated vietnamese reintegration into the global economy and politics
",vietnam went prolonged warfare th century world war ii france returned reclaim colonial power indochina war vietnam emerged victorious result treaties signed years later vietnam separated parts vietnam war began shortly communist north supported soviet union china anti communist south supported united states north vietnamese victory vietnam reunified unitary socialist state communist party vietnam ineffective planned economy trade embargo west wars cambodia china crippled country cpv initiated economic political reforms similar chinese economic reform transforming country market oriented economy reforms facilitated vietnamese reintegration global economy politics,6.52,"vietnam,went,prolonged,warfare,th,century,world,war,ii,france,returned,reclaim,colonial,power,indochina,war,vietnam,emerged,victorious,result,treaties,signed,years,later,vietnam,separated,parts,vietnam,war,began,shortly,communist,north,supported,soviet,union,china,anti,communist,south,supported,united,states,north,vietnamese,victory,vietnam,reunified,unitary,socialist,state,communist,party,vietnam,ineffective,planned,economy,trade,embargo,west,wars,cambodia,china,crippled,country,cpv,initiated,economic,political,reforms,similar,chinese,economic,reform,transforming,country,market,oriented,economy,reforms,facilitated,vietnamese,reintegration,global,economy,politics",0.00,vietnam
"a developing country with a lower middle income economy vietnam is nonetheless one of the fastest growing economies of the st century with a gdp predicted to rival developed nations by  vietnam has high levels of corruption and censorship and a poor human rights record the country ranks among the lowest in international measurements of civil liberties freedom of the press and freedom of religion and ethnic minorities it is part of international and intergovernmental institutions including the asean the apec the cptpp the non aligned movement the oif and the wto it has assumed a seat on the united nations security council twice
",developing country lower middle income economy vietnam nonetheless fastest growing economies st century gdp predicted rival developed nations vietnam high levels corruption censorship poor human rights record country ranks lowest international measurements civil liberties freedom press freedom religion ethnic minorities international intergovernmental institutions including asean apec cptpp non aligned movement oif wto assumed seat united nations security council twice,7.09,"developing,country,lower,middle,income,economy,vietnam,nonetheless,fastest,growing,economies,st,century,gdp,predicted,rival,developed,nations,vietnam,high,levels,corruption,censorship,poor,human,rights,record,country,ranks,lowest,international,measurements,civil,liberties,freedom,press,freedom,religion,ethnic,minorities,international,intergovernmental,institutions,including,asean,apec,cptpp,non,aligned,movement,oif,wto,assumed,seat,united,nations,security,council,twice",0.00,vietnam
"the name vit nam  literally viet south means viet of the south per vietnamese word order or south of the viet per classical chinese word order a variation of the name nanyue  was first documented in the nd century because the term vit   in early middle chinese was first written using the logograph  for an axe  in oracle bone and bronze inscriptions of the late shang dynasty  and later as  at that time it referred to a people or chieftain to the northwest of the shang in the early th century because a tribe on the middle yangtze were called the yangyue a term later used for peoples further south between the th and th centuries because yuevit referred to the state of yue in the lower yangtze basin and its people from the rd century because the term was used for the non chinese populations of southern china and northern vietnam with particular ethnic groups called minyue ouyue luoyue  etc collectively called the baiyue  the term baiyuebch vit first appeared in the book lshi chunqiu compiled around  because by the th and th centuries ad educated vietnamese apparently referred to themselves as nguoi viet  or nguoi nam 
",vit nam literally viet south means viet south vietnamese word order south viet classical chinese word order variation nanyue documented nd century term vit early middle chinese written logograph axe oracle bone bronze inscriptions late shang dynasty later time referred people chieftain northwest shang early th century tribe middle yangtze called yangyue term later peoples south th th centuries yuevit referred state yue lower yangtze basin people rd century term non chinese populations southern china northern vietnam particular ethnic groups called minyue ouyue luoyue etc collectively called baiyue term baiyuebch vit appeared book lshi chunqiu compiled th th centuries ad educated vietnamese apparently referred nguoi viet nguoi nam,7.95,"vit,nam,literally,viet,south,means,viet,south,vietnamese,word,order,south,viet,classical,chinese,word,order,variation,nanyue,documented,nd,century,term,vit,early,middle,chinese,written,logograph,axe,oracle,bone,bronze,inscriptions,late,shang,dynasty,later,time,referred,people,chieftain,northwest,shang,early,th,century,tribe,middle,yangtze,called,yangyue,term,later,peoples,south,th,th,centuries,yuevit,referred,state,yue,lower,yangtze,basin,people,rd,century,term,non,chinese,populations,southern,china,northern,vietnam,particular,ethnic,groups,called,minyue,ouyue,luoyue,etc,collectively,called,baiyue,term,baiyuebch,vit,appeared,book,lshi,chunqiu,compiled,th,th,centuries,ad,educated,vietnamese,apparently,referred,nguoi,viet,nguoi,nam",0.00,vietnam
"the form vit nam  is first recorded in the th century oracular poem sm trng trnh the name has also been found on  steles carved in the th and th centuries including one at bao lam pagoda in hi phng that dates to  in  nguyn phc nh  established the nguyn dynasty in the second year of his rule he asked the jiaqing emperor of the qing dynasty to confer on him the title king of nam vit  nanyue  after seizing power in annam the emperor refused because the name was related to zhao tuos nanyue which included the regions of guangxi and guangdong in southern china the qing emperor therefore decided to call the area vit nam insteadn  meaning south of the viet per classical chinese word order but the vietnamese understood it as viet of the south per vietnamese word order between  and  the name vietnam was used officially by emperor gia longn  it was revived in the early th century in phan bi chyous history of the loss of vietnam and later by the vietnamese nationalist party  the country was usually called annam until  when the imperial government in hu adopted vit nam
",form vit nam recorded th century oracular poem sm trng trnh found steles carved th th centuries including bao lam pagoda hi phng dates nguyn phc nh established nguyn dynasty second year rule asked jiaqing emperor qing dynasty confer title king nam vit nanyue seizing power annam emperor refused related zhao tuos nanyue included regions guangxi guangdong southern china qing emperor decided area vit nam insteadn meaning south viet classical chinese word order vietnamese understood viet south vietnamese word order vietnam officially emperor gia longn revived early th century phan bi chyous history loss vietnam later vietnamese nationalist party country usually called annam imperial government hu adopted vit nam,8.01,"form,vit,nam,recorded,th,century,oracular,poem,sm,trng,trnh,found,steles,carved,th,th,centuries,including,bao,lam,pagoda,hi,phng,dates,nguyn,phc,nh,established,nguyn,dynasty,second,year,rule,asked,jiaqing,emperor,qing,dynasty,confer,title,king,nam,vit,nanyue,seizing,power,annam,emperor,refused,related,zhao,tuos,nanyue,included,regions,guangxi,guangdong,southern,china,qing,emperor,decided,area,vit,nam,insteadn,meaning,south,viet,classical,chinese,word,order,vietnamese,understood,viet,south,vietnamese,word,order,vietnam,officially,emperor,gia,longn,revived,early,th,century,phan,bi,chyous,history,loss,vietnam,later,vietnamese,nationalist,party,country,usually,called,annam,imperial,government,hu,adopted,vit,nam",0.00,vietnam
"archaeological excavations have revealed the existence of humans in what is now vietnam as early as the paleolithic age stone artefacts excavated in gia lai province have been claimed to date to  ma based on associated find of tektites however this claim has been challenged because tektites are often found in archaeological sites of various ages in vietnam homo erectus fossils dating to around  because have been found in caves in lng sn and ngh an provinces in northern vietnam the oldest homo sapiens fossils from mainland southeast asia are of middle pleistocene provenance and include isolated tooth fragments from tham om and hang hum teeth attributed to homo sapiens from the late pleistocene have been found at dong can and from the early holocene at mai da dieu lang gao and lang cuom by about  because the development of wet rice cultivation in the ma river and red river floodplains led to the flourishing of ng sn culture notable for its bronze casting used to make elaborate bronze ng sn drums at this point the early vietnamese kingdoms of vn lang and you lc appeared and the cultures influence spread to other parts of southeast asia including maritime southeast asia throughout the first millennium because
",archaeological excavations revealed existence humans vietnam early paleolithic age stone artefacts excavated gia lai province claimed date based associated find tektites claim challenged tektites found archaeological sites ages vietnam homo erectus fossils dating found caves lng sn ngh provinces northern vietnam oldest homo sapiens fossils mainland southeast asia middle pleistocene provenance include isolated tooth fragments tham om hang hum teeth attributed homo sapiens late pleistocene found dong early holocene mai da dieu lang gao lang cuom development wet rice cultivation river red river floodplains led flourishing ng sn culture notable bronze casting elaborate bronze ng sn drums point early vietnamese kingdoms vn lang lc appeared cultures influence spread parts southeast asia including maritime southeast asia millennium,7.35,"archaeological,excavations,revealed,existence,humans,vietnam,early,paleolithic,age,stone,artefacts,excavated,gia,lai,province,claimed,date,based,associated,find,tektites,claim,challenged,tektites,found,archaeological,sites,ages,vietnam,homo,erectus,fossils,dating,found,caves,lng,sn,ngh,provinces,northern,vietnam,oldest,homo,sapiens,fossils,mainland,southeast,asia,middle,pleistocene,provenance,include,isolated,tooth,fragments,tham,om,hang,hum,teeth,attributed,homo,sapiens,late,pleistocene,found,dong,early,holocene,mai,da,dieu,lang,gao,lang,cuom,development,wet,rice,cultivation,river,red,river,floodplains,led,flourishing,ng,sn,culture,notable,bronze,casting,elaborate,bronze,ng,sn,drums,point,early,vietnamese,kingdoms,vn,lang,lc,appeared,cultures,influence,spread,parts,southeast,asia,including,maritime,southeast,asia,millennium",0.00,vietnam
"according to vietnamese legends hng bng dynasty of the hng kings first established in  because is considered the first state in the history of vietnam  in  because the last hng king was defeated by thc phn he consolidated the lc vit and you vit tribes to form the you lc proclaiming himself an dng vng in  because a chinese general named zhao tuo  defeated an dng vng and consolidated you lc into nanyue however nanyue was itself incorporated into the empire of the chinese han dynasty in  because after the hannanyue war for the next thousand years what is now northern vietnam remained mostly under chinese rule early independence movements such as those of the trng sisters and lady triyou were temporarily successful though the region gained a longer period of independence as vn xun under the anterior l dynasty between ad  and  by the early th century northern vietnam had gained autonomy but not sovereignty under the khc family
",according vietnamese legends hng bng dynasty hng kings established considered state history vietnam hng king defeated thc phn consolidated lc vit vit tribes form lc proclaiming dng vng chinese general named zhao tuo defeated dng vng consolidated lc nanyue nanyue incorporated empire chinese han dynasty hannanyue war thousand years northern vietnam remained chinese rule early independence movements trng sisters lady triyou temporarily successful region gained longer period independence vn xun anterior l dynasty ad early th century northern vietnam gained autonomy sovereignty khc family,8.12,"according,vietnamese,legends,hng,bng,dynasty,hng,kings,established,considered,state,history,vietnam,hng,king,defeated,thc,phn,consolidated,lc,vit,vit,tribes,form,lc,proclaiming,dng,vng,chinese,general,named,zhao,tuo,defeated,dng,vng,consolidated,lc,nanyue,nanyue,incorporated,empire,chinese,han,dynasty,hannanyue,war,thousand,years,northern,vietnam,remained,chinese,rule,early,independence,movements,trng,sisters,lady,triyou,temporarily,successful,region,gained,longer,period,independence,vn,xun,anterior,l,dynasty,ad,early,th,century,northern,vietnam,gained,autonomy,sovereignty,khc,family",0.00,vietnam
"in ad  the vietnamese lord ng quyn defeated the forces of the chinese southern han state at bch ng river and achieved full independence for vietnam in  after a millennium of chinese domination by the s the dynastic i vit  kingdom was established vietnamese society enjoyed a golden era under the l and trn dynasties during the rule of the trn dynasty i vit repelled three mongol invasions meanwhile the mahyna branch of buddhism flourished and became the state religion following the  mingh war which overthrew the h dynasty vietnamese independence was interrupted briefly by the chinese ming dynasty but was restored by l li the founder of the l dynasty the vietnamese polity reached their zenith in the l dynasty of the th century especially during the reign of emperor l thnh tng  between the th and th centuries the vietnamese polity expanded southward in a gradual process known as nam tin  eventually conquering the kingdom of champa and part of the khmer kingdom
",ad vietnamese lord ng quyn defeated forces chinese southern han state bch ng river achieved independence vietnam millennium chinese domination dynastic vit kingdom established vietnamese society enjoyed golden era l trn dynasties rule trn dynasty vit repelled mongol invasions mahyna branch buddhism flourished state religion following mingh war overthrew h dynasty vietnamese independence interrupted briefly chinese ming dynasty restored l li founder l dynasty vietnamese polity reached zenith l dynasty th century especially reign emperor l thnh tng th th centuries vietnamese polity expanded southward gradual process known nam tin eventually conquering kingdom champa khmer kingdom,7.11,"ad,vietnamese,lord,ng,quyn,defeated,forces,chinese,southern,han,state,bch,ng,river,achieved,independence,vietnam,millennium,chinese,domination,dynastic,vit,kingdom,established,vietnamese,society,enjoyed,golden,era,l,trn,dynasties,rule,trn,dynasty,vit,repelled,mongol,invasions,mahyna,branch,buddhism,flourished,state,religion,following,mingh,war,overthrew,h,dynasty,vietnamese,independence,interrupted,briefly,chinese,ming,dynasty,restored,l,li,founder,l,dynasty,vietnamese,polity,reached,zenith,l,dynasty,th,century,especially,reign,emperor,l,thnh,tng,th,th,centuries,vietnamese,polity,expanded,southward,gradual,process,known,nam,tin,eventually,conquering,kingdom,champa,khmer,kingdom",0.00,vietnam
"from the th century onward civil strife and frequent political infighting engulfed much of dai viet first the chinese supported mc dynasty challenged the l dynastys power after the mc dynasty was defeated the l dynasty was nominally reinstalled actual power however was divided between the northern trnh lords and the southern nguyn lords who engaged in a civil war for more than four decades before a truce was called in the s vietnam was divided into north  and south  from  to  during this period the nguyn expanded southern vietnam into the mekong delta annexing the central highlands and the khmer lands in the mekong delta the division of the country ended a century later when the ty sn brothers helped trnh to end nguyn they also established new dynasty and ended trnh however their rule did not last long and they were defeated by the remnants of the nguyn lords led by nguyn nh nguyn nh unified vietnam and established the nguyn dynasty ruling under the name gia long
",th century onward civil strife frequent political infighting engulfed dai viet chinese supported mc dynasty challenged l dynastys power mc dynasty defeated l dynasty nominally reinstalled actual power divided northern trnh lords southern nguyn lords engaged civil war decades truce called vietnam divided north south period nguyn expanded southern vietnam mekong delta annexing central highlands khmer lands mekong delta division country ended century later ty sn brothers helped trnh end nguyn established new dynasty ended trnh rule long defeated remnants nguyn lords led nguyn nh nguyn nh unified vietnam established nguyn dynasty ruling gia long,7.67,"th,century,onward,civil,strife,frequent,political,infighting,engulfed,dai,viet,chinese,supported,mc,dynasty,challenged,l,dynastys,power,mc,dynasty,defeated,l,dynasty,nominally,reinstalled,actual,power,divided,northern,trnh,lords,southern,nguyn,lords,engaged,civil,war,decades,truce,called,vietnam,divided,north,south,period,nguyn,expanded,southern,vietnam,mekong,delta,annexing,central,highlands,khmer,lands,mekong,delta,division,country,ended,century,later,ty,sn,brothers,helped,trnh,end,nguyn,established,new,dynasty,ended,trnh,rule,long,defeated,remnants,nguyn,lords,led,nguyn,nh,nguyn,nh,unified,vietnam,established,nguyn,dynasty,ruling,gia,long",0.00,vietnam
