Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
" isaf   
 afghan national security forces  
 resolute support mission   
military contractors  high council of the islamic emirate of afghanistan 
",isaf afghan national security forces resolute support mission military contractors high council islamic emirate afghanistan,2.04,"isaf,afghan,national,security,forces,resolute,support,mission,military,contractors,high,council,islamic,emirate,afghanistan",0.00,afghanistan
"the war in afghanistan was an armed conflict from  to  it began when an international military coalition led by the united states launched an invasion on afghanistan toppling the taliban ruled islamic emirate and establishing the internationally recognized islamic republic three years later the conflict ultimately ended with the  taliban offensive which overthrew the islamic republic and re established the islamic emirate it was the longest war in the military history of the united states surpassing the length of the vietnam war  by approximately  months
",war afghanistan armed conflict began international military coalition led united states launched invasion afghanistan toppling taliban ruled islamic emirate establishing internationally recognized islamic republic years later conflict ultimately ended taliban offensive overthrew islamic republic established islamic emirate longest war military history united states surpassing length vietnam war approximately months,6.42,"war,afghanistan,armed,conflict,began,international,military,coalition,led,united,states,launched,invasion,afghanistan,toppling,taliban,ruled,islamic,emirate,establishing,internationally,recognized,islamic,republic,years,later,conflict,ultimately,ended,taliban,offensive,overthrew,islamic,republic,established,islamic,emirate,longest,war,military,history,united,states,surpassing,length,vietnam,war,approximately,months",0.00,afghanistan
"following the september  attacks yous president george w bush demanded that the taliban immediately extradite al qaeda leader osama bin laden to the united states the taliban refused to do so without evidence of bin ladens involvement the yous declared operation enduring freedom as part of the earlier declared war on terror afghanistan was invaded and the taliban and its allies were soon expelled from major population centers by the yous led forces supporting the anti taliban northern alliance however bin laden relocated to neighboring pakistan the yous led coalition remained in afghanistan forming a security mission sanctioned by the united nationswith the goal of creating a new democratic authority in the country that would prevent the taliban from returning to power a new afghan interim administration was established and international rebuilding efforts were launched by  the taliban had reorganized under their founder mullah omar and began a widespread insurgency against the new afghan government and coalition forces insurgents from the taliban and other islamist groups waged asymmetric warfare fighting with guerrilla warfare in the countryside suicide attacks against urban targets and reprisals against perceived afghan collaborators by  large parts of afghanistan had been retaken by the taliban in response the coalition sent a major influx of troops for counter insurgency operations with a clear and hold strategy for villages and towns this influx peaked in  when roughly  foreign troops were operating under isaf command across afghanistan
",following september attacks yous president george w bush demanded taliban immediately extradite al qaeda leader osama bin laden united states taliban refused evidence bin ladens involvement yous declared operation enduring freedom earlier declared war terror afghanistan invaded taliban allies soon expelled major population centers yous led forces supporting anti taliban northern alliance bin laden relocated neighboring pakistan yous led coalition remained afghanistan forming security mission sanctioned united nationswith goal creating new democratic authority country prevent taliban returning power new afghan interim administration established international rebuilding efforts launched taliban reorganized founder mullah omar began widespread insurgency new afghan government coalition forces insurgents taliban islamist groups waged asymmetric warfare fighting guerrilla warfare countryside suicide attacks urban targets reprisals perceived afghan collaborators large parts afghanistan retaken taliban response coalition sent major influx troops counter insurgency operations clear hold strategy villages towns influx peaked roughly foreign troops operating isaf command afghanistan,5.74,"following,september,attacks,yous,president,george,w,bush,demanded,taliban,immediately,extradite,al,qaeda,leader,osama,bin,laden,united,states,taliban,refused,evidence,bin,ladens,involvement,yous,declared,operation,enduring,freedom,earlier,declared,war,terror,afghanistan,invaded,taliban,allies,soon,expelled,major,population,centers,yous,led,forces,supporting,anti,taliban,northern,alliance,bin,laden,relocated,neighboring,pakistan,yous,led,coalition,remained,afghanistan,forming,security,mission,sanctioned,united,nationswith,goal,creating,new,democratic,authority,country,prevent,taliban,returning,power,new,afghan,interim,administration,established,international,rebuilding,efforts,launched,taliban,reorganized,founder,mullah,omar,began,widespread,insurgency,new,afghan,government,coalition,forces,insurgents,taliban,islamist,groups,waged,asymmetric,warfare,fighting,guerrilla,warfare,countryside,suicide,attacks,urban,targets,reprisals,perceived,afghan,collaborators,large,parts,afghanistan,retaken,taliban,response,coalition,sent,major,influx,troops,counter,insurgency,operations,clear,hold,strategy,villages,towns,influx,peaked,roughly,foreign,troops,operating,isaf,command,afghanistan",0.00,afghanistan
"a yous covert operation using bases in  afghanistan led to the killing of osama bin laden in may  and nato leaders began planning an exit strategy on  december  nato formally ended isaf combat operations in afghanistan and officially transferred full security responsibility to the afghan government unable to eliminate the taliban through military means coalition forces  turned to diplomacy to end the conflict these efforts culminated in the ustaliban deal in february  which stipulated the withdrawal of all yous troops from afghanistan by  in exchange the taliban pledged to prevent any militant group from staging attacks from afghan territory against the yous and its allies however the afghan government was not a party to the deal and rejected its terms coinciding with the withdrawal of troops the taliban launched a broad offensive throughout the summer of  successfully reestablishing their control over afghanistan including the capital city of kabul on  august on the same day the last president of the islamic republic ashraf ghani fled the country the taliban declared victory and the war was formally brought to a close by  august the last american military aircraft departed from afghanistan ending the protracted yous led military presence in the country
",yous covert operation bases afghanistan led killing osama bin laden nato leaders began planning exit strategy december nato formally ended isaf combat operations afghanistan officially transferred security responsibility afghan government unable eliminate taliban military means coalition forces turned diplomacy end conflict efforts culminated ustaliban deal february stipulated withdrawal yous troops afghanistan exchange taliban pledged prevent militant group staging attacks afghan territory yous allies afghan government party deal rejected terms coinciding withdrawal troops taliban launched broad offensive summer successfully reestablishing control afghanistan including capital city kabul august day president islamic republic ashraf ghani fled country taliban declared victory war formally brought close august american military aircraft departed afghanistan ending protracted yous led military presence country,6.67,"yous,covert,operation,bases,afghanistan,led,killing,osama,bin,laden,nato,leaders,began,planning,exit,strategy,december,nato,formally,ended,isaf,combat,operations,afghanistan,officially,transferred,security,responsibility,afghan,government,unable,eliminate,taliban,military,means,coalition,forces,turned,diplomacy,end,conflict,efforts,culminated,ustaliban,deal,february,stipulated,withdrawal,yous,troops,afghanistan,exchange,taliban,pledged,prevent,militant,group,staging,attacks,afghan,territory,yous,allies,afghan,government,party,deal,rejected,terms,coinciding,withdrawal,troops,taliban,launched,broad,offensive,summer,successfully,reestablishing,control,afghanistan,including,capital,city,kabul,august,day,president,islamic,republic,ashraf,ghani,fled,country,taliban,declared,victory,war,formally,brought,close,august,american,military,aircraft,departed,afghanistan,ending,protracted,yous,led,military,presence,country",0.00,afghanistan
"overall the war killed an estimated  people including  civilians while more than  million former refugees returned to afghanistan after the  invasion by the time the taliban returned to power in   million afghans remained refugees while another  million were internally displaced
",overall war killed estimated people including civilians million refugees returned afghanistan invasion time taliban returned power million afghans remained refugees million internally displaced,6.07,"overall,war,killed,estimated,people,including,civilians,million,refugees,returned,afghanistan,invasion,time,taliban,returned,power,million,afghans,remained,refugees,million,internally,displaced",0.00,afghanistan
"the war is named the war in afghanistan from  to  to distinguish it from other wars notably the sovietafghan war from a western perspective the war is divided between  and   when most combat operations were performed by coalition forces and  to   when the afghan armed forces bore most of the fighting the war was codenamed by the us as operation enduring freedom from  to  and as operation freedoms sentinel from  to  alternatively it has been called the us war in afghanistan in certain countries in afghanistan itself the war is known as simply the war in afghanistan 
",war named war afghanistan distinguish wars notably sovietafghan war western perspective war divided combat operations performed coalition forces afghan armed forces bore fighting war codenamed operation enduring freedom operation freedoms sentinel alternatively called war afghanistan certain countries afghanistan war known simply war afghanistan,9.44,"war,named,war,afghanistan,distinguish,wars,notably,sovietafghan,war,western,perspective,war,divided,combat,operations,performed,coalition,forces,afghan,armed,forces,bore,fighting,war,codenamed,operation,enduring,freedom,operation,freedoms,sentinel,alternatively,called,war,afghanistan,certain,countries,afghanistan,war,known,simply,war,afghanistan",0.00,afghanistan
"the taliban emerged from religious students known as the talib who sought to end warlordism in afghanistan through stricter adherence to sharia  on  september  the taliban with military support by pakistan and financial support from saudi arabia seized kabul and founded the islamic emirate of afghanistan the taliban imposed their fundamentalist deobandi interpretation of islam in areas under their control issuing edicts forbidding women to work outside the home attend school or to leave their homes unless accompanied by a male relative according to the united nations  the taliban while trying to consolidate control over northern and western afghanistan committed systematic massacres against civilians un officials stated that there had been  massacres between  and  many of them targeting shia hazaras
",taliban emerged religious students known talib sought end warlordism afghanistan stricter adherence sharia september taliban military support pakistan financial support saudi arabia seized kabul founded islamic emirate afghanistan taliban imposed fundamentalist deobandi interpretation islam areas control issuing edicts forbidding women work outside home attend school leave homes accompanied male relative according united nations taliban trying consolidate control northern western afghanistan committed systematic massacres civilians un officials stated massacres targeting shia hazaras,6.04,"taliban,emerged,religious,students,known,talib,sought,end,warlordism,afghanistan,stricter,adherence,sharia,september,taliban,military,support,pakistan,financial,support,saudi,arabia,seized,kabul,founded,islamic,emirate,afghanistan,taliban,imposed,fundamentalist,deobandi,interpretation,islam,areas,control,issuing,edicts,forbidding,women,work,outside,home,attend,school,leave,homes,accompanied,male,relative,according,united,nations,taliban,trying,consolidate,control,northern,western,afghanistan,committed,systematic,massacres,civilians,un,officials,stated,massacres,targeting,shia,hazaras",0.00,afghanistan
"by  the taliban controlled as much as  of afghanistan with the northern alliance confined to the countrys northeast corner fighting alongside taliban forces were some  pakistanis  and  al qaeda militants
",taliban controlled afghanistan northern alliance confined countrys northeast corner fighting alongside taliban forces pakistanis al qaeda militants,6.37,"taliban,controlled,afghanistan,northern,alliance,confined,countrys,northeast,corner,fighting,alongside,taliban,forces,pakistanis,al,qaeda,militants",0.00,afghanistan
"the  commission in the us found that under the taliban al qaeda was able to use afghanistan as a place to train and indoctrinate fighters import weapons coordinate with other jihadists and plot terrorist actions while al qaeda maintained its own camps in afghanistan it also supported training camps of other organizations an estimated  to  men passed through these facilities before  most of whom were sent to fight for the taliban against the united front a smaller number were inducted into al qaeda
",commission found taliban al qaeda able use afghanistan place train indoctrinate fighters import weapons coordinate jihadists plot terrorist actions al qaeda maintained camps afghanistan supported training camps organizations estimated men passed facilities sent fight taliban united smaller number inducted al qaeda,8.35,"commission,found,taliban,al,qaeda,able,use,afghanistan,place,train,indoctrinate,fighters,import,weapons,coordinate,jihadists,plot,terrorist,actions,al,qaeda,maintained,camps,afghanistan,supported,training,camps,organizations,estimated,men,passed,facilities,sent,fight,taliban,united,smaller,number,inducted,al,qaeda",0.00,afghanistan
"after the august  united states embassy bombings were linked to bin laden president bill clinton ordered missile strikes on militant training camps in afghanistan us officials pressed the taliban to surrender bin laden in  the international community imposed sanctions on the taliban calling for bin laden to be surrendered the taliban repeatedly rebuffed these demands central intelligence agency  special activities division paramilitary teams were active in afghanistan in the s in clandestine operations to locate and kill or capture osama bin laden these teams planned several operations but did not receive the order to proceed from president clinton their efforts built relationships with afghan leaders that proved essential in the  invasion
",august united states embassy bombings linked bin laden president bill clinton ordered missile strikes militant training camps afghanistan officials pressed taliban surrender bin laden international community imposed sanctions taliban calling bin laden surrendered taliban repeatedly rebuffed demands central intelligence agency special activities division paramilitary teams active afghanistan clandestine operations locate kill capture osama bin laden teams planned operations receive order proceed president clinton efforts built relationships afghan leaders proved essential invasion,5.33,"august,united,states,embassy,bombings,linked,bin,laden,president,bill,clinton,ordered,missile,strikes,militant,training,camps,afghanistan,officials,pressed,taliban,surrender,bin,laden,international,community,imposed,sanctions,taliban,calling,bin,laden,surrendered,taliban,repeatedly,rebuffed,demands,central,intelligence,agency,special,activities,division,paramilitary,teams,active,afghanistan,clandestine,operations,locate,kill,capture,osama,bin,laden,teams,planned,operations,receive,order,proceed,president,clinton,efforts,built,relationships,afghan,leaders,proved,essential,invasion",0.00,afghanistan
"in the weeks ahead and at the beginning of the us and nato invasion on afghanistan the taliban demanded evidence of bin ladens guilt but subsequently offered to hand over osama bin laden to a third country if the us stopped its bombing and provided evidence of bin ladens guilt a bush administration official later stated that their demands were not subject to negotiation and that it was time for the taliban to act now covert us military action began soon after and the war started officially on  october   
",weeks ahead beginning nato invasion afghanistan taliban demanded evidence bin ladens guilt subsequently offered hand osama bin laden country stopped bombing provided evidence bin ladens guilt bush administration official later stated demands subject negotiation time taliban act covert military action began soon war started officially october,8.43,"weeks,ahead,beginning,nato,invasion,afghanistan,taliban,demanded,evidence,bin,ladens,guilt,subsequently,offered,hand,osama,bin,laden,country,stopped,bombing,provided,evidence,bin,ladens,guilt,bush,administration,official,later,stated,demands,subject,negotiation,time,taliban,act,covert,military,action,began,soon,war,started,officially,october",0.00,afghanistan
