Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"west africa  or western africa is the westernmost region of africa the united nations defines western africa as the  countries of benin burkina faso cape verde the gambia ghana guinea guinea bissau ivory coast liberia mali mauritania niger nigeria senegal sierra leone and togo as well as saint helena ascension and tristan da cunha  the population of west africa is estimated at  million people as of  and at  as of  of which  are female and  male the region is demographically and economically one of the fastest growing on the african continent
",west africa western africa westernmost region africa united nations defines western africa countries benin burkina faso cape verde gambia ghana guinea guinea bissau ivory coast liberia mali mauritania niger nigeria senegal sierra leone togo saint helena ascension tristan da cunha population west africa estimated million people female male region demographically economically fastest growing african continent,6.57,"west,africa,western,africa,westernmost,region,africa,united,nations,defines,western,africa,countries,benin,burkina,faso,cape,verde,gambia,ghana,guinea,guinea,bissau,ivory,coast,liberia,mali,mauritania,niger,nigeria,senegal,sierra,leone,togo,saint,helena,ascension,tristan,da,cunha,population,west,africa,estimated,million,people,female,male,region,demographically,economically,fastest,growing,african,continent",0.00,africa
"early history in west africa included a number of prominent regional powers that dominated different parts of both the coastal and internal trade networks such as the mali and gao empires west africa sat at the intersection of trade routes between arab dominated north africa and specialized goods from further south on the continent including gold advanced iron working and ivory after european exploration encountered rich local economies and kingdoms the european slave trade exploited already existing slave systems to provide labor for colonies in the americas after the end of the slave trade in the early th century european nations especially france and britain continued to exploit the region through colonial relationships for example they continued exporting a number of extractive goods including labor intensive agricultural crops like cocoa and coffee forestry products like tropical timber and mineral resources like gold since independence many west african countries like ivory coast ghana nigeria and senegal have played important roles in the regional and global economies
",early history west africa included number prominent regional powers dominated different parts coastal internal trade networks mali gao empires west africa sat intersection trade routes arab dominated north africa specialized goods south continent including gold advanced iron working ivory european exploration encountered rich local economies kingdoms european slave trade exploited existing slave systems provide labor colonies americas end slave trade early th century european nations especially france britain continued exploit region colonial relationships example continued exporting number extractive goods including labor intensive agricultural crops like cocoa coffee forestry products like tropical timber mineral resources like gold independence west african countries like ivory coast ghana nigeria senegal played important roles regional global economies,4.85,"early,history,west,africa,included,number,prominent,regional,powers,dominated,different,parts,coastal,internal,trade,networks,mali,gao,empires,west,africa,sat,intersection,trade,routes,arab,dominated,north,africa,specialized,goods,south,continent,including,gold,advanced,iron,working,ivory,european,exploration,encountered,rich,local,economies,kingdoms,european,slave,trade,exploited,existing,slave,systems,provide,labor,colonies,americas,end,slave,trade,early,th,century,european,nations,especially,france,britain,continued,exploit,region,colonial,relationships,example,continued,exporting,number,extractive,goods,including,labor,intensive,agricultural,crops,like,cocoa,coffee,forestry,products,like,tropical,timber,mineral,resources,like,gold,independence,west,african,countries,like,ivory,coast,ghana,nigeria,senegal,played,important,roles,regional,global,economies",0.00,africa
"west africa has a rich ecology with strong biodiversity and several distinct regions the areas climate and ecology are heavily influenced by the dry sahara to the north and east which provides dry winds during the harmattan as well as the atlantic ocean to the south and west which provides seasonal monsoons this mixture of climates gives west africa a rich array of biomes from biodiversity rich tropical forests to drylands supporting rare and endangered fauna such as pangolins rhinoceros and elephants because of the pressure for economic development many of these ecologies are threatened by processes like deforestation biodiversity loss overfishing pollution from mining plastics and other industries and extreme changes resulting from climate change in west africa
",west africa rich ecology strong biodiversity distinct regions areas climate ecology heavily influenced dry sahara north east provides dry winds harmattan atlantic ocean south west provides seasonal monsoons mixture climates gives west africa rich array biomes biodiversity rich tropical forests drylands supporting rare endangered fauna pangolins rhinoceros elephants pressure economic development ecologies threatened processes like deforestation biodiversity loss overfishing pollution mining plastics industries extreme changes resulting climate change west africa,6.33,"west,africa,rich,ecology,strong,biodiversity,distinct,regions,areas,climate,ecology,heavily,influenced,dry,sahara,north,east,provides,dry,winds,harmattan,atlantic,ocean,south,west,provides,seasonal,monsoons,mixture,climates,gives,west,africa,rich,array,biomes,biodiversity,rich,tropical,forests,drylands,supporting,rare,endangered,fauna,pangolins,rhinoceros,elephants,pressure,economic,development,ecologies,threatened,processes,like,deforestation,biodiversity,loss,overfishing,pollution,mining,plastics,industries,extreme,changes,resulting,climate,change,west,africa",0.00,africa
"the history of west africa can be divided into five major periods first its prehistory in which the first human settlers arrived developed agriculture and made contact with peoples to the north the second the iron age empires that consolidated both intra africa and extra africa trade and developed centralized states third major polities flourished which would undergo an extensive history of contact with non africans fourth the colonial period in which great britain and france controlled nearly the entire region and fifth the post independence era in which the current nations were formed
",history west africa divided major periods prehistory human settlers arrived developed agriculture contact peoples north second iron age empires consolidated intra africa extra africa trade developed centralized states major polities flourished undergo extensive history contact non africans fourth colonial period great britain france controlled nearly entire region fifth post independence era current nations formed,6.73,"history,west,africa,divided,major,periods,prehistory,human,settlers,arrived,developed,agriculture,contact,peoples,north,second,iron,age,empires,consolidated,intra,africa,extra,africa,trade,developed,centralized,states,major,polities,flourished,undergo,extensive,history,contact,non,africans,fourth,colonial,period,great,britain,france,controlled,nearly,entire,region,fifth,post,independence,era,current,nations,formed",0.00,africa
"west african populations were considerably mobile and interacted with one another throughout the population history of west africa acheulean tool using archaic humans may have dwelled throughout west africa since at least between  bp and  bp  during the pleistocene middle stone age peoples  who dwelled throughout west africa between mis  and mis  were gradually replaced by incoming late stone age peoples who migrated into west africa as an increase in humid conditions resulted in the subsequent expansion of the west african forest west african hunter gatherers occupied western central africa  earlier than  bp dwelled throughout coastal west africa by  bp and migrated northward between  bp and  bp as far as mali burkina faso and mauritania
",west african populations considerably mobile interacted population history west africa acheulean tool archaic humans dwelled west africa bp bp pleistocene middle stone age peoples dwelled west africa mis mis gradually replaced incoming late stone age peoples migrated west africa increase humid conditions resulted subsequent expansion west african forest west african hunter gatherers occupied western central africa earlier bp dwelled coastal west africa bp migrated northward bp bp far mali burkina faso mauritania,5.74,"west,african,populations,considerably,mobile,interacted,population,history,west,africa,acheulean,tool,archaic,humans,dwelled,west,africa,bp,bp,pleistocene,middle,stone,age,peoples,dwelled,west,africa,mis,mis,gradually,replaced,incoming,late,stone,age,peoples,migrated,west,africa,increase,humid,conditions,resulted,subsequent,expansion,west,african,forest,west,african,hunter,gatherers,occupied,western,central,africa,earlier,bp,dwelled,coastal,west,africa,bp,migrated,northward,bp,bp,far,mali,burkina,faso,mauritania",0.00,africa
"during the holocene niger congo speakers independently created pottery in ounjougou mali  the earliest pottery in africa  by at least  bce and along with their pottery as well as wielding bows and arrows migrated into the central sahara which became their primary region of residence by  bp the emergence and expansion of ceramics in the sahara may be linked with the origin of round head and kel essuf rock art which occupy rockshelters in the same regions  hunters in the central sahara farmed stored and cooked undomesticated central saharan flora domesticated antelope and domesticated and shepherded barbary sheep after the kel essuf period and round head period of the central sahara the pastoral period followed some of the hunter gatherers who created the round head rock art may have adopted pastoral culture and others may have not as a result of increasing aridification of the green sahara central saharan hunter gatherers and cattle herders may have used seasonal waterways as the migratory route taken to the niger river and chad basin of west africa migration of saharan peoples south of the sahelian region resulted in seasonal interaction with and gradual absorption of west african hunter gatherers who primarily dwelt in the savannas and forests of west africa after having persisted as late as  bp or some period of time after  ce remaining west african hunter gatherers many of whom dwelt in the forest savanna region were ultimately acculturated and admixed into the larger groups of west african agriculturalists akin to the migratory bantu agriculturalists and their encounters with central african hunter gatherers
",holocene niger congo speakers independently created pottery ounjougou mali earliest pottery africa bce pottery wielding bows arrows migrated central sahara primary region residence bp emergence expansion ceramics sahara linked origin round head kel essuf rock art occupy rockshelters regions hunters central sahara farmed stored cooked undomesticated central saharan flora domesticated antelope domesticated shepherded barbary sheep kel essuf period round head period central sahara pastoral period followed hunter gatherers created round head rock art adopted pastoral culture result increasing aridification green sahara central saharan hunter gatherers cattle herders seasonal waterways migratory route taken niger river chad basin west africa migration saharan peoples south sahelian region resulted seasonal interaction gradual absorption west african hunter gatherers primarily dwelt savannas forests west africa persisted late bp period time ce remaining west african hunter gatherers dwelt forest savanna region ultimately acculturated admixed larger groups west african agriculturalists akin migratory bantu agriculturalists encounters central african hunter gatherers,6.77,"holocene,niger,congo,speakers,independently,created,pottery,ounjougou,mali,earliest,pottery,africa,bce,pottery,wielding,bows,arrows,migrated,central,sahara,primary,region,residence,bp,emergence,expansion,ceramics,sahara,linked,origin,round,head,kel,essuf,rock,art,occupy,rockshelters,regions,hunters,central,sahara,farmed,stored,cooked,undomesticated,central,saharan,flora,domesticated,antelope,domesticated,shepherded,barbary,sheep,kel,essuf,period,round,head,period,central,sahara,pastoral,period,followed,hunter,gatherers,created,round,head,rock,art,adopted,pastoral,culture,result,increasing,aridification,green,sahara,central,saharan,hunter,gatherers,cattle,herders,seasonal,waterways,migratory,route,taken,niger,river,chad,basin,west,africa,migration,saharan,peoples,south,sahelian,region,resulted,seasonal,interaction,gradual,absorption,west,african,hunter,gatherers,primarily,dwelt,savannas,forests,west,africa,persisted,late,bp,period,time,ce,remaining,west,african,hunter,gatherers,dwelt,forest,savanna,region,ultimately,acculturated,admixed,larger,groups,west,african,agriculturalists,akin,migratory,bantu,agriculturalists,encounters,central,african,hunter,gatherers",0.00,africa
"the benin empire was a post classical empire located in what is now southern nigeria its capital was edo now known as benin city edo it should not be confused with the modern day country called benin formerly called dahomey the benin empire was one of the oldest and most highly developed states in the coastal hinterland of west africa dating perhaps to the eleventh century ce the benin empire was governed by a sovereign emperor with hundreds of thousands of soldiers and a powerful council rich in resources wealth ancient science and technology with cities described as beautiful and large as haarlem olfert dapper a dutch writer describing benin in his book description of africa   its craft was the most adored and treasured bronze casting in the history of africa it was annexed by the british empire in  during the invasion and scramble of africa
",benin empire post classical empire located southern nigeria capital edo known benin city edo confused modern day country called benin called dahomey benin empire oldest highly developed states coastal hinterland west africa dating eleventh century ce benin empire governed sovereign emperor hundreds thousands soldiers powerful council rich resources wealth ancient science technology cities described beautiful large haarlem olfert dapper dutch writer describing benin book description africa craft adored treasured bronze casting history africa annexed british empire invasion scramble africa,7.83,"benin,empire,post,classical,empire,located,southern,nigeria,capital,edo,known,benin,city,edo,confused,modern,day,country,called,benin,called,dahomey,benin,empire,oldest,highly,developed,states,coastal,hinterland,west,africa,dating,eleventh,century,ce,benin,empire,governed,sovereign,emperor,hundreds,thousands,soldiers,powerful,council,rich,resources,wealth,ancient,science,technology,cities,described,beautiful,large,haarlem,olfert,dapper,dutch,writer,describing,benin,book,description,africa,craft,adored,treasured,bronze,casting,history,africa,annexed,british,empire,invasion,scramble,africa",0.00,africa
"in the early th century a series of fulani reformist jihads swept across western africa the most notable include usman dan fodios fulani empire which replaced the hausa city states seku amadus massina empire which defeated the bambara and el hadj umar talls toucouleur empire which briefly conquered much of modern day mali
",early th century series fulani reformist jihads swept western africa notable include usman dan fodios fulani empire replaced hausa city states seku amadus massina empire defeated bambara el hadj umar talls toucouleur empire briefly conquered modern day mali,4.63,"early,th,century,series,fulani,reformist,jihads,swept,western,africa,notable,include,usman,dan,fodios,fulani,empire,replaced,hausa,city,states,seku,amadus,massina,empire,defeated,bambara,el,hadj,umar,talls,toucouleur,empire,briefly,conquered,modern,day,mali",0.00,africa
"however the french and british continued to advance in the scramble for africa subjugating kingdom after kingdom with the fall of samory tures new founded wassoulou empire in  and the ashanti queen yaa asantewaa in  most west african military resistance to colonial rule resulted in failure
",french british continued advance scramble africa subjugating kingdom kingdom fall samory tures new founded wassoulou empire ashanti queen yaa asantewaa west african military resistance colonial rule resulted failure,6.19,"french,british,continued,advance,scramble,africa,subjugating,kingdom,kingdom,fall,samory,tures,new,founded,wassoulou,empire,ashanti,queen,yaa,asantewaa,west,african,military,resistance,colonial,rule,resulted,failure",0.00,africa
"britain controlled the gambia sierra leone ghana and nigeria throughout the colonial era while france unified senegal guinea mali burkina faso benin ivory coast and niger into french west africa portugal founded the colony of guinea bissau while germany claimed togoland but was forced to divide it between france and britain following first world war due to the treaty of versailles only liberia retained its independence at the price of major territorial concessions
",britain controlled gambia sierra leone ghana nigeria colonial era france unified senegal guinea mali burkina faso benin ivory coast niger french west africa portugal founded colony guinea bissau germany claimed togoland forced divide france britain following world war treaty versailles liberia retained independence price major territorial concessions,5.54,"britain,controlled,gambia,sierra,leone,ghana,nigeria,colonial,era,france,unified,senegal,guinea,mali,burkina,faso,benin,ivory,coast,niger,french,west,africa,portugal,founded,colony,guinea,bissau,germany,claimed,togoland,forced,divide,france,britain,following,world,war,treaty,versailles,liberia,retained,independence,price,major,territorial,concessions",0.00,africa
