Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"west germany  is the colloquial term used to indicate the federal republic of germany  brd between its formation on  may  and the german reunification through the accession of east germany on  october  during the cold war the western portion of germany and the associated territory of west berlin were parts of the western bloc west germany was formed as a political entity during the allied occupation of germany after world war ii established from eleven states formed in the three allied zones of occupation held by the united states the united kingdom and france the frgs provisional capital was the city of bonn and the cold war era country is retrospectively designated as the bonn republic 
",west germany colloquial term indicate federal republic germany brd formation german reunification accession east germany october cold war western portion germany associated territory west berlin parts western bloc west germany formed political entity allied occupation germany world war ii established states formed allied zones occupation held united states united kingdom france frgs provisional capital city bonn cold war era country retrospectively designated bonn republic,7.45,"west,germany,colloquial,term,indicate,federal,republic,germany,brd,formation,german,reunification,accession,east,germany,october,cold,war,western,portion,germany,associated,territory,west,berlin,parts,western,bloc,west,germany,formed,political,entity,allied,occupation,germany,world,war,ii,established,states,formed,allied,zones,occupation,held,united,states,united,kingdom,france,frgs,provisional,capital,city,bonn,cold,war,era,country,retrospectively,designated,bonn,republic",0.00,germany
"at the onset of the cold war europe was divided between the western and eastern blocs germany was divided into the two countries initially west germany claimed an exclusive mandate for all of germany representing itself as the sole democratically reorganised continuation of the  german reich
",onset cold war europe divided western eastern blocs germany divided countries initially west germany claimed exclusive mandate germany representing sole democratically reorganised continuation german reich,7.17,"onset,cold,war,europe,divided,western,eastern,blocs,germany,divided,countries,initially,west,germany,claimed,exclusive,mandate,germany,representing,sole,democratically,reorganised,continuation,german,reich",0.00,germany
"three southwestern states of west germany merged to form baden wrttemberg in  and the saarland joined west germany as a state in  after it had been separated as the saar protectorate from allied occupied germany by france  in addition to the resulting ten states west berlin was considered an unofficial de facto eleventh state while de jure not part of west germany as berlin was under the control of the allied control council  west berlin politically aligned itself with west germany and was directly or indirectly represented in its federal institutions
",southwestern states west germany merged form baden wrttemberg saarland joined west germany state separated saar protectorate allied occupied germany france addition resulting states west berlin considered unofficial de facto eleventh state de jure west germany berlin control allied control council west berlin politically aligned west germany directly indirectly represented federal institutions,7.17,"southwestern,states,west,germany,merged,form,baden,wrttemberg,saarland,joined,west,germany,state,separated,saar,protectorate,allied,occupied,germany,france,addition,resulting,states,west,berlin,considered,unofficial,de,facto,eleventh,state,de,jure,west,germany,berlin,control,allied,control,council,west,berlin,politically,aligned,west,germany,directly,indirectly,represented,federal,institutions",0.00,germany
"the foundation for the influential position held by germany today was laid during the economic miracle of the s  when west germany rose from the enormous destruction wrought by world war ii to become the worlds second largest economy the first chancellor konrad adenauer who remained in office until  worked for a full alignment with the nato rather than neutrality and secured membership in the military alliance adenauer was also a proponent of agreements that developed into the present day european union when the g was established in  there was no serious debate as to whether west germany would become a member
",foundation influential position held germany today laid economic miracle west germany rose enormous destruction wrought world war ii worlds second largest economy chancellor konrad adenauer remained office worked alignment nato neutrality secured membership military alliance adenauer proponent agreements developed present day european union g established debate west germany member,8.59,"foundation,influential,position,held,germany,today,laid,economic,miracle,west,germany,rose,enormous,destruction,wrought,world,war,ii,worlds,second,largest,economy,chancellor,konrad,adenauer,remained,office,worked,alignment,nato,neutrality,secured,membership,military,alliance,adenauer,proponent,agreements,developed,present,day,european,union,g,established,debate,west,germany,member",0.00,germany
"following the collapse of the eastern bloc symbolised by the opening of the berlin wall both states took action to achieve german reunification east germany voted to dissolve and accede to the federal republic of germany in  the five post war states  were reconstituted along with the reunited berlin which ended its special status and formed an additional land they formally joined the federal republic on  october  raising the total number of states from ten to sixteen and ending the division of germany the reunited germany is the direct continuation of the state previously informally called west germany and not a new state as the process was essentially a voluntary act of accession the federal republic of germany was enlarged to include the additional six states of the german democratic republic the expanded federal republic retained west germanys political culture and continued its existing memberships in international organisations as well as its western foreign policy alignment and affiliation to western alliances such as the united nations nato oecd and the european economic community
",following collapse eastern bloc symbolised opening berlin wall states took action achieve german reunification east germany voted dissolve accede federal republic germany post war states reconstituted reunited berlin ended special status formed additional land formally joined federal republic october raising total number states sixteen ending division germany reunited germany direct continuation state previously informally called west germany new state process essentially voluntary act accession federal republic germany enlarged include additional states german democratic republic expanded federal republic retained west germanys political culture continued existing memberships international organisations western foreign policy alignment affiliation western alliances united nations nato oecd european economic community,6.52,"following,collapse,eastern,bloc,symbolised,opening,berlin,wall,states,took,action,achieve,german,reunification,east,germany,voted,dissolve,accede,federal,republic,germany,post,war,states,reconstituted,reunited,berlin,ended,special,status,formed,additional,land,formally,joined,federal,republic,october,raising,total,number,states,sixteen,ending,division,germany,reunited,germany,direct,continuation,state,previously,informally,called,west,germany,new,state,process,essentially,voluntary,act,accession,federal,republic,germany,enlarged,include,additional,states,german,democratic,republic,expanded,federal,republic,retained,west,germanys,political,culture,continued,existing,memberships,international,organisations,western,foreign,policy,alignment,affiliation,western,alliances,united,nations,nato,oecd,european,economic,community",0.00,germany
"before reunification germany was divided between the bundesrepublik deutschland  and the deutsche demokratische republik  reunification was achieved by accession  of the german democratic republic to the federal republic of germany so bundesrepublik deutschland became the official name of reunified germany
",reunification germany divided bundesrepublik deutschland deutsche demokratische republik reunification achieved accession german democratic republic federal republic germany bundesrepublik deutschland official reunified germany,5.84,"reunification,germany,divided,bundesrepublik,deutschland,deutsche,demokratische,republik,reunification,achieved,accession,german,democratic,republic,federal,republic,germany,bundesrepublik,deutschland,official,reunified,germany",0.00,germany
"in east germany the terms westdeutschland  or westdeutsche bundesrepublik  were preferred during the s and s this changed under its  constitution when the idea of a single german nation was abandoned by east germany as a result it officially considered west germans and west berliners as foreigners the initialism brd  began to prevail in east german usage in the early s beginning in the newspaper neues deutschland other eastern bloc nations soon followed suit
",east germany terms westdeutschland westdeutsche bundesrepublik preferred changed constitution idea single german nation abandoned east germany result officially considered west germans west berliners foreigners initialism brd began prevail east german usage early beginning newspaper neues deutschland eastern bloc nations soon followed suit,6.91,"east,germany,terms,westdeutschland,westdeutsche,bundesrepublik,preferred,changed,constitution,idea,single,german,nation,abandoned,east,germany,result,officially,considered,west,germans,west,berliners,foreigners,initialism,brd,began,prevail,east,german,usage,early,beginning,newspaper,neues,deutschland,eastern,bloc,nations,soon,followed,suit",0.00,germany
"in  the west german federal minister of all german affairs erich mende had issued the directives for the appellation of germany recommending avoiding the initialism brd on  may  the heads of west german federal and state governments recommended always using the full name in official publications from then on west german sources avoided the abbreviated form with the exception of left leaning organizations which embraced it in november  the federal government informed the bundestag that the west german public broadcasters ard and zdf had agreed to refuse to use the initialism
",west german federal minister german affairs erich mende issued directives appellation germany recommending avoiding initialism brd heads west german federal state governments recommended official publications west german sources avoided abbreviated form exception left leaning organizations embraced november federal government informed bundestag west german public broadcasters ard zdf agreed refuse use initialism,6.88,"west,german,federal,minister,german,affairs,erich,mende,issued,directives,appellation,germany,recommending,avoiding,initialism,brd,heads,west,german,federal,state,governments,recommended,official,publications,west,german,sources,avoided,abbreviated,form,exception,left,leaning,organizations,embraced,november,federal,government,informed,bundestag,west,german,public,broadcasters,ard,zdf,agreed,refuse,use,initialism",0.00,germany
"the iso   alpha  country code of west germany was de  which has remained the country code of germany after reunification iso   alpha  codes are the most widely used country codes and the de code is notably used as a country identifier extending the postal code and as the internets country code top level domain de the less widely used iso   alpha  country code of west germany was deu which has remained the country code of reunified germany the now deleted codes for east germany on the other hand were dd in iso   alpha  and ddr in iso   alpha 
",iso alpha country code west germany de remained country code germany reunification iso alpha codes widely country codes de code notably country identifier extending postal code internets country code level domain de widely iso alpha country code west germany deu remained country code reunified germany deleted codes east germany hand dd iso alpha ddr iso alpha,7.66,"iso,alpha,country,code,west,germany,de,remained,country,code,germany,reunification,iso,alpha,codes,widely,country,codes,de,code,notably,country,identifier,extending,postal,code,internets,country,code,level,domain,de,widely,iso,alpha,country,code,west,germany,deu,remained,country,code,reunified,germany,deleted,codes,east,germany,hand,dd,iso,alpha,ddr,iso,alpha",0.00,germany
"the colloquial term west germany or its equivalent was used in many languages westdeutschland was also a widespread colloquial form used in german speaking countries usually without political overtones
",colloquial term west germany equivalent languages westdeutschland widespread colloquial form german speaking countries usually political overtones,6.44,"colloquial,term,west,germany,equivalent,languages,westdeutschland,widespread,colloquial,form,german,speaking,countries,usually,political,overtones",0.00,germany
