Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"western australia  is a state of australia occupying the western  percent of the land area of australia excluding external territories it is bounded by the indian ocean to the north and west the southern ocean to the south the northern territory to the north east and south australia to the south east western australia is australias largest state with a total land area of  square kilometres  it is the second largest country subdivision in the world surpassed only by russias sakha republic as of update the state has  million inhabitants percent of the national total the vast majority  live in the south west corner  percent of the population lives in the perth area leaving the remainder of the state sparsely populated
",western australia state australia occupying western percent land area australia excluding external territories bounded indian ocean north west southern ocean south northern territory north east south australia south east western australia australias largest state total land area square kilometres second largest country subdivision world surpassed russias sakha republic update state million inhabitants percent national total vast majority live south west corner percent population lives perth area leaving remainder state sparsely populated,6.90,"western,australia,state,australia,occupying,western,percent,land,area,australia,excluding,external,territories,bounded,indian,ocean,north,west,southern,ocean,south,northern,territory,north,east,south,australia,south,east,western,australia,australias,largest,state,total,land,area,square,kilometres,second,largest,country,subdivision,world,surpassed,russias,sakha,republic,update,state,million,inhabitants,percent,national,total,vast,majority,live,south,west,corner,percent,population,lives,perth,area,leaving,remainder,state,sparsely,populated",0.00,australia
"the first europeans to visit western australia belonged to the dutch dirk hartog expedition who visited the western australian coast in  the first permanent european colony of western australia occurred following the landing by major edmund lockyer on  december  of an expedition on behalf of the new south wales colonial government lockyer established a convict supported military garrison at king george iii sound at present day albany and on  january  he formally took possession for the british crown of the western part of the continent that was not already claimed by the crown this was followed by the establishment of the swan river colony in  including the site of the present day capital perth
",europeans visit western australia belonged dutch dirk hartog expedition visited western australian coast permanent european colony western australia occurred following landing major edmund lockyer december expedition behalf new south wales colonial government lockyer established convict supported military garrison king george iii sound present day albany january formally took possession british crown western continent claimed crown followed establishment swan river colony including site present day capital perth,6.82,"europeans,visit,western,australia,belonged,dutch,dirk,hartog,expedition,visited,western,australian,coast,permanent,european,colony,western,australia,occurred,following,landing,major,edmund,lockyer,december,expedition,behalf,new,south,wales,colonial,government,lockyer,established,convict,supported,military,garrison,king,george,iii,sound,present,day,albany,january,formally,took,possession,british,crown,western,continent,claimed,crown,followed,establishment,swan,river,colony,including,site,present,day,capital,perth",0.00,australia
"york was the first inland settlement in western australia situated  kilometres  east of perth it was settled on  september  western australia achieved responsible government in  and federated with the other british colonies in australia in  
",york inland settlement western australia situated kilometres east perth settled september western australia achieved responsible government federated british colonies australia,6.20,"york,inland,settlement,western,australia,situated,kilometres,east,perth,settled,september,western,australia,achieved,responsible,government,federated,british,colonies,australia",0.00,australia
"today western australias economy mainly relies on mining oil and gas services and construction the state produces  percent of australias exports western australia is the largest iron ore producer in the world its motto is cygnis insignis  its nickname is the wildflower state
",today western australias economy mainly relies mining oil gas services construction state produces percent australias exports western australia largest iron ore producer world motto cygnis insignis nickname wildflower state,5.07,"today,western,australias,economy,mainly,relies,mining,oil,gas,services,construction,state,produces,percent,australias,exports,western,australia,largest,iron,ore,producer,world,motto,cygnis,insignis,nickname,wildflower,state",0.00,australia
"the first modern human inhabitants of australia arrived from the north about  to  years ago over thousands of years they eventually spread across the whole landmass these indigenous australians were long established throughout western australia by the time european explorers began to arrive in the early th century
",modern human inhabitants australia arrived north years ago thousands years eventually spread landmass indigenous australians long established western australia time european explorers began arrive early th century,6.65,"modern,human,inhabitants,australia,arrived,north,years,ago,thousands,years,eventually,spread,landmass,indigenous,australians,long,established,western,australia,time,european,explorers,began,arrive,early,th,century",0.00,australia
"the first europeans to visit western australia were those of the dutch dirk hartog expedition who on  october  landed at what is now known as cape inscription dirk hartog island for the rest of the th century other dutch and british navigators encountered the coast of what abel tasman named new holland in  usually unintentionally as demonstrated by the many shipwrecks along the coast of ships that deviated from the brouwer route  by the late th century british and french sailors had begun to explore the western australian coast the baudin expedition of  included the coast of western australia and resulted in the freycinet map of  the first published map featuring the full outline of australia the name new holland remained in popular and semi official use until at least the mid s that is it was in use for about  years in comparison to the name australia which to date has been in use for about  years  
",europeans visit western australia dutch dirk hartog expedition october landed known cape inscription dirk hartog island rest th century dutch british navigators encountered coast abel tasman named new holland usually unintentionally demonstrated shipwrecks coast ships deviated brouwer route late th century british french sailors begun explore western australian coast baudin expedition included coast western australia resulted freycinet map published map featuring outline australia new holland remained popular semi official use mid use years comparison australia date use years,8.75,"europeans,visit,western,australia,dutch,dirk,hartog,expedition,october,landed,known,cape,inscription,dirk,hartog,island,rest,th,century,dutch,british,navigators,encountered,coast,abel,tasman,named,new,holland,usually,unintentionally,demonstrated,shipwrecks,coast,ships,deviated,brouwer,route,late,th,century,british,french,sailors,begun,explore,western,australian,coast,baudin,expedition,included,coast,western,australia,resulted,freycinet,map,published,map,featuring,outline,australia,new,holland,remained,popular,semi,official,use,mid,use,years,comparison,australia,date,use,years",0.00,australia
"the origins of the present state began with the establishment by lockyer of a convict supported settlement from new south wales at king george iii sound the settlement was formally annexed on  january  by lockyer when he commanded the union jack be raised and a feu de joie fired by the troops the settlement was founded in response to british concerns about the possibility of a french colony being established on the coast of western australia on  march  it was transferred to the control of the swan river colony and named albany in 
",origins present state began establishment lockyer convict supported settlement new south wales king george iii sound settlement formally annexed january lockyer commanded union jack raised feu de joie fired troops settlement founded response british concerns possibility french colony established coast western australia march transferred control swan river colony named albany,8.01,"origins,present,state,began,establishment,lockyer,convict,supported,settlement,new,south,wales,king,george,iii,sound,settlement,formally,annexed,january,lockyer,commanded,union,jack,raised,feu,de,joie,fired,troops,settlement,founded,response,british,concerns,possibility,french,colony,established,coast,western,australia,march,transferred,control,swan,river,colony,named,albany",0.00,australia
"in  the swan river colony was established on the swan river by captain james stirling by  the british settler population of the colony had reached around  and the official name of the colony was changed to western australia on  february that year the two separate townsites of the colony developed slowly into the port city of fremantle and the states capital perth york was the first inland settlement in western australia situated  kilometres  east of perth and settled on  september  york was the staging point for early explorers who discovered the rich gold reserves of kalgoorlie
",swan river colony established swan river captain james stirling british settler population colony reached official colony changed western australia february year separate townsites colony developed slowly port city fremantle states capital perth york inland settlement western australia situated kilometres east perth settled september york staging point early explorers discovered rich gold reserves kalgoorlie,7.34,"swan,river,colony,established,swan,river,captain,james,stirling,british,settler,population,colony,reached,official,colony,changed,western,australia,february,year,separate,townsites,colony,developed,slowly,port,city,fremantle,states,capital,perth,york,inland,settlement,western,australia,situated,kilometres,east,perth,settled,september,york,staging,point,early,explorers,discovered,rich,gold,reserves,kalgoorlie",0.00,australia
"in  a new constitution was drafted providing for the right of self governance of european australians and in  the act granting self government to the colony was passed by the british parliament john forrest became the first premier of western australia
",new constitution drafted providing right self governance european australians act granting self government colony passed british parliament john forrest premier western australia,7.51,"new,constitution,drafted,providing,right,self,governance,european,australians,act,granting,self,government,colony,passed,british,parliament,john,forrest,premier,western,australia",0.00,australia
"following a campaign led by forrest residents of the colony of western australia voted in favour of federation resulting in western australia officially becoming a state on  january 
",following campaign led forrest residents colony western australia voted favour federation resulting western australia officially state january,6.01,"following,campaign,led,forrest,residents,colony,western,australia,voted,favour,federation,resulting,western,australia,officially,state,january",0.00,australia
