Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"western europe is the western region of europe the regions countries and territories vary depending on context 
",western europe western region europe regions countries territories vary depending context,5.36,"western,europe,western,region,europe,regions,countries,territories,vary,depending,context",0.00,europe
"the concept of the west appeared in europe in juxtaposition to the east and originally applied to the ancient mediterranean world  the roman empire  and medieval christendom  beginning with the renaissance and the age of discovery roughly from the th century the concept of europe as the west slowly became distinguished from and eventually replaced the dominant use of christendom as the preferred endonym within the region by the age of enlightenment and the industrial revolution the concepts of eastern europe and western europe were more regularly used
",concept west appeared europe juxtaposition east originally applied ancient mediterranean world roman empire medieval christendom beginning renaissance age discovery roughly th century concept europe west slowly distinguished eventually replaced dominant use christendom preferred endonym region age enlightenment industrial revolution concepts eastern europe western europe regularly,7.71,"concept,west,appeared,europe,juxtaposition,east,originally,applied,ancient,mediterranean,world,roman,empire,medieval,christendom,beginning,renaissance,age,discovery,roughly,th,century,concept,europe,west,slowly,distinguished,eventually,replaced,dominant,use,christendom,preferred,endonym,region,age,enlightenment,industrial,revolution,concepts,eastern,europe,western,europe,regularly",0.00,europe
"prior to the roman conquest a large part of western europe had adopted the newly developed la tne culture as the roman domain expanded a cultural and linguistic division appeared between the mainly greek speaking eastern provinces which had formed the highly urbanized hellenistic civilization and the western territories which in contrast largely adopted the latin language this cultural and linguistic division was eventually reinforced by the later political eastwest division of the roman empire the western roman empire and the eastern roman empire controlled the two divergent regions between the rd and the th centuries
",prior roman conquest large western europe adopted newly developed la tne culture roman domain expanded cultural linguistic division appeared mainly greek speaking eastern provinces formed highly urbanized hellenistic civilization western territories contrast largely adopted latin language cultural linguistic division eventually reinforced later political eastwest division roman empire western roman empire eastern roman empire controlled divergent regions rd th centuries,5.90,"prior,roman,conquest,large,western,europe,adopted,newly,developed,la,tne,culture,roman,domain,expanded,cultural,linguistic,division,appeared,mainly,greek,speaking,eastern,provinces,formed,highly,urbanized,hellenistic,civilization,western,territories,contrast,largely,adopted,latin,language,cultural,linguistic,division,eventually,reinforced,later,political,eastwest,division,roman,empire,western,roman,empire,eastern,roman,empire,controlled,divergent,regions,rd,th,centuries",0.00,europe
"the division between these two was enhanced during late antiquity and the middle ages by a number of events the western roman empire collapsed starting the early middle ages by contrast the eastern roman empire mostly known as the greek or byzantine empire survived and even thrived for another  years the rise of the carolingian empire in the west and in particular the great schism between eastern orthodoxy and roman catholicism enhanced the cultural and religious distinctiveness between eastern and western europe
",division enhanced late antiquity middle ages number events western roman empire collapsed starting early middle ages contrast eastern roman empire known greek byzantine empire survived thrived years rise carolingian empire west particular great schism eastern orthodoxy roman catholicism enhanced cultural religious distinctiveness eastern western europe,7.13,"division,enhanced,late,antiquity,middle,ages,number,events,western,roman,empire,collapsed,starting,early,middle,ages,contrast,eastern,roman,empire,known,greek,byzantine,empire,survived,thrived,years,rise,carolingian,empire,west,particular,great,schism,eastern,orthodoxy,roman,catholicism,enhanced,cultural,religious,distinctiveness,eastern,western,europe",0.00,europe
"after the conquest of the byzantine empire center of the eastern orthodox church by the muslim ottoman empire in the th century and the gradual fragmentation of the holy roman empire  the division between roman catholic and protestant became more important in europe than that with eastern orthodoxy
",conquest byzantine empire center eastern orthodox church muslim ottoman empire th century gradual fragmentation holy roman empire division roman catholic protestant important europe eastern orthodoxy,7.67,"conquest,byzantine,empire,center,eastern,orthodox,church,muslim,ottoman,empire,th,century,gradual,fragmentation,holy,roman,empire,division,roman,catholic,protestant,important,europe,eastern,orthodoxy",0.00,europe
"in east asia western europe was historically known as taixi in china and taisei in japan which literally translates as the far west the term far west became synonymous with western europe in china during the ming dynasty the italian jesuit priest matteo ricci was one of the first writers in china to use the far west as an asian counterpart to the european concept of the far east in riccis writings ricci referred to himself as matteo of the far west the term was still in use in the late th and early th centuries
",east asia western europe historically known taixi china taisei japan literally translates far west term far west synonymous western europe china ming dynasty italian jesuit priest matteo ricci writers china use far west asian counterpart european concept far east riccis writings ricci referred matteo far west term use late th early th centuries,8.32,"east,asia,western,europe,historically,known,taixi,china,taisei,japan,literally,translates,far,west,term,far,west,synonymous,western,europe,china,ming,dynasty,italian,jesuit,priest,matteo,ricci,writers,china,use,far,west,asian,counterpart,european,concept,far,east,riccis,writings,ricci,referred,matteo,far,west,term,use,late,th,early,th,centuries",0.00,europe
"christianity is the largest religion in western europe according to a  study by the pew research center  of western europeans identified as christians
",christianity largest religion western europe according study pew research center western europeans identified christians,5.96,"christianity,largest,religion,western,europe,according,study,pew,research,center,western,europeans,identified,christians",0.00,europe
"in  the eastwest schism divided christianity into western christianity and eastern christianity this split europe in two with western europe primarily under the catholic church and eastern europe under the eastern orthodox church ever since the reformation in the th century the primary christian denominations in western europe have been catholicism and protestantism
",eastwest schism divided christianity western christianity eastern christianity split europe western europe primarily catholic church eastern europe eastern orthodox church reformation th century primary christian denominations western europe catholicism protestantism,6.23,"eastwest,schism,divided,christianity,western,christianity,eastern,christianity,split,europe,western,europe,primarily,catholic,church,eastern,europe,eastern,orthodox,church,reformation,th,century,primary,christian,denominations,western,europe,catholicism,protestantism",0.00,europe
"under this definition of eastern and western europe eastern europe contains southeastern european countries as well while western europe includes northern and central european countries
",definition eastern western europe eastern europe contains southeastern european countries western europe includes northern central european countries,4.30,"definition,eastern,western,europe,eastern,europe,contains,southeastern,european,countries,western,europe,includes,northern,central,european,countries",0.00,europe
"during the four decades of the cold war the definition of east and west was rather simplified by the existence of the eastern bloc historians and social scientists generally view the cold war definition of western and eastern europe as outdated or relegating
",decades cold war definition east west simplified existence eastern bloc historians social scientists generally view cold war definition western eastern europe outdated relegating,7.72,"decades,cold,war,definition,east,west,simplified,existence,eastern,bloc,historians,social,scientists,generally,view,cold,war,definition,western,eastern,europe,outdated,relegating",0.00,europe
